,Sales Rank
2022-12-14,396
2022-12-15,374
2022-12-16,365
2022-12-17,419
2022-12-18,416
2022-12-19,432
2022-12-20,409
2022-12-21,402
2022-12-22,370
2022-12-23,327
2022-12-24,312
2022-12-25,304
2022-12-26,308
2022-12-27,289
2022-12-28,292
2022-12-29,302
2022-12-30,308
2022-12-31,303
2023-01-01,359
2023-01-02,316
2023-01-03,305
2023-01-04,298
2023-01-05,298
2023-01-06,295
2023-01-07,297
2023-01-08,297
2023-01-09,293
2023-01-10,293
2023-01-11,291
2023-01-12,300
2023-01-13,292
2023-01-14,319
2023-01-15,344
2023-01-16,326
2023-01-17,328
2023-01-18,307
2023-01-19,299
2023-01-20,316
2023-01-21,311
2023-01-22,331
2023-01-23,274
2023-01-24,279
2023-01-25,256
2023-01-26,298
2023-01-27,280
2023-01-28,293
2023-01-29,314
2023-01-30,317
2023-01-31,329
2023-02-01,328
2023-02-02,283
2023-02-03,243
2023-02-04,250
2023-02-05,303
2023-02-06,287
2023-02-07,283
2023-02-08,261
2023-02-09,286
2023-02-10,273
2023-02-11,299
2023-02-12,335
2023-02-13,325
2023-02-14,310
2023-02-15,290
2023-02-16,299
2023-02-17,290
2023-02-18,298
2023-02-19,329
2023-02-20,326
2023-02-21,248
2023-02-22,237
2023-02-23,280
2023-02-24,293
2023-02-25,284
2023-02-26,359
2023-02-27,296
2023-02-28,288
2023-03-01,255
2023-03-02,282
2023-03-03,237
2023-03-04,279
2023-03-05,328
2023-03-06,305
2023-03-07,237
2023-03-08,270
2023-03-09,263
2023-03-10,267
2023-03-11,302
2023-03-12,315
2023-03-13,304
2023-03-14,279
2023-03-15,253
2023-03-16,279
2023-03-17,289
2023-03-18,332
2023-03-19,347
2023-03-20,316
2023-03-21,281
2023-03-22,282
2023-03-23,269
2023-03-24,270
2023-03-25,286
2023-03-26,320
2023-03-27,295
2023-03-28,289
2023-03-29,249
2023-03-30,283
2023-03-31,294
2023-04-01,318
2023-04-02,322
2023-04-03,309
2023-04-04,277
2023-04-05,290
2023-04-06,314
2023-04-07,292
2023-04-08,312
2023-04-09,369
2023-04-10,299
2023-04-11,311
2023-04-12,300
2023-04-13,321
2023-04-14,310
2023-04-15,351
2023-04-16,370
2023-04-17,342
2023-04-18,328
2023-04-19,324
2023-04-20,310
2023-04-21,271
2023-04-22,324
2023-04-23,313
2023-04-24,281
2023-04-25,291
2023-04-26,301
2023-04-27,286
2023-04-28,267
2023-04-29,325
2023-04-30,354
2023-05-01,327
2023-05-02,319
2023-05-03,311
2023-05-04,366
2023-05-05,1186
2023-05-06,354
