,Sales Rank
2022-12-14,679
2022-12-15,1280
2022-12-16,1479
2022-12-17,1587
2022-12-18,1946
2022-12-19,1824
2022-12-20,382
2022-12-21,291
2022-12-22,415
2022-12-23,402
2022-12-24,423
2022-12-25,458
2022-12-26,380
2022-12-27,312
2022-12-28,332
2022-12-29,297
2022-12-30,263
2022-12-31,297
2023-01-01,322
2023-01-02,293
2023-01-03,232
2023-01-04,207
2023-01-05,194
2023-01-06,198
2023-01-07,205
2023-01-08,221
2023-01-09,226
2023-01-10,241
2023-01-11,247
2023-01-12,237
2023-01-13,267
2023-01-14,204
2023-01-15,206
2023-01-16,213
2023-01-17,211
2023-01-18,217
2023-01-19,207
2023-01-20,247
2023-01-21,285
2023-01-22,278
2023-01-23,298
2023-01-24,348
2023-01-25,547
2023-01-26,279
2023-01-27,265
2023-01-28,265
2023-01-29,262
2023-01-30,269
2023-01-31,278
2023-02-01,423
2023-02-02,226
2023-02-03,275
2023-02-04,206
2023-02-05,212
2023-02-06,215
2023-02-07,248
2023-02-08,339
2023-02-09,229
2023-02-10,214
2023-02-11,213
2023-02-12,212
2023-02-13,203
2023-02-14,194
2023-02-15,267
2023-02-16,166
2023-02-17,252
2023-02-18,222
2023-02-19,238
2023-02-20,243
2023-02-21,256
2023-02-22,244
2023-02-23,221
2023-02-24,218
2023-02-25,220
2023-02-26,243
2023-02-27,236
2023-02-28,268
2023-03-01,268
2023-03-02,185
2023-03-03,237
2023-03-04,240
2023-03-05,244
2023-03-06,271
2023-03-07,304
2023-03-08,358
2023-03-09,339
2023-03-10,338
2023-03-11,329
2023-03-12,333
2023-03-13,289
2023-03-14,335
2023-03-15,240
2023-03-16,240
2023-03-17,275
2023-03-18,284
2023-03-19,316
2023-03-20,281
2023-03-21,279
2023-03-22,222
2023-03-23,272
2023-03-24,310
2023-03-25,344
2023-03-26,331
2023-03-27,349
2023-03-28,500
2023-03-29,437
2023-03-30,248
2023-03-31,254
2023-04-01,310
2023-04-02,268
2023-04-03,292
2023-04-04,353
2023-04-05,305
2023-04-06,233
2023-04-07,253
2023-04-08,220
2023-04-09,215
2023-04-10,226
2023-04-11,268
2023-04-12,377
2023-04-13,244
2023-04-14,249
2023-04-15,245
2023-04-16,270
2023-04-17,234
2023-04-18,316
2023-04-19,323
2023-04-20,245
2023-04-21,243
2023-04-22,267
2023-04-23,298
2023-04-24,262
2023-04-25,345
2023-04-26,401
2023-04-27,272
2023-04-28,297
2023-04-29,320
2023-04-30,301
2023-05-01,311
2023-05-02,354
2023-05-03,451
2023-05-04,264
2023-05-05,283
2023-05-06,285
2023-05-07,312
2023-05-08,265
2023-05-09,235
2023-05-10,244
2023-05-11,204
2023-05-12,238
2023-05-13,306
2023-05-14,326
2023-05-15,268
2023-05-16,346
2023-05-17,383
2023-05-18,225
2023-05-19,270
2023-05-20,282
2023-05-21,286
2023-05-22,253
2023-05-23,320
2023-05-24,530
2023-05-25,234
2023-05-26,249
2023-05-27,273
2023-05-28,269
2023-05-30,290
2023-05-31,748
2023-06-01,1013
2023-06-02,813
2023-06-03,114
2023-06-04,226
2023-06-05,236
2023-06-06,253
2023-06-07,383
2023-06-08,264
2023-06-09,282
2023-06-10,211
2023-06-11,210
2023-06-12,185
2023-06-13,196
2023-06-14,435
2023-06-15,200
2023-06-16,204
2023-06-17,213
2023-06-18,214
2023-06-19,191
2023-06-20,68
2023-06-21,116
2023-06-22,145
2023-06-23,167
2023-06-24,231
2023-06-25,261
2023-06-26,273
2023-06-27,25
2023-06-28,94
2023-06-29,67
2023-06-30,105
2023-07-01,118
2023-07-02,115
2023-07-03,103
2023-07-04,87
2023-07-05,103
2023-07-06,83
2023-07-07,74
2023-07-08,88
2023-07-09,92
2023-07-10,79
2023-07-11,188
2023-07-12,439
2023-07-13,145
2023-07-14,89
2023-07-15,95
2023-07-16,99
2023-07-17,74
2023-07-18,101
2023-07-19,102
2023-07-20,83
2023-07-21,65
2023-07-22,62
2023-07-23,56
2023-07-24,45
2023-07-25,41
2023-07-26,86
2023-07-27,44
2023-07-28,48
2023-07-29,43
2023-07-30,47
2023-07-31,49
2023-08-01,48
2023-08-02,102
2023-08-04,70
2023-08-05,73
2023-08-06,87
2023-08-07,86
2023-08-08,65
2023-08-09,77
2023-08-10,60
2023-08-11,68
2023-08-12,54
2023-08-13,60
2023-08-14,56
2023-08-15,76
2023-08-16,158
2023-08-17,160
2023-08-18,57
2023-08-19,78
2023-08-20,90
2023-08-21,76
2023-08-22,84
2023-08-23,161
2023-08-24,59
2023-08-25,6
2023-08-26,7
2023-08-27,14
2023-08-28,7
2023-08-29,9
2023-08-30,124
2023-08-31,196
2023-09-01,201
2023-09-02,216
2023-09-03,299
2023-09-04,234
2023-09-05,356
2023-09-06,20304
2023-09-07,29852
2023-09-08,34274
2023-09-09,31199
2023-09-10,39080
2023-09-11,34314
2023-09-12,30096
2023-09-13,29830
2023-09-14,28154
2023-09-15,34381
2023-09-16,24951
2023-09-17,31753
2023-09-18,30803
2023-09-19,21753
2023-09-20,22497
2023-09-21,32407
2023-09-22,173
2023-09-23,172
2023-09-24,180
2023-09-25,186
2023-09-26,183
2023-09-27,205
2023-09-28,189
2023-09-29,165
2023-09-30,162
2023-10-01,166
2023-10-02,156
2023-10-03,18
2023-10-04,22
2023-10-05,8436
2023-10-06,5866
2023-10-07,6313
2023-10-08,7719
2023-10-09,5846
2023-10-10,6880
2023-10-11,5474
2023-10-12,7582
2023-10-13,9517
2023-10-14,10417
2023-10-15,8465
2023-10-16,9052
2023-10-17,10673
2023-10-18,11711
2023-10-19,12085
2023-10-20,39714
2023-10-21,40923
2023-10-22,46478
2023-10-23,28972
2023-10-24,31385
2023-10-25,37140
2023-10-26,27086
2023-10-27,35052
2023-10-28,52642
2023-10-29,33232
2023-10-30,27870
2023-10-31,35990
2023-11-01,41619
2023-11-02,37125
2023-11-03,32023
2023-11-04,31984
2023-11-05,42671
2023-11-06,32521
2023-11-07,42813
2023-11-08,42069
2023-11-09,38873
2023-11-10,41947
2023-11-11,35817
2023-11-12,32783
2023-11-13,25810
2023-11-14,30349
2023-11-15,37083
2023-11-16,31680
2023-11-17,41312
2023-11-18,46417
2023-11-19,28085
2023-11-20,53399
2023-11-21,35431
2023-11-22,27
2023-11-23,26
2023-11-24,22
2023-11-25,19
2023-11-26,21
2023-11-27,19
2023-11-28,31837
2023-11-29,29061
2023-11-30,23792
2023-12-01,19496
2023-12-02,26981
2023-12-03,34391
2023-12-04,33205
2023-12-05,30368
2023-12-06,29573
2023-12-07,19074
2023-12-08,29284
2023-12-09,38686
2023-12-10,37310
2023-12-11,34064
2023-12-12,34573
2023-12-13,36660
2023-12-14,37506
2023-12-15,32742
2023-12-16,371
2023-12-17,428
2023-12-18,400
2023-12-19,504
2023-12-20,596
2023-12-21,336
2023-12-22,332
2023-12-23,363
2023-12-24,401
2023-12-25,413
2023-12-26,368
2023-12-27,596
2023-12-28,261
2023-12-29,266
2023-12-30,277
2023-12-31,280
2024-01-01,260
2024-01-02,457
2024-01-03,433
2024-01-04,247
2024-01-05,285
2024-01-06,51
2024-01-07,43
2024-01-08,34
2024-01-09,47
2024-01-10,120
2024-01-11,36
2024-01-12,39
2024-01-13,51
2024-01-14,52
2024-01-15,46
2024-01-16,45
2024-01-17,52
2024-01-18,29
2024-01-19,42
2024-01-20,45
2024-01-21,45
2024-01-22,37
2024-01-23,44
2024-01-24,63
2024-01-25,31
2024-01-26,38
2024-01-27,41
2024-01-28,38
2024-01-29,33
2024-01-30,38
2024-01-31,43
2024-02-01,33
2024-02-02,39
2024-02-03,40
2024-02-04,38
2024-02-05,31
2024-02-06,36
2024-02-07,41
2024-02-08,32
2024-02-09,35
2024-02-10,43
2024-02-11,41
2024-02-12,34
2024-02-13,32
2024-02-14,38
2024-02-15,35
2024-02-16,37
2024-02-17,38
2024-02-18,39
2024-02-19,31
2024-02-20,36
2024-02-21,38
2024-02-22,24
2024-02-23,31
2024-02-24,38
2024-02-25,35
2024-02-26,29
2024-02-27,27
2024-02-28,39
2024-02-29,16
2024-03-01,28
2024-03-02,38
2024-03-03,41
2024-03-04,33
2024-03-05,37
2024-03-06,32
2024-03-07,21
2024-03-08,32
2024-03-09,34
2024-03-10,43
2024-03-11,36
2024-03-12,32
2024-03-13,33
2024-03-14,33
2024-03-15,36
2024-03-16,38
2024-03-17,43
2024-03-18,32
2024-03-19,28
2024-03-20,32
2024-03-21,33
2024-03-22,35
2024-03-23,37
2024-03-24,38
2024-03-25,24
2024-03-26,26
2024-03-27,41
2024-03-28,38
2024-03-29,36
2024-03-30,35
2024-03-31,39
2024-04-01,25
2024-04-02,28
2024-04-03,35
2024-04-04,34
2024-04-05,35
2024-04-06,36
2024-04-07,37
2024-04-08,25
2024-04-09,25
2024-04-10,29
2024-04-11,27
2024-04-12,29
2024-04-13,33
2024-04-14,35
2024-04-15,29
2024-04-16,31
2024-04-17,33
2024-04-18,32
2024-04-19,34
2024-04-20,34
2024-04-21,35
2024-04-22,28
2024-04-23,24
