,Sales Rank
2022-12-14,794
2022-12-15,780
2022-12-16,854
2022-12-17,792
2022-12-18,722
2022-12-19,758
2022-12-20,716
2022-12-21,583
2022-12-22,617
2022-12-23,621
2022-12-24,628
2022-12-25,609
2022-12-26,745
2022-12-27,679
2022-12-28,679
2022-12-29,642
2022-12-30,698
2022-12-31,657
2023-01-01,643
2023-01-02,706
2023-01-03,682
2023-01-04,691
2023-01-05,646
2023-01-06,630
2023-01-07,620
2023-01-08,612
2023-01-09,638
2023-01-10,646
2023-01-11,641
2023-01-12,646
2023-01-13,657
2023-01-14,665
2023-01-15,639
2023-01-16,547
2023-01-17,603
2023-01-18,591
2023-01-19,559
2023-01-20,600
2023-01-21,749
2023-01-22,656
2023-01-23,686
2023-01-24,682
2023-01-25,617
2023-01-26,599
2023-01-27,680
2023-01-28,658
2023-01-29,625
2023-01-30,674
2023-01-31,587
2023-02-01,660
2023-02-02,633
2023-02-03,713
2023-02-04,747
2023-02-05,676
2023-02-06,717
2023-02-07,778
2023-02-08,1128
2023-02-09,856
2023-02-10,667
2023-02-11,676
2023-02-12,573
2023-02-13,536
2023-02-14,548
2023-02-15,624
2023-02-16,583
2023-02-17,613
2023-02-18,686
2023-02-19,660
2023-02-20,617
2023-02-21,522
2023-02-22,523
2023-02-23,604
2023-02-24,546
2023-02-25,551
2023-02-26,579
2023-02-27,651
2023-02-28,566
2023-03-01,547
2023-03-02,527
2023-03-03,500
2023-03-04,574
2023-03-05,606
2023-03-06,614
2023-03-07,583
2023-03-08,612
2023-03-09,665
2023-03-10,690
2023-03-11,816
2023-03-12,855
2023-03-13,814
2023-03-14,864
2023-03-15,889
2023-03-16,848
2023-03-17,842
2023-03-18,877
2023-03-19,870
2023-03-20,805
2023-03-21,753
2023-03-22,788
2023-03-23,797
2023-03-24,830
2023-03-25,691
2023-03-26,701
2023-03-27,641
2023-03-28,623
2023-03-29,602
2023-03-30,880
2023-03-31,803
2023-04-01,988
2023-04-02,1010
2023-04-03,886
2023-04-04,871
2023-04-05,832
2023-04-06,963
2023-04-07,992
2023-04-08,1058
2023-04-09,1175
2023-04-10,906
2023-04-11,1048
2023-04-12,1063
2023-04-13,1140
2023-04-14,866
2023-04-15,874
2023-04-16,849
