,Sales Rank
2022-12-14,1499
2022-12-15,1733
2022-12-16,1974
2022-12-17,1762
2022-12-18,1935
2022-12-19,2077
2022-12-20,2004
2022-12-21,1942
2022-12-22,1852
2022-12-23,1701
2022-12-24,1613
2022-12-25,1566
2022-12-26,1563
2022-12-27,1389
2022-12-28,1423
2022-12-29,1466
2022-12-30,1516
2022-12-31,1711
2023-01-01,1600
2023-01-02,1605
2023-01-03,1387
2023-01-04,1475
2023-01-05,1442
2023-01-06,1420
2023-01-07,1336
2023-01-08,1393
2023-01-09,1437
2023-01-10,1477
2023-01-11,1457
2023-01-12,1334
2023-01-13,235
2023-01-14,346
2023-01-15,377
2023-01-16,364
2023-01-17,360
2023-01-18,343
2023-01-19,324
2023-01-20,382
2023-01-21,335
2023-01-22,357
2023-01-23,349
2023-01-24,333
2023-01-25,366
2023-01-26,369
2023-01-27,390
2023-01-28,386
2023-01-29,415
2023-01-30,401
2023-01-31,405
2023-02-01,365
2023-02-02,360
2023-02-03,386
2023-02-04,362
2023-02-05,423
2023-02-06,447
2023-02-07,18
2023-02-08,52
2023-02-09,103
2023-02-10,120
2023-02-11,113
2023-02-12,147
2023-02-13,162
2023-02-14,140
2023-02-15,110
2023-02-16,110
2023-02-17,104
2023-02-18,101
2023-02-19,126
2023-02-20,121
2023-02-21,100
2023-02-22,104
2023-02-23,119
2023-02-24,125
2023-02-25,132
2023-02-26,142
2023-02-27,159
2023-02-28,153
2023-03-01,151
2023-03-02,111
2023-03-03,101
2023-03-04,87
2023-03-05,113
2023-03-06,100
2023-03-07,81
2023-03-08,82
2023-03-09,84
2023-03-10,81
2023-03-11,90
2023-03-12,92
2023-03-13,80
2023-03-14,82
2023-03-15,77
2023-03-16,89
2023-03-17,87
2023-03-18,80
2023-03-19,87
2023-03-20,91
2023-03-21,85
2023-03-22,88
2023-03-23,89
2023-03-24,96
2023-03-25,100
2023-03-26,114
2023-03-27,93
2023-03-28,90
2023-03-29,87
2023-03-30,89
2023-03-31,88
2023-04-01,92
2023-04-02,98
2023-04-03,98
2023-04-04,87
2023-04-05,89
2023-04-06,94
2023-04-07,97
2023-04-08,109
2023-04-09,118
2023-04-10,101
2023-04-11,93
2023-04-12,82
2023-04-13,104
2023-04-14,95
2023-04-15,95
2023-04-16,109
2023-04-17,93
2023-04-18,95
2023-04-19,96
2023-04-20,93
2023-04-21,91
2023-04-22,101
2023-04-23,88
2023-04-24,90
2023-04-25,94
2023-04-26,87
2023-04-27,92
2023-04-28,88
2023-04-29,106
2023-04-30,110
2023-05-01,95
2023-05-02,111
2023-05-03,115
2023-05-04,111
2023-05-05,109
2023-05-06,100
2023-05-07,104
2023-05-08,92
2023-05-09,104
2023-05-10,98
2023-05-11,94
2023-05-12,105
2023-05-13,107
2023-05-14,100
2023-05-15,121
2023-05-16,103
2023-05-17,92
2023-05-18,95
2023-05-19,92
2023-05-20,94
2023-05-21,93
2023-05-22,102
2023-05-23,104
2023-05-24,81
2023-05-25,88
2023-05-26,92
2023-05-27,87
2023-05-28,85
2023-05-30,85
2023-05-31,91
2023-06-01,70
2023-06-02,79
2023-06-03,87
2023-06-04,76
2023-06-05,77
2023-06-06,86
2023-06-07,83
2023-06-08,85
2023-06-09,83
2023-06-10,77
2023-06-11,76
2023-06-12,89
2023-06-13,89
2023-06-14,67
2023-06-15,83
2023-06-16,83
2023-06-17,69
2023-06-18,71
2023-06-19,96
2023-06-20,102
2023-06-21,83
2023-06-22,78
2023-06-23,83
2023-06-24,83
2023-06-25,70
2023-06-26,75
2023-06-27,106
2023-06-28,79
2023-06-29,97
2023-06-30,82
2023-07-01,79
2023-07-02,80
2023-07-03,77
2023-07-04,94
2023-07-05,86
2023-07-06,81
2023-07-07,96
2023-07-08,97
2023-07-09,98
2023-07-10,115
2023-07-11,17
2023-07-12,11
2023-07-13,15
2023-07-14,23
2023-07-15,45
2023-07-16,66
2023-07-17,109
2023-07-18,120
2023-07-19,106
2023-07-20,114
2023-07-21,116
2023-07-22,106
2023-07-23,114
2023-07-24,147
2023-07-25,143
2023-07-26,143
2023-07-27,127
2023-07-28,129
2023-07-29,123
2023-07-30,127
2023-07-31,145
2023-08-01,162
2023-08-02,145
2023-08-03,134
2023-08-04,152
2023-08-05,133
2023-08-06,125
2023-08-07,155
2023-08-08,175
2023-08-09,138
2023-08-10,140
2023-08-11,150
2023-08-12,134
2023-08-13,135
2023-08-14,142
2023-08-15,141
2023-08-16,104
2023-08-17,108
2023-08-18,108
2023-08-19,99
2023-08-20,97
2023-08-21,148
2023-08-22,139
2023-08-23,113
2023-08-24,120
2023-08-25,102
2023-08-26,103
2023-08-27,91
2023-08-28,111
2023-08-29,621
2023-08-30,691
2023-08-31,659
2023-09-01,706
2023-09-02,705
2023-09-03,753
2023-09-04,764
2023-09-05,803
2023-09-06,783
2023-09-07,744
2023-09-08,98
2023-09-09,85
2023-09-10,94
2023-09-11,116
2023-09-12,101
2023-09-13,500
2023-09-14,559
2023-09-15,512
2023-09-16,239
2023-09-17,222
2023-09-18,275
2023-09-19,253
2023-09-20,476
2023-09-21,455
2023-09-22,468
2023-09-23,471
2023-09-24,507
2023-09-25,474
2023-09-26,541
2023-09-27,451
2023-09-28,473
2023-09-29,453
2023-09-30,69
2023-10-01,73
2023-10-02,94
2023-10-03,73
2023-10-04,63
2023-10-05,60
2023-10-06,61
2023-10-07,59
2023-10-08,59
2023-10-09,71
2023-10-10,49
2023-10-11,48
2023-10-12,55
2023-10-13,48
2023-10-14,47
2023-10-15,48
2023-10-16,57
2023-10-17,64
2023-10-18,43
2023-10-19,47
2023-10-20,41
2023-10-21,41
2023-10-22,43
2023-10-23,54
2023-10-24,53
2023-10-25,46
2023-10-26,50
2023-10-27,46
2023-10-28,43
2023-10-29,42
2023-10-30,56
2023-10-31,60
2023-11-01,32
2023-11-02,33
2023-11-03,33
2023-11-04,32
2023-11-05,875
2023-11-06,1028
2023-11-07,1075
2023-11-08,935
2023-11-09,927
2023-11-10,939
2023-11-11,817
2023-11-12,802
2023-11-13,861
2023-11-14,854
2023-11-15,879
2023-11-16,838
2023-11-17,973
2023-11-18,72
2023-11-19,92
2023-11-20,108
2023-11-21,130
2023-11-22,101
2023-11-23,74
2023-11-24,50
2023-11-25,47
2023-11-26,51
2023-11-27,46
2023-11-28,60
2023-11-29,80
2023-11-30,89
2023-12-01,87
2023-12-02,84
2023-12-03,86
2023-12-04,103
2023-12-05,107
2023-12-06,99
2023-12-07,104
2023-12-08,120
2023-12-09,111
2023-12-10,111
2023-12-11,147
2023-12-12,155
2023-12-13,112
2023-12-14,122
2023-12-15,123
2023-12-16,127
2023-12-17,135
2023-12-18,151
2023-12-19,2145
2023-12-20,1868
2023-12-21,2048
2023-12-22,1807
2023-12-23,1631
2023-12-24,1609
2023-12-25,1705
2023-12-26,1970
2023-12-27,1299
2023-12-28,1352
2023-12-29,1489
2023-12-30,1723
2023-12-31,1536
2024-01-01,1795
2024-01-02,1800
2024-01-03,1620
2024-01-04,1474
2024-01-05,1674
2024-01-06,1604
2024-01-07,1707
2024-01-08,1932
2024-01-09,1957
2024-01-10,1453
2024-01-11,1450
2024-01-12,1471
2024-01-13,1577
2024-01-14,1569
2024-01-15,1906
2024-01-16,1701
2024-01-17,1609
2024-01-18,1403
2024-01-19,1465
2024-01-20,1364
2024-01-21,1446
2024-01-22,1481
2024-01-23,1689
2024-01-24,1487
2024-01-25,1550
2024-01-26,1517
2024-01-27,1493
2024-01-28,1811
2024-01-29,1646
2024-01-30,1936
2024-01-31,1567
2024-02-01,1563
2024-02-02,1913
2024-02-03,2039
2024-02-04,2113
2024-02-05,1776
2024-02-06,1854
2024-02-07,1579
2024-02-08,1470
2024-02-09,101
2024-02-10,1204
2024-02-11,1287
2024-02-12,1389
2024-02-13,109
2024-02-14,106
2024-02-15,109
2024-02-16,124
2024-02-17,116
2024-02-18,110
2024-02-19,135
2024-02-20,134
2024-02-21,100
2024-02-22,120
2024-02-23,99
2024-02-24,63
2024-02-25,69
2024-02-26,99
2024-02-27,102
2024-02-28,76
2024-02-29,79
2024-03-01,77
2024-03-02,73
2024-03-03,77
2024-03-04,89
2024-03-05,56
2024-03-06,34
2024-03-07,357
2024-03-08,439
2024-03-09,610
2024-03-10,689
2024-03-11,698
2024-03-12,608
2024-03-13,907
2024-03-14,1037
2024-03-15,1206
2024-03-16,1313
2024-03-17,1502
2024-03-18,1732
2024-03-19,1519
2024-03-20,1393
2024-03-21,1626
2024-03-22,1587
2024-03-23,480
2024-03-24,410
2024-03-25,102
2024-03-26,100
2024-03-27,73
2024-03-28,77
2024-03-29,79
2024-03-30,72
2024-03-31,73
2024-04-01,93
2024-04-02,83
2024-04-03,74
2024-04-04,76
2024-04-05,77
2024-04-06,71
2024-04-07,74
2024-04-08,100
2024-04-09,92
2024-04-10,79
2024-04-11,81
2024-04-12,79
2024-04-13,82
2024-04-14,83
2024-04-15,94
2024-04-16,1895
2024-04-17,1587
2024-04-18,1717
2024-04-19,1500
2024-04-20,1442
2024-04-21,1566
2024-04-22,1773
2024-04-23,1768
2024-04-24,1574
2024-04-25,66
2024-04-26,68
2024-04-27,70
2024-04-28,70
2024-04-29,77
2024-04-30,1299
2024-05-01,1283
2024-05-02,1340
2024-05-03,1310
2024-05-04,1292
2024-05-05,1271
2024-05-06,1492
2024-05-07,1560
2024-05-08,1508
2024-05-09,1639
2024-05-10,1431
2024-05-11,1391
2024-05-12,1467
2024-05-13,1661
2024-05-14,510
2024-05-15,407
2024-05-16,299
2024-05-17,59
2024-05-18,63
2024-05-19,66
2024-05-20,89
2024-05-21,94
2024-05-22,72
2024-05-23,63
2024-05-24,65
2024-05-25,65
2024-05-26,74
2024-05-27,80
2024-05-28,82
2024-05-29,60
2024-05-30,56
2024-05-31,62
2024-06-01,59
2024-06-02,58
2024-06-03,71
2024-06-04,73
2024-06-05,64
2024-06-06,70
2024-06-07,68
2024-06-08,68
2024-06-09,61
2024-06-10,75
2024-06-11,76
2024-06-12,72
2024-06-13,68
2024-06-14,67
2024-06-15,68
2024-06-16,70
2024-06-17,76
2024-06-18,76
2024-06-19,63
2024-06-20,61
2024-06-21,64
2024-06-22,57
2024-06-23,64
2024-06-24,76
2024-06-25,72
2024-06-26,61
2024-06-27,65
2024-06-28,77
2024-06-29,75
2024-06-30,81
2024-07-01,99
2024-07-02,98
2024-07-03,81
2024-07-04,79
2024-07-05,83
2024-07-06,78
2024-07-07,79
2024-07-08,1500
2024-07-09,94
2024-07-10,66
2024-07-11,72
2024-07-12,79
2024-07-13,74
2024-07-14,74
2024-07-15,97
2024-07-16,27
2024-07-17,26
2024-07-18,33
2024-07-19,43
2024-07-20,46
2024-07-21,58
2024-07-22,82
2024-07-23,105
2024-07-24,65
2024-07-25,68
2024-07-26,72
2024-07-27,64
2024-07-28,71
2024-07-29,87
2024-07-30,87
2024-07-31,74
2024-08-01,75
2024-08-02,73
2024-08-03,71
2024-08-04,68
2024-08-05,92
2024-08-06,90
2024-08-07,77
2024-08-09,73
2024-08-10,76
2024-08-11,71
2024-08-12,94
2024-08-13,87
2024-08-14,72
2024-08-15,73
2024-08-16,74
2024-08-17,72
2024-08-18,76
2024-08-19,91
2024-08-20,100
2024-08-21,76
2024-08-22,78
2024-08-23,81
2024-08-24,69
2024-08-25,71
2024-08-26,83
2024-08-27,56
2024-08-28,56
2024-08-29,50
2024-08-30,52
2024-08-31,47
2024-09-01,57
2024-09-02,60
2024-09-03,67
2024-09-04,55
2024-09-05,60
2024-09-06,59
2024-09-07,60
2024-09-08,50
2024-09-09,68
2024-09-10,60
2024-09-11,51
2024-09-12,54
2024-09-13,59
2024-09-14,57
2024-09-15,58
2024-09-16,65
2024-09-17,77
2024-09-18,68
2024-09-19,66
2024-09-20,66
2024-09-21,65
2024-09-22,68
2024-09-23,86
2024-09-24,128
2024-09-25,181
2024-09-26,223
2024-09-27,254
2024-09-28,257
2024-09-29,283
2024-09-30,23
2024-10-01,29
2024-10-02,70
2024-10-03,89
2024-10-04,86
2024-10-05,82
2024-10-06,70
2024-10-07,89
2024-10-08,23
2024-10-09,23
2024-10-10,31
2024-10-11,45
2024-10-12,58
2024-10-13,63
2024-10-14,72
2024-10-15,91
2024-10-16,68
2024-10-17,75
2024-10-18,68
2024-10-19,69
2024-10-20,72
2024-10-21,94
2024-10-22,92
2024-10-23,74
2024-10-24,72
2024-10-25,74
2024-10-26,68
2024-10-27,63
2024-10-28,79
2024-10-29,77
2024-10-30,62
2024-10-31,60
2024-11-01,63
2024-11-02,63
2024-11-03,62
2024-11-04,77
2024-11-05,77
2024-11-06,61
2024-11-07,61
2024-11-08,63
2024-11-09,60
2024-11-10,60
2024-11-11,70
2024-11-12,69
2024-11-13,56
2024-11-14,58
2024-11-15,60
2024-11-16,61
2024-11-17,58
2024-11-18,70
2024-11-19,69
2024-11-20,62
2024-11-21,74
2024-11-22,72
2024-11-23,70
2024-11-24,65
2024-11-25,70
2024-11-26,75
2024-11-27,67
2024-11-28,48
2024-11-29,62
2024-11-30,44
2024-12-01,32
2024-12-02,35
2024-12-03,40
2024-12-04,60
2024-12-05,58
2024-12-06,66
2024-12-07,70
2024-12-08,82
2024-12-09,79
2024-12-10,67
2024-12-11,79
2024-12-12,83
2024-12-13,79
2024-12-14,84
2024-12-15,88
2024-12-16,103
2024-12-17,102
2024-12-18,89
2024-12-19,94
2024-12-20,90
2024-12-21,88
2024-12-22,88
2024-12-23,91
2024-12-24,88
2024-12-25,67
2024-12-26,69
2024-12-27,66
2024-12-28,68
2024-12-29,67
2024-12-30,80
2024-12-31,69
2025-01-01,60
2025-01-02,61
2025-01-03,61
2025-01-04,62
2025-01-05,61
2025-01-06,71
2025-01-07,73
2025-01-08,65
2025-01-09,75
2025-01-10,68
2025-01-11,67
2025-01-12,69
2025-01-13,67
