,Sales Rank
2022-12-14,88
2022-12-15,87
2022-12-16,104
2022-12-17,93
2022-12-18,102
2022-12-19,87
2022-12-20,99
2022-12-21,95
2022-12-22,95
2022-12-23,87
2022-12-24,82
2022-12-25,52
2022-12-26,61
2022-12-27,58
2022-12-28,50
2022-12-29,50
2022-12-30,53
2022-12-31,56
2023-01-01,35
2023-01-02,50
2023-01-03,44
2023-01-04,43
2023-01-05,45
2023-01-06,43
2023-01-07,46
2023-01-08,50
2023-01-09,52
2023-01-10,54
2023-01-12,50
2023-01-13,47
2023-01-14,52
2023-01-15,43
2023-01-16,58
2023-01-17,44
2023-01-18,50
2023-01-19,52
2023-01-20,55
2023-01-21,54
2023-01-22,46
2023-01-23,54
2023-01-24,44
2023-01-25,52
2023-01-26,47
2023-01-27,51
2023-01-28,55
2023-01-29,52
2023-01-30,53
2023-01-31,51
2023-02-01,57
2023-02-02,53
2023-02-03,56
2023-02-04,54
2023-02-05,41
2023-02-06,50
2023-02-07,56
2023-02-08,48
2023-02-09,52
2023-02-10,57
2023-02-11,53
2023-02-12,47
2023-02-13,28
2023-02-14,36
2023-02-15,37
2023-02-16,45
2023-02-17,53
2023-02-18,45
2023-02-19,31
2023-02-20,41
2023-02-21,62
2023-02-22,54
2023-02-23,49
2023-02-24,52
2023-02-25,43
2023-02-26,36
2023-02-27,49
2023-02-28,40
2023-03-01,51
2023-03-02,49
2023-03-03,54
2023-03-04,52
2023-03-05,35
2023-03-06,53
2023-03-07,47
2023-03-08,46
2023-03-09,44
2023-03-10,55
2023-03-11,57
2023-03-12,34
2023-03-13,40
2023-03-14,39
2023-03-15,32
2023-03-16,41
2023-03-17,40
2023-03-18,42
2023-03-19,31
2023-03-20,37
2023-03-21,35
2023-03-22,37
2023-03-23,46
2023-03-24,53
2023-03-25,62
2023-03-26,38
2023-03-27,52
2023-03-28,36
2023-03-29,43
2023-03-30,43
2023-03-31,46
2023-04-01,52
2023-04-02,35
2023-04-03,46
2023-04-04,59
2023-04-05,55
2023-04-06,52
2023-04-07,52
2023-04-08,51
2023-04-09,40
2023-04-10,51
2023-04-11,49
2023-04-12,49
2023-04-13,41
2023-04-14,55
2023-04-15,41
2023-04-16,27
2023-04-17,52
2023-04-18,48
2023-04-19,45
2023-04-20,43
2023-04-21,60
2023-04-22,56
2023-04-23,49
2023-04-24,59
2023-04-25,50
2023-04-26,47
2023-04-27,44
2023-04-28,60
2023-04-29,58
2023-04-30,37
2023-05-01,63
2023-05-02,33
2023-05-03,30
2023-05-04,53
2023-05-05,65
2023-05-06,57
2023-05-07,45
2023-05-08,53
2023-05-09,48
2023-05-10,47
2023-05-11,46
2023-05-12,64
2023-05-13,56
2023-05-14,32
2023-05-15,40
2023-05-16,44
2023-05-17,40
2023-05-18,41
2023-05-19,50
2023-05-20,57
2023-05-21,34
2023-05-22,40
2023-05-23,45
2023-05-24,47
2023-05-25,46
2023-05-26,57
2023-05-27,59
2023-05-28,56
2023-05-30,43
2023-05-31,43
2023-06-01,44
2023-06-02,49
2023-06-03,63
2023-06-04,45
2023-06-05,45
2023-06-06,42
2023-06-07,44
2023-06-08,47
2023-06-09,55
2023-06-10,56
2023-06-11,41
2023-06-12,43
2023-06-13,39
2023-06-14,40
2023-06-15,36
2023-06-16,37
2023-06-17,47
