,Sales Rank
2022-12-14,49
2022-12-15,51
2022-12-16,50
2022-12-17,55
2022-12-18,64
2022-12-19,65
2022-12-20,59
2022-12-21,55
2022-12-22,1760
2022-12-23,1824
2022-12-24,1722
2022-12-25,1750
2022-12-26,1593
2022-12-27,1607
2022-12-28,1638
2022-12-29,1561
2022-12-30,1916
2022-12-31,1630
2023-01-01,1663
2023-01-02,1637
2023-01-03,1451
2023-01-04,1315
2023-01-05,60
2023-01-06,1477
2023-01-07,1568
2023-01-08,1619
2023-01-09,1803
2023-01-10,1929
2023-01-11,2020
2023-01-12,2313
2023-01-13,2674
2023-01-14,7253
2023-01-15,12334
2023-01-16,9820
2023-01-17,3199
2023-01-18,2887
2023-01-19,4765
2023-01-20,3720
2023-01-21,6210
2023-01-22,6343
2023-01-23,3657
2023-01-24,4094
2023-01-25,4328
2023-01-26,4861
2023-01-27,6100
2023-01-28,9813
2023-01-29,6956
2023-01-30,2261
2023-01-31,3491
2023-02-01,136
2023-02-02,166
2023-02-03,184
2023-02-04,176
2023-02-05,182
2023-02-06,132
2023-02-07,156
2023-02-08,153
2023-02-09,2764
2023-02-10,2564
2023-02-11,2714
2023-02-12,2466
2023-02-13,2590
2023-02-14,3113
2023-02-15,2590
2023-02-16,2760
2023-02-17,3087
2023-02-18,3126
2023-02-19,3288
2023-02-20,2341
2023-02-21,2467
2023-02-22,2260
2023-02-23,2720
2023-02-24,3041
2023-02-25,3312
2023-02-26,2931
2023-02-27,2892
2023-02-28,2884
2023-03-01,3008
2023-03-02,2888
2023-03-03,2797
2023-03-04,3355
2023-03-05,2853
2023-03-06,3521
2023-03-07,2652
2023-03-08,3031
2023-03-09,3073
2023-03-10,3209
2023-03-11,3116
2023-03-12,3548
2023-03-13,3678
2023-03-14,2808
2023-03-15,3375
2023-03-16,3150
2023-03-17,2861
2023-03-18,3535
2023-03-19,3794
2023-03-20,3048
2023-03-21,2966
2023-03-22,3125
2023-03-23,2681
2023-03-24,3094
2023-03-25,3091
2023-03-26,4384
2023-03-27,3067
2023-03-28,3088
2023-03-29,2960
2023-03-30,3683
2023-03-31,3440
2023-04-01,3546
2023-04-02,3736
2023-04-03,3079
2023-04-04,2786
2023-04-05,3104
2023-04-06,3018
2023-04-07,3017
2023-04-08,2825
2023-04-09,2822
2023-04-10,2932
2023-04-11,2809
2023-04-12,2559
2023-04-13,2401
2023-04-14,2529
2023-04-15,2599
2023-04-16,2949
2023-04-17,2469
2023-04-18,2449
2023-04-19,3051
2023-04-20,2543
2023-04-21,2643
2023-04-22,2821
2023-04-23,2787
2023-04-24,2545
2023-04-25,2866
2023-04-26,2631
2023-04-27,2617
2023-04-28,3306
2023-04-29,3321
2023-04-30,3145
