,Sales Rank
2023-01-19,14
2023-01-20,10
2023-01-21,11
2023-01-22,14
2023-01-23,8
2023-01-24,8
2023-01-25,9
2023-01-26,9
2023-01-27,8
2023-01-28,8
2023-01-29,9
2023-01-30,10
2023-01-31,12
2023-02-01,11
2023-02-02,10
2023-02-03,10
2023-02-04,10
2023-02-05,12
2023-02-06,11
2023-02-07,9
2023-02-08,8
2023-02-09,9
2023-02-10,9
2023-02-11,10
2023-02-12,17
2023-02-13,16
2023-02-14,13
2023-02-15,10
2023-02-16,10
2023-02-17,6
2023-02-18,13
2023-02-19,18
2023-02-20,11
2023-02-21,8
2023-02-23,9
2023-02-24,8
2023-02-25,12
2023-02-26,12
2023-02-27,12
2023-02-28,10
2023-03-01,13
2023-03-02,12
2023-03-03,11
2023-03-04,12
2023-03-05,13
2023-03-06,18
2023-03-07,12
2023-03-08,10
2023-03-09,11
2023-03-10,12
2023-03-11,21
2023-03-12,24
2023-03-13,17
2023-03-14,18
2023-03-15,16
2023-03-16,11
2023-03-17,12
2023-03-18,15
2023-03-19,15
2023-03-20,13
2023-03-21,14
2023-03-22,11
2023-03-23,14
2023-03-24,14
2023-03-25,14
2023-03-26,14
2023-03-27,15
2023-03-28,13
2023-03-29,12
2023-03-30,12
2023-03-31,11
2023-04-01,12
2023-04-02,13
2023-04-03,12
2023-04-04,12
2023-04-05,12
2023-04-06,13
2023-04-07,61
2023-04-08,68
2023-04-09,67
2023-04-10,61
2023-04-11,56
2023-04-12,54
2023-04-13,59
2023-04-14,57
2023-04-15,61
2023-04-16,63
2023-04-17,60
2023-04-18,58
2023-04-19,58
2023-04-20,63
2023-04-21,58
2023-04-22,12
2023-04-23,13
2023-04-24,11
2023-04-25,12
2023-04-26,12
2023-04-27,10
2023-04-28,11
2023-04-29,11
2023-04-30,12
2023-05-01,11
2023-05-02,12
2023-05-03,69
2023-05-04,69
2023-05-05,49
2023-05-06,61
2023-05-07,69
2023-05-08,12
2023-05-09,12
2023-05-10,13
2023-05-11,13
2023-05-12,16
2023-05-13,16
2023-05-14,13
2023-05-15,16
2023-05-16,14
2023-05-17,11
2023-05-18,11
2023-05-19,41
2023-05-20,39
2023-05-21,51
2023-05-22,70
2023-05-23,67
2023-05-24,44
2023-05-25,58
2023-05-26,59
2023-05-27,11
2023-05-28,9
2023-05-30,13
2023-05-31,11
2023-06-01,12
2023-06-02,11
2023-06-03,14
2023-06-04,9
2023-06-05,56
2023-06-06,10
2023-06-07,10
2023-06-08,11
2023-06-09,12
2023-06-10,11
2023-06-11,11
2023-06-12,15
2023-06-13,13
2023-06-14,10
2023-06-15,11
2023-06-16,10
2023-06-19,14
2023-06-20,15
2023-06-21,11
2023-06-22,10
2023-06-23,9
2023-06-24,12
2023-06-25,9
2023-06-26,10
2023-06-27,14
2023-06-28,12
2023-06-29,15
2023-06-30,13
2023-07-01,12
2023-07-02,12
2023-07-03,18
2023-07-04,22
2023-07-05,13
2023-07-06,13
2023-07-07,14
2023-07-08,15
2023-07-09,17
2023-07-10,19
2023-07-11,47
2023-07-12,45
2023-07-13,35
2023-07-14,21
2023-07-15,20
2023-07-16,17
2023-07-17,17
2023-07-18,16
2023-07-19,12
2023-07-20,10
2023-07-21,10
2023-07-22,11
2023-07-23,10
2023-07-24,13
2023-07-25,12
2023-07-26,10
2023-07-27,10
2023-07-28,11
2023-07-29,9
2023-07-30,8
2023-07-31,11
2023-08-01,14
2023-08-02,16
2023-08-03,11
2023-08-04,10
2023-08-06,10
2023-08-07,13
2023-08-08,16
2023-08-09,11
2023-08-10,10
2023-08-11,11
2023-08-12,11
2023-08-13,13
2023-08-14,13
2023-08-15,14
2023-08-16,11
2023-08-17,11
2023-08-18,10
2023-08-19,11
2023-08-20,12
2023-08-21,12
2023-08-22,12
2023-08-23,12
2023-08-24,12
2023-08-25,11
2023-08-26,10
2023-08-27,11
2023-08-28,17
2023-08-29,18
2023-08-30,13
2023-08-31,15
2023-09-01,18
2023-09-02,17
2023-09-03,17
2023-09-04,21
2023-09-05,19
2023-09-06,16
2023-09-07,15
2023-09-08,16
2023-09-09,15
2023-09-10,15
2023-09-11,20
2023-09-12,21
2023-09-13,14
2023-09-14,14
2023-09-15,15
2023-09-16,13
2023-09-17,16
2023-09-18,22
2023-09-19,21
2023-09-20,15
2023-09-21,17
2023-09-22,14
2023-09-23,13
2023-09-24,17
2023-09-25,15
2023-09-26,17
2023-09-27,16
2023-09-28,17
2023-09-29,53
2023-09-30,51
2023-10-01,59
2023-10-02,72
2023-10-03,15
2023-10-04,12
2023-10-05,11
2023-10-06,24
