,Sales Rank
2022-12-14,577
2022-12-15,596
2022-12-16,718
2022-12-17,708
2022-12-18,661
2022-12-19,633
2022-12-20,658
2022-12-21,655
2022-12-22,625
2022-12-23,645
2022-12-24,639
2022-12-25,575
2022-12-26,612
2022-12-27,546
2022-12-28,511
2022-12-29,448
2022-12-30,538
2022-12-31,469
2023-01-01,463
2023-01-02,469
2023-01-03,482
2023-01-04,491
2023-01-05,501
2023-01-06,494
2023-01-07,490
2023-01-08,483
2023-01-09,484
2023-01-10,490
2023-01-11,484
2023-01-12,458
2023-01-13,465
2023-01-14,524
2023-01-15,452
2023-01-16,470
2023-01-17,446
2023-01-18,448
2023-01-19,510
2023-01-20,557
2023-01-21,530
2023-01-22,462
2023-01-23,532
2023-01-24,516
2023-01-25,468
2023-01-26,470
2023-01-27,524
2023-01-28,532
2023-01-29,456
2023-01-30,551
2023-01-31,481
2023-02-01,563
2023-02-02,554
2023-02-03,622
2023-02-04,590
2023-02-05,452
2023-02-06,467
2023-02-07,474
2023-02-08,522
2023-02-09,493
2023-02-10,565
2023-02-11,560
2023-02-12,435
2023-02-13,425
2023-02-14,405
2023-02-15,392
2023-02-16,474
2023-02-17,483
2023-02-18,457
2023-02-19,465
2023-02-20,438
2023-02-21,479
2023-02-22,460
2023-02-23,535
2023-02-24,561
2023-02-25,548
2023-02-26,560
2023-02-27,491
2023-02-28,495
2023-03-01,445
2023-03-02,511
2023-03-03,547
2023-03-04,586
2023-03-05,451
2023-03-06,425
2023-03-07,511
2023-03-08,468
2023-03-09,517
2023-03-10,486
2023-03-11,520
2023-03-12,356
2023-03-13,395
2023-03-14,405
2023-03-15,402
2023-03-16,429
2023-03-17,413
2023-03-18,435
2023-03-19,328
2023-03-20,351
2023-03-21,348
2023-03-22,418
2023-03-23,430
2023-03-24,419
2023-03-25,428
2023-03-26,387
2023-03-27,384
2023-03-28,359
2023-03-29,403
2023-03-30,382
2023-03-31,440
2023-04-01,370
2023-04-02,330
2023-04-03,330
2023-04-04,352
2023-04-05,352
2023-04-06,392
2023-04-07,378
2023-04-08,419
2023-04-09,364
2023-04-10,332
2023-04-11,315
2023-04-12,324
2023-04-13,373
2023-04-14,400
2023-04-15,328
2023-04-16,310
2023-04-17,330
2023-04-18,344
2023-04-19,353
2023-04-20,392
2023-04-21,414
2023-04-22,388
2023-04-23,389
2023-04-24,450
2023-04-25,417
2023-04-26,359
2023-04-27,434
2023-04-28,472
2023-04-29,415
2023-04-30,408
2023-05-01,412
2023-05-02,494
2023-05-03,548
2023-05-04,483
2023-05-05,468
2023-05-06,456
2023-05-07,379
2023-05-08,441
2023-05-09,435
2023-05-10,440
2023-05-11,427
2023-05-12,426
2023-05-13,434
2023-05-14,411
2023-05-15,406
2023-05-16,427
2023-05-17,415
2023-05-18,396
2023-05-19,430
2023-05-20,412
2023-05-21,387
2023-05-22,369
2023-05-23,401
2023-05-24,373
2023-05-25,415
2023-05-26,495
2023-05-27,515
2023-05-28,467
2023-05-30,404
2023-05-31,421
2023-06-01,400
2023-06-02,380
2023-06-03,470
2023-06-04,444
2023-06-05,410
2023-06-06,439
2023-06-07,405
2023-06-08,415
2023-06-09,461
2023-06-10,456
2023-06-11,386
2023-06-12,384
2023-06-13,396
2023-06-14,421
2023-06-15,407
2023-06-16,418
2023-06-17,450
2023-06-18,425
2023-06-19,383
2023-06-20,389
2023-06-21,401
2023-06-22,443
2023-06-23,453
2023-06-24,526
2023-06-25,474
2023-06-26,472
2023-06-27,507
2023-06-28,463
2023-06-29,474
2023-06-30,461
2023-07-01,448
2023-07-02,404
2023-07-03,473
2023-07-04,431
2023-07-05,451
2023-07-06,480
2023-07-07,501
2023-07-08,478
2023-07-09,408
2023-07-10,404
2023-07-11,655
2023-07-12,778
2023-07-13,689
2023-07-14,569
2023-07-15,510
2023-07-16,388
2023-07-17,429
2023-07-18,418
2023-07-19,427
2023-07-20,429
2023-07-21,444
2023-07-22,390
2023-07-23,372
2023-07-24,378
2023-07-25,368
2023-07-26,349
2023-07-27,388
2023-07-28,432
2023-07-29,359
2023-07-30,350
2023-07-31,349
2023-08-01,371
2023-08-02,365
2023-08-03,389
2023-08-04,430
2023-08-05,421
2023-08-06,390
2023-08-07,397
2023-08-08,416
2023-08-09,436
2023-08-10,474
2023-08-11,488
2023-08-12,429
2023-08-13,425
2023-08-14,439
2023-08-15,403
2023-08-16,439
2023-08-17,365
2023-08-18,450
2023-08-19,422
2023-08-20,386
2023-08-21,375
2023-08-22,376
2023-08-23,399
2023-08-24,381
2023-08-25,513
2023-08-26,439
2023-08-27,420
2023-08-28,465
2023-08-29,460
2023-08-30,458
2023-08-31,450
2023-09-01,551
2023-09-02,500
2023-09-03,449
2023-09-04,498
2023-09-05,448
2023-09-06,482
2023-09-07,527
2023-09-08,520
2023-09-09,516
2023-09-10,425
2023-09-11,440
2023-09-12,481
2023-09-13,458
2023-09-14,462
2023-09-15,436
2023-09-16,417
2023-09-17,393
2023-09-18,409
2023-09-19,429
2023-09-20,422
2023-09-21,514
2023-09-22,496
2023-09-23,482
2023-09-24,452
2023-09-25,462
2023-09-26,453
2023-09-27,470
2023-09-28,469
2023-09-29,539
2023-09-30,561
2023-10-01,500
2023-10-02,418
2023-10-03,458
2023-10-04,445
2023-10-05,474
2023-10-06,497
2023-10-07,476
2023-10-08,487
2023-10-09,420
2023-10-10,475
2023-10-11,715
2023-10-12,650
2023-10-13,549
2023-10-14,562
2023-10-15,522
2023-10-16,455
2023-10-17,502
2023-10-18,455
2023-10-19,470
2023-10-20,448
2023-10-21,469
2023-10-22,442
2023-10-23,430
2023-10-24,429
2023-10-25,441
2023-10-26,448
2023-10-27,504
2023-10-28,459
2023-10-29,362
2023-10-30,347
2023-10-31,365
2023-11-01,395
2023-11-02,417
2023-11-03,500
2023-11-04,404
2023-11-05,305
2023-11-06,323
2023-11-07,331
2023-11-08,372
2023-11-09,368
2023-11-10,396
2023-11-11,375
2023-11-12,330
2023-11-13,322
2023-11-14,360
2023-11-15,386
2023-11-16,351
2023-11-17,449
2023-11-18,451
2023-11-19,386
2023-11-20,365
2023-11-21,389
2023-11-22,403
2023-11-23,508
2023-11-24,705
2023-11-25,626
2023-11-26,575
2023-11-27,644
2023-11-28,757
2023-11-29,593
2023-11-30,486
2023-12-01,554
2023-12-02,509
2023-12-03,384
2023-12-04,435
2023-12-05,438
2023-12-06,432
2023-12-07,546
2023-12-08,616
2023-12-09,579
2023-12-10,505
2023-12-11,537
2023-12-12,493
2023-12-13,508
2023-12-14,514
2023-12-15,542
2023-12-16,595
2023-12-17,464
2023-12-18,555
2023-12-19,525
2023-12-20,499
2023-12-21,545
2023-12-22,615
2023-12-23,530
2023-12-24,413
2023-12-25,449
2023-12-26,413
2023-12-27,391
2023-12-28,463
2023-12-29,443
2023-12-30,442
2023-12-31,394
2024-01-01,392
2024-01-02,336
2024-01-03,408
2024-01-04,396
2024-01-05,429
2024-01-06,413
2024-01-07,362
2024-01-08,349
2024-01-09,373
2024-01-10,386
2024-01-11,421
2024-01-12,503
2024-01-13,507
2024-01-14,416
2024-01-15,444
2024-01-16,409
2024-01-17,419
2024-01-18,386
2024-01-19,407
2024-01-20,430
2024-01-21,311
2024-01-22,350
2024-01-23,369
2024-01-24,344
2024-01-25,342
2024-01-26,346
2024-01-27,357
2024-01-28,316
2024-01-29,330
2024-01-30,352
2024-02-01,305
2024-02-02,387
2024-02-03,406
2024-02-04,310
2024-02-05,368
2024-02-06,354
2024-02-07,377
2024-02-08,405
2024-02-09,447
2024-02-10,463
2024-02-11,381
2024-02-12,427
2024-02-13,408
2024-02-14,372
2024-02-15,375
2024-02-16,454
2024-02-17,474
2024-02-18,363
2024-02-19,372
2024-02-20,343
2024-02-21,339
2024-02-22,413
2024-02-23,418
2024-02-24,410
2024-02-25,362
2024-02-26,337
2024-02-27,316
2024-02-28,349
2024-02-29,346
2024-03-01,437
2024-03-02,406
2024-03-03,346
2024-03-04,356
2024-03-05,371
2024-03-06,414
2024-03-07,433
2024-03-08,495
2024-03-09,525
2024-03-10,396
2024-03-11,398
2024-03-12,420
2024-03-13,481
2024-03-14,410
2024-03-15,440
2024-03-16,508
2024-03-17,376
2024-03-18,350
2024-03-19,419
2024-03-20,419
2024-03-21,409
2024-03-22,424
2024-03-23,445
2024-03-24,386
2024-03-25,424
2024-03-26,401
2024-03-27,434
2024-03-28,435
2024-03-29,470
2024-03-30,435
2024-03-31,331
2024-04-01,410
2024-04-02,392
2024-04-03,422
2024-04-04,409
2024-04-05,496
2024-04-06,467
2024-04-07,394
2024-04-08,438
2024-04-09,440
2024-04-10,451
2024-04-12,480
2024-04-13,469
2024-04-14,394
2024-04-15,370
2024-04-16,413
2024-04-17,429
2024-04-18,450
2024-04-19,494
2024-04-20,508
2024-04-21,409
2024-04-22,457
2024-04-23,460
2024-04-24,444
2024-04-25,467
2024-04-26,499
2024-04-27,527
2024-04-28,445
2024-04-29,427
2024-04-30,464
2024-05-01,498
2024-05-02,466
2024-05-03,494
2024-05-04,518
2024-05-05,452
2024-05-06,422
2024-05-07,497
2024-05-08,634
2024-05-09,603
2024-05-10,587
2024-05-11,589
2024-05-12,487
2024-05-13,458
2024-05-14,511
2024-05-15,531
2024-05-16,534
2024-05-17,554
2024-05-18,541
2024-05-19,453
2024-05-20,469
2024-05-21,501
2024-05-22,526
2024-05-23,561
2024-05-24,553
2024-05-25,563
2024-05-26,488
2024-05-27,501
2024-05-28,525
2024-05-29,594
2024-05-30,580
2024-05-31,552
2024-06-01,601
2024-06-02,494
2024-06-03,596
2024-06-04,546
2024-06-05,510
2024-06-06,564
2024-06-07,624
2024-06-08,637
2024-06-09,463
2024-06-10,483
2024-06-11,496
2024-06-12,548
2024-06-13,544
2024-06-14,550
2024-06-15,515
2024-06-16,390
2024-06-17,446
2024-06-18,455
2024-06-19,567
2024-06-20,462
2024-06-21,636
2024-06-22,605
2024-06-23,512
2024-06-24,629
2024-06-25,586
2024-06-26,594
2024-06-27,551
2024-06-28,656
2024-06-29,636
2024-06-30,528
2024-07-01,673
2024-07-02,594
2024-07-03,594
2024-07-04,582
2024-07-05,675
2024-07-06,646
2024-07-07,581
2024-07-08,618
2024-07-09,640
2024-07-10,639
2024-07-11,639
2024-07-12,612
2024-07-13,677
2024-07-14,676
2024-07-15,505
2024-07-16,872
2024-07-17,886
2024-07-18,970
2024-07-19,753
2024-07-20,682
2024-07-21,593
2024-07-22,625
2024-07-23,637
2024-07-24,634
2024-07-25,629
2024-07-26,673
2024-07-27,689
2024-07-28,588
2024-07-29,557
2024-07-30,568
2024-07-31,615
2024-08-01,650
2024-08-02,686
2024-08-03,718
2024-08-04,586
2024-08-05,629
2024-08-06,637
2024-08-07,641
2024-08-08,634
2024-08-09,624
2024-08-11,534
2024-08-12,553
2024-08-13,530
2024-08-14,592
2024-08-15,568
2024-08-16,616
2024-08-17,620
2024-08-18,562
2024-08-19,633
2024-08-20,608
2024-08-22,684
2024-08-23,722
2024-08-24,690
2024-08-25,607
2024-08-26,599
2024-08-27,575
2024-08-28,594
2024-08-29,650
2024-08-30,707
2024-08-31,678
2024-09-01,591
2024-09-02,622
2024-09-03,653
2024-09-04,680
2024-09-05,619
2024-09-06,669
2024-09-07,705
2024-09-08,642
2024-09-09,648
2024-09-10,608
2024-09-11,640
2024-09-12,646
2024-09-13,698
2024-09-14,714
2024-09-15,509
2024-09-16,530
2024-09-17,516
2024-09-18,612
2024-09-19,604
2024-09-20,615
2024-09-21,632
2024-09-22,478
2024-09-23,547
2024-09-24,617
2024-09-25,604
2024-09-26,641
2024-09-27,637
2024-09-28,649
2024-09-29,551
2024-09-30,587
2024-10-01,649
2024-10-02,664
2024-10-03,600
2024-10-04,742
2024-10-05,737
2024-10-06,631
2024-10-07,647
2024-10-08,821
2024-10-09,896
2024-10-10,911
2024-10-11,832
2024-10-12,760
2024-10-13,549
2024-10-14,642
2024-10-15,595
2024-10-16,646
2024-10-17,521
2024-10-18,594
2024-10-19,549
2024-10-20,431
2024-10-21,536
2024-10-22,556
2024-10-23,581
2024-10-24,617
2024-10-25,659
2024-10-26,582
2024-10-27,540
2024-10-28,556
2024-10-29,536
2024-10-30,577
2024-10-31,558
2024-11-01,611
2024-11-02,628
2024-11-03,529
2024-11-04,516
2024-11-05,572
2024-11-06,578
2024-11-07,571
2024-11-08,663
2024-11-09,624
2024-11-10,531
2024-11-11,542
2024-11-12,592
2024-11-13,593
2024-11-14,639
2024-11-15,653
2024-11-18,549
2024-11-19,607
2024-11-20,558
2024-11-21,704
2024-11-22,875
2024-11-23,830
2024-11-24,707
2024-11-25,745
2024-11-26,757
2024-11-27,837
2024-11-28,768
2024-11-29,895
2024-11-30,1075
2024-12-01,832
2024-12-02,862
2024-12-03,1146
2024-12-04,795
2024-12-05,753
2024-12-06,898
2024-12-07,831
2024-12-08,772
2024-12-09,687
2024-12-10,750
2024-12-11,760
2024-12-12,831
2024-12-13,841
2024-12-14,911
2024-12-15,701
2024-12-16,742
2024-12-17,648
2024-12-18,683
2024-12-19,695
2024-12-20,741
2024-12-21,754
2024-12-22,595
2024-12-23,673
2024-12-24,573
2024-12-25,593
2024-12-26,521
2024-12-27,620
2024-12-28,581
2024-12-29,544
2024-12-30,496
2024-12-31,527
2025-01-01,531
2025-01-02,589
2025-01-03,646
2025-01-04,683
2025-01-05,617
2025-01-06,562
2025-01-07,574
2025-01-08,642
2025-01-09,701
2025-01-10,730
2025-01-11,737
