,Sales Rank
2022-12-14,527
2022-12-15,529
2022-12-16,524
2022-12-17,500
2022-12-18,596
2022-12-19,579
2022-12-20,630
2022-12-21,566
2022-12-22,528
2022-12-23,497
2022-12-24,3569
2022-12-25,3340
2022-12-26,2972
2022-12-27,2610
2022-12-28,2498
2022-12-29,2390
2022-12-30,2266
2022-12-31,2735
2023-01-01,3051
2023-01-02,2780
2023-01-03,2675
2023-01-04,2710
2023-01-05,2461
2023-01-06,2523
2023-01-07,2562
2023-01-08,2671
2023-01-09,2743
2023-01-10,2830
2023-01-11,2898
2023-01-12,2781
2023-01-13,2669
2023-01-14,2784
2023-01-15,2646
2023-01-16,2499
2023-01-17,2363
2023-01-18,2605
2023-01-19,3002
2023-01-20,2817
2023-01-21,2708
2023-01-22,2463
2023-01-23,2361
2023-01-24,2628
2023-01-25,2674
2023-01-26,2650
2023-01-27,2692
2023-01-28,2721
2023-01-29,3546
2023-01-30,2747
2023-01-31,3354
2023-02-01,3849
2023-02-02,3325
2023-02-03,3116
2023-02-04,3320
2023-02-05,4165
2023-02-06,3087
2023-02-07,3021
2023-02-08,3030
2023-02-09,339
2023-02-10,347
2023-02-11,353
2023-02-12,412
2023-02-13,345
2023-02-14,315
2023-02-15,314
2023-02-16,341
2023-02-17,308
2023-02-18,322
2023-02-19,346
2023-02-20,345
2023-02-21,287
2023-02-22,346
2023-02-23,348
2023-02-24,344
2023-02-25,355
2023-02-26,331
2023-02-27,320
2023-02-28,331
2023-03-01,295
2023-03-02,307
2023-03-03,288
2023-03-04,304
2023-03-05,339
2023-03-06,359
2023-03-07,310
2023-03-08,342
2023-03-09,340
2023-03-10,290
2023-03-11,310
2023-03-12,407
2023-03-13,388
2023-03-14,352
2023-03-15,330
2023-03-16,345
2023-03-17,346
2023-03-18,349
2023-03-19,400
2023-03-20,334
2023-03-21,328
2023-03-22,349
2023-03-23,323
2023-03-24,352
2023-03-25,353
2023-03-26,415
2023-03-27,365
2023-03-28,350
2023-03-29,408
2023-03-30,335
2023-03-31,315
2023-04-01,313
2023-04-02,389
