,Sales Rank
2022-12-14,451
2022-12-15,526
2022-12-16,596
2022-12-17,568
2022-12-18,628
2022-12-19,636
2022-12-20,605
2022-12-21,546
2022-12-22,517
2022-12-23,447
2022-12-24,376
2022-12-25,285
2022-12-26,208
2022-12-27,221
2022-12-28,232
2022-12-29,224
2022-12-30,262
2022-12-31,607
2023-01-01,949
2023-01-02,957
2023-01-03,484
2023-01-04,447
2023-01-05,418
2023-01-06,383
2023-01-07,349
2023-01-08,344
2023-01-09,347
2023-01-10,356
2023-01-11,364
2023-01-12,368
2023-01-13,550
2023-01-14,916
2023-01-15,1614
2023-01-16,407
2023-01-17,612
2023-01-18,1080
2023-01-19,1031
2023-01-20,1380
2023-01-21,498
2023-01-22,249
2023-01-23,355
2023-01-24,727
2023-01-25,869
2023-01-26,1163
2023-01-27,1017
2023-01-28,433
2023-01-29,319
2023-01-30,295
2023-01-31,372
2023-02-01,809
2023-02-02,1121
2023-02-03,1019
2023-02-04,1592
2023-02-05,1903
2023-02-06,1322
2023-02-07,1327
2023-02-08,1277
2023-02-09,1385
2023-02-10,1239
2023-02-11,1649
2023-02-12,1920
2023-02-13,1451
2023-02-14,1512
2023-02-15,1203
2023-02-16,624
2023-02-17,488
2023-02-18,432
2023-02-19,422
2023-02-20,301
2023-02-21,553
2023-02-22,655
2023-02-23,1058
2023-02-24,846
2023-02-25,1291
2023-02-26,1652
2023-02-27,1250
2023-02-28,1171
2023-03-01,1573
2023-03-02,324
2023-03-03,504
2023-03-04,1306
2023-03-05,1874
2023-03-06,1404
2023-03-07,1153
2023-03-08,1238
2023-03-09,1127
2023-03-10,196
2023-03-11,861
2023-03-12,1456
2023-03-13,1086
2023-03-14,1275
2023-03-15,1235
2023-03-16,253
2023-03-17,233
2023-03-18,219
2023-03-19,742
2023-03-20,934
2023-03-21,1012
2023-03-22,1275
2023-03-23,1020
2023-03-24,357
2023-03-25,397
2023-03-26,771
2023-03-27,1029
2023-03-28,1132
2023-03-29,1360
2023-03-30,1188
2023-03-31,1244
2023-04-01,1478
2023-04-02,1815
2023-04-03,1446
2023-04-04,1307
2023-04-05,1354
2023-04-06,436
2023-04-07,504
2023-04-08,440
2023-04-09,445
2023-04-10,368
2023-04-11,372
2023-04-12,362
2023-04-13,356
2023-04-14,316
2023-04-15,320
2023-04-16,368
2023-04-17,407
2023-04-18,710
2023-04-19,1009
2023-04-20,1267
2023-04-21,443
2023-04-22,1211
2023-04-23,1280
2023-04-24,1019
2023-04-25,657
2023-04-26,673
2023-04-27,572
2023-04-28,524
2023-04-29,518
2023-04-30,544
2023-05-01,475
2023-05-02,574
2023-05-03,509
2023-05-04,506
2023-05-05,459
2023-05-06,479
2023-05-07,540
2023-05-08,493
2023-05-09,413
2023-05-10,403
2023-05-11,406
2023-05-12,483
