,Sales Rank
2022-12-14,950
2022-12-15,1051
2022-12-16,1095
2022-12-17,1133
2022-12-18,1180
2022-12-19,1134
2022-12-20,1319
2022-12-21,1461
2022-12-22,1492
2022-12-23,1566
2022-12-24,1665
2022-12-25,949
2022-12-26,1092
2022-12-27,1287
2022-12-28,1628
2022-12-29,1794
2022-12-30,2721
2022-12-31,4079
2023-01-01,6036
2023-01-02,8001
2023-01-03,7345
2023-01-04,6579
2023-01-05,5727
2023-01-06,4661
2023-01-07,4313
2023-01-08,3622
2023-01-09,3300
2023-01-10,3121
2023-01-11,2788
2023-01-12,3238
2023-01-13,4667
2023-01-14,10451
2023-01-15,11740
2023-01-16,10882
2023-01-17,8178
2023-01-18,6962
2023-01-19,8680
2023-01-20,8562
2023-01-21,8379
2023-01-22,7818
2023-01-23,8622
2023-01-24,7980
2023-01-25,8166
2023-01-26,7108
2023-01-27,6672
2023-01-28,5535
2023-01-29,6718
2023-01-30,5793
2023-01-31,6317
2023-02-01,5573
2023-02-02,5636
2023-02-03,4741
2023-02-04,4106
2023-02-05,4327
2023-02-06,4642
2023-02-07,4223
2023-02-08,3665
2023-02-09,3678
2023-02-10,3697
2023-02-11,3203
2023-02-12,3095
2023-02-13,3565
2023-02-14,3129
2023-02-15,3062
2023-02-16,3261
2023-02-17,3294
2023-02-18,2706
2023-02-19,2464
2023-02-20,2202
2023-02-21,2583
2023-02-22,2979
2023-02-23,2974
2023-02-24,3013
2023-02-25,1993
2023-02-26,1945
2023-02-27,2301
2023-02-28,2378
2023-03-01,2437
2023-03-02,2499
2023-03-03,2699
2023-03-04,2921
2023-03-05,2493
2023-03-06,2149
2023-03-07,2451
2023-03-08,2801
2023-03-09,2651
2023-03-10,2986
2023-03-11,2992
2023-03-12,2731
2023-03-13,1742
2023-03-14,2241
2023-03-15,2327
2023-03-16,2490
2023-03-17,2450
2023-03-18,2495
2023-03-19,2314
2023-03-20,2313
2023-03-21,3014
2023-03-22,2724
2023-03-23,3220
2023-03-24,2904
2023-03-25,2842
2023-03-26,2707
2023-03-27,3206
2023-03-28,2649
2023-03-29,2650
2023-03-30,2119
2023-03-31,2123
2023-04-01,2617
2023-04-02,2992
2023-04-03,4029
2023-04-04,3729
2023-04-05,3723
2023-04-06,2446
2023-04-07,2443
2023-04-08,3337
2023-04-09,3568
2023-04-10,3823
2023-04-11,3930
2023-04-12,4433
2023-04-13,3127
2023-04-14,2909
2023-04-15,2529
2023-04-16,2649
2023-04-17,2744
2023-04-18,2791
2023-04-19,2900
2023-04-20,3212
2023-04-21,2717
2023-04-22,2761
2023-04-23,3003
2023-04-24,2669
2023-04-25,2659
2023-04-26,2764
2023-04-27,2565
2023-04-28,2537
2023-04-29,2008
2023-04-30,1967
2023-05-01,2143
2023-05-02,2231
2023-05-03,1933
2023-05-04,2260
2023-05-05,2278
2023-05-06,2521
2023-05-07,2594
2023-05-08,2427
2023-05-09,1466
2023-05-10,1881
2023-05-11,1923
2023-05-12,2330
2023-05-13,1973
2023-05-14,2073
2023-05-15,2154
2023-05-16,2353
2023-05-17,2887
2023-05-18,2480
2023-05-19,2353
2023-05-20,2534
2023-05-21,2077
2023-05-22,2233
2023-05-23,2414
2023-05-24,2396
2023-05-25,2624
2023-05-26,2583
2023-05-27,2570
2023-05-28,2092
2023-05-30,2092
2023-05-31,2451
2023-06-01,2523
2023-06-02,10553
2023-06-03,11006
2023-06-04,11454
2023-06-05,11402
2023-06-06,10589
2023-06-07,10453
2023-06-08,12121
2023-06-09,10490
2023-06-10,10820
2023-06-11,11490
2023-06-12,13715
2023-06-13,13081
2023-06-14,13786
2023-06-15,13989
2023-06-16,4811
2023-06-17,4046
2023-06-18,3986
2023-06-19,4398
2023-06-20,4180
2023-06-21,4696
2023-06-22,4426
2023-06-23,4588
2023-06-24,4352
2023-06-25,2993
2023-06-26,3161
2023-06-27,3468
2023-06-28,5296
2023-06-29,4880
2023-06-30,4302
2023-07-01,4183
2023-07-02,4129
2023-07-03,4471
2023-07-04,3449
2023-07-05,4174
2023-07-06,4791
2023-07-07,4881
2023-07-08,5573
2023-07-09,5317
2023-07-10,6070
2023-07-11,1941
2023-07-12,657
2023-07-13,1026
2023-07-14,1407
2023-07-15,1892
2023-07-16,2305
2023-07-17,2395
2023-07-18,2729
2023-07-19,3067
2023-07-20,3018
2023-07-21,3278
2023-07-22,3914
2023-07-23,4336
2023-07-24,4577
2023-07-25,4399
2023-07-26,4877
2023-07-27,5257
2023-07-28,5478
2023-07-29,4651
2023-07-30,4547
2023-07-31,4847
2023-08-01,4904
2023-08-02,5054
2023-08-03,4586
2023-08-04,4430
2023-08-05,4249
2023-08-06,4504
2023-08-07,3840
2023-08-08,4576
2023-08-09,4498
2023-08-10,4919
2023-08-11,4647
2023-08-12,4537
2023-08-13,4286
2023-08-14,4909
2023-08-15,4901
2023-08-16,4086
2023-08-17,4527
2023-08-18,4428
2023-08-19,4422
2023-08-20,4077
2023-08-21,3941
2023-08-22,4208
2023-08-23,4200
2023-08-24,4326
2023-08-25,4414
2023-08-26,3725
2023-08-27,881
2023-08-28,1560
2023-08-29,1915
2023-08-30,2314
2023-08-31,2725
2023-09-01,2476
2023-09-02,2443
2023-09-03,2279
2023-09-04,2630
2023-09-05,3145
2023-09-06,3609
2023-09-07,2067
2023-09-08,3036
2023-09-09,3791
2023-09-10,3331
2023-09-11,3526
2023-09-12,3746
2023-09-13,3342
2023-09-14,3222
2023-09-15,3206
2023-09-16,2904
2023-09-17,3098
2023-09-18,2922
2023-09-19,2956
2023-09-20,3381
2023-09-21,3883
2023-09-22,3462
2023-09-23,3406
2023-09-24,2944
2023-09-25,3170
2023-09-26,2758
2023-09-27,3631
2023-09-28,3181
2023-09-29,3107
2023-09-30,2968
2023-10-01,2691
2023-10-02,3402
2023-10-03,4267
2023-10-04,4607
2023-10-05,4777
2023-10-06,5447
2023-10-07,3686
2023-10-08,4478
2023-10-09,3750
2023-10-10,630
2023-10-11,599
2023-10-12,10866
2023-10-13,10650
2023-10-14,12608
2023-10-15,13332
2023-10-16,13819
2023-10-17,16461
2023-10-18,12038
2023-10-19,18405
2023-10-20,14314
2023-10-21,12032
2023-10-22,13635
2023-10-23,13258
2023-10-24,14495
2023-10-25,17517
2023-10-26,12346
2023-10-27,9031
2023-10-28,9004
2023-10-29,13288
2023-10-30,13490
2023-10-31,11065
2023-11-01,12674
2023-11-02,13054
2023-11-03,47
2023-11-04,51
2023-11-05,53
2023-11-06,40
2023-11-07,44
2023-11-08,54
2023-11-09,54
2023-11-10,51
2023-11-11,39
2023-11-12,36
2023-11-13,19
2023-11-14,14
2023-11-15,16
2023-11-16,18
2023-11-17,10
2023-11-18,2
2023-11-19,2
2023-11-20,8
2023-11-21,15
2023-11-22,14
2023-11-23,12
2023-11-24,1
2023-11-25,2
2023-11-27,3
2023-11-28,3
2023-11-29,3
2023-11-30,9
2023-12-01,13
2023-12-02,13
2023-12-03,12
2023-12-04,16
2023-12-05,17
