,Sales Rank
2022-12-14,144
2022-12-15,128
2022-12-16,152
2022-12-17,159
2022-12-18,173
2022-12-19,163
2022-12-20,153
2022-12-21,146
2022-12-22,130
2022-12-23,124
2022-12-24,130
2022-12-25,109
2022-12-26,110
2022-12-27,109
2022-12-28,119
2022-12-29,126
2022-12-30,133
2022-12-31,143
2023-01-01,123
2023-01-02,133
2023-01-03,115
2023-01-04,116
2023-01-05,114
2023-01-06,103
2023-01-07,106
2023-01-08,104
2023-01-09,109
2023-01-10,112
2023-01-11,115
2023-01-12,111
2023-01-13,107
2023-01-14,120
2023-01-15,133
2023-01-16,119
2023-01-17,123
2023-01-18,118
2023-01-19,108
2023-01-20,111
2023-01-21,136
2023-01-22,143
2023-01-23,112
2023-01-24,112
2023-01-25,107
2023-01-26,109
2023-01-27,113
2023-01-28,116
2023-01-29,121
2023-01-30,109
2023-01-31,104
2023-02-01,96
2023-02-02,101
2023-02-03,115
2023-02-04,98
2023-02-05,116
2023-02-06,100
2023-02-07,89
2023-02-08,89
2023-02-09,100
2023-02-10,99
2023-02-11,109
2023-02-12,114
2023-02-13,108
2023-02-14,107
2023-02-15,97
2023-02-16,99
2023-02-17,101
2023-02-18,117
2023-02-19,113
2023-02-20,107
2023-02-21,74
2023-02-22,79
2023-02-23,95
2023-02-24,96
2023-02-25,97
2023-02-26,101
2023-02-27,89
2023-02-28,82
2023-03-01,77
2023-03-02,86
2023-03-03,79
2023-03-04,83
2023-03-05,111
2023-03-06,99
2023-03-07,84
2023-03-08,89
2023-03-09,102
2023-03-10,96
2023-03-11,106
2023-03-12,116
2023-03-13,116
2023-03-14,127
2023-03-15,114
2023-03-16,135
2023-03-17,144
2023-03-18,172
2023-03-19,178
2023-03-20,149
2023-03-21,122
2023-03-22,122
2023-03-23,135
2023-03-24,128
2023-03-25,159
2023-03-26,177
2023-03-27,136
2023-03-28,240
2023-03-29,226
2023-03-30,184
2023-03-31,139
2023-04-01,189
2023-04-02,175
2023-04-03,123
2023-04-04,102
2023-04-05,112
2023-04-06,116
2023-04-07,104
2023-04-08,114
2023-04-09,129
2023-04-10,111
2023-04-11,120
2023-04-12,114
2023-04-13,84
2023-04-14,91
2023-04-15,93
2023-04-16,83
2023-04-17,79
2023-04-18,91
2023-04-19,91
2023-04-20,86
2023-04-21,90
2023-04-22,108
2023-04-23,108
2023-04-24,93
2023-04-25,98
2023-04-26,96
2023-04-27,100
2023-04-28,94
2023-04-29,122
2023-04-30,139
2023-05-01,115
2023-05-02,129
2023-05-03,131
2023-05-04,119
2023-05-05,119
2023-05-06,133
2023-05-07,121
2023-05-08,113
2023-05-09,113
2023-05-10,115
2023-05-11,118
2023-05-12,181
2023-05-13,153
2023-05-14,220
2023-05-15,215
2023-05-16,108
2023-05-17,137
2023-05-18,196
2023-05-19,256
2023-05-20,239
2023-05-21,258
2023-05-22,145
2023-05-23,134
2023-05-24,137
2023-05-25,115
2023-05-26,115
2023-05-27,142
2023-05-28,151
2023-05-30,107
2023-05-31,109
2023-06-01,99
2023-06-02,115
2023-06-03,177
2023-06-04,196
2023-06-05,168
2023-06-06,170
2023-06-07,172
2023-06-08,168
2023-06-09,168
2023-06-10,195
2023-06-11,194
2023-06-12,159
2023-06-13,166
2023-06-14,164
2023-06-15,173
2023-06-16,165
2023-06-17,198
2023-06-18,202
2023-06-19,165
2023-06-20,164
2023-06-21,167
2023-06-22,168
2023-06-23,163
2023-06-24,154
2023-06-25,162
2023-06-26,152
2023-06-27,159
2023-06-28,154
2023-06-29,181
2023-06-30,151
2023-07-01,174
2023-07-02,194
2023-07-03,152
2023-07-04,156
2023-07-05,157
2023-07-06,158
2023-07-07,159
2023-07-08,171
2023-07-09,186
2023-07-10,158
2023-07-11,266
2023-07-12,355
2023-07-13,267
2023-07-14,225
2023-07-15,212
2023-07-16,222
2023-07-17,179
2023-07-18,165
2023-07-19,150
2023-07-20,143
2023-07-21,134
2023-07-22,153
2023-07-23,164
2023-07-24,139
2023-07-25,136
2023-07-26,144
2023-07-27,144
2023-07-28,140
2023-07-29,162
2023-07-30,180
2023-07-31,165
2023-08-01,153
2023-08-02,152
2023-08-03,151
2023-08-04,145
2023-08-05,157
2023-08-06,158
2023-08-07,173
2023-08-08,140
2023-08-09,150
2023-08-10,161
2023-08-11,168
2023-08-12,174
2023-08-13,169
2023-08-14,152
2023-08-15,159
2023-08-16,160
2023-08-17,158
2023-08-18,157
2023-08-19,174
2023-08-20,191
2023-08-21,141
2023-08-22,138
2023-08-23,147
2023-08-24,137
2023-08-25,125
2023-08-26,133
2023-08-27,145
2023-08-28,132
2023-08-29,131
2023-08-30,130
2023-08-31,128
2023-09-01,136
2023-09-02,152
2023-09-03,158
2023-09-04,132
2023-09-05,132
2023-09-06,147
2023-09-07,140
2023-09-08,135
2023-09-09,160
2023-09-10,172
2023-09-11,154
2023-09-12,162
2023-09-13,168
2023-09-16,151
2023-09-17,183
2023-09-18,171
2023-09-19,163
2023-09-20,148
2023-09-21,136
2023-09-22,139
2023-09-23,150
2023-09-24,159
2023-09-25,174
2023-09-26,131
2023-09-27,143
2023-09-28,159
2023-09-29,136
2023-09-30,139
2023-10-01,170
2023-10-02,159
2023-10-03,160
2023-10-04,136
2023-10-05,138
2023-10-06,146
2023-10-07,136
2023-10-08,157
2023-10-09,140
2023-10-10,198
2023-10-11,190
2023-10-12,216
2023-10-13,150
2023-10-14,154
2023-10-15,196
2023-10-16,128
2023-10-17,161
2023-10-18,172
2023-10-19,148
2023-10-20,151
2023-10-21,167
2023-10-22,173
2023-10-23,132
2023-10-24,146
2023-10-25,144
2023-10-26,136
2023-10-27,147
2023-10-28,173
2023-10-29,184
2023-10-30,152
2023-10-31,141
2023-11-01,149
2023-11-02,167
2023-11-03,156
2023-11-04,165
2023-11-05,195
2023-11-06,142
2023-11-07,140
2023-11-08,138
2023-11-09,105
2023-11-10,94
2023-11-11,100
2023-11-12,112
2023-11-13,89
2023-11-14,89
2023-11-15,97
2023-11-16,102
2023-11-17,102
2023-11-18,100
2023-11-19,109
2023-11-20,104
2023-11-21,113
2023-11-22,142
2023-11-23,148
2023-11-24,259
2023-11-25,262
2023-11-26,275
2023-11-27,279
