,Sales Rank
2022-12-14,256
2022-12-15,329
2022-12-16,405
2022-12-17,346
2022-12-18,354
2022-12-19,326
2022-12-20,301
2022-12-21,285
2022-12-22,247
2022-12-23,206
2022-12-24,216
2022-12-25,170
2022-12-26,186
2022-12-27,204
2022-12-28,196
2022-12-29,195
2022-12-30,188
2022-12-31,197
2023-01-01,189
2023-01-02,210
2023-01-03,256
2023-01-04,267
2023-01-05,275
2023-01-06,256
2023-01-07,261
2023-01-08,263
2023-01-09,261
2023-01-10,259
2023-01-11,249
2023-01-12,262
2023-01-13,218
2023-01-14,214
2023-01-15,198
2023-01-16,189
2023-01-17,172
2023-01-18,181
2023-01-19,165
2023-01-20,175
2023-01-21,171
2023-01-22,169
2023-01-23,158
2023-01-24,188
2023-01-25,166
2023-01-26,182
2023-01-27,208
2023-01-28,213
2023-01-29,225
2023-01-30,222
2023-01-31,200
2023-02-01,190
2023-02-02,189
2023-02-03,201
2023-02-04,192
2023-02-05,186
2023-02-06,181
2023-02-07,191
2023-02-08,168
2023-02-09,169
2023-02-10,178
2023-02-11,182
2023-02-12,168
2023-02-13,161
2023-02-14,171
2023-02-15,164
2023-02-16,167
2023-02-17,175
2023-02-18,173
2023-02-19,186
2023-02-20,196
2023-02-21,138
2023-02-22,150
2023-02-23,166
2023-02-24,158
2023-02-25,173
2023-02-26,179
2023-02-27,180
2023-02-28,155
2023-03-01,192
2023-03-02,194
2023-03-03,185
2023-03-04,212
2023-03-05,231
2023-03-06,206
2023-03-07,199
2023-03-08,194
2023-03-09,198
2023-03-10,212
2023-03-11,215
2023-03-12,243
2023-03-13,197
2023-03-14,209
2023-03-15,200
2023-03-16,207
2023-03-17,198
2023-03-18,207
2023-03-19,219
2023-03-20,225
2023-03-21,202
2023-03-22,221
2023-03-23,215
2023-03-24,207
2023-03-25,212
2023-03-26,249
2023-03-27,202
2023-03-28,184
2023-03-29,180
2023-03-30,195
2023-03-31,203
2023-04-01,206
2023-04-02,239
2023-04-03,228
2023-04-04,172
2023-04-05,179
2023-04-06,188
2023-04-07,190
2023-04-08,184
2023-04-09,202
2023-04-10,204
2023-04-11,199
2023-04-12,191
2023-04-13,211
2023-04-14,187
2023-04-15,207
2023-04-16,210
2023-04-17,197
2023-04-18,193
2023-04-19,183
2023-04-20,186
2023-04-21,183
2023-04-22,210
2023-04-23,182
2023-04-24,168
2023-04-25,174
2023-04-26,170
2023-04-27,184
2023-04-28,187
2023-04-29,191
2023-04-30,210
2023-05-01,211
2023-05-02,172
2023-05-03,177
2023-05-04,197
2023-05-05,201
2023-05-06,203
2023-05-07,219
2023-05-08,187
2023-05-09,193
2023-05-10,197
2023-05-11,202
2023-05-12,203
2023-05-13,208
2023-05-14,213
2023-05-15,199
