,Sales Rank
2022-12-14,480
2022-12-15,535
2022-12-16,497
2022-12-17,276
2022-12-18,296
2022-12-19,313
2022-12-20,338
2022-12-21,398
2022-12-22,435
2022-12-23,304
2022-12-24,351
2022-12-25,406
2022-12-26,432
2022-12-27,441
2022-12-28,395
2022-12-29,327
2022-12-30,342
2022-12-31,314
2023-01-01,329
2023-01-02,278
2023-01-03,307
2023-01-04,317
2023-01-05,353
2023-01-06,337
2023-01-07,231
2023-01-08,260
2023-01-09,268
2023-01-10,283
2023-01-11,285
2023-01-12,277
2023-01-13,320
2023-01-15,328
2023-01-16,288
2023-01-17,338
2023-01-18,335
2023-01-19,358
2023-01-20,356
2023-01-21,278
2023-01-22,287
2023-01-23,163
2023-01-24,224
2023-01-25,279
2023-01-26,386
2023-01-27,343
2023-01-28,424
2023-01-29,329
2023-01-30,368
2023-01-31,376
2023-02-01,435
2023-02-02,417
2023-02-03,409
2023-02-04,432
2023-02-05,318
2023-02-06,304
2023-02-07,242
2023-02-08,335
2023-02-09,377
2023-02-10,416
2023-02-11,358
2023-02-12,325
2023-02-13,362
2023-02-14,382
2023-02-15,397
2023-02-16,377
2023-02-17,335
2023-02-18,315
2023-02-19,313
2023-02-20,328
2023-02-21,365
2023-02-22,440
2023-02-23,477
2023-02-24,443
2023-02-25,436
2023-02-26,427
2023-02-27,437
2023-02-28,519
2023-03-01,418
2023-03-02,433
2023-03-03,452
2023-03-05,367
2023-03-06,294
2023-03-07,464
2023-03-08,416
2023-03-09,415
2023-03-10,434
2023-03-11,359
2023-03-12,375
2023-03-13,408
2023-03-14,447
2023-03-15,516
2023-03-16,465
2023-03-17,534
2023-03-18,510
2023-03-19,426
2023-03-20,483
2023-03-21,439
2023-03-22,474
2023-03-23,512
2023-03-24,510
2023-03-25,469
2023-03-26,414
2023-03-27,451
2023-03-28,519
2023-03-29,510
2023-03-30,566
2023-03-31,510
2023-04-01,474
2023-04-02,409
2023-04-03,367
2023-04-04,523
2023-04-05,514
2023-04-06,550
2023-04-07,517
2023-04-08,515
2023-04-09,475
2023-04-10,488
2023-04-11,493
