,Sales Rank
2024-02-02,490
2024-02-03,673
2024-02-04,599
2024-02-05,593
2024-02-06,520
2024-02-07,416
2024-02-08,381
2024-02-09,396
2024-02-10,428
2024-02-11,398
2024-02-12,432
2024-02-13,430
2024-02-14,405
2024-02-15,415
2024-02-16,411
2024-02-17,465
2024-02-18,463
2024-02-19,543
2024-02-20,591
2024-02-21,537
2024-02-22,612
2024-02-23,606
2024-02-24,485
2024-02-25,461
2024-02-26,604
2024-02-27,635
2024-02-28,524
2024-02-29,477
2024-03-01,515
2024-03-02,480
2024-03-03,497
2024-03-04,531
2024-03-05,550
2024-03-06,504
2024-03-07,464
2024-03-08,453
2024-03-09,423
2024-03-10,432
2024-03-11,529
2024-03-12,566
2024-03-13,461
2024-03-14,451
2024-03-15,455
2024-03-16,499
2024-03-17,484
2024-03-18,563
2024-03-19,529
2024-03-20,447
2024-03-21,461
2024-03-22,477
2024-03-23,466
2024-03-24,443
2024-03-25,459
2024-03-26,442
2024-03-27,363
2024-03-28,370
2024-03-29,392
2024-03-30,386
2024-03-31,422
2024-04-01,444
2024-04-02,450
2024-04-03,385
2024-04-04,363
2024-04-05,337
2024-04-06,337
2024-04-07,365
2024-04-08,456
2024-04-09,402
2024-04-10,368
2024-04-11,380
2024-04-12,377
2024-04-13,369
2024-04-14,432
2024-04-15,435
2024-04-16,415
2024-04-17,338
2024-04-18,380
2024-04-19,341
2024-04-20,315
2024-04-21,322
2024-04-22,368
2024-04-23,365
2024-04-24,322
2024-04-25,296
2024-04-26,302
2024-04-27,284
2024-04-28,300
2024-04-29,329
2024-04-30,288
2024-05-01,281
2024-05-02,197
2024-05-03,237
2024-05-04,235
2024-05-05,203
2024-05-06,221
2024-05-07,261
2024-05-08,272
2024-05-09,249
2024-05-10,211
2024-05-11,194
2024-05-12,186
2024-05-13,223
2024-05-14,195
2024-05-15,175
2024-05-16,173
2024-05-17,176
2024-05-18,171
2024-05-19,170
2024-05-20,213
2024-05-21,198
2024-05-22,182
2024-05-23,174
2024-05-24,177
2024-05-25,213
2024-05-26,238
2024-05-27,275
2024-05-28,315
2024-05-29,252
2024-05-30,253
2024-05-31,262
2024-06-01,265
2024-06-02,224
2024-06-03,230
2024-06-04,188
2024-06-05,179
2024-06-06,158
2024-06-07,148
2024-06-08,147
2024-06-09,152
2024-06-10,148
2024-06-11,166
2024-06-12,130
2024-06-13,134
2024-06-14,149
2024-06-15,147
2024-06-16,154
2024-06-17,158
2024-06-18,153
2024-06-19,128
2024-06-20,129
2024-06-21,125
2024-06-22,130
2024-06-23,138
2024-06-24,164
2024-06-25,137
2024-06-26,138
2024-06-27,142
2024-06-28,151
2024-06-29,163
2024-06-30,165
2024-07-01,187
2024-07-02,186
2024-07-03,176
2024-07-04,172
2024-07-05,156
2024-07-06,142
2024-07-07,159
2024-07-08,194
2024-07-09,179
2024-07-10,149
2024-07-11,147
2024-07-12,138
2024-07-13,139
2024-07-14,138
2024-07-15,155
2024-07-16,286
2024-07-17,281
2024-07-18,226
2024-07-19,174
2024-07-20,128
2024-07-21,122
2024-07-22,136
2024-07-23,129
2024-07-24,101
2024-07-25,100
2024-07-26,99
2024-07-27,102
2024-07-28,101
2024-07-29,112
2024-07-30,115
2024-07-31,103
2024-08-01,98
2024-08-02,88
2024-08-03,86
2024-08-04,82
2024-08-05,96
2024-08-06,114
2024-08-07,111
2024-08-09,96
2024-08-10,84
2024-08-11,78
2024-08-12,96
2024-08-13,97
2024-08-14,87
2024-08-15,81
2024-08-16,89
2024-08-17,82
2024-08-18,85
2024-08-19,89
2024-08-20,86
2024-08-21,93
2024-08-22,87
2024-08-23,89
2024-08-24,82
2024-08-25,92
2024-08-26,100
2024-08-27,96
2024-08-28,87
2024-08-29,82
2024-08-30,70
2024-08-31,75
2024-09-01,81
2024-09-02,106
2024-09-03,95
2024-09-04,82
2024-09-05,85
2024-09-06,90
2024-09-07,90
2024-09-08,92
2024-09-09,111
2024-09-10,107
2024-09-11,83
2024-09-12,88
2024-09-13,93
2024-09-14,96
2024-09-15,106
2024-09-16,128
2024-09-17,120
2024-09-18,89
2024-09-19,91
2024-09-20,99
2024-09-21,99
2024-09-22,96
2024-09-23,137
2024-09-24,152
2024-09-25,116
2024-09-26,98
2024-09-27,103
2024-09-28,110
2024-09-29,90
2024-09-30,108
2024-10-01,101
2024-10-02,72
2024-10-03,75
2024-10-04,75
2024-10-05,71
2024-10-06,69
2024-10-07,69
2024-10-08,132
2024-10-09,133
2024-10-10,114
2024-10-11,86
2024-10-12,73
2024-10-13,73
2024-10-14,87
2024-10-15,83
2024-10-16,74
2024-10-17,71
2024-10-18,72
2024-10-19,68
2024-10-20,70
2024-10-21,85
2024-10-22,86
2024-10-23,73
2024-10-24,69
2024-10-25,76
2024-10-26,66
2024-10-27,68
2024-10-28,81
2024-10-29,78
2024-10-30,65
2024-10-31,65
2024-11-01,83
2024-11-02,81
2024-11-03,105
2024-11-04,101
2024-11-05,98
2024-11-06,78
2024-11-07,82
2024-11-08,74
2024-11-09,79
2024-11-10,68
2024-11-11,92
2024-11-12,100
2024-11-13,70
2024-11-14,81
2024-11-15,76
2024-11-16,81
2024-11-17,83
2024-11-18,97
2024-11-19,101
2024-11-20,81
2024-11-21,102
2024-11-22,108
2024-11-23,118
2024-11-24,118
2024-11-25,122
2024-11-26,127
2024-11-27,106
2024-11-28,140
2024-11-29,204
2024-11-30,195
2024-12-01,176
2024-12-02,219
2024-12-03,158
2024-12-04,102
2024-12-05,110
2024-12-06,103
2024-12-07,99
2024-12-08,101
2024-12-09,134
2024-12-10,134
