,Sales Rank
2022-12-14,5551
2022-12-15,6171
2022-12-16,8140
2022-12-17,7154
2022-12-18,7072
2022-12-19,7061
2022-12-20,6239
2022-12-21,6310
2022-12-22,5432
2022-12-23,4514
2022-12-24,5528
2022-12-25,4318
2022-12-26,4489
2022-12-27,4779
2022-12-28,5401
2022-12-29,5052
2022-12-30,5611
2022-12-31,5037
2023-01-01,5308
2023-01-02,4802
2023-01-03,5226
2023-01-04,5182
2023-01-05,5628
2023-01-06,4737
2023-01-07,5010
2023-01-08,5056
2023-01-09,4921
2023-01-10,4869
2023-01-11,4853
2023-01-12,4870
2023-01-13,5214
2023-01-14,5227
2023-01-15,3975
2023-01-16,4717
2023-01-17,4465
2023-01-18,4876
2023-01-19,5330
2023-01-20,5719
2023-01-21,5798
2023-01-22,5502
2023-01-23,5926
2023-01-24,4318
2023-01-25,5208
2023-01-26,4489
2023-01-27,4668
2023-01-28,5760
2023-01-29,6608
2023-01-30,5748
2023-01-31,6258
2023-02-01,5283
2023-02-02,5483
2023-02-03,5844
2023-02-04,6490
2023-02-05,5034
2023-02-06,5512
2023-02-07,5899
2023-02-08,4207
2023-02-09,4263
2023-02-10,4696
2023-02-11,5884
2023-02-12,4627
2023-02-13,3818
2023-02-14,4681
2023-02-15,4512
2023-02-16,5163
2023-02-17,5963
2023-02-18,5829
2023-02-19,5001
2023-02-20,5308
2023-02-21,6100
2023-02-22,5997
2023-02-23,5419
2023-02-24,5532
2023-02-25,4869
2023-02-26,5225
2023-02-27,5409
2023-02-28,5857
2023-03-01,5135
2023-03-02,5550
2023-03-03,5224
2023-03-04,5931
2023-03-05,5847
2023-03-06,5028
2023-03-07,4510
2023-03-08,4901
2023-03-09,5089
2023-03-10,5161
2023-03-11,6214
2023-03-12,4973
2023-03-13,5181
2023-03-14,5828
2023-03-15,5113
2023-03-16,5502
2023-03-17,4722
2023-03-18,5013
2023-03-19,5341
2023-03-20,4739
2023-03-21,5086
2023-03-22,5397
2023-03-23,6618
2023-03-24,6226
2023-03-25,5745
2023-03-26,5054
2023-03-27,5546
2023-03-28,4875
2023-03-29,5770
2023-03-30,6450
2023-03-31,7345
2023-04-01,6872
2023-04-02,6229
2023-04-03,6523
2023-04-04,6937
2023-04-05,6332
2023-04-06,5612
2023-04-07,5873
2023-04-08,5894
2023-04-09,5162
2023-04-10,5268
2023-04-11,6660
2023-04-12,6024
2023-04-13,4945
2023-04-14,5399
2023-04-15,5293
2023-04-16,5094
2023-04-17,5909
2023-04-18,5243
2023-04-19,4964
2023-04-20,5818
2023-04-21,5152
2023-04-22,5506
2023-04-23,5718
2023-04-24,5350
2023-04-25,5571
2023-04-26,5148
2023-04-27,5552
2023-04-28,5958
2023-04-29,6102
2023-04-30,6551
2023-05-01,5761
2023-05-02,4054
2023-05-03,3599
2023-05-04,3326
2023-05-05,5067
2023-05-06,5237
2023-05-07,5102
2023-05-08,6353
2023-05-09,6075
2023-05-10,4869
2023-05-11,4899
2023-05-12,6316
2023-05-13,7157
2023-05-14,5534
2023-05-15,5669
2023-05-16,4961
2023-05-17,4852
2023-05-18,5449
2023-05-19,5500
2023-05-20,6404
2023-05-21,6964
2023-05-22,5815
2023-05-23,5112
2023-05-24,6604
2023-05-25,6839
2023-05-26,6186
2023-05-27,6945
2023-05-28,8146
2023-05-30,5710
2023-05-31,4908
2023-06-01,5537
2023-06-02,5675
2023-06-03,6500
2023-06-04,6116
2023-06-05,6222
2023-06-06,5172
2023-06-07,5657
2023-06-08,6012
2023-06-09,5607
2023-06-10,5462
2023-06-11,5898
2023-06-12,7323
2023-06-13,6367
2023-06-14,5420
2023-06-15,5413
2023-06-16,4937
2023-06-17,5357
2023-06-18,5443
2023-06-19,5694
2023-06-20,5077
2023-06-21,6603
2023-06-22,7046
2023-06-23,7152
2023-06-24,6784
2023-06-25,5932
2023-06-26,5609
2023-06-27,6500
2023-06-28,6558
2023-06-29,5987
2023-06-30,5530
2023-07-01,7037
2023-07-02,6080
2023-07-03,6479
2023-07-04,6303
2023-07-05,5370
2023-07-06,6074
2023-07-07,6233
2023-07-08,6887
2023-07-09,5785
2023-07-10,5414
2023-07-11,3363
2023-07-12,2949
2023-07-13,3470
2023-07-14,3924
2023-07-15,4593
2023-07-16,4885
2023-07-17,5130
2023-07-19,5457
2023-07-20,5494
2023-07-21,6816
2023-07-22,6855
2023-07-23,6069
2023-07-24,5665
2023-07-25,5775
2023-07-26,6119
2023-07-27,6344
2023-07-28,5956
2023-07-29,6075
2023-07-30,7098
2023-07-31,5423
2023-08-02,5921
2023-08-03,5721
2023-08-04,7170
2023-08-05,7502
2023-08-06,6209
2023-08-07,6223
2023-08-08,5585
2023-08-09,6476
2023-08-10,5452
2023-08-11,7115
2023-08-12,7746
2023-08-13,5915
2023-08-14,7088
2023-08-15,6472
2023-08-16,6651
2023-08-17,6592
2023-08-18,7585
2023-08-19,7519
2023-08-20,4869
2023-08-21,6168
2023-08-22,6407
2023-08-23,5526
2023-08-24,5700
2023-08-25,6127
2023-08-26,7296
2023-08-27,5380
2023-08-28,6443
2023-08-29,5892
2023-08-30,6217
2023-08-31,5436
2023-09-01,6422
2023-09-02,6363
2023-09-03,6258
2023-09-04,6426
2023-09-05,5732
