,Sales Rank
2022-12-14,25
2022-12-15,28
2022-12-16,46
2022-12-17,51
2022-12-18,68
2022-12-19,59
2022-12-20,54
2022-12-21,54
2022-12-22,42
2022-12-23,45
2022-12-24,45
2022-12-25,40
2022-12-26,39
2022-12-27,33
2022-12-28,32
2022-12-29,31
2022-12-30,30
2022-12-31,33
2023-01-01,32
2023-01-02,25
2023-01-03,28
2023-01-04,31
2023-01-05,29
2023-01-06,30
2023-01-08,28
2023-01-12,26
2023-01-13,9
2023-01-14,19
2023-01-15,23
2023-01-16,23
2023-01-17,17
2023-01-18,17
2023-01-19,17
2023-01-20,22
2023-01-21,24
2023-01-22,22
2023-01-23,17
2023-01-24,24
2023-01-25,24
2023-01-26,29
2023-01-27,24
2023-01-28,33
2023-01-29,24
2023-01-30,24
2023-01-31,26
2023-02-01,28
2023-02-02,29
2023-02-03,32
2023-02-04,36
2023-02-05,31
2023-02-06,25
2023-02-07,28
2023-02-08,33
2023-02-09,35
2023-02-10,35
2023-02-11,38
2023-02-12,31
2023-02-13,24
2023-02-14,28
2023-02-15,27
2023-02-16,34
2023-02-17,31
2023-02-18,37
2023-02-19,35
2023-02-20,26
2023-02-21,17
2023-02-22,216
2023-02-23,250
2023-02-24,255
2023-02-25,298
2023-02-26,309
2023-02-27,311
2023-02-28,321
2023-03-01,351
2023-03-02,333
2023-03-03,311
2023-03-04,303
2023-03-05,322
2023-03-06,321
2023-03-07,264
2023-03-08,288
2023-03-09,305
2023-03-10,286
2023-03-11,300
2023-03-12,342
2023-03-13,290
2023-03-14,308
2023-03-15,291
2023-03-16,298
2023-03-17,269
2023-03-18,324
2023-03-19,333
2023-03-20,267
2023-03-21,283
2023-03-22,259
2023-03-23,282
2023-03-24,309
2023-03-25,324
2023-03-26,379
2023-03-27,292
2023-03-28,291
2023-03-29,265
2023-03-30,278
2023-03-31,270
2023-04-01,295
2023-04-02,331
2023-04-03,300
2023-04-04,262
2023-04-05,262
2023-04-06,253
2023-04-07,278
2023-04-08,308
2023-04-09,304
2023-04-10,251
2023-04-11,271
2023-04-12,269
2023-04-13,308
2023-04-14,263
2023-04-15,304
2023-04-16,333
2023-04-17,243
2023-04-18,287
2023-04-19,256
2023-04-20,282
2023-04-21,254
2023-04-22,321
2023-04-23,295
2023-04-24,252
2023-04-25,299
2023-04-26,291
2023-04-27,247
2023-04-28,271
2023-04-29,321
2023-04-30,384
2023-05-01,298
2023-05-02,286
2023-05-03,265
2023-05-04,291
2023-05-05,271
2023-05-06,284
2023-05-07,317
2023-05-08,230
2023-05-09,815
2023-05-10,1301
2023-05-11,131
2023-05-12,207
2023-05-13,239
2023-05-14,237
2023-05-15,225
2023-05-16,322
2023-05-17,327
2023-05-18,267
2023-05-19,256
2023-05-20,260
2023-05-21,297
2023-05-22,219
2023-05-23,222
2023-05-24,230
2023-05-25,230
2023-05-26,241
2023-05-27,282
2023-05-28,304
