,Sales Rank
2022-12-14,81
2022-12-15,84
2022-12-16,85
2022-12-17,94
2022-12-18,110
2022-12-19,110
2022-12-20,102
2022-12-21,96
2022-12-22,94
2022-12-23,70
2022-12-24,62
2022-12-25,63
2022-12-26,46
2022-12-27,42
2022-12-28,40
2022-12-29,40
2022-12-30,46
2022-12-31,47
2023-01-01,58
2023-01-02,38
2023-01-03,47
2023-01-04,48
2023-01-05,50
2023-01-06,50
2023-01-07,56
2023-01-08,51
2023-01-09,55
2023-01-10,57
2023-01-11,58
2023-01-12,61
2023-01-13,69
2023-01-14,64
2023-01-15,80
2023-01-16,73
2023-01-17,67
2023-01-18,63
2023-01-19,68
2023-01-20,64
2023-01-21,71
2023-01-22,89
2023-01-23,63
2023-01-24,63
2023-01-25,58
2023-01-26,54
2023-01-27,57
2023-01-28,78
2023-01-29,81
2023-01-30,68
2023-01-31,72
2023-02-01,59
2023-02-02,64
2023-02-03,62
2023-02-04,80
2023-02-05,88
2023-02-06,68
2023-02-07,72
2023-02-08,71
2023-02-09,69
2023-02-10,61
2023-02-11,81
2023-02-12,79
2023-02-13,65
2023-02-14,55
2023-02-15,50
2023-02-16,53
2023-02-17,46
2023-02-18,49
2023-02-19,68
2023-02-20,50
2023-02-21,35
2023-02-22,39
2023-02-23,40
2023-02-24,44
2023-02-25,59
2023-02-26,69
2023-02-27,55
2023-02-28,46
2023-03-01,43
2023-03-02,52
2023-03-03,43
2023-03-04,55
2023-03-05,59
2023-03-06,54
2023-03-07,48
2023-03-08,37
2023-03-09,53
2023-03-10,48
2023-03-11,63
2023-03-12,69
2023-03-13,57
2023-03-14,65
2023-03-15,52
2023-03-16,54
2023-03-17,59
2023-03-18,63
2023-03-19,66
2023-03-20,53
2023-03-21,48
2023-03-22,46
2023-03-23,52
2023-03-24,54
2023-03-25,53
2023-03-26,66
2023-03-27,48
2023-03-28,40
2023-03-29,33
2023-03-30,40
2023-03-31,39
2023-04-01,50
2023-04-02,73
2023-04-03,59
2023-04-04,52
2023-04-05,60
2023-04-06,64
2023-04-07,58
2023-04-08,73
2023-04-09,85
2023-04-10,59
2023-04-11,53
2023-04-12,53
2023-04-13,54
2023-04-14,16
2023-04-15,29
2023-04-16,43
2023-04-17,47
2023-04-18,55
2023-04-19,48
2023-04-20,51
2023-04-21,56
2023-04-22,78
2023-04-23,81
2023-04-24,66
2023-04-25,68
2023-04-26,50
2023-04-27,67
2023-04-28,52
2023-04-29,68
2023-04-30,71
2023-05-01,61
2023-05-02,71
2023-05-03,81
2023-05-04,75
2023-05-05,68
2023-05-06,78
2023-05-07,78
2023-05-08,55
2023-05-09,50
2023-05-10,51
2023-05-11,54
2023-05-12,58
2023-05-13,72
2023-05-14,72
2023-05-15,56
2023-05-16,67
2023-05-17,62
2023-05-18,54
2023-05-19,45
2023-05-20,66
2023-05-21,58
2023-05-22,57
2023-05-23,58
2023-05-24,50
2023-05-25,54
2023-05-26,49
2023-05-27,48
2023-05-28,60
2023-05-30,69
2023-05-31,48
2023-06-01,53
2023-06-02,48
2023-06-03,71
2023-06-04,73
2023-06-05,86
2023-06-06,88
2023-06-07,51
2023-06-08,51
2023-06-09,56
2023-06-10,62
2023-06-11,64
2023-06-12,73
2023-06-13,66
2023-06-14,44
2023-06-15,51
2023-06-16,49
2023-06-17,49
2023-06-18,53
2023-06-19,72
2023-06-20,66
2023-06-21,66
2023-06-22,54
2023-06-23,55
2023-06-24,47
2023-06-25,40
2023-06-26,44
2023-06-27,55
2023-06-28,56
2023-06-29,71
2023-06-30,60
2023-07-01,47
2023-07-02,60
2023-07-03,80
2023-07-04,80
2023-07-05,57
2023-07-06,54
2023-07-07,61
2023-07-08,62
2023-07-09,63
2023-07-10,71
2023-07-11,164
2023-07-12,189
2023-07-13,138
2023-07-14,104
2023-07-15,85
2023-07-16,81
2023-07-17,86
2023-07-18,85
2023-07-19,56
2023-07-20,60
2023-07-21,52
2023-07-22,59
2023-07-23,58
2023-07-24,73
2023-07-25,74
2023-07-26,60
2023-07-27,63
2023-07-28,56
2023-07-29,57
2023-07-30,60
2023-07-31,70
2023-08-01,73
2023-08-02,83
2023-08-03,63
2023-08-04,64
2023-08-05,70
2023-08-06,55
2023-08-07,70
2023-08-08,83
2023-08-09,63
2023-08-10,73
2023-08-11,16
2023-08-12,13
2023-08-13,15
2023-08-14,18
2023-08-15,17
2023-08-16,12
2023-08-17,14
2023-08-18,16
2023-08-19,14
2023-08-20,15
2023-08-21,21
2023-08-22,21
2023-08-23,17
2023-08-24,17
2023-08-25,17
2023-08-26,12
2023-08-27,12
2023-08-28,16
2023-08-29,22
2023-08-30,11
2023-08-31,11
2023-09-01,15
2023-09-02,11
2023-09-03,13
2023-09-04,16
2023-09-05,18
2023-09-06,14
2023-09-07,13
2023-09-08,15
2023-09-09,16
2023-09-10,13
2023-09-11,15
2023-09-12,17
2023-09-13,12
2023-09-14,13
2023-09-15,13
2023-09-16,15
2023-09-17,14
2023-09-18,16
2023-09-19,15
2023-09-20,12
2023-09-21,14
2023-09-22,15
2023-09-23,14
2023-09-24,17
2023-09-25,19
2023-09-26,15
2023-09-27,12
2023-09-28,14
2023-09-29,13
2023-09-30,13
2023-10-01,14
2023-10-02,19
2023-10-03,22
2023-10-04,16
2023-10-05,17
2023-10-06,16
2023-10-07,15
2023-10-08,14
2023-10-09,20
2023-10-10,45
2023-10-11,40
2023-10-12,32
2023-10-13,20
2023-10-14,18
2023-10-15,15
2023-10-16,22
2023-10-17,31
2023-10-18,22
2023-10-19,22
2023-10-20,19
2023-10-21,18
2023-10-22,8
2023-10-23,19
2023-10-24,22
2023-10-25,15
2023-10-26,17
2023-10-27,16
2023-10-28,16
2023-10-29,14
2023-10-30,18
2023-10-31,19
2023-11-01,15
2023-11-02,19
2023-11-03,19
2023-11-04,23
2023-11-05,24
2023-11-06,30
2023-11-07,30
2023-11-08,23
2023-11-09,24
2023-11-10,24
2023-11-11,27
2023-11-12,26
2023-11-13,30
2023-11-14,95
2023-11-15,82
2023-11-16,74
2023-11-17,80
2023-11-18,77
2023-11-19,71
2023-11-20,91
2023-11-21,100
2023-11-22,394
2023-11-23,456
2023-11-24,612
2023-11-25,506
2023-11-26,439
2023-11-27,583
2023-11-28,600
2023-11-29,374
2023-11-30,330
2023-12-01,343
2023-12-02,330
2023-12-03,345
2023-12-04,460
2023-12-05,421
2023-12-06,422
2023-12-07,375
2023-12-08,401
2023-12-09,436
2023-12-10,431
2023-12-11,487
2023-12-12,603
2023-12-13,423
2023-12-14,431
2023-12-15,447
2023-12-16,497
2023-12-17,578
2023-12-18,671
2023-12-19,683
2023-12-20,476
2023-12-21,564
2023-12-22,492
2023-12-23,440
2023-12-24,333
2023-12-25,443
2023-12-26,514
2023-12-27,296
2023-12-28,300
2023-12-29,323
2023-12-30,350
2023-12-31,262
2024-01-01,362
2024-01-02,382
2024-01-03,275
2024-01-04,331
2024-01-05,317
2024-01-06,329
2024-01-07,339
2024-01-08,461
2024-01-09,463
2024-01-10,381
2024-01-11,659
2024-01-12,731
2024-01-13,712
2024-01-14,422
2024-01-15,169
2024-01-16,351
2024-01-17,436
2024-01-18,472
2024-01-19,445
2024-01-20,321
2024-01-21,349
2024-01-22,462
2024-01-23,415
2024-01-24,345
2024-01-25,326
2024-01-26,397
2024-01-27,319
2024-01-28,311
2024-01-29,465
2024-01-30,498
2024-01-31,310
2024-02-01,294
2024-02-02,325
2024-02-03,311
2024-02-04,334
2024-02-05,419
2024-02-06,472
2024-02-07,348
2024-02-08,365
2024-02-09,376
2024-02-10,398
2024-02-11,360
2024-02-12,483
2024-02-13,552
2024-02-14,366
2024-02-15,379
2024-02-16,374
2024-02-17,379
2024-02-18,401
2024-02-19,473
2024-02-20,531
2024-02-21,391
2024-02-22,447
2024-02-23,408
2024-02-24,329
2024-02-25,312
2024-02-26,453
2024-02-27,527
2024-02-28,481
2024-02-29,898
2024-03-01,1052
2024-03-02,1261
2024-03-03,1103
2024-03-04,1283
2024-03-05,1367
2024-03-06,1257
2024-03-07,1227
2024-03-08,1309
2024-03-09,1170
2024-03-10,1158
2024-03-11,1307
2024-03-12,1396
2024-03-13,1272
2024-03-14,1234
2024-03-15,1174
2024-03-16,1181
2024-03-17,1340
2024-03-18,1570
2024-03-19,116
2024-03-20,88
2024-03-21,43
2024-03-22,46
2024-03-23,62
2024-03-24,69
2024-03-25,84
2024-03-26,100
2024-03-27,56
2024-03-28,69
2024-03-29,77
2024-03-30,75
2024-03-31,72
2024-04-01,82
2024-04-02,95
2024-04-03,65
2024-04-04,74
2024-04-05,69
2024-04-06,69
2024-04-07,68
2024-04-08,101
2024-04-09,102
2024-04-10,69
2024-04-11,73
2024-04-12,83
2024-04-13,77
2024-04-14,75
2024-04-15,97
2024-04-16,264
2024-04-17,201
2024-04-18,212
2024-04-19,205
2024-04-20,147
2024-04-21,151
2024-04-22,227
2024-04-23,235
2024-04-24,167
2024-04-25,144
2024-04-26,153
2024-04-27,161
2024-04-28,169
2024-04-29,209
2024-04-30,227
2024-05-01,167
2024-05-02,175
2024-05-03,180
2024-05-04,176
2024-05-05,165
2024-05-06,215
2024-05-07,266
2024-05-08,245
2024-05-09,211
2024-05-10,197
2024-05-11,181
2024-05-12,164
2024-05-13,249
2024-05-14,243
2024-05-15,152
2024-05-16,167
2024-05-17,189
2024-05-18,156
2024-05-19,165
2024-05-20,219
2024-05-21,245
2024-05-22,138
2024-05-23,148
2024-05-24,144
2024-05-25,139
2024-05-26,142
2024-05-27,184
2024-05-28,201
2024-05-29,143
2024-05-30,158
2024-05-31,150
2024-06-01,142
2024-06-02,157
2024-06-03,206
2024-06-04,214
2024-06-05,146
2024-06-06,161
2024-06-07,164
2024-06-08,162
2024-06-09,156
2024-06-10,202
2024-06-11,207
2024-06-12,144
2024-06-13,167
2024-06-14,163
2024-06-15,151
2024-06-16,145
2024-06-17,207
2024-06-18,224
2024-06-19,158
2024-06-20,141
2024-06-21,162
2024-06-22,142
2024-06-23,157
2024-06-24,208
2024-06-25,194
2024-06-26,133
2024-06-27,142
2024-06-28,158
2024-06-29,149
2024-06-30,158
2024-07-01,201
2024-07-02,201
2024-07-03,178
2024-07-04,183
2024-07-05,177
2024-07-06,188
2024-07-07,150
2024-07-08,221
2024-07-09,216
2024-07-10,166
2024-07-11,174
2024-07-12,195
2024-07-13,186
2024-07-14,178
2024-07-15,220
2024-07-16,411
2024-07-17,353
2024-07-18,270
2024-07-19,221
2024-07-20,188
2024-07-21,182
2024-07-22,207
2024-07-23,249
2024-07-24,161
2024-07-25,159
2024-07-26,188
2024-07-27,162
2024-07-28,152
2024-07-29,215
2024-07-30,214
2024-07-31,161
2024-08-01,164
2024-08-02,176
2024-08-03,181
2024-08-04,155
2024-08-05,204
2024-08-06,213
2024-08-07,194
2024-08-09,163
2024-08-10,159
2024-08-11,158
2024-08-12,207
2024-08-13,225
2024-08-14,166
2024-08-15,160
2024-08-16,165
2024-08-17,175
2024-08-18,168
2024-08-19,201
2024-08-20,200
2024-08-21,164
2024-08-22,168
2024-08-23,170
2024-08-24,164
2024-08-25,169
2024-08-26,231
2024-08-27,257
2024-08-28,184
2024-08-29,193
2024-08-30,201
2024-08-31,181
2024-09-01,180
2024-09-02,256
2024-09-03,151
2024-09-04,96
2024-09-05,129
2024-09-06,142
2024-09-07,160
2024-09-08,156
2024-09-09,211
2024-09-10,221
2024-09-11,146
2024-09-12,138
2024-09-13,139
2024-09-14,129
2024-09-15,142
2024-09-16,205
2024-09-17,205
2024-09-18,142
2024-09-19,138
2024-09-20,143
2024-09-21,145
2024-09-22,146
2024-09-23,221
2024-09-24,223
2024-09-25,138
2024-09-26,152
2024-09-27,145
2024-09-28,132
2024-09-29,131
2024-09-30,174
2024-10-01,169
2024-10-02,132
2024-10-03,134
2024-10-04,140
2024-10-05,121
2024-10-06,121
2024-10-07,166
2024-10-08,298
2024-10-09,226
2024-10-10,182
2024-10-11,155
2024-10-12,137
2024-10-13,154
2024-10-14,171
2024-10-15,182
2024-10-16,137
2024-10-17,123
2024-10-18,135
2024-10-19,123
2024-10-20,123
2024-10-21,171
2024-10-22,173
2024-10-23,120
2024-10-24,122
2024-10-25,145
2024-10-26,162
2024-10-27,127
2024-10-28,172
2024-10-29,185
2024-10-30,129
2024-10-31,142
2024-11-01,135
2024-11-02,133
2024-11-03,144
2024-11-04,189
2024-11-05,195
2024-11-06,318
2024-11-07,411
2024-11-08,468
2024-11-09,494
2024-11-10,491
2024-11-11,637
2024-11-12,654
2024-11-13,533
2024-11-14,65
2024-11-15,244
2024-11-16,314
2024-11-17,375
2024-11-18,412
2024-11-19,436
2024-11-20,269
2024-11-21,370
2024-11-22,419
2024-11-23,398
2024-11-24,383
2024-11-25,423
2024-11-26,433
2024-11-27,310
2024-11-28,368
2024-11-29,548
2024-11-30,530
2024-12-01,455
2024-12-02,627
2024-12-03,539
2024-12-04,358
2024-12-05,347
2024-12-06,365
2024-12-07,382
2024-12-08,333
2024-12-09,431
2024-12-10,454
2024-12-11,330
2024-12-12,400
2024-12-13,426
2024-12-14,437
2024-12-15,427
2024-12-16,528
2024-12-17,533
2024-12-18,383
2024-12-19,398
2024-12-20,471
2024-12-21,441
2024-12-22,398
2024-12-23,483
2024-12-24,450
2024-12-25,248
2024-12-26,310
2024-12-27,303
2024-12-28,312
2024-12-29,276
2024-12-30,390
2024-12-31,407
2025-01-01,274
2025-01-02,294
2025-01-03,318
2025-01-04,289
2025-01-05,304
2025-01-06,363
2025-01-07,387
2025-01-08,297
2025-01-09,308
2025-01-10,304
