,Sales Rank
2022-12-14,285
2022-12-15,310
2022-12-16,308
2022-12-17,322
2022-12-18,334
2022-12-19,342
2022-12-20,372
2022-12-21,370
2022-12-22,316
2022-12-23,301
2022-12-24,308
2022-12-25,243
2022-12-26,240
2022-12-27,236
2022-12-28,241
2022-12-29,244
2022-12-30,242
2022-12-31,231
2023-01-01,220
2023-01-02,216
2023-01-03,224
2023-01-04,234
2023-01-05,236
2023-01-06,237
2023-01-07,243
2023-01-08,256
2023-01-09,268
2023-01-10,276
2023-01-11,279
2023-01-12,245
2023-01-13,237
2023-01-14,230
2023-01-15,249
2023-01-16,233
2023-01-17,218
2023-01-18,245
2023-01-19,247
2023-01-20,246
2023-01-21,268
2023-01-22,272
2023-01-23,239
2023-01-24,151
2023-01-25,231
2023-01-26,248
2023-01-27,278
2023-01-28,223
2023-01-29,226
2023-01-30,208
2023-01-31,211
2023-02-01,251
2023-02-02,221
2023-02-03,193
2023-02-04,199
2023-02-05,221
2023-02-06,204
2023-02-07,189
2023-02-08,174
2023-02-09,132
2023-02-10,48
2023-02-11,84
2023-02-12,102
2023-02-13,149
2023-02-14,194
2023-02-15,170
2023-02-16,180
2023-02-17,190
2023-02-18,206
2023-02-19,204
2023-02-20,186
2023-02-21,158
2023-02-22,169
2023-02-23,180
2023-02-24,153
2023-02-25,159
2023-02-26,194
2023-02-27,194
2023-02-28,182
2023-03-01,172
2023-03-02,163
2023-03-03,170
2023-03-04,200
2023-03-05,212
2023-03-06,196
2023-03-07,176
2023-03-08,145
2023-03-09,145
2023-03-10,191
2023-03-11,214
2023-03-12,235
2023-03-13,205
2023-03-14,224
2023-03-15,259
2023-03-16,222
2023-03-17,224
2023-03-18,244
2023-03-19,228
2023-03-20,203
2023-03-21,196
2023-03-22,209
2023-03-23,189
2023-03-24,171
2023-03-25,199
2023-03-26,232
2023-03-27,179
2023-03-28,186
2023-03-29,174
2023-03-30,162
2023-03-31,170
2023-04-01,182
2023-04-02,199
2023-04-03,171
2023-04-04,171
2023-04-05,183
2023-04-06,198
2023-04-07,160
2023-04-08,188
2023-04-09,214
2023-04-10,172
2023-04-11,192
2023-04-12,185
2023-04-13,216
2023-04-14,191
2023-04-15,210
2023-04-16,217
2023-04-17,174
2023-04-18,183
2023-04-19,198
2023-04-20,180
2023-04-21,165
2023-04-22,144
2023-04-23,153
2023-04-24,126
2023-04-25,127
2023-04-26,126
2023-04-27,188
2023-04-28,172
2023-04-29,185
2023-04-30,188
2023-05-01,186
2023-05-02,191
2023-05-03,205
2023-05-04,195
2023-05-05,183
2023-05-06,217
2023-05-07,218
2023-05-08,161
2023-05-09,184
2023-05-10,169
2023-05-11,190
2023-05-12,194
2023-05-13,235
2023-05-14,250
2023-05-15,224
2023-05-16,193
2023-05-17,181
2023-05-18,186
2023-05-19,185
2023-05-20,206
2023-05-21,220
2023-05-22,174
2023-05-23,144
2023-05-24,179
2023-05-25,176
2023-05-26,184
2023-05-27,194
2023-05-28,214
2023-05-31,176
2023-06-01,183
2023-06-02,176
2023-06-03,196
2023-06-04,194
2023-06-05,158
2023-06-06,182
2023-06-07,168
2023-06-08,177
2023-06-09,174
2023-06-10,189
2023-06-11,192
2023-06-12,164
2023-06-13,164
2023-06-14,160
2023-06-15,168
2023-06-16,179
2023-06-17,101
2023-06-18,148
2023-06-19,150
2023-06-20,280
2023-06-21,275
2023-06-22,257
2023-06-23,282
2023-06-24,248
2023-06-25,263
2023-06-26,257
2023-06-27,235
2023-06-28,230
2023-06-29,274
2023-06-30,249
2023-07-01,260
2023-07-02,290
2023-07-03,174
2023-07-04,171
2023-07-05,186
2023-07-06,168
2023-07-07,169
2023-07-08,180
2023-07-09,193
2023-07-10,159
2023-07-11,235
2023-07-12,291
2023-07-13,268
2023-07-14,215
2023-07-15,206
2023-07-16,192
2023-07-17,164
2023-07-18,166
2023-07-19,168
2023-07-20,181
2023-07-21,179
2023-07-22,188
2023-07-23,185
2023-07-24,164
2023-07-25,29
2023-07-26,63
2023-07-27,142
2023-07-28,153
2023-07-29,190
2023-07-30,198
2023-07-31,177
2023-08-01,185
2023-08-02,190
2023-08-04,174
2023-08-05,166
2023-08-06,178
2023-08-07,185
2023-08-08,160
2023-08-09,163
2023-08-10,165
2023-08-11,171
2023-08-12,177
2023-08-13,181
2023-08-14,149
2023-08-15,162
2023-08-16,146
2023-08-17,169
2023-08-18,161
2023-08-19,163
2023-08-20,178
2023-08-21,150
2023-08-22,148
2023-08-23,139
2023-08-24,159
2023-08-25,137
2023-08-26,154
2023-08-27,160
2023-08-28,133
2023-08-29,139
2023-08-30,144
2023-08-31,142
2023-09-01,149
2023-09-02,176
2023-09-03,179
2023-09-04,151
2023-09-05,159
2023-09-06,164
2023-09-07,145
2023-09-08,139
2023-09-09,158
2023-09-10,167
2023-09-11,143
2023-09-12,140
2023-09-13,141
2023-09-14,137
2023-09-15,137
2023-09-16,153
2023-09-17,163
2023-09-18,137
2023-09-19,132
2023-09-20,153
2023-09-21,163
2023-09-22,161
2023-09-23,162
2023-09-24,166
2023-09-25,145
2023-09-26,137
2023-09-27,152
2023-09-28,142
2023-09-29,127
2023-09-30,147
2023-10-01,159
2023-10-02,142
2023-10-03,141
2023-10-04,150
2023-10-05,156
2023-10-06,150
2023-10-07,162
2023-10-08,156
2023-10-09,127
2023-10-10,178
2023-10-11,177
2023-10-12,167
2023-10-13,152
2023-10-14,152
2023-10-15,161
2023-10-16,129
2023-10-17,141
2023-10-18,126
2023-10-19,133
2023-10-20,127
2023-10-21,147
2023-10-22,159
2023-10-23,117
2023-10-24,110
2023-10-25,108
2023-10-26,129
2023-10-27,117
2023-10-28,139
2023-10-29,143
2023-10-30,123
2023-10-31,119
2023-11-01,126
2023-11-02,135
2023-11-03,130
2023-11-04,134
2023-11-05,133
2023-11-06,116
2023-11-07,120
2023-11-08,114
2023-11-09,132
2023-11-10,337
2023-11-11,356
2023-11-12,355
2023-11-13,297
2023-11-14,326
2023-11-15,312
2023-11-16,337
2023-11-17,328
2023-11-18,372
2023-11-19,381
2023-11-20,329
2023-11-21,305
2023-11-22,327
2023-11-23,1154
2023-11-24,1329
2023-11-25,1579
2023-11-26,1495
2023-11-27,1427
2023-11-28,1372
2023-11-29,1235
2023-11-30,1201
2023-12-01,1312
2023-12-02,1318
2023-12-03,1346
2023-12-04,1186
2023-12-05,1194
2023-12-06,1240
2023-12-07,1350
2023-12-08,1325
2023-12-09,1499
2023-12-10,1468
2023-12-11,1301
2023-12-12,1241
2023-12-13,1315
2023-12-14,25197
2023-12-15,138
2023-12-16,147
2023-12-17,166
2023-12-18,29700
2023-12-19,38049
2023-12-20,29925
2023-12-21,38461
2023-12-22,36634
2023-12-23,45063
2023-12-24,23213
2023-12-25,21710
2023-12-26,27537
2023-12-27,20926
2023-12-28,21635
2023-12-29,27265
2023-12-30,27533
2023-12-31,26153
2024-01-01,22958
2024-01-02,24797
2024-01-03,25368
2024-01-04,109
2024-01-05,107
2024-01-06,118
2024-01-07,118
2024-01-08,106
2024-01-09,109
2024-01-10,1061
2024-01-11,1064
2024-01-12,1044
2024-01-13,1204
2024-01-14,1335
2024-01-15,1199
2024-01-16,1060
2024-01-17,1087
2024-01-18,1051
2024-01-19,1192
2024-01-20,1016
2024-01-21,1099
2024-01-22,959
2024-01-23,912
2024-01-24,916
2024-01-25,944
2024-01-26,995
2024-01-27,1029
2024-01-28,1064
2024-01-29,940
2024-01-30,862
2024-01-31,896
2024-02-01,965
2024-02-02,1085
2024-02-03,1023
2024-02-04,1063
2024-02-05,1017
2024-02-06,1039
2024-02-07,1036
2024-02-08,1097
2024-02-09,1070
2024-02-10,1086
2024-02-11,1104
2024-02-12,1001
2024-02-13,1081
2024-02-14,1104
2024-02-15,1035
2024-02-16,1014
2024-02-17,1176
2024-02-18,1071
2024-02-19,960
2024-02-20,1037
2024-02-21,969
2024-02-22,1038
2024-02-23,902
2024-02-24,1035
2024-02-25,1143
2024-02-26,999
2024-02-27,999
2024-02-28,1039
2024-02-29,1014
2024-03-01,110
2024-03-02,133
2024-03-03,135
2024-03-04,117
2024-03-05,117
2024-03-06,112
2024-03-07,113
2024-03-08,114
2024-03-09,125
2024-03-10,125
2024-03-11,105
2024-03-12,107
2024-03-13,121
2024-03-14,112
2024-03-15,109
2024-03-16,116
2024-03-17,132
2024-03-18,108
2024-03-19,109
2024-03-20,115
2024-03-21,118
2024-03-22,102
2024-03-23,114
2024-03-24,130
2024-03-25,96
2024-03-26,85
2024-03-27,88
2024-03-28,87
2024-03-29,88
2024-03-30,118
2024-03-31,135
2024-04-01,108
2024-04-02,103
2024-04-03,110
2024-04-04,106
2024-04-05,110
2024-04-06,110
2024-04-07,119
2024-04-08,92
2024-04-09,99
2024-04-10,110
2024-04-11,111
2024-04-12,103
2024-04-13,117
2024-04-14,121
2024-04-15,105
2024-04-16,105
2024-04-17,108
2024-04-18,98
2024-04-19,100
2024-04-20,116
2024-04-21,118
2024-04-22,94
2024-04-23,84
2024-04-24,90
2024-04-25,95
2024-04-26,101
2024-04-27,100
2024-04-28,104
2024-04-29,80
2024-04-30,84
2024-05-01,87
2024-05-02,84
2024-05-03,89
2024-05-04,97
2024-05-05,112
2024-05-06,93
2024-05-07,123
2024-05-08,139
2024-05-09,122
2024-05-10,104
2024-05-11,111
2024-05-12,119
2024-05-13,98
2024-05-14,98
2024-05-15,96
