,Sales Rank
2022-12-14,997
2022-12-15,918
2022-12-16,993
2022-12-17,961
2022-12-18,1088
2022-12-19,1049
2022-12-20,994
2022-12-21,965
2022-12-22,895
2022-12-23,956
2022-12-24,933
2022-12-25,934
2022-12-26,873
2022-12-27,858
2022-12-28,872
2022-12-29,768
2022-12-30,780
2022-12-31,900
2023-01-01,808
2023-01-02,800
2023-01-03,713
2023-01-04,761
2023-01-05,766
2023-01-06,743
2023-01-07,765
2023-01-08,777
2023-01-09,797
2023-01-10,825
2023-01-11,831
2023-01-12,820
2023-01-13,787
2023-01-14,852
2023-01-15,814
2023-01-16,796
2023-01-17,774
2023-01-18,749
2023-01-19,821
2023-01-20,770
2023-01-21,940
2023-01-22,948
2023-01-23,769
2023-01-24,815
2023-01-25,815
2023-01-26,783
2023-01-27,732
2023-01-28,816
2023-01-29,897
2023-01-30,800
2023-01-31,805
2023-02-01,770
2023-02-02,767
2023-02-03,719
2023-02-04,629
2023-02-05,611
2023-02-06,545
2023-02-07,536
2023-02-08,630
2023-02-09,568
2023-02-10,534
2023-02-11,662
2023-02-12,581
2023-02-13,570
2023-02-14,462
2023-02-15,295
2023-02-16,359
2023-02-17,507
2023-02-18,655
2023-02-19,801
2023-02-20,791
2023-02-21,718
2023-02-22,792
2023-02-23,847
2023-02-24,13649
2023-02-25,996
2023-02-26,1267
2023-02-27,1038
2023-02-28,959
2023-03-01,1090
2023-03-02,1103
2023-03-03,915
2023-03-04,1150
2023-03-05,1267
2023-03-06,1137
2023-03-07,965
2023-03-08,1015
2023-03-09,922
2023-03-10,849
2023-03-11,848
2023-03-12,930
2023-03-13,748
2023-03-14,803
2023-03-15,835
2023-03-16,747
2023-03-17,825
2023-03-18,863
2023-03-19,851
2023-03-20,699
2023-03-21,775
2023-03-22,812
2023-03-23,723
2023-03-24,731
2023-03-25,789
2023-03-26,883
2023-03-27,736
2023-03-28,826
2023-03-29,715
2023-03-30,700
2023-03-31,716
2023-04-01,818
2023-04-02,877
2023-04-03,806
2023-04-04,744
2023-04-05,806
2023-04-06,839
2023-04-07,772
2023-04-08,859
2023-04-09,908
2023-04-10,733
2023-04-11,755
2023-04-12,754
2023-04-13,736
2023-04-14,708
2023-04-15,735
2023-04-16,811
2023-04-17,752
2023-04-18,636
2023-04-19,694
2023-04-20,753
2023-04-21,621
2023-04-22,713
2023-04-23,650
2023-04-24,701
2023-04-25,749
2023-04-26,724
2023-04-27,666
2023-04-28,745
2023-04-29,737
2023-04-30,796
2023-05-01,687
2023-05-02,227
2023-05-03,205
2023-05-04,271
2023-05-05,415
2023-05-06,593
2023-05-07,601
2023-05-08,543
2023-05-09,625
2023-05-10,628
2023-05-11,785
2023-05-12,645
2023-05-13,772
2023-05-14,861
2023-05-15,823
2023-05-16,834
2023-05-17,826
2023-05-18,875
2023-05-19,863
2023-05-20,866
2023-05-21,944
2023-05-22,802
2023-05-23,683
2023-05-24,746
2023-05-25,648
2023-05-26,685
2023-05-27,720
2023-05-28,794
2023-05-31,778
2023-06-01,774
2023-06-02,736
2023-06-03,813
2023-06-04,870
2023-06-05,870
2023-06-06,694
2023-06-07,682
2023-06-08,753
2023-06-09,800
2023-06-10,864
2023-06-11,822
2023-06-12,833
2023-06-13,877
2023-06-14,857
2023-06-15,900
2023-06-16,860
2023-06-17,957
2023-06-18,860
2023-06-19,819
2023-06-20,871
2023-06-21,834
2023-06-22,908
2023-06-23,769
2023-06-24,754
2023-06-25,285
2023-06-26,274
2023-06-27,425
2023-06-28,588
2023-06-29,603
2023-06-30,643
2023-07-01,714
2023-07-02,810
2023-07-03,579
2023-07-04,733
2023-07-05,666
2023-07-06,589
2023-07-07,529
2023-07-08,620
2023-07-09,597
2023-07-10,666
2023-07-11,230
2023-07-12,217
2023-07-13,302
2023-07-14,387
2023-07-15,471
2023-07-16,538
2023-07-17,610
2023-07-18,434
2023-07-19,761
2023-07-20,776
2023-07-21,549
2023-07-22,682
2023-07-23,640
2023-07-24,593
2023-07-25,645
2023-07-26,598
2023-07-27,623
2023-07-28,591
2023-07-29,710
2023-07-30,762
2023-07-31,718
2023-08-01,665
2023-08-02,737
2023-08-03,765
2023-08-04,717
2023-08-05,969
2023-08-06,714
2023-08-07,731
2023-08-08,601
2023-08-09,745
2023-08-10,762
2023-08-11,790
2023-08-12,792
2023-08-13,914
2023-08-14,800
2023-08-15,733
2023-08-16,755
2023-08-17,664
2023-08-18,701
2023-08-19,758
2023-08-20,786
2023-08-21,740
2023-08-22,728
2023-08-23,754
2023-08-24,764
2023-08-25,605
2023-08-26,639
2023-08-27,713
2023-08-28,650
2023-08-29,630
2023-08-30,606
2023-08-31,645
2023-09-01,637
2023-09-02,700
2023-09-03,798
2023-09-04,658
2023-09-05,683
2023-09-06,647
2023-09-07,682
2023-09-08,686
2023-09-09,794
2023-09-10,865
2023-09-11,701
2023-09-12,742
2023-09-13,761
2023-09-14,651
2023-09-15,699
2023-09-16,788
2023-09-17,814
2023-09-18,721
2023-09-19,696
2023-09-20,736
2023-09-21,679
2023-09-22,707
2023-09-23,693
2023-09-24,756
2023-09-25,712
2023-09-26,725
2023-09-27,768
2023-09-28,743
2023-09-29,670
2023-09-30,828
2023-10-01,835
2023-10-02,775
2023-10-03,712
2023-10-04,683
2023-10-05,766
2023-10-06,743
2023-10-07,864
2023-10-08,901
2023-10-09,736
2023-10-10,750
2023-10-11,1006
2023-10-12,896
2023-10-13,823
2023-10-14,815
2023-10-15,829
2023-10-16,743
2023-10-17,862
2023-10-18,725
2023-10-19,773
2023-10-20,815
2023-10-21,840
2023-10-22,870
2023-10-23,755
2023-10-24,755
2023-10-25,697
2023-10-26,774
2023-10-27,646
2023-10-28,708
2023-10-29,848
2023-10-30,699
2023-10-31,648
2023-11-01,722
2023-11-02,698
2023-11-03,687
2023-11-04,807
2023-11-05,805
2023-11-06,683
2023-11-07,676
2023-11-08,723
2023-11-09,735
2023-11-10,786
2023-11-11,875
2023-11-12,865
2023-11-13,808
2023-11-14,721
2023-11-15,737
2023-11-16,767
2023-11-17,766
2023-11-18,764
2023-11-19,750
2023-11-20,592
2023-11-21,646
2023-11-22,635
2023-11-23,506
2023-11-24,413
2023-11-25,294
2023-11-26,478
2023-11-27,641
2023-11-28,686
2023-11-29,637
2023-11-30,648
2023-12-01,672
2023-12-02,817
2023-12-03,914
2023-12-04,860
2023-12-05,842
2023-12-06,834
2023-12-07,931
2023-12-08,813
2023-12-09,876
2023-12-10,1119
2023-12-11,992
2023-12-12,1001
2023-12-13,951
2023-12-14,918
2023-12-15,1079
2023-12-16,1122
2023-12-17,1269
2023-12-18,1007
2023-12-19,1049
2023-12-20,983
2023-12-21,855
2023-12-22,748
2023-12-23,749
2023-12-24,745
2023-12-25,605
2023-12-26,637
2023-12-27,656
2023-12-28,598
2023-12-29,634
2023-12-30,631
2023-12-31,732
2024-01-01,687
2024-01-02,807
2024-01-03,670
2024-01-04,778
2024-01-05,750
2024-01-06,843
2024-01-07,895
2024-01-08,724
2024-01-09,786
2024-01-10,849
2024-01-11,779
2024-01-12,794
2024-01-13,853
2024-01-14,875
2024-01-15,810
2024-01-16,701
2024-01-17,783
2024-01-18,761
2024-01-19,772
2024-01-20,860
2024-01-21,783
2024-01-22,705
2024-01-23,628
2024-01-24,629
2024-01-25,581
2024-01-26,605
2024-01-27,707
2024-01-28,744
2024-01-29,638
2024-01-30,611
2024-01-31,547
2024-02-01,649
2024-02-02,615
2024-02-03,666
2024-02-04,805
2024-02-05,685
2024-02-06,691
2024-02-07,628
2024-02-08,638
2024-02-09,665
2024-02-10,698
2024-02-11,658
2024-02-12,598
2024-02-13,586
2024-02-14,664
2024-02-15,602
2024-02-16,817
2024-02-17,799
