,Sales Rank
2022-12-14,1864
2022-12-15,1769
2022-12-16,2142
2022-12-17,2034
2022-12-18,2106
2022-12-19,2073
2022-12-20,2216
2022-12-21,2047
2022-12-22,2022
2022-12-23,1892
2022-12-24,1817
2022-12-25,1723
2022-12-26,1785
2022-12-27,1546
2022-12-28,1539
2022-12-29,1507
2022-12-30,1444
2022-12-31,1526
2023-01-01,1400
2023-01-02,1510
2023-01-03,1375
2023-01-04,1378
2023-01-05,1512
2023-01-06,1469
2023-01-07,1479
2023-01-08,1499
2023-01-09,1550
2023-01-10,1568
2023-01-11,1558
2023-01-12,1610
2023-01-13,1500
2023-01-14,1423
2023-01-15,1216
2023-01-16,1414
2023-01-17,1280
2023-01-18,1316
2023-01-19,1381
2023-01-20,1483
2023-01-21,1441
2023-01-22,1269
2023-01-23,1356
2023-01-24,1297
2023-01-25,1347
2023-01-26,1253
2023-01-27,1512
2023-01-28,1580
2023-01-29,1686
2023-01-30,1545
2023-01-31,1410
2023-02-01,1586
2023-02-02,1640
2023-02-03,1728
2023-02-04,1572
2023-02-05,1483
2023-02-06,1513
2023-02-07,1472
2023-02-08,1571
2023-02-09,1419
2023-02-10,1328
2023-02-11,1547
2023-02-12,1199
2023-02-13,1007
2023-02-14,1082
2023-02-15,1198
2023-02-16,1305
2023-02-17,1425
2023-02-18,1296
2023-02-19,1380
2023-02-20,1224
2023-02-21,1416
2023-02-22,1360
2023-02-23,1376
2023-02-24,1348
2023-02-25,1221
2023-02-26,1273
2023-02-27,1434
2023-02-28,1298
2023-03-01,1372
2023-03-02,1427
2023-03-03,1339
2023-03-04,1385
2023-03-05,1231
2023-03-06,1203
2023-03-07,1138
2023-03-08,1256
2023-03-09,1385
2023-03-10,1401
2023-03-11,1404
2023-03-12,1167
2023-03-13,1244
2023-03-14,1236
2023-03-15,1265
2023-03-16,1351
2023-03-17,1341
2023-03-18,1182
2023-03-19,1155
2023-03-20,1173
2023-03-21,1142
2023-03-22,1193
2023-03-23,1207
2023-03-24,1263
2023-03-25,1295
2023-03-26,1132
2023-03-27,1083
2023-03-28,1099
2023-03-29,1217
2023-03-30,1187
2023-03-31,1172
2023-04-01,1308
2023-04-02,1073
2023-04-03,1164
2023-04-04,1140
2023-04-05,1198
2023-04-06,1140
2023-04-07,1263
2023-04-08,1208
2023-04-09,1076
2023-04-10,1046
2023-04-11,1093
2023-04-12,1134
2023-04-13,1062
2023-04-14,1102
2023-04-15,988
2023-04-16,891
2023-04-17,1082
2023-04-18,1111
2023-04-19,1069
2023-04-20,955
2023-04-21,1124
2023-04-22,1071
2023-04-23,973
2023-04-24,1060
2023-04-25,1124
2023-04-26,1028
2023-04-27,1089
2023-04-28,1162
2023-04-29,1146
2023-04-30,992
2023-05-01,1031
2023-05-02,1081
2023-05-03,1229
2023-05-04,1144
2023-05-05,1249
2023-05-06,1130
2023-05-07,1061
2023-05-08,869
2023-05-09,891
2023-05-10,1043
2023-05-11,907
2023-05-12,997
2023-05-13,1148
2023-05-14,904
2023-05-15,959
2023-05-16,1134
2023-05-17,844
2023-05-18,944
2023-05-19,852
2023-05-20,788
2023-05-21,805
2023-05-22,877
2023-05-23,850
2023-05-24,920
2023-05-25,943
2023-05-26,1071
2023-05-27,1013
2023-05-28,994
2023-05-30,888
2023-05-31,832
2023-06-01,864
2023-06-02,916
2023-06-03,942
2023-06-04,852
2023-06-05,773
2023-06-06,849
2023-06-07,823
2023-06-08,891
2023-06-09,875
2023-06-10,911
2023-06-11,823
2023-06-12,885
2023-06-13,836
2023-06-14,821
2023-06-15,808
2023-06-16,926
2023-06-17,857
2023-06-18,776
2023-06-19,825
2023-06-20,863
2023-06-21,919
2023-06-22,995
2023-06-23,980
2023-06-24,1025
2023-06-25,949
2023-06-26,865
2023-06-27,941
2023-06-28,914
2023-06-29,953
2023-06-30,1025
2023-07-01,1035
2023-07-02,861
2023-07-03,975
2023-07-04,805
2023-07-05,883
2023-07-06,949
2023-07-07,1083
2023-07-08,976
2023-07-09,866
2023-07-10,912
2023-07-11,942
2023-07-12,1018
2023-07-13,956
2023-07-14,896
2023-07-15,875
2023-07-16,731
2023-07-17,741
2023-07-18,766
2023-07-19,739
2023-07-20,811
2023-07-21,934
2023-07-22,879
2023-07-23,764
2023-07-24,828
2023-07-25,844
2023-07-26,878
2023-07-27,891
2023-07-28,913
2023-07-29,1042
2023-07-30,876
2023-07-31,862
2023-08-01,842
2023-08-02,905
2023-08-03,879
2023-08-04,987
2023-08-05,944
2023-08-06,912
2023-08-07,941
2023-08-08,942
2023-08-09,967
2023-08-10,1058
2023-08-11,1067
2023-08-12,992
2023-08-13,790
2023-08-14,967
2023-08-15,772
2023-08-16,927
2023-08-17,892
2023-08-18,948
2023-08-19,891
2023-08-20,769
2023-08-21,818
2023-08-22,856
2023-08-23,926
2023-08-24,862
2023-08-25,1008
2023-08-26,970
2023-08-27,851
2023-08-28,837
2023-08-29,916
2023-08-30,1004
2023-08-31,1035
2023-09-01,1050
2023-09-02,951
2023-09-03,876
2023-09-04,888
2023-09-05,908
2023-09-06,861
2023-09-07,820
2023-09-08,1102
2023-09-09,1024
2023-09-10,914
2023-09-11,854
2023-09-12,909
2023-09-13,870
2023-09-14,862
2023-09-15,899
2023-09-16,899
2023-09-17,798
2023-09-18,795
2023-09-19,859
2023-09-20,851
2023-09-21,932
2023-09-22,1028
2023-09-23,974
2023-09-24,884
2023-09-25,878
