,Sales Rank
2022-12-14,155
2022-12-15,154
2022-12-16,195
2022-12-17,185
2022-12-18,171
2022-12-19,162
2022-12-20,176
2022-12-21,158
2022-12-22,150
2022-12-23,170
2022-12-24,170
2022-12-25,147
2022-12-26,134
2022-12-27,163
2022-12-28,157
2022-12-29,154
2022-12-30,179
2022-12-31,161
2023-01-01,145
2023-01-02,157
2023-01-03,156
2023-01-04,156
2023-01-05,154
2023-01-06,150
2023-01-07,152
2023-01-08,152
2023-01-09,157
2023-01-10,156
2023-01-11,156
2023-01-12,149
2023-01-13,153
2023-01-14,154
2023-01-15,134
2023-01-16,139
2023-01-17,141
2023-01-18,148
2023-01-19,135
2023-01-20,147
2023-01-21,155
2023-01-22,144
2023-01-23,144
2023-01-24,133
2023-01-25,141
2023-01-26,138
2023-01-27,147
2023-01-28,139
2023-01-29,129
2023-01-30,152
2023-01-31,138
2023-02-01,148
2023-02-02,142
2023-02-03,160
2023-02-04,158
2023-02-05,132
2023-02-06,157
2023-02-07,142
2023-02-08,139
2023-02-09,147
2023-02-10,163
2023-02-11,162
2023-02-12,134
2023-02-13,101
2023-02-14,122
2023-02-15,133
2023-02-16,132
2023-02-17,150
2023-02-18,143
2023-02-19,142
2023-02-20,140
2023-02-21,180
2023-02-22,182
2023-02-23,154
2023-02-24,155
2023-02-25,144
2023-02-26,142
2023-02-27,146
2023-02-28,136
2023-03-01,156
2023-03-02,153
2023-03-03,168
2023-03-04,144
2023-03-05,132
2023-03-06,155
2023-03-07,143
2023-03-08,147
2023-03-09,151
2023-03-10,155
2023-03-11,155
2023-03-12,124
2023-03-13,135
2023-03-14,131
2023-03-15,112
2023-03-16,148
2023-03-17,141
2023-03-18,134
2023-03-19,107
2023-03-20,117
2023-03-21,119
2023-03-22,121
2023-03-23,121
2023-03-24,158
2023-03-25,171
2023-03-26,135
2023-03-27,164
2023-03-28,151
2023-03-29,131
2023-03-30,133
2023-03-31,155
2023-04-01,150
2023-04-02,119
2023-04-03,149
2023-04-04,155
2023-04-05,148
