,Sales Rank
2022-12-14,167
2022-12-15,173
2022-12-16,162
2022-12-17,179
2022-12-18,156
2022-12-19,178
2022-12-20,118
2022-12-21,193
2022-12-22,301
2022-12-23,378
2022-12-24,431
2022-12-25,435
2022-12-26,612
2022-12-27,713
2022-12-28,854
2022-12-29,918
2022-12-30,662
2022-12-31,671
2023-01-01,828
2023-01-02,743
2023-01-03,775
2023-01-04,734
2023-01-05,624
2023-01-06,645
2023-01-07,635
2023-01-08,605
2023-01-09,606
2023-01-10,596
2023-01-11,592
2023-01-12,561
2023-01-13,710
2023-01-14,863
2023-01-15,972
2023-01-16,1018
2023-01-17,1040
2023-01-18,1055
2023-01-19,1086
2023-01-20,1155
2023-01-21,1234
2023-01-22,1088
2023-01-23,1384
2023-01-24,1209
2023-01-25,1206
2023-01-26,1226
2023-01-27,1288
2023-01-28,1078
2023-01-29,1140
2023-01-30,1014
2023-01-31,1221
2023-02-01,1300
2023-02-02,1317
2023-02-03,1034
2023-02-04,1124
2023-02-05,1126
2023-02-06,1158
2023-02-07,1171
2023-02-08,1101
2023-02-09,1121
2023-02-10,1081
2023-02-11,1037
2023-02-12,1083
2023-02-13,1119
2023-02-14,1150
2023-02-15,1213
2023-02-16,1365
2023-02-17,1331
2023-02-18,1297
2023-02-19,1209
2023-02-20,1213
2023-02-21,1208
2023-02-22,1171
2023-02-23,1184
2023-02-24,1112
2023-02-25,1074
2023-02-26,1115
2023-02-27,1274
2023-02-28,1126
2023-03-01,1144
2023-03-02,1078
2023-03-03,968
2023-03-04,977
2023-03-05,939
2023-03-06,967
2023-03-07,969
2023-03-08,962
2023-03-09,841
2023-03-10,832
2023-03-11,760
2023-03-12,722
2023-03-13,768
2023-03-14,729
2023-03-15,705
2023-03-16,735
2023-03-17,689
2023-03-18,573
2023-03-19,559
2023-03-20,642
2023-03-21,651
2023-03-22,596
2023-03-23,611
2023-03-24,593
2023-03-25,562
2023-03-26,541
2023-03-27,698
2023-03-28,660
2023-03-29,483
2023-03-30,627
2023-03-31,533
2023-04-01,549
2023-04-02,582
2023-04-03,646
2023-04-04,750
2023-04-05,705
2023-04-06,740
2023-04-07,673
2023-04-08,716
2023-04-09,764
2023-04-10,829
2023-04-11,829
2023-04-12,838
2023-04-13,876
2023-04-14,846
2023-04-15,779
2023-04-16,821
2023-04-17,864
2023-04-18,827
2023-04-19,726
2023-04-20,722
2023-04-21,718
2023-04-22,742
2023-04-23,766
2023-04-24,801
2023-04-25,598
2023-04-26,609
2023-04-27,528
2023-04-28,472
2023-04-29,506
2023-04-30,482
2023-05-01,503
2023-05-02,524
2023-05-03,556
2023-05-04,570
2023-05-05,544
2023-05-06,584
2023-05-07,565
2023-05-08,642
2023-05-09,638
2023-05-10,564
2023-05-11,575
2023-05-12,463
2023-05-13,324
2023-05-14,312
2023-05-15,323
2023-05-16,273
2023-05-17,320
2023-05-18,299
2023-05-19,286
2023-05-20,235
2023-05-21,236
2023-05-22,295
2023-05-23,292
2023-05-24,307
2023-05-25,359
2023-05-26,369
2023-05-27,372
2023-05-28,365
2023-05-30,476
2023-05-31,436
2023-06-01,414
2023-06-02,371
2023-06-03,369
2023-06-04,355
2023-06-05,357
2023-06-06,393
2023-06-07,335
2023-06-08,335
2023-06-09,308
2023-06-10,289
2023-06-11,298
2023-06-12,275
2023-06-13,279
2023-06-14,225
2023-06-15,208
2023-06-16,232
2023-06-17,201
2023-06-18,194
2023-06-19,211
2023-06-20,199
2023-06-21,178
2023-06-22,191
2023-06-23,175
2023-06-24,388
2023-06-25,370
2023-06-26,402
2023-06-27,428
2023-06-28,429
2023-06-29,389
2023-06-30,418
2023-07-01,382
2023-07-02,330
2023-07-03,348
2023-07-04,309
2023-07-05,372
2023-07-06,358
2023-07-07,385
2023-07-08,394
2023-07-09,441
2023-07-10,459
2023-07-11,616
2023-07-12,534
2023-07-13,304
2023-07-14,381
2023-07-15,393
2023-07-16,361
2023-07-17,432
2023-07-18,399
2023-07-19,402
2023-07-20,480
2023-07-21,500
2023-07-22,489
2023-07-23,541
2023-07-24,570
2023-07-25,531
2023-07-26,574
2023-07-27,511
2023-07-28,554
2023-07-29,459
2023-07-30,446
2023-07-31,467
2023-08-01,535
2023-08-02,490
2023-08-03,509
2023-08-04,500
2023-08-05,468
2023-08-06,448
2023-08-07,469
2023-08-08,506
2023-08-09,457
2023-08-11,498
2023-08-12,444
2023-08-13,440
2023-08-14,520
2023-08-15,471
2023-08-16,519
2023-08-17,501
2023-08-18,477
2023-08-19,457
2023-08-20,529
2023-08-21,534
2023-08-22,180
2023-08-23,182
2023-08-24,197
2023-08-25,245
2023-08-26,241
2023-08-27,198
2023-08-28,219
2023-08-29,241
2023-08-30,286
2023-08-31,310
2023-09-01,301
2023-09-02,303
2023-09-03,282
2023-09-04,316
2023-09-05,351
2023-09-06,327
2023-09-07,388
2023-09-08,320
2023-09-09,321
2023-09-10,352
2023-09-11,390
2023-09-12,331
2023-09-13,281
2023-09-14,237
2023-09-15,217
2023-09-16,174
2023-09-17,174
2023-09-18,187
2023-09-19,179
2023-09-20,171
2023-09-21,159
2023-09-22,159
2023-09-23,167
2023-09-24,154
2023-09-25,173
2023-09-26,177
2023-09-27,174
2023-09-28,183
2023-09-29,170
2023-09-30,205
2023-10-01,206
2023-10-02,236
2023-10-03,238
2023-10-04,268
2023-10-05,247
2023-10-06,251
2023-10-07,240
2023-10-08,255
2023-10-09,281
2023-10-10,340
2023-10-11,345
2023-10-12,345
2023-10-13,336
2023-10-14,315
2023-10-15,272
2023-10-16,299
2023-10-17,306
2023-10-18,5571
2023-10-19,6203
2023-10-20,5908
2023-10-21,5961
2023-10-22,5621
2023-10-23,6382
2023-10-24,6907
2023-10-25,6309
2023-10-26,6189
2023-10-27,5915
2023-10-28,5770
2023-10-29,6255
2023-10-30,6624
2023-10-31,7004
2023-11-01,7907
2023-11-02,6744
2023-11-03,6106
2023-11-04,5375
2023-11-05,6179
2023-11-06,6794
2023-11-07,6474
2023-11-08,7034
2023-11-09,5520
2023-11-10,6569
2023-11-11,5619
2023-11-12,4731
2023-11-13,5405
2023-11-14,4947
2023-11-15,5527
2023-11-16,4908
2023-11-17,4314
2023-11-18,4126
2023-11-19,4706
2023-11-20,4143
2023-11-21,3428
2023-11-22,3265
2023-11-23,3645
2023-11-24,3817
2023-11-25,4052
2023-11-26,3949
2023-11-27,4021
2023-11-28,3791
2023-11-29,3836
2023-11-30,3908
2023-12-01,3211
2023-12-02,3645
2023-12-03,2993
2023-12-04,2792
2023-12-05,2760
2023-12-06,2872
2023-12-07,2728
2023-12-08,82
2023-12-09,65
2023-12-10,64
2023-12-11,55
2023-12-12,59
2023-12-13,51
2023-12-14,54
2023-12-15,51
2023-12-16,44
2023-12-17,40
2023-12-18,42
2023-12-19,42
2023-12-20,51
2023-12-21,51
2023-12-22,57
2023-12-23,63
2023-12-24,75
2023-12-25,100
2023-12-26,143
2023-12-27,190
2023-12-28,208
2023-12-29,192
2023-12-30,166
2023-12-31,177
2024-01-01,216
2024-01-02,228
2024-01-03,219
2024-01-04,209
2024-01-05,227
2024-01-06,215
2024-01-07,208
2024-01-08,265
2024-01-09,241
2024-01-10,230
2024-01-11,256
2024-01-12,233
2024-01-13,268
2024-01-14,267
2024-01-15,301
2024-01-16,321
2024-01-17,290
2024-01-18,319
2024-01-19,303
2024-01-20,329
2024-01-21,313
2024-01-22,354
2024-01-23,336
2024-01-24,318
2024-01-25,264
2024-01-26,232
2024-01-27,251
2024-01-28,243
2024-01-29,304
2024-01-30,305
2024-01-31,288
2024-02-01,318
2024-02-02,272
2024-02-03,256
2024-02-04,258
2024-02-05,292
2024-02-06,323
2024-02-07,326
2024-02-08,362
2024-02-09,337
2024-02-10,341
2024-02-11,333
2024-02-12,364
2024-02-13,363
2024-02-14,426
2024-02-15,408
2024-02-16,402
2024-02-17,368
2024-02-18,350
2024-02-19,361
2024-02-20,401
2024-02-21,378
2024-02-22,393
2024-02-23,433
2024-02-24,380
2024-02-25,407
2024-02-26,450
2024-02-27,472
2024-02-28,374
2024-02-29,413
2024-03-01,369
2024-03-02,369
2024-03-03,370
2024-03-04,431
2024-03-05,448
2024-03-06,476
2024-03-07,373
2024-03-08,377
2024-03-09,348
2024-03-10,337
2024-03-11,409
2024-03-12,403
2024-03-13,417
2024-03-14,385
2024-03-15,396
2024-03-16,383
2024-03-17,364
2024-03-18,346
2024-03-19,292
2024-03-20,317
2024-03-21,321
2024-03-22,323
2024-03-23,283
2024-03-24,260
2024-03-25,299
2024-03-26,279
2024-03-27,310
2024-03-28,283
2024-03-29,319
2024-03-30,273
2024-03-31,262
2024-04-01,327
2024-04-02,351
2024-04-03,370
2024-04-04,318
2024-04-05,343
2024-04-06,313
2024-04-07,296
2024-04-08,364
2024-04-09,399
2024-04-10,384
2024-04-11,371
2024-04-12,328
2024-04-13,355
2024-04-14,336
2024-04-15,350
2024-04-16,333
2024-04-17,317
2024-04-18,292
2024-04-19,285
2024-04-20,273
2024-04-21,264
2024-04-22,322
2024-04-23,358
2024-04-24,323
2024-04-25,323
2024-04-26,286
2024-04-27,289
2024-04-28,274
2024-04-29,315
2024-04-30,307
2024-05-01,343
2024-05-02,301
2024-05-03,276
2024-05-04,233
2024-05-05,244
2024-05-06,257
2024-05-07,126
2024-05-08,114
2024-05-09,211
2024-05-10,201
2024-05-11,213
2024-05-12,214
2024-05-13,258
2024-05-14,294
2024-05-15,292
2024-05-16,271
2024-05-17,289
2024-05-18,306
2024-05-19,309
2024-05-20,363
2024-05-21,363
2024-05-22,395
2024-05-23,390
2024-05-24,393
2024-05-25,373
2024-05-26,316
2024-05-27,407
2024-05-28,373
2024-05-29,415
2024-05-30,394
2024-05-31,404
2024-06-01,391
2024-06-02,363
2024-06-03,408
2024-06-04,388
2024-06-05,403
2024-06-06,359
2024-06-07,339
2024-06-08,334
2024-06-09,323
2024-06-10,360
2024-06-11,339
2024-06-12,407
2024-06-13,328
2024-06-14,380
2024-06-15,336
2024-06-16,338
2024-06-17,377
2024-06-18,384
2024-06-19,385
2024-06-20,386
2024-06-21,404
2024-06-22,364
