,Sales Rank
2022-12-14,389
2022-12-15,370
2022-12-16,360
2022-12-17,354
2022-12-18,400
2022-12-19,427
2022-12-20,447
2022-12-21,461
2022-12-22,449
2022-12-23,408
2022-12-24,382
2022-12-25,373
2022-12-26,417
2022-12-27,383
2022-12-28,388
2022-12-29,411
2022-12-30,394
2022-12-31,432
2023-01-01,374
2023-01-02,365
2023-01-03,364
2023-01-04,346
2023-01-05,333
2023-01-06,318
2023-01-07,316
2023-01-08,303
2023-01-09,305
2023-01-10,299
2023-01-11,296
2023-01-12,294
2023-01-13,307
2023-01-14,298
2023-01-15,381
2023-01-16,364
2023-01-17,397
2023-01-18,401
2023-01-19,406
2023-01-20,365
2023-01-21,351
2023-01-22,408
2023-01-23,447
2023-01-24,446
2023-01-25,525
2023-01-26,458
2023-01-27,458
2023-01-28,448
2023-01-29,522
2023-01-30,509
2023-01-31,460
2023-02-01,444
2023-02-02,465
2023-02-03,432
2023-02-04,421
2023-02-05,433
2023-02-06,401
2023-02-07,388
2023-02-08,348
2023-02-09,350
2023-02-10,336
2023-02-11,362
2023-02-12,372
2023-02-13,321
2023-02-14,341
2023-02-15,379
2023-02-16,355
2023-02-17,324
2023-02-18,347
2023-02-19,320
2023-02-20,341
2023-02-21,328
2023-02-22,319
2023-02-23,282
2023-02-24,268
2023-02-25,258
2023-02-26,293
2023-02-27,311
2023-02-28,300
2023-03-01,240
2023-03-02,247
2023-03-03,256
2023-03-04,250
2023-03-05,297
2023-03-06,272
2023-03-07,275
2023-03-08,274
2023-03-09,281
2023-03-10,266
2023-03-11,290
2023-03-12,268
2023-03-13,292
2023-03-14,297
2023-03-15,282
2023-03-16,283
2023-03-17,278
2023-03-18,309
2023-03-19,338
2023-03-20,372
2023-03-21,336
2023-03-22,325
2023-03-23,356
2023-03-24,349
2023-03-25,338
2023-03-26,335
2023-03-27,337
2023-03-28,307
2023-03-29,298
2023-03-30,320
2023-03-31,291
2023-04-01,272
2023-04-02,297
2023-04-03,283
2023-04-04,297
2023-04-05,263
2023-04-06,262
2023-04-07,269
2023-04-08,252
2023-04-09,284
2023-04-10,301
2023-04-11,269
2023-04-12,262
2023-04-13,277
2023-04-14,286
2023-04-15,258
2023-04-16,257
2023-04-17,297
2023-04-18,263
2023-04-19,243
2023-04-20,242
2023-04-21,221
2023-04-22,224
2023-04-23,232
2023-04-24,278
2023-04-25,250
2023-04-26,249
2023-04-27,221
2023-04-28,205
2023-04-29,220
2023-04-30,234
2023-05-01,216
2023-05-02,210
2023-05-05,227
2023-05-06,217
2023-05-07,245
2023-05-08,273
2023-05-09,233
2023-05-10,238
2023-05-11,261
2023-05-12,227
2023-05-13,326
2023-05-14,381
2023-05-15,460
2023-05-16,466
2023-05-17,509
2023-05-18,446
2023-05-19,116
2023-05-20,193
2023-05-21,212
2023-05-22,225
2023-05-23,227
2023-05-24,197
2023-05-25,197
2023-05-26,192
2023-05-27,175
2023-05-28,158
2023-05-31,157
2023-06-01,144
2023-06-02,149
2023-06-03,163
2023-06-04,146
2023-06-05,153
2023-06-06,149
2023-06-07,147
2023-06-08,166
2023-06-09,162
2023-06-10,166
2023-06-11,174
2023-06-12,173
2023-06-13,168
2023-06-14,186
2023-06-15,179
2023-06-16,167
2023-06-17,144
2023-06-18,167
2023-06-19,159
2023-06-20,180
2023-06-21,170
2023-06-22,164
2023-06-23,168
2023-06-24,169
2023-06-25,166
2023-06-26,168
2023-06-27,173
2023-06-28,179
2023-06-29,152
2023-06-30,169
2023-07-01,182
2023-07-02,164
2023-07-03,168
2023-07-04,169
2023-07-05,178
2023-07-06,156
2023-07-07,159
2023-07-08,150
2023-07-09,148
2023-07-10,148
2023-07-11,145
2023-07-12,176
2023-07-13,172
2023-07-14,123
2023-07-15,134
2023-07-16,131
2023-07-17,130
2023-07-18,140
2023-07-19,127
2023-07-20,103
2023-07-21,105
2023-07-22,91
2023-07-23,86
2023-07-24,86
2023-07-25,98
2023-07-26,125
2023-07-27,124
2023-07-28,121
2023-07-29,127
2023-07-30,124
2023-07-31,132
2023-08-01,134
2023-08-02,109
2023-08-03,117
2023-08-04,105
2023-08-05,112
2023-08-06,106
2023-08-07,116
2023-08-08,113
2023-08-09,111
2023-08-10,116
2023-08-11,117
2023-08-12,123
2023-08-13,120
2023-08-14,138
2023-08-15,139
2023-08-16,130
2023-08-17,141
2023-08-18,129
2023-08-19,134
2023-08-20,150
2023-08-21,144
2023-08-22,131
2023-08-23,125
2023-08-24,140
2023-08-25,146
2023-08-26,161
2023-08-27,142
2023-08-28,146
2023-08-29,137
2023-08-30,129
2023-08-31,123
2023-09-01,123
2023-09-02,120
2023-09-03,124
2023-09-04,138
2023-09-05,134
2023-09-06,128
2023-09-07,125
2023-09-08,122
2023-09-09,115
2023-09-10,125
2023-09-11,131
2023-09-12,128
2023-09-13,116
2023-09-14,120
2023-09-15,107
2023-09-16,125
2023-09-17,120
2023-09-18,123
2023-09-19,155
2023-09-20,133
2023-09-21,135
2023-09-22,115
2023-09-23,115
2023-09-24,126
2023-09-25,142
2023-09-26,131
2023-09-27,129
2023-09-28,131
2023-09-29,137
2023-09-30,130
2023-10-01,134
2023-10-02,150
2023-10-03,146
2023-10-04,141
2023-10-05,106
2023-10-06,96
2023-10-07,92
2023-10-08,112
2023-10-09,113
2023-10-10,113
2023-10-11,177
2023-10-12,191
2023-10-13,112
2023-10-14,92
2023-10-15,95
2023-10-16,105
2023-10-17,116
2023-10-18,114
2023-10-19,115
2023-10-20,106
2023-10-21,108
2023-10-22,105
2023-10-23,105
2023-10-24,119
2023-10-25,119
2023-10-26,115
2023-10-27,120
2023-10-28,123
2023-10-29,126
2023-10-30,137
2023-10-31,124
2023-11-01,161
2023-11-02,163
2023-11-03,164
2023-11-04,150
2023-11-05,158
2023-11-06,177
2023-11-07,166
2023-11-08,142
2023-11-09,151
2023-11-10,145
2023-11-11,149
2023-11-12,164
2023-11-13,166
2023-11-14,185
2023-11-15,176
2023-11-16,178
2023-11-17,192
2023-11-18,188
2023-11-19,184
2023-11-20,227
2023-11-21,218
2023-11-22,230
2023-11-23,224
2023-11-24,322
2023-11-25,331
2023-11-26,315
2023-11-27,359
2023-11-28,311
2023-11-29,278
2023-11-30,257
2023-12-01,240
2023-12-02,305
2023-12-03,312
2023-12-04,329
2023-12-05,313
2023-12-06,287
2023-12-07,329
2023-12-08,318
2023-12-09,356
2023-12-10,381
2023-12-11,411
2023-12-12,380
2023-12-13,399
2023-12-14,367
2023-12-15,398
2023-12-16,442
2023-12-17,510
2023-12-18,552
2023-12-19,506
2023-12-20,497
2023-12-21,499
2023-12-22,457
2023-12-23,399
2023-12-24,384
2023-12-25,421
2023-12-26,368
2023-12-27,378
2023-12-28,360
2023-12-29,347
2023-12-30,410
2023-12-31,445
2024-01-01,439
2024-01-02,464
2024-01-03,443
2024-01-04,447
2024-01-05,398
2024-01-06,426
2024-01-07,454
2024-01-08,453
2024-01-09,472
2024-01-10,452
2024-01-11,407
2024-01-12,421
2024-01-13,427
2024-01-14,481
2024-01-15,463
2024-01-16,426
2024-01-17,472
2024-01-18,437
2024-01-19,468
2024-01-20,472
2024-01-21,505
2024-01-22,513
2024-01-23,432
2024-01-24,474
2024-01-25,532
2024-01-26,470
2024-01-27,498
2024-01-28,495
2024-01-29,488
2024-01-30,448
2024-01-31,418
2024-02-01,441
2024-02-02,407
2024-02-03,374
2024-02-04,385
2024-02-05,414
2024-02-06,410
2024-02-07,446
2024-02-08,408
2024-02-09,441
2024-02-10,390
2024-02-11,425
2024-02-12,426
2024-02-13,442
2024-02-14,428
2024-02-15,422
2024-02-16,375
2024-02-17,386
2024-02-18,430
2024-02-19,434
2024-02-20,421
2024-02-21,429
2024-02-22,380
2024-02-23,399
2024-02-24,408
2024-02-25,396
2024-02-26,386
2024-02-27,368
2024-02-28,559
2024-02-29,658
2024-03-01,646
2024-03-02,247
2024-03-03,350
2024-03-04,525
2024-03-05,559
2024-03-06,596
2024-03-07,482
2024-03-08,569
2024-03-09,537
2024-03-10,534
2024-03-11,300
2024-03-12,278
2024-03-13,324
2024-03-14,291
2024-03-15,282
2024-03-16,247
2024-03-17,290
2024-03-18,280
2024-03-19,262
2024-03-20,281
2024-03-21,250
2024-03-22,247
2024-03-23,299
2024-03-24,330
2024-03-25,357
2024-03-26,335
2024-03-27,339
2024-03-28,304
2024-03-29,287
2024-03-30,300
2024-03-31,325
2024-04-01,293
2024-04-02,302
2024-04-03,299
2024-04-04,301
2024-04-05,284
2024-04-06,298
2024-04-07,322
2024-04-08,305
2024-04-09,294
2024-04-10,325
2024-04-11,278
2024-04-12,248
2024-04-13,255
2024-04-14,239
2024-04-15,264
2024-04-16,231
2024-04-17,253
2024-04-18,237
2024-04-19,242
2024-04-20,217
2024-04-21,241
2024-04-22,246
2024-04-23,249
2024-04-24,354
2024-04-25,415
2024-04-26,451
2024-04-27,499
2024-04-28,551
2024-04-29,584
2024-04-30,532
2024-05-01,458
2024-05-02,498
2024-05-03,462
2024-05-04,413
2024-05-05,499
2024-05-06,438
2024-05-07,532
2024-05-08,542
2024-05-09,439
2024-05-10,441
2024-05-11,432
2024-05-12,456
2024-05-13,427
2024-05-14,361
2024-05-15,386
2024-05-16,113
2024-05-17,161
2024-05-18,138
2024-05-19,145
2024-05-20,168
2024-05-21,164
2024-05-22,162
2024-05-23,161
2024-05-24,146
2024-05-25,179
2024-05-26,161
2024-05-27,160
2024-05-28,178
2024-05-29,176
2024-05-30,155
2024-05-31,179
2024-06-01,157
2024-06-02,157
2024-06-03,169
2024-06-04,141
2024-06-05,148
2024-06-06,142
2024-06-07,143
2024-06-08,142
2024-06-09,146
2024-06-10,145
2024-06-11,139
2024-06-12,150
2024-06-13,127
2024-06-14,116
2024-06-15,112
2024-06-16,118
2024-06-17,121
2024-06-18,117
2024-06-19,121
2024-06-20,114
2024-06-21,106
2024-06-22,107
2024-06-23,113
2024-06-24,125
2024-06-25,129
2024-06-26,124
2024-06-27,120
2024-06-28,122
2024-06-29,112
2024-06-30,121
2024-07-01,135
2024-07-02,147
2024-07-03,143
2024-07-04,149
2024-07-05,147
2024-07-06,147
2024-07-07,151
2024-07-08,171
2024-07-09,160
2024-07-10,160
2024-07-11,141
2024-07-12,160
2024-07-13,154
2024-07-14,169
2024-07-15,182
2024-07-16,382
2024-07-17,389
2024-07-18,295
2024-07-19,203
2024-07-20,164
2024-07-21,143
2024-07-22,155
2024-07-23,149
2024-07-24,127
2024-07-25,123
2024-07-26,115
2024-07-27,137
2024-07-28,116
2024-07-29,134
2024-07-30,126
2024-07-31,141
2024-08-01,117
2024-08-02,100
2024-08-03,107
2024-08-04,107
2024-08-05,116
2024-08-06,119
2024-08-07,119
2024-08-09,94
2024-08-10,102
2024-08-11,118
2024-08-12,129
2024-08-13,134
2024-08-14,135
2024-08-15,119
2024-08-16,113
2024-08-17,117
2024-08-18,122
2024-08-19,129
2024-08-20,128
2024-08-21,125
2024-08-22,109
2024-08-23,99
2024-08-24,103
2024-08-25,115
2024-08-26,126
2024-08-27,119
2024-08-28,122
2024-08-29,111
2024-08-30,105
2024-08-31,119
2024-09-01,110
2024-09-02,125
2024-09-03,103
2024-09-04,102
2024-09-05,97
2024-09-06,97
2024-09-07,101
2024-09-08,106
2024-09-09,95
2024-09-10,106
2024-09-11,106
2024-09-12,111
2024-09-13,109
2024-09-14,105
2024-09-15,112
2024-09-16,124
2024-09-17,124
2024-09-18,119
2024-09-19,124
2024-09-20,118
2024-09-21,108
2024-09-22,130
2024-09-23,133
2024-09-24,138
2024-09-25,123
2024-09-26,100
2024-09-27,105
2024-09-28,117
2024-09-29,121
2024-09-30,121
2024-10-01,108
2024-10-02,132
2024-10-03,124
2024-10-04,120
2024-10-05,101
2024-10-06,113
2024-10-07,119
2024-10-08,226
2024-10-09,261
2024-10-10,197
2024-10-11,157
2024-10-12,121
2024-10-13,106
2024-10-14,108
2024-10-15,103
2024-10-16,118
2024-10-17,115
2024-10-18,112
2024-10-19,117
2024-10-20,118
2024-10-21,132
2024-10-22,120
2024-10-23,150
2024-10-24,105
2024-10-25,105
2024-10-26,107
2024-10-27,110
2024-10-28,114
2024-10-29,105
2024-10-30,96
2024-10-31,91
2024-11-01,92
2024-11-02,94
2024-11-03,113
2024-11-04,128
2024-11-05,118
2024-11-06,132
2024-11-07,116
2024-11-08,120
2024-11-09,120
2024-11-10,135
2024-11-11,139
2024-11-12,147
2024-11-13,158
2024-11-14,149
2024-11-15,148
2024-11-16,150
2024-11-17,161
2024-11-18,169
2024-11-19,165
2024-11-20,150
2024-11-21,170
2024-11-22,179
2024-11-23,159
2024-11-24,203
2024-11-25,209
2024-11-26,175
2024-11-27,160
2024-11-28,169
2024-11-29,296
2024-11-30,277
2024-12-01,341
2024-12-02,369
2024-12-03,264
2024-12-04,274
2024-12-05,251
2024-12-06,245
2024-12-07,244
2024-12-08,259
2024-12-09,297
2024-12-10,269
2024-12-11,310
2024-12-12,292
2024-12-13,278
2024-12-14,316
2024-12-15,362
2024-12-16,374
2024-12-17,378
2024-12-18,375
2024-12-19,332
2024-12-20,428
2024-12-21,383
2024-12-22,383
2024-12-23,433
2024-12-24,395
2024-12-25,359
2024-12-26,355
2024-12-27,313
2024-12-28,328
2024-12-29,361
2024-12-30,334
2024-12-31,351
2025-01-01,326
2025-01-02,375
2025-01-03,352
2025-01-04,391
2025-01-05,423
2025-01-06,415
2025-01-07,428
2025-01-08,440
2025-01-09,443
2025-01-10,461
2025-01-11,464
