,Sales Rank
2022-12-14,95
2022-12-15,89
2022-12-16,72
2022-12-17,60
2022-12-18,49
2022-12-19,42
2022-12-20,40
2022-12-21,39
2022-12-22,48
2022-12-23,74
2022-12-24,61
2022-12-25,77
2022-12-26,100
2022-12-27,139
2022-12-28,148
2022-12-29,165
2022-12-30,179
2022-12-31,200
2023-01-01,190
2023-01-02,231
2023-01-03,235
2023-01-04,201
2023-01-05,211
2023-01-06,239
2023-01-07,228
2023-01-08,224
2023-01-09,225
2023-01-10,217
2023-01-11,217
2023-01-12,229
2023-01-13,293
2023-01-14,285
2023-01-15,295
2023-01-16,298
2023-01-17,347
2023-01-18,360
2023-01-19,395
2023-01-20,343
2023-01-21,242
2023-01-22,247
2023-01-23,322
2023-01-24,305
2023-01-25,263
2023-01-26,263
2023-01-27,235
2023-01-28,207
2023-01-29,204
2023-01-30,205
2023-01-31,195
2023-02-01,193
2023-02-02,202
2023-02-03,201
2023-02-04,183
2023-02-05,199
2023-02-06,240
2023-02-07,255
2023-02-08,256
2023-02-09,296
2023-02-10,295
2023-02-11,268
2023-02-12,255
2023-02-13,342
2023-02-14,357
2023-02-15,429
2023-02-16,404
2023-02-17,370
2023-02-18,308
2023-02-19,292
2023-02-20,324
2023-02-21,384
2023-02-22,371
2023-02-23,351
2023-02-24,289
2023-02-25,232
2023-02-26,207
2023-02-27,269
2023-02-28,291
2023-03-01,299
2023-03-02,316
2023-03-03,325
2023-03-04,288
2023-03-05,265
2023-03-06,378
2023-03-07,462
2023-03-08,465
2023-03-09,467
2023-03-10,454
2023-03-11,396
2023-03-12,351
2023-03-13,373
2023-03-14,389
2023-03-15,389
2023-03-16,422
2023-03-17,388
2023-03-18,363
2023-03-19,337
2023-03-20,341
2023-03-21,427
2023-03-22,433
2023-03-23,460
2023-03-24,474
2023-03-25,471
2023-03-26,412
2023-03-27,434
2023-03-28,447
2023-03-29,431
2023-03-30,394
2023-03-31,397
2023-04-01,322
2023-04-02,357
2023-04-03,341
2023-04-04,360
2023-04-05,384
2023-04-06,372
2023-04-07,417
2023-04-08,411
2023-04-09,329
2023-04-10,481
2023-04-11,503
2023-04-12,488
2023-04-13,579
2023-04-14,512
2023-04-15,442
2023-04-16,403
2023-04-17,444
2023-04-18,494
2023-04-19,491
2023-04-20,516
2023-04-21,452
2023-04-22,482
2023-04-23,451
2023-04-24,512
2023-04-25,550
2023-04-26,569
2023-04-27,646
2023-04-28,482
2023-04-29,387
2023-04-30,381
2023-05-01,389
2023-05-02,406
2023-05-03,507
2023-05-04,544
2023-05-05,546
2023-05-06,477
2023-05-07,476
2023-05-08,614
2023-05-09,617
2023-05-10,602
2023-05-11,600
2023-05-12,666
2023-05-13,685
2023-05-14,672
2023-05-15,734
2023-05-16,825
2023-05-17,850
2023-05-18,863
2023-05-19,857
2023-05-20,834
2023-05-21,694
2023-05-22,804
2023-05-23,874
2023-05-24,761
2023-05-25,974
2023-05-26,952
2023-05-27,898
2023-05-28,836
2023-05-31,939
2023-06-01,1016
2023-06-02,1032
2023-06-03,1064
2023-06-04,930
2023-06-05,852
2023-06-06,963
2023-06-07,1002
2023-06-08,933
2023-06-09,892
2023-06-10,883
2023-06-11,894
2023-06-12,874
