,Sales Rank
2022-12-14,116
2022-12-15,111
2022-12-16,124
2022-12-17,130
2022-12-18,145
2022-12-19,145
2022-12-20,153
2022-12-21,151
2022-12-22,140
2022-12-23,130
2022-12-24,115
2022-12-25,116
2022-12-26,102
2022-12-27,107
2022-12-28,102
2022-12-29,124
2022-12-30,112
2022-12-31,121
2023-01-01,113
2023-01-02,120
2023-01-03,122
2023-01-04,120
2023-01-05,127
2023-01-06,113
2023-01-07,112
2023-01-08,105
2023-01-09,95
2023-01-10,91
2023-01-11,96
2023-01-12,104
2023-01-13,78
2023-01-14,92
2023-01-15,108
2023-01-16,117
2023-01-17,135
2023-01-18,126
2023-01-19,106
2023-01-20,112
2023-01-21,104
2023-01-22,90
2023-01-23,95
2023-01-24,111
2023-01-25,111
2023-01-26,107
2023-01-27,103
2023-01-28,110
2023-01-29,86
2023-01-30,100
2023-01-31,105
2023-02-01,98
2023-02-02,101
2023-02-03,103
2023-02-04,103
2023-02-05,103
2023-02-06,96
2023-02-07,105
2023-02-08,96
2023-02-09,105
2023-02-10,115
2023-02-11,110
2023-02-12,104
2023-02-13,91
2023-02-14,101
2023-02-15,101
2023-02-16,100
2023-02-17,97
2023-02-18,106
2023-02-19,102
2023-02-20,92
2023-02-21,91
2023-02-22,90
2023-02-23,92
2023-02-24,95
2023-02-25,95
2023-02-26,105
2023-02-27,96
2023-02-28,95
2023-03-01,94
2023-03-02,101
2023-03-03,89
2023-03-04,93
2023-03-05,98
2023-03-06,92
2023-03-07,92
2023-03-08,102
2023-03-09,112
2023-03-10,123
2023-03-11,119
2023-03-12,120
2023-03-13,103
2023-03-14,103
2023-03-15,102
2023-03-16,104
2023-03-17,109
2023-03-18,122
2023-03-19,116
2023-03-20,105
2023-03-21,99
2023-03-22,118
2023-03-23,109
2023-03-24,121
2023-03-25,124
2023-03-26,134
2023-03-27,103
2023-03-28,110
2023-03-29,104
2023-03-30,105
2023-03-31,94
2023-04-01,106
2023-04-02,102
2023-04-03,107
2023-04-04,96
2023-04-05,88
2023-04-06,102
2023-04-07,114
2023-04-08,116
2023-04-09,119
2023-04-10,100
2023-04-11,102
2023-04-12,110
2023-04-13,113
2023-04-14,117
2023-04-15,129
2023-04-16,117
2023-04-17,117
2023-04-18,105
2023-04-19,108
2023-04-20,122
2023-04-21,109
2023-04-22,116
2023-04-23,105
2023-04-24,102
2023-04-25,102
2023-04-26,108
2023-04-27,103
2023-04-28,97
2023-04-29,115
2023-04-30,134
2023-05-01,128
2023-05-02,135
2023-05-03,144
2023-05-04,138
2023-05-05,124
2023-05-06,130
2023-05-07,129
2023-05-08,116
