,Sales Rank
2022-12-14,695
2022-12-15,639
2022-12-16,697
2022-12-17,713
2022-12-18,713
2022-12-19,686
2022-12-20,670
2022-12-21,666
2022-12-22,676
2022-12-23,714
2022-12-24,650
2022-12-25,653
2022-12-26,565
2022-12-27,548
2022-12-28,121
2022-12-29,107
2022-12-30,111
2022-12-31,103
2023-01-01,123
2023-01-02,114
2023-01-03,123
2023-01-04,112
2023-01-05,124
2023-01-06,127
2023-01-07,122
2023-01-08,129
2023-01-09,133
2023-01-10,138
2023-01-11,141
2023-01-12,132
2023-01-13,120
2023-01-14,98
2023-01-15,90
2023-01-16,102
2023-01-17,108
2023-01-18,98
2023-01-19,84
2023-01-20,73
2023-01-21,56
2023-01-22,60
2023-01-23,87
2023-01-24,88
2023-01-25,97
2023-01-26,96
2023-01-27,99
2023-01-28,87
2023-01-29,70
2023-01-30,79
2023-01-31,91
2023-02-01,97
2023-02-02,86
2023-02-03,90
2023-02-04,72
2023-02-05,66
2023-02-06,77
2023-02-07,80
2023-02-08,85
2023-02-09,83
2023-02-10,72
2023-02-11,56
2023-02-12,54
2023-02-13,83
2023-02-14,91
2023-02-15,83
2023-02-16,86
2023-02-17,85
2023-02-18,76
2023-02-19,54
2023-02-20,75
2023-02-21,97
2023-02-22,96
2023-02-23,79
2023-02-24,78
2023-02-25,73
2023-02-26,68
2023-02-27,80
2023-02-28,89
2023-03-01,282
2023-03-02,292
2023-03-03,88
2023-03-04,82
2023-03-05,264
2023-03-06,213
2023-03-07,94
2023-03-08,90
2023-03-09,80
2023-03-10,84
2023-03-11,75
2023-03-12,75
2023-03-13,91
2023-03-14,84
2023-03-15,92
2023-03-16,87
2023-03-17,91
2023-03-18,97
2023-03-19,86
2023-03-20,105
2023-03-21,101
2023-03-22,83
2023-03-23,37
2023-03-24,43
2023-03-25,52
2023-03-26,34
2023-03-27,66
2023-03-28,77
2023-03-29,83
2023-03-30,87
2023-03-31,78
2023-04-01,77
2023-04-02,82
2023-04-03,87
2023-04-04,89
2023-04-05,78
2023-04-06,84
2023-04-07,79
2023-04-08,69
2023-04-09,70
2023-04-10,99
2023-04-11,77
2023-04-12,88
2023-04-13,81
2023-04-14,86
2023-04-15,69
2023-04-16,69
2023-04-17,86
2023-04-18,92
2023-04-19,98
2023-04-20,103
2023-04-21,112
2023-04-22,106
2023-04-23,114
2023-04-24,142
2023-04-25,150
2023-04-26,125
2023-04-27,106
2023-04-28,136
2023-04-29,117
2023-04-30,120
2023-05-01,124
2023-05-02,141
2023-05-03,152
2023-05-04,143
2023-05-05,115
2023-05-06,103
2023-05-07,98
2023-05-08,110
2023-05-09,116
2023-05-10,111
2023-05-11,113
2023-05-12,107
2023-05-13,95
2023-05-14,106
2023-05-15,115
2023-05-16,121
2023-05-17,115
2023-05-18,138
2023-05-19,122
2023-05-20,109
2023-05-21,103
2023-05-22,132
2023-05-23,138
2023-05-24,158
2023-05-25,175
2023-05-26,129
2023-05-27,127
2023-05-28,110
2023-05-30,110
2023-05-31,130
2023-06-01,101
2023-06-02,105
2023-06-03,123
2023-06-04,99
2023-06-05,105
2023-06-06,99
2023-06-07,111
2023-06-08,103
2023-06-09,90
2023-06-10,75
2023-06-11,83
2023-06-12,80
2023-06-13,78
2023-06-14,82
2023-06-15,84
2023-06-16,77
2023-06-17,67
2023-06-18,68
2023-06-19,67
2023-06-20,68
2023-06-21,69
2023-06-22,77
2023-06-23,58
2023-06-24,64
2023-06-25,60
2023-06-26,58
2023-06-27,63
2023-06-28,76
2023-06-29,60
2023-06-30,73
2023-07-01,52
2023-07-02,72
2023-07-03,80
2023-07-04,223
2023-07-05,238
2023-07-06,98
2023-07-07,82
2023-07-08,75
2023-07-09,75
2023-07-10,93
2023-07-11,156
2023-07-12,164
2023-07-13,127
2023-07-14,123
2023-07-15,96
2023-07-16,85
2023-07-17,90
2023-07-18,77
2023-07-19,84
2023-07-20,78
2023-07-21,74
2023-07-22,68
2023-07-23,85
2023-07-24,79
2023-07-25,83
2023-07-26,233
2023-07-27,259
2023-07-28,93
2023-07-29,85
2023-07-30,63
2023-07-31,81
2023-08-01,81
2023-08-02,81
2023-08-03,83
2023-08-04,76
2023-08-05,77
2023-08-06,70
2023-08-07,64
2023-08-08,73
2023-08-09,84
2023-08-10,89
2023-08-11,76
2023-08-12,74
2023-08-13,72
2023-08-14,84
2023-08-15,75
2023-08-16,87
2023-08-17,94
2023-08-18,96
2023-08-19,88
2023-08-20,77
2023-08-21,91
2023-08-22,95
2023-08-23,99
2023-08-24,102
2023-08-25,333
2023-08-26,330
2023-08-27,313
2023-08-28,352
2023-08-29,354
2023-08-30,414
2023-08-31,393
2023-09-01,371
2023-09-02,351
2023-09-03,347
2023-09-04,368
2023-09-05,390
2023-09-06,450
2023-09-07,394
2023-09-08,380
2023-09-09,371
2023-09-10,387
2023-09-11,393
2023-09-12,419
2023-09-13,449
2023-09-14,437
2023-09-15,463
2023-09-16,383
2023-09-17,364
2023-09-18,378
2023-09-19,469
2023-09-20,463
2023-09-21,465
2023-09-22,419
2023-09-23,383
2023-09-24,368
2023-09-25,433
2023-09-26,464
2023-09-27,433
2023-09-28,409
2023-09-29,418
2023-09-30,336
2023-10-01,350
2023-10-02,378
2023-10-03,425
2023-10-04,385
2023-10-05,348
2023-10-06,366
2023-10-07,325
2023-10-08,338
2023-10-09,390
2023-10-10,539
2023-10-11,575
2023-10-12,418
2023-10-13,362
2023-10-14,364
2023-10-15,332
2023-10-16,364
2023-10-17,396
2023-10-18,388
2023-10-19,373
2023-10-20,359
2023-10-21,344
2023-10-22,380
2023-10-23,401
2023-10-24,417
2023-10-25,449
2023-10-26,425
2023-10-27,402
2023-10-28,394
2023-10-29,362
2023-10-30,455
2023-10-31,465
2023-11-01,479
2023-11-02,500
2023-11-03,432
2023-11-04,384
2023-11-05,353
2023-11-06,407
2023-11-07,442
2023-11-08,487
2023-11-09,457
2023-11-10,442
2023-11-11,490
2023-11-12,412
2023-11-13,451
2023-11-14,471
2023-11-15,513
2023-11-16,503
2023-11-17,567
2023-11-18,494
2023-11-19,467
2023-11-20,582
2023-11-21,568
2023-11-22,644
2023-11-23,725
2023-11-24,810
2023-11-25,744
2023-11-26,735
2023-11-27,870
2023-11-28,802
2023-11-29,806
2023-11-30,737
2023-12-01,724
2023-12-02,745
2023-12-03,667
2023-12-04,699
2023-12-05,737
2023-12-06,690
2023-12-07,698
2023-12-08,631
2023-12-09,639
2023-12-10,636
2023-12-11,705
2023-12-12,626
2023-12-13,674
2023-12-14,678
2023-12-15,622
2023-12-16,638
2023-12-17,623
2023-12-18,652
2023-12-19,671
2023-12-20,767
2023-12-21,685
2023-12-22,676
2023-12-23,634
2023-12-24,571
2023-12-25,642
2023-12-26,603
2023-12-27,518
2023-12-28,511
2023-12-29,479
2023-12-30,442
2023-12-31,469
2024-01-01,560
2024-01-02,555
2024-01-03,516
2024-01-04,494
2024-01-05,501
2024-01-06,383
2024-01-07,388
2024-01-08,435
2024-01-09,459
2024-01-10,508
2024-01-11,481
2024-01-12,445
2024-01-13,426
2024-01-14,466
2024-01-15,490
2024-01-16,509
2024-01-17,517
2024-01-18,508
2024-01-19,433
2024-01-20,445
2024-01-21,441
2024-01-22,472
2024-01-23,459
2024-01-24,392
2024-01-25,366
2024-01-26,371
2024-01-27,378
2024-01-28,326
2024-01-29,390
2024-01-30,412
2024-01-31,414
2024-02-01,430
2024-02-02,438
2024-02-03,368
2024-02-04,345
2024-02-05,411
2024-02-06,413
2024-02-07,445
2024-02-08,405
2024-02-09,407
2024-02-10,382
2024-02-11,435
2024-02-12,482
2024-02-13,486
2024-02-14,119
2024-02-15,104
2024-02-16,108
2024-02-17,88
2024-02-18,88
2024-02-19,105
2024-02-20,104
2024-02-21,101
2024-02-22,93
2024-02-23,81
2024-02-24,76
2024-02-25,76
2024-02-26,94
2024-02-27,102
2024-02-28,86
2024-02-29,83
2024-03-01,85
2024-03-02,70
2024-03-03,67
2024-03-04,87
2024-03-05,94
2024-03-06,92
2024-03-07,79
2024-03-08,85
2024-03-09,71
2024-03-10,80
2024-03-11,99
2024-03-12,99
2024-03-13,99
2024-03-14,98
2024-03-15,89
2024-03-16,79
2024-03-17,80
2024-03-18,99
2024-03-19,99
2024-03-20,98
2024-03-21,105
2024-03-22,92
2024-03-23,86
2024-03-24,82
2024-03-25,100
2024-03-26,93
2024-03-27,101
2024-03-28,99
2024-03-29,94
2024-03-30,82
2024-03-31,92
2024-04-01,102
2024-04-02,101
2024-04-03,84
2024-04-04,64
2024-04-05,60
2024-04-06,58
2024-04-07,59
2024-04-08,79
2024-04-09,79
2024-04-10,83
2024-04-11,71
2024-04-12,69
2024-04-13,65
2024-04-14,69
2024-04-15,86
2024-04-16,77
2024-04-17,80
2024-04-18,82
2024-04-19,88
2024-04-20,76
2024-04-21,78
2024-04-22,85
2024-04-23,98
2024-04-24,100
2024-04-25,100
2024-04-26,87
2024-04-27,96
2024-04-28,85
2024-04-29,95
2024-04-30,78
2024-05-01,85
2024-05-02,88
2024-05-03,82
2024-05-04,77
2024-05-05,76
2024-05-06,102
2024-05-07,131
2024-05-08,146
2024-05-09,133
2024-05-10,117
2024-05-11,110
2024-05-12,111
2024-05-13,124
2024-05-14,109
2024-05-15,106
2024-05-16,105
2024-05-17,107
2024-05-18,90
2024-05-19,100
2024-05-20,117
2024-05-21,109
2024-05-22,130
2024-05-23,130
2024-05-24,122
2024-05-25,120
2024-05-26,126
2024-05-27,123
2024-05-28,129
2024-05-29,135
2024-05-30,119
2024-05-31,133
2024-06-01,121
2024-06-02,123
2024-06-03,132
2024-06-04,130
2024-06-05,130
2024-06-06,136
2024-06-07,123
2024-06-08,134
2024-06-09,129
2024-06-10,152
2024-06-11,147
2024-06-12,145
2024-06-13,147
2024-06-14,140
2024-06-15,139
2024-06-16,153
2024-06-17,170
2024-06-18,169
2024-06-19,164
2024-06-20,161
2024-06-21,141
2024-06-22,131
2024-06-23,152
2024-06-24,167
2024-06-25,161
2024-06-26,173
2024-06-27,152
2024-06-28,141
2024-06-29,130
2024-06-30,142
2024-07-01,152
2024-07-02,146
2024-07-03,151
2024-07-04,157
2024-07-05,163
2024-07-06,130
2024-07-07,139
2024-07-08,158
2024-07-09,157
2024-07-10,159
2024-07-11,158
2024-07-12,139
2024-07-13,150
2024-07-14,148
2024-07-15,171
2024-07-16,248
2024-07-17,245
2024-07-18,210
2024-07-19,183
2024-07-20,161
2024-07-21,147
2024-07-22,167
2024-07-23,160
2024-07-24,166
2024-07-25,612
2024-07-26,611
2024-07-27,549
2024-07-28,513
2024-07-29,562
2024-07-30,600
2024-07-31,617
2024-08-01,605
2024-08-02,617
2024-08-03,556
2024-08-04,541
2024-08-05,644
2024-08-06,597
2024-08-07,578
2024-08-09,612
2024-08-10,573
2024-08-11,666
2024-08-12,597
2024-08-13,598
2024-08-14,617
2024-08-15,607
2024-08-16,634
2024-08-17,543
2024-08-18,573
2024-08-19,632
2024-08-20,618
2024-08-21,634
2024-08-22,667
2024-08-23,652
2024-08-24,598
2024-08-25,520
2024-08-26,608
2024-08-27,588
2024-08-28,596
2024-08-29,601
2024-08-30,620
2024-08-31,518
2024-09-01,544
2024-09-02,530
2024-09-03,594
2024-09-04,613
2024-09-05,571
2024-09-06,538
2024-09-07,549
2024-09-08,576
2024-09-09,599
2024-09-10,646
2024-09-11,572
2024-09-12,561
2024-09-13,558
2024-09-14,530
2024-09-15,512
2024-09-16,559
2024-09-17,597
2024-09-18,567
2024-09-19,562
2024-09-20,603
2024-09-21,482
2024-09-22,469
2024-09-23,534
2024-09-24,578
2024-09-25,610
2024-09-26,649
2024-09-27,570
2024-09-28,557
2024-09-29,567
2024-09-30,603
2024-10-01,760
2024-10-02,971
2024-10-03,885
2024-10-04,894
2024-10-05,713
2024-10-06,679
2024-10-07,681
2024-10-08,807
2024-10-09,827
2024-10-10,723
2024-10-11,671
2024-10-12,585
2024-10-13,508
2024-10-14,584
2024-10-15,580
2024-10-16,657
2024-10-17,700
2024-10-18,643
2024-10-19,596
2024-10-20,591
2024-10-21,597
2024-10-22,615
2024-10-23,660
2024-10-24,582
2024-10-25,602
2024-10-26,665
2024-10-27,565
2024-10-28,618
2024-10-29,622
2024-10-30,643
2024-10-31,660
2024-11-01,586
2024-11-02,575
2024-11-03,517
2024-11-04,674
2024-11-05,874
2024-11-06,966
2024-11-07,996
2024-11-08,1064
2024-11-09,1011
2024-11-10,971
2024-11-11,1043
2024-11-12,909
2024-11-13,824
2024-11-14,794
2024-11-15,743
2024-11-16,628
2024-11-17,679
2024-11-18,673
2024-11-19,685
2024-11-20,706
2024-11-21,782
2024-11-22,814
2024-11-23,827
2024-11-24,808
2024-11-25,820
2024-11-26,821
2024-11-27,834
2024-11-28,862
2024-11-29,1064
2024-11-30,982
2024-12-01,899
2024-12-02,999
2024-12-03,992
