,Sales Rank
2022-12-14,513
2022-12-15,482
2022-12-16,490
2022-12-17,593
2022-12-18,602
2022-12-19,682
2022-12-20,1011
2022-12-21,1348
2022-12-22,1508
2022-12-23,1627
2022-12-24,1632
2022-12-25,1722
2022-12-26,1889
2022-12-27,2213
2022-12-28,1987
2022-12-29,2361
2022-12-30,2348
2022-12-31,1981
2023-01-01,1941
2023-01-02,2151
2023-01-03,2299
2023-01-04,2222
2023-01-05,2199
2023-01-06,2108
2023-01-07,1884
2023-01-08,1809
2023-01-09,1668
2023-01-10,1623
2023-01-11,1546
2023-01-12,1647
2023-01-13,1815
2023-01-14,1888
2023-01-15,1994
2023-01-16,1849
2023-01-17,2120
2023-01-18,2086
2023-01-19,1906
2023-01-20,1890
2023-01-21,1776
2023-01-22,1823
2023-01-23,2088
2023-01-24,1652
2023-01-25,1697
2023-01-26,1721
2023-01-27,1942
2023-01-28,2061
2023-01-29,1847
2023-01-30,2056
2023-01-31,2100
2023-02-01,1915
2023-02-02,1892
2023-02-03,1998
2023-02-04,1862
2023-02-05,1604
2023-02-06,1380
2023-02-07,1176
2023-02-08,1016
2023-02-09,858
2023-02-10,760
2023-02-11,856
2023-02-12,755
2023-02-13,1002
2023-02-14,1202
2023-02-15,1334
2023-02-16,1477
2023-02-17,1546
2023-02-18,1713
2023-02-19,1545
2023-02-20,1820
2023-02-21,1964
2023-02-22,1778
2023-02-23,1730
2023-02-24,1686
2023-02-25,1866
2023-02-26,1692
2023-02-27,1734
2023-02-28,1937
2023-03-01,2104
2023-03-02,1946
2023-03-03,2005
2023-03-04,2162
2023-03-05,1967
2023-03-06,2215
2023-03-07,1996
2023-03-08,2179
2023-03-09,2295
2023-03-10,2380
2023-03-11,2086
2023-03-12,2032
2023-03-13,2371
2023-03-14,1867
2023-03-15,1941
2023-03-16,2094
2023-03-17,2228
2023-03-18,2152
2023-03-19,2234
2023-03-20,2384
2023-03-21,2570
2023-03-22,2802
2023-03-23,2476
2023-03-24,2440
2023-03-25,2384
2023-03-26,2155
2023-03-27,2060
2023-03-28,1984
2023-03-29,2121
2023-03-30,2089
2023-03-31,2001
2023-04-01,1825
2023-04-02,1666
2023-04-03,1359
2023-04-04,1494
2023-04-05,1491
2023-04-06,1264
2023-04-07,1178
2023-04-08,921
2023-04-09,884
2023-04-10,1355
2023-04-11,1628
2023-04-12,1772
2023-04-13,1898
2023-04-14,1969
2023-04-15,2044
2023-04-16,2102
2023-04-17,1998
2023-04-18,2010
2023-04-19,1882
2023-04-20,2176
2023-04-21,2035
2023-04-22,1793
2023-04-23,1808
2023-04-24,1802
2023-04-25,2144
2023-04-26,2238
2023-04-27,2402
2023-04-28,2282
2023-04-29,2232
2023-04-30,2012
2023-05-01,1529
2023-05-02,1456
2023-05-03,759
2023-05-04,686
2023-05-05,816
2023-05-06,850
2023-05-07,689
2023-05-08,1013
2023-05-09,1276
2023-05-10,1677
2023-05-11,1781
2023-05-12,2037
2023-05-13,1859
2023-05-14,2022
2023-05-15,1913
2023-05-16,2110
2023-05-17,2233
2023-05-18,2362
2023-05-19,2800
2023-05-20,2522
2023-05-21,2489
2023-05-22,2896
2023-05-23,2602
2023-05-24,2526
2023-05-25,2573
2023-05-26,2388
2023-05-27,2209
2023-05-28,2666
2023-05-30,1808
2023-05-31,1674
2023-06-01,1485
2023-06-02,1241
2023-06-03,1325
2023-06-04,1171
2023-06-05,1248
2023-06-06,1563
2023-06-07,1817
2023-06-08,1546
2023-06-09,1654
2023-06-10,1531
2023-06-11,1554
2023-06-12,2895
2023-06-13,3539
2023-06-14,3641
2023-06-15,3625
2023-06-16,3191
2023-06-17,3130
2023-06-18,2797
2023-06-19,2926
2023-06-20,2787
2023-06-21,2961
2023-06-22,2474
2023-06-23,2590
2023-06-24,2459
2023-06-25,2852
2023-06-26,2631
2023-06-27,2617
2023-06-28,2922
2023-06-29,2818
2023-06-30,2772
2023-07-01,3235
2023-07-02,2574
2023-07-03,2804
2023-07-04,2649
2023-07-05,2611
2023-07-06,2516
2023-07-07,2667
2023-07-08,2497
2023-07-09,2320
2023-07-10,2048
2023-07-11,1503
2023-07-12,1436
2023-07-13,1552
2023-07-14,1698
2023-07-15,1404
2023-07-16,1518
2023-07-17,1613
2023-07-18,1670
2023-07-19,1845
2023-07-20,1794
2023-07-21,1898
2023-07-22,2006
2023-07-23,1989
2023-07-24,2261
2023-07-25,2259
2023-07-26,2233
2023-07-27,2454
2023-07-28,2091
2023-07-29,1827
2023-07-30,1991
2023-07-31,2284
2023-08-02,2293
2023-08-03,2295
2023-08-04,2483
2023-08-05,2446
2023-08-07,2347
2023-08-08,2363
2023-08-09,2683
2023-08-10,2249
2023-08-11,2417
2023-08-12,2239
2023-08-13,1953
2023-08-14,2043
2023-08-15,2233
2023-08-16,2235
2023-08-17,2334
