,Sales Rank
2022-12-14,417
2022-12-15,460
2022-12-16,476
2022-12-17,484
2022-12-18,468
2022-12-19,446
2022-12-20,464
2022-12-21,465
2022-12-22,456
2022-12-23,494
2022-12-24,515
2022-12-25,598
2022-12-26,572
2022-12-27,394
2022-12-28,456
2022-12-29,463
2022-12-30,442
2022-12-31,543
2023-01-01,561
2023-01-02,495
2023-01-03,443
2023-01-04,438
2023-01-05,426
2023-01-06,425
2023-01-07,423
2023-01-08,419
2023-01-09,422
2023-01-10,405
2023-01-11,403
2023-01-12,399
2023-01-13,385
2023-01-14,414
2023-01-15,494
2023-01-16,458
2023-01-17,434
2023-01-18,419
2023-01-19,454
2023-01-20,404
2023-01-21,520
2023-01-22,473
2023-01-23,524
2023-01-24,409
2023-01-25,427
2023-01-26,393
2023-01-27,402
2023-01-28,461
2023-01-29,501
2023-01-30,539
2023-01-31,470
2023-02-01,472
2023-02-02,489
2023-02-03,503
2023-02-04,481
2023-02-05,534
2023-02-06,442
2023-02-07,475
2023-02-08,477
2023-02-09,474
2023-02-10,540
2023-02-11,543
2023-02-12,538
2023-02-13,510
2023-02-14,529
2023-02-15,456
2023-02-16,431
2023-02-17,448
2023-02-18,445
2023-02-19,465
2023-02-20,449
2023-02-21,504
2023-02-22,490
2023-02-23,469
2023-02-24,514
2023-02-25,531
2023-02-26,567
2023-02-27,446
2023-02-28,450
2023-03-01,432
2023-03-02,439
2023-03-03,560
2023-03-04,511
2023-03-05,488
2023-03-06,475
2023-03-07,442
2023-03-08,467
2023-03-09,463
2023-03-10,485
2023-03-11,489
2023-03-12,523
2023-03-13,509
2023-03-14,435
2023-03-15,421
2023-03-16,431
2023-03-17,525
2023-03-18,488
2023-03-19,558
2023-03-20,532
2023-03-21,515
2023-03-22,508
2023-03-23,554
2023-03-24,559
2023-03-25,578
2023-03-26,606
2023-03-27,549
2023-03-28,560
2023-03-29,567
2023-03-30,602
2023-03-31,533
2023-04-01,488
2023-04-02,529
2023-04-03,515
2023-04-04,555
2023-04-05,513
2023-04-06,456
2023-04-07,493
2023-04-08,543
2023-04-09,583
2023-04-10,539
2023-04-11,465
2023-04-12,497
2023-04-13,553
2023-04-14,597
2023-04-15,481
2023-04-16,534
2023-04-17,490
2023-04-18,438
2023-04-19,492
2023-04-20,490
2023-04-21,517
2023-04-22,517
2023-04-23,584
2023-04-24,711
2023-04-25,638
2023-04-26,588
2023-04-27,584
2023-04-28,551
2023-04-29,571
2023-04-30,628
2023-05-01,626
2023-05-02,613
2023-05-03,656
2023-05-04,745
2023-05-05,677
2023-05-06,595
2023-05-07,631
2023-05-08,561
2023-05-09,542
2023-05-10,596
2023-05-11,568
2023-05-12,611
2023-05-13,478
2023-05-14,549
2023-05-15,534
2023-05-16,430
2023-05-17,440
2023-05-18,496
2023-05-19,467
2023-05-20,588
2023-05-21,494
2023-05-22,507
2023-05-23,533
2023-05-24,528
2023-05-25,611
2023-05-26,599
2023-05-27,606
2023-05-28,555
2023-05-30,555
2023-05-31,585
2023-06-01,574
2023-06-02,596
2023-06-03,610
2023-06-04,579
2023-06-05,553
2023-06-06,481
2023-06-07,562
2023-06-08,607
2023-06-09,612
2023-06-10,605
2023-06-11,693
2023-06-12,579
2023-06-13,574
2023-06-14,546
2023-06-15,550
2023-06-16,529
2023-06-17,526
2023-06-18,504
2023-06-19,469
2023-06-20,444
2023-06-21,423
2023-06-22,446
2023-06-23,455
2023-06-24,442
2023-06-25,480
2023-06-26,455
2023-06-27,401
2023-06-28,371
2023-06-29,321
2023-06-30,451
2023-07-01,495
2023-07-02,496
2023-07-03,468
2023-07-04,547
2023-07-05,457
2023-07-06,453
2023-07-07,434
2023-07-08,503
2023-07-09,538
2023-07-10,613
2023-07-11,326
2023-07-12,271
2023-07-13,310
2023-07-14,387
2023-07-15,514
2023-07-16,627
2023-07-17,604
2023-07-18,600
2023-07-19,591
2023-07-20,435
2023-07-21,474
2023-07-22,491
2023-07-23,498
2023-07-24,447
2023-07-25,410
2023-07-26,373
2023-07-27,428
2023-07-28,435
2023-07-29,449
2023-07-30,520
2023-07-31,527
2023-08-01,457
2023-08-02,445
2023-08-03,471
2023-08-05,473
2023-08-06,500
2023-08-07,498
2023-08-08,503
2023-08-09,430
2023-08-10,409
2023-08-11,424
2023-08-12,490
2023-08-13,460
2023-08-14,453
2023-08-15,455
2023-08-16,397
2023-08-17,432
2023-08-18,419
2023-08-19,433
2023-08-20,452
2023-08-21,333
2023-08-22,328
2023-08-23,339
2023-08-24,349
2023-08-25,323
2023-08-26,305
2023-08-27,307
2023-08-28,340
2023-08-29,373
2023-08-30,391
2023-08-31,398
2023-09-01,462
2023-09-02,440
2023-09-03,458
2023-09-04,513
2023-09-05,448
2023-09-06,416
2023-09-07,437
2023-09-08,423
2023-09-09,416
2023-09-10,447
2023-09-11,433
2023-09-12,389
2023-09-13,372
2023-09-14,431
2023-09-15,428
2023-09-16,485
2023-09-17,480
2023-09-18,365
2023-09-19,316
2023-09-20,317
2023-09-21,355
2023-09-22,364
2023-09-23,435
2023-09-24,476
2023-09-25,442
2023-09-26,456
2023-09-27,489
2023-09-28,468
2023-09-29,459
2023-09-30,484
2023-10-01,465
2023-10-02,372
2023-10-03,377
2023-10-04,408
2023-10-05,385
2023-10-06,378
2023-10-07,391
2023-10-08,447
2023-10-09,414
2023-10-10,242
2023-10-11,194
2023-10-12,229
2023-10-13,282
2023-10-14,356
2023-10-15,388
2023-10-16,352
2023-10-17,366
2023-10-18,389
2023-10-19,362
2023-10-20,365
2023-10-21,381
2023-10-22,437
2023-10-23,359
2023-10-24,357
2023-10-25,423
2023-10-26,462
2023-10-27,515
2023-10-28,573
2023-10-29,571
2023-10-30,568
2023-10-31,467
2023-11-01,516
2023-11-02,534
2023-11-03,540
2023-11-04,485
2023-11-05,494
2023-11-06,284
2023-11-07,240
2023-11-08,212
2023-11-09,185
2023-11-10,190
2023-11-11,199
2023-11-12,180
2023-11-13,229
2023-11-14,229
2023-11-15,317
2023-11-16,360
2023-11-17,468
2023-11-18,475
2023-11-19,466
2023-11-20,419
2023-11-21,401
2023-11-22,423
2023-11-23,439
2023-11-24,439
2023-11-25,418
2023-11-26,393
2023-11-27,361
2023-11-28,364
2023-11-29,405
2023-11-30,393
2023-12-01,408
2023-12-02,413
2023-12-03,444
2023-12-04,223
2023-12-05,198
2023-12-06,223
2023-12-07,197
2023-12-08,204
2023-12-09,190
2023-12-10,215
2023-12-11,224
2023-12-12,272
2023-12-13,265
2023-12-14,320
2023-12-15,331
2023-12-16,339
2023-12-17,357
2023-12-18,340
2023-12-19,302
2023-12-20,302
2023-12-21,394
2023-12-22,411
2023-12-23,448
2023-12-24,488
2023-12-25,489
2023-12-26,416
2023-12-27,383
2023-12-28,395
2023-12-29,357
2023-12-30,399
2023-12-31,407
2024-01-01,452
2024-01-02,315
2024-01-03,285
2024-01-04,311
2024-01-05,261
2024-01-06,259
2024-01-07,331
2024-01-08,184
2024-01-09,160
2024-01-10,134
2024-01-11,141
2024-01-12,143
2024-01-13,143
2024-01-14,160
2024-01-15,180
2024-01-16,204
2024-01-17,209
2024-01-18,271
2024-01-19,232
2024-01-20,335
2024-01-21,314
2024-01-22,271
2024-01-23,272
2024-01-24,255
2024-01-25,258
2024-01-26,272
2024-01-27,285
2024-01-28,327
2024-01-29,282
2024-01-30,274
2024-01-31,255
2024-02-01,239
2024-02-02,249
2024-02-03,269
2024-02-04,244
2024-02-05,177
2024-02-06,117
2024-02-07,109
2024-02-08,117
2024-02-09,114
2024-02-10,114
2024-02-11,111
2024-02-12,152
2024-02-13,176
2024-02-14,198
2024-02-15,217
2024-02-16,227
2024-02-17,244
2024-02-18,240
2024-02-19,209
2024-02-20,206
2024-02-21,239
2024-02-22,286
2024-02-23,261
2024-02-24,260
2024-02-25,260
2024-02-26,210
2024-02-27,218
2024-02-28,224
2024-02-29,230
2024-03-01,218
2024-03-02,231
2024-03-03,244
2024-03-04,142
2024-03-05,119
2024-03-06,114
2024-03-07,104
2024-03-08,123
2024-03-09,96
2024-03-10,110
2024-03-11,144
2024-03-12,154
2024-03-13,175
2024-03-14,188
2024-03-15,198
2024-03-16,206
2024-03-17,251
2024-03-18,231
2024-03-19,227
2024-03-20,237
2024-03-21,248
2024-03-22,252
2024-03-23,287
2024-03-24,305
2024-03-25,242
2024-03-26,245
2024-03-27,265
2024-03-28,252
2024-03-29,259
2024-03-30,274
2024-03-31,318
2024-04-01,158
2024-04-02,129
