,Sales Rank
2022-12-14,976
2022-12-15,1190
2022-12-16,1408
2022-12-17,1553
2022-12-18,1474
2022-12-19,1412
2022-12-20,1636
2022-12-21,1564
2022-12-22,1249
2022-12-23,1158
2022-12-24,1171
2022-12-25,1029
2022-12-26,856
2022-12-27,643
2022-12-28,494
2022-12-29,668
2022-12-30,551
2022-12-31,672
2023-01-01,628
2023-01-02,452
2023-01-03,583
2023-01-04,576
2023-01-05,543
2023-01-06,630
2023-01-07,586
2023-01-08,629
2023-01-09,615
2023-01-10,639
2023-01-11,648
2023-01-12,581
2023-01-13,532
2023-01-14,383
2023-01-15,378
2023-01-16,447
2023-01-17,372
2023-01-18,445
2023-01-19,482
2023-01-20,500
2023-01-21,283
2023-01-22,332
2023-01-23,444
2023-01-24,431
2023-01-25,504
2023-01-26,599
2023-01-27,502
2023-01-28,377
2023-01-29,348
2023-01-30,426
2023-01-31,542
2023-02-01,571
2023-02-02,423
2023-02-03,363
2023-02-04,309
2023-02-05,288
2023-02-06,290
2023-02-07,324
2023-02-08,340
2023-02-09,312
2023-02-10,358
2023-02-11,298
2023-02-12,246
2023-02-13,320
2023-02-14,377
2023-02-15,328
2023-02-16,334
2023-02-17,393
2023-02-18,454
2023-02-19,256
2023-02-20,277
2023-02-21,421
2023-02-22,444
2023-02-23,403
2023-02-24,513
2023-02-25,411
2023-02-26,574
2023-02-27,482
2023-02-28,646
2023-03-01,565
2023-03-02,648
2023-03-03,665
2023-03-04,403
2023-03-05,367
2023-03-06,371
2023-03-07,435
2023-03-08,475
2023-03-09,391
2023-03-10,523
2023-03-11,361
2023-03-12,287
2023-03-13,426
2023-03-14,411
2023-03-15,318
2023-03-16,323
2023-03-17,374
2023-03-18,253
2023-03-19,234
2023-03-20,292
2023-03-21,292
2023-03-22,260
2023-03-23,336
2023-03-24,311
2023-03-25,280
2023-03-26,201
2023-03-27,248
2023-03-28,244
2023-03-29,237
2023-03-30,313
2023-03-31,290
2023-04-01,230
2023-04-02,201
2023-04-03,282
2023-04-04,299
2023-04-05,318
2023-04-06,389
2023-04-07,395
2023-04-08,342
2023-04-09,223
2023-04-10,291
2023-04-11,251
2023-04-12,241
2023-04-13,314
2023-04-14,317
2023-04-15,246
2023-04-16,248
2023-04-17,371
2023-04-18,347
2023-04-19,397
2023-04-20,384
2023-04-21,404
2023-04-22,364
2023-04-23,382
2023-04-24,487
2023-04-25,486
2023-04-26,602
2023-04-27,669
2023-04-28,740
2023-04-29,630
2023-04-30,612
2023-05-01,840
2023-05-02,808
2023-05-03,909
2023-05-04,673
2023-05-05,723
2023-05-06,611
2023-05-07,585
2023-05-08,698
2023-05-09,728
2023-05-10,834
2023-05-11,892
2023-05-12,737
2023-05-13,778
2023-05-14,645
2023-05-15,685
2023-05-16,692
2023-05-17,721
2023-05-18,735
2023-05-19,817
2023-05-20,707
2023-05-21,776
2023-05-22,578
2023-05-23,758
2023-05-24,600
2023-05-25,623
2023-05-26,556
2023-05-27,492
2023-05-28,543
2023-05-30,544
2023-05-31,628
2023-06-01,643
2023-06-02,577
2023-06-03,585
2023-06-04,519
2023-06-05,668
2023-06-06,640
2023-06-07,666
2023-06-08,668
2023-06-09,695
2023-06-10,598
2023-06-11,549
2023-06-12,585
2023-06-13,633
2023-06-14,645
2023-06-15,667
2023-06-16,736
2023-06-17,678
2023-06-18,506
2023-06-19,527
2023-06-20,525
2023-06-21,572
2023-06-22,664
2023-06-23,630
2023-06-24,690
2023-06-25,587
2023-06-26,679
2023-06-27,695
2023-06-28,716
2023-06-29,609
2023-06-30,627
2023-07-01,624
2023-07-02,640
2023-07-03,662
2023-07-04,596
2023-07-05,728
2023-07-06,722
2023-07-07,728
2023-07-08,701
2023-07-09,695
2023-07-10,736
2023-07-11,964
2023-07-12,1190
2023-07-13,1168
2023-07-14,923
2023-07-15,935
2023-07-16,658
2023-07-17,676
2023-07-18,733
2023-07-19,755
2023-07-20,755
2023-07-21,822
2023-07-22,624
2023-07-23,699
2023-07-24,742
2023-07-25,837
2023-07-26,897
2023-07-27,986
2023-07-28,899
2023-07-29,837
2023-07-30,665
2023-07-31,745
2023-08-01,838
2023-08-02,828
2023-08-03,847
2023-08-04,786
2023-08-05,818
2023-08-06,820
2023-08-07,847
2023-08-08,984
2023-08-09,915
2023-08-10,944
2023-08-11,970
2023-08-12,824
2023-08-13,868
2023-08-14,995
2023-08-15,1182
2023-08-16,1222
2023-08-17,1263
2023-08-18,1217
2023-08-19,1057
2023-08-20,1124
2023-08-21,1087
2023-08-22,1165
2023-08-23,1262
2023-08-24,1317
2023-08-25,1410
2023-08-26,1066
2023-08-27,893
2023-08-28,1071
2023-08-29,1171
2023-08-30,1281
2023-08-31,1244
2023-09-01,1294
2023-09-02,1042
2023-09-03,1234
2023-09-04,1224
2023-09-05,1394
2023-09-06,1609
2023-09-07,1649
2023-09-08,1733
2023-09-09,1782
2023-09-10,1734
2023-09-11,1909
2023-09-12,1749
2023-09-13,1767
2023-09-14,1785
2023-09-15,1935
2023-09-16,1341
2023-09-17,1564
2023-09-18,1514
2023-09-19,1440
2023-09-20,1557
2023-09-21,1414
2023-09-22,1603
2023-09-23,1365
2023-09-24,1528
2023-09-25,1320
2023-09-26,1467
2023-09-27,1413
2023-09-28,1555
2023-09-29,1396
2023-09-30,1285
2023-10-01,1151
2023-10-02,1377
2023-10-03,1159
2023-10-04,1150
2023-10-05,1367
2023-10-06,1471
2023-10-07,1099
2023-10-08,1271
2023-10-09,1319
2023-10-10,1455
2023-10-11,2044
2023-10-12,1933
2023-10-13,1907
2023-10-14,1885
2023-10-15,1474
2023-10-16,1535
2023-10-17,1468
2023-10-18,1539
2023-10-19,1394
2023-10-20,1517
2023-10-21,1233
2023-10-22,1334
2023-10-23,1238
2023-10-24,1192
2023-10-25,1411
2023-10-26,1415
2023-10-27,1160
2023-10-28,1159
2023-10-29,1223
2023-10-30,1251
2023-10-31,1277
2023-11-01,1101
2023-11-02,1206
2023-11-03,967
2023-11-04,994
2023-11-05,801
2023-11-06,1112
2023-11-07,1057
2023-11-08,1188
2023-11-09,1160
2023-11-10,1307
2023-11-11,1303
2023-11-12,986
2023-11-13,1152
2023-11-14,1254
2023-11-15,1500
2023-11-16,1414
2023-11-17,1343
2023-11-18,1194
2023-11-19,1365
2023-11-20,1492
2023-11-21,1508
2023-11-22,1498
2023-11-23,1129
2023-11-24,1105
2023-11-25,1219
2023-11-26,1470
2023-11-27,1841
2023-11-28,1725
2023-11-29,1781
2023-11-30,1744
2023-12-01,1772
2023-12-02,1449
2023-12-03,1464
2023-12-04,1778
2023-12-05,1332
2023-12-06,1372
2023-12-07,1506
2023-12-08,1516
2023-12-09,1341
2023-12-10,1550
2023-12-11,1656
2023-12-12,1515
2023-12-13,1441
2023-12-14,1558
2023-12-15,1452
2023-12-16,1248
2023-12-17,1031
2023-12-18,1166
2023-12-19,1196
2023-12-20,1274
2023-12-21,1420
2023-12-22,1384
2023-12-23,1097
2023-12-24,1251
2023-12-25,1290
2023-12-26,1014
2023-12-27,947
2023-12-28,876
2023-12-29,1024
2023-12-30,687
2023-12-31,640
2024-01-01,636
2024-01-02,704
2024-01-03,749
2024-01-04,795
2024-01-05,925
2024-01-06,818
2024-01-07,820
2024-01-08,682
2024-01-09,729
2024-01-10,606
2024-01-11,563
2024-01-12,604
2024-01-13,576
2024-01-14,577
2024-01-15,771
2024-01-16,830
2024-01-17,851
2024-01-18,724
2024-01-19,790
2024-01-20,799
2024-01-21,652
2024-01-22,702
2024-01-23,675
2024-01-24,592
2024-01-25,563
2024-01-26,537
2024-01-27,401
2024-01-28,436
2024-01-29,560
2024-01-30,678
2024-01-31,666
2024-02-01,596
2024-02-02,524
2024-02-03,463
2024-02-04,442
2024-02-05,474
2024-02-06,508
2024-02-07,464
2024-02-08,504
2024-02-09,503
2024-02-10,436
2024-02-11,528
2024-02-12,808
2024-02-13,830
2024-02-14,895
2024-02-15,936
2024-02-16,1125
2024-02-17,1206
2024-02-18,1090
2024-02-19,1320
2024-02-20,1360
2024-02-21,1538
2024-02-22,2373
2024-02-23,2742
