,Sales Rank
2022-12-14,853
2022-12-15,793
2022-12-16,944
2022-12-17,924
2022-12-18,993
2022-12-19,1001
2022-12-20,971
2022-12-21,922
2022-12-22,921
2022-12-23,967
2022-12-24,1020
2022-12-25,927
2022-12-26,980
2022-12-27,819
2022-12-28,849
2022-12-29,726
2022-12-30,835
2022-12-31,725
2023-01-01,771
2023-01-02,747
2023-01-03,815
2023-01-04,773
2023-01-05,748
2023-01-06,767
2023-01-07,796
2023-01-08,801
2023-01-09,796
2023-01-10,788
2023-01-11,793
2023-01-12,775
2023-01-13,758
2023-01-14,772
2023-01-15,695
2023-01-16,685
2023-01-17,657
2023-01-18,638
2023-01-19,700
2023-01-20,779
2023-01-21,789
2023-01-22,688
2023-01-23,757
2023-01-24,768
2023-01-25,747
2023-01-26,746
2023-01-27,731
2023-01-28,794
2023-01-29,747
2023-01-30,693
2023-01-31,736
2023-02-01,707
2023-02-02,714
2023-02-03,715
2023-02-04,715
2023-02-05,733
2023-02-06,749
2023-02-07,673
2023-02-08,702
2023-02-09,715
2023-02-10,670
2023-02-11,695
2023-02-12,708
2023-02-13,604
2023-02-14,527
2023-02-15,464
2023-02-16,662
2023-02-17,674
2023-02-18,681
2023-02-19,638
2023-02-20,660
2023-02-21,669
2023-02-22,727
2023-02-23,766
2023-02-24,708
2023-02-25,706
2023-02-26,721
2023-02-27,757
2023-02-28,707
2023-03-01,615
2023-03-02,661
2023-03-03,676
2023-03-04,664
2023-03-05,600
2023-03-06,598
2023-03-07,698
2023-03-08,605
2023-03-09,624
2023-03-10,600
2023-03-11,614
2023-03-12,579
2023-03-13,609
2023-03-14,612
2023-03-15,505
2023-03-16,589
2023-03-17,570
2023-03-18,587
2023-03-19,526
2023-03-20,603
2023-03-21,546
2023-03-22,490
2023-03-23,588
2023-03-24,616
2023-03-25,603
2023-03-26,552
2023-03-27,620
2023-03-28,565
2023-03-29,504
2023-03-30,526
2023-03-31,592
2023-04-01,570
2023-04-02,513
2023-04-03,619
2023-04-04,579
2023-04-05,570
2023-04-06,523
2023-04-07,556
2023-04-08,540
2023-04-09,525
2023-04-10,555
2023-04-11,493
2023-04-12,492
2023-04-13,542
2023-04-14,615
2023-04-15,590
2023-04-16,527
2023-04-17,557
2023-04-18,587
2023-04-19,591
2023-04-20,590
2023-04-21,638
2023-04-22,623
2023-04-23,569
2023-04-24,668
2023-04-25,676
2023-04-26,618
2023-04-27,668
2023-04-28,701
2023-04-29,674
2023-04-30,636
2023-05-01,589
2023-05-02,600
2023-05-03,649
2023-05-04,575
2023-05-05,661
2023-05-06,629
2023-05-07,640
2023-05-08,643
2023-05-09,623
2023-05-10,604
2023-05-11,632
2023-05-12,762
2023-05-13,659
2023-05-14,642
2023-05-15,587
2023-05-16,687
2023-05-17,613
2023-05-18,670
2023-05-19,710
2023-05-20,710
2023-05-21,712
2023-05-22,680
2023-05-23,730
2023-05-24,630
2023-05-25,649
2023-05-26,693
2023-05-27,629
2023-05-28,642
2023-05-31,542
2023-06-01,449
2023-06-02,536
2023-06-03,538
2023-06-04,602
2023-06-05,615
2023-06-06,582
2023-06-07,451
2023-06-08,529
2023-06-09,602
2023-06-10,614
2023-06-11,594
2023-06-12,591
2023-06-13,576
2023-06-14,506
2023-06-15,505
2023-06-16,548
2023-06-17,556
2023-06-18,568
2023-06-19,590
2023-06-20,555
2023-06-21,515
2023-06-22,544
2023-06-23,512
2023-06-24,534
2023-06-25,482
2023-06-26,505
2023-06-27,522
2023-06-28,644
2023-06-29,600
2023-06-30,586
2023-07-01,591
2023-07-02,553
2023-07-03,632
2023-07-04,618
2023-07-05,590
2023-07-06,573
2023-07-07,589
2023-07-08,614
2023-07-09,610
2023-07-10,638
2023-07-11,725
2023-07-12,643
2023-07-13,740
2023-07-14,715
2023-07-15,652
2023-07-16,590
2023-07-17,626
2023-07-18,605
2023-07-19,588
2023-07-20,662
2023-07-21,675
2023-07-22,644
2023-07-23,610
2023-07-24,646
2023-07-25,699
2023-07-26,699
2023-07-27,700
2023-07-28,755
2023-07-29,767
2023-07-30,677
2023-07-31,673
2023-08-02,695
2023-08-03,662
2023-08-04,655
2023-08-05,721
2023-08-07,709
2023-08-08,684
2023-08-09,723
2023-08-10,698
2023-08-11,737
2023-08-12,745
2023-08-13,602
2023-08-14,755
2023-08-15,653
2023-08-16,668
2023-08-17,646
2023-08-18,722
2023-08-19,707
2023-08-20,655
2023-08-21,697
2023-08-22,697
2023-08-23,739
2023-08-24,666
2023-08-25,767
2023-08-26,742
2023-08-27,672
2023-08-28,705
2023-08-29,631
2023-08-30,670
2023-08-31,604
2023-09-01,666
2023-09-02,667
2023-09-03,641
2023-09-04,682
2023-09-05,618
2023-09-06,628
2023-09-07,598
2023-09-08,683
2023-09-09,686
2023-09-10,590
2023-09-11,611
2023-09-12,662
2023-09-13,629
2023-09-14,626
2023-09-15,625
2023-09-16,607
2023-09-17,558
2023-09-18,652
2023-09-19,599
2023-09-20,640
2023-09-21,638
2023-09-22,738
2023-09-23,739
2023-09-24,762
2023-09-25,724
2023-09-26,661
2023-09-27,599
2023-09-28,608
2023-09-29,688
2023-09-30,687
2023-10-01,680
2023-10-02,655
2023-10-03,629
2023-10-04,643
2023-10-05,636
2023-10-06,700
2023-10-07,724
2023-10-08,735
2023-10-09,624
2023-10-10,687
2023-10-11,876
2023-10-12,814
2023-10-13,672
2023-10-14,678
2023-10-15,659
2023-10-16,623
2023-10-17,659
2023-10-18,643
2023-10-19,635
2023-10-20,652
2023-10-21,719
2023-10-22,590
2023-10-23,720
2023-10-24,653
2023-10-25,680
2023-10-26,688
2023-10-27,629
2023-10-28,710
2023-10-29,663
2023-10-30,683
2023-10-31,606
2023-11-01,637
2023-11-02,686
2023-11-03,756
2023-11-04,724
2023-11-05,671
2023-11-06,666
2023-11-07,638
2023-11-08,658
2023-11-09,602
2023-11-10,755
2023-11-11,743
2023-11-12,694
2023-11-13,636
2023-11-14,675
2023-11-15,590
2023-11-16,628
2023-11-17,722
2023-11-18,763
2023-11-19,696
2023-11-20,802
2023-11-21,746
2023-11-22,805
2023-11-23,947
2023-11-24,1147
2023-11-25,1148
2023-11-26,987
2023-11-27,879
2023-11-28,702
2023-11-29,632
2023-11-30,608
2023-12-01,692
2023-12-02,635
2023-12-03,647
2023-12-04,790
2023-12-05,856
2023-12-06,807
2023-12-07,850
2023-12-08,917
2023-12-09,862
2023-12-10,814
2023-12-11,863
2023-12-12,939
2023-12-13,875
2023-12-14,847
2023-12-15,981
2023-12-16,987
2023-12-17,883
2023-12-18,1004
2023-12-19,928
2023-12-20,850
2023-12-21,928
2023-12-22,985
2023-12-23,863
2023-12-24,783
2023-12-25,838
2023-12-26,752
2023-12-27,721
2023-12-28,667
2023-12-29,818
2023-12-30,782
2023-12-31,656
2024-01-01,729
2024-01-02,673
2024-01-03,590
2024-01-04,609
2024-01-05,673
2024-01-06,705
2024-01-07,702
2024-01-08,724
2024-01-09,727
2024-01-10,728
2024-01-11,738
2024-01-12,847
2024-01-13,881
2024-01-14,827
2024-01-15,803
2024-01-16,875
2024-01-17,808
2024-01-18,741
2024-01-19,832
2024-01-20,806
2024-01-21,786
2024-01-22,764
2024-01-23,714
2024-01-24,700
2024-01-25,786
2024-01-26,792
2024-01-27,730
2024-01-28,774
2024-01-29,773
2024-01-30,728
2024-01-31,703
2024-02-01,659
2024-02-02,704
2024-02-03,776
2024-02-04,656
2024-02-05,741
2024-02-06,684
2024-02-07,732
2024-02-08,753
2024-02-09,773
2024-02-10,740
2024-02-11,703
2024-02-12,717
2024-02-13,662
2024-02-14,616
2024-02-15,666
2024-02-16,676
2024-02-17,757
2024-02-18,653
2024-02-19,748
2024-02-20,746
2024-02-21,785
2024-02-22,770
2024-02-23,836
2024-02-24,836
2024-02-25,795
2024-02-26,851
2024-02-27,816
2024-02-28,848
2024-02-29,734
2024-03-01,828
2024-03-02,819
2024-03-03,820
2024-03-04,741
2024-03-05,718
2024-03-06,717
2024-03-07,746
2024-03-08,772
2024-03-09,735
2024-03-10,674
2024-03-11,642
2024-03-12,667
2024-03-13,670
2024-03-14,623
2024-03-15,663
2024-03-16,662
2024-03-17,568
2024-03-18,654
2024-03-19,651
2024-03-20,633
2024-03-21,622
2024-03-22,733
2024-03-23,663
2024-03-24,600
2024-03-25,666
2024-03-26,717
2024-03-27,620
2024-03-28,628
2024-03-29,736
2024-03-30,666
2024-03-31,572
2024-04-01,721
2024-04-02,594
2024-04-03,588
2024-04-04,581
2024-04-05,748
2024-04-06,680
2024-04-07,562
2024-04-08,595
2024-04-09,600
2024-04-10,622
2024-04-11,619
2024-04-12,685
2024-04-13,728
2024-04-14,681
2024-04-15,654
2024-04-16,532
2024-04-17,581
2024-04-18,666
2024-04-19,647
2024-04-20,683
2024-04-21,603
2024-04-22,725
2024-04-23,725
2024-04-24,677
2024-04-25,718
2024-04-26,728
2024-04-27,715
2024-04-28,651
2024-04-29,603
2024-04-30,632
2024-05-01,655
2024-05-02,684
2024-05-03,683
2024-05-04,638
2024-05-05,657
2024-05-06,651
2024-05-07,615
2024-05-08,781
2024-05-09,760
2024-05-10,805
2024-05-11,720
2024-05-12,624
2024-05-13,661
2024-05-14,635
2024-05-15,655
2024-05-16,646
2024-05-17,683
2024-05-18,648
2024-05-19,580
2024-05-20,649
2024-05-21,665
2024-05-22,680
2024-05-23,621
2024-05-24,649
2024-05-25,721
2024-05-26,624
2024-05-27,685
2024-05-28,661
2024-05-29,673
2024-05-30,679
2024-05-31,683
2024-06-01,754
2024-06-02,668
