,Sales Rank
2022-12-14,1461
2022-12-15,1779
2022-12-16,1427
2022-12-17,1385
2022-12-18,1461
2022-12-19,1425
2022-12-20,1433
2022-12-21,1424
2022-12-22,1383
2022-12-23,1243
2022-12-24,1326
2022-12-25,1348
2022-12-26,1240
2022-12-27,1004
2022-12-28,1130
2022-12-29,1083
2022-12-30,1024
2022-12-31,933
2023-01-01,990
2023-01-02,985
2023-01-03,923
2023-01-04,983
2023-01-05,925
2023-01-06,956
2023-01-07,966
2023-01-08,999
2023-01-09,1052
2023-01-10,1041
2023-01-11,1064
2023-01-12,980
2023-01-13,967
2023-01-14,872
2023-01-15,860
2023-01-16,886
2023-01-17,778
2023-01-18,905
2023-01-19,835
2023-01-20,806
2023-01-21,791
2023-01-22,790
2023-01-23,902
2023-01-24,877
2023-01-25,887
2023-01-26,893
2023-01-27,916
2023-01-28,915
2023-01-29,867
2023-01-30,943
2023-01-31,839
2023-02-01,801
2023-02-02,845
2023-02-03,987
2023-02-04,897
2023-02-05,925
2023-02-06,774
2023-02-07,782
2023-02-08,835
2023-02-09,853
2023-02-10,795
2023-02-11,836
2023-02-12,825
2023-02-13,897
2023-02-14,789
2023-02-15,819
2023-02-16,819
2023-02-17,820
2023-02-18,741
2023-02-19,706
2023-02-20,825
2023-02-21,724
2023-02-22,796
2023-02-23,753
2023-02-24,788
2023-02-25,833
2023-02-26,752
2023-02-27,789
2023-02-28,755
2023-03-01,675
2023-03-02,781
2023-03-03,805
2023-03-04,787
2023-03-05,731
2023-03-06,752
2023-03-07,820
2023-03-08,731
2023-03-09,737
2023-03-10,760
2023-03-11,858
2023-03-12,685
2023-03-13,729
2023-03-14,742
2023-03-15,723
2023-03-16,709
2023-03-17,748
2023-03-18,629
2023-03-19,621
2023-03-20,689
2023-03-21,633
2023-03-22,664
2023-03-23,622
2023-03-24,565
2023-03-25,525
2023-03-26,522
2023-03-27,656
2023-03-28,703
2023-03-29,763
2023-03-30,739
2023-03-31,691
2023-04-01,641
2023-04-02,691
2023-04-03,694
2023-04-04,773
2023-04-05,749
2023-04-06,758
2023-04-07,717
2023-04-08,738
2023-04-09,712
2023-04-10,775
2023-04-11,817
2023-04-12,725
2023-04-13,710
2023-04-14,655
2023-04-15,650
2023-04-16,674
2023-04-17,643
2023-04-18,722
2023-04-19,644
2023-04-20,707
2023-04-21,689
2023-04-22,591
2023-04-23,689
2023-04-24,697
2023-04-25,681
2023-04-26,687
2023-04-27,688
2023-04-28,671
2023-04-29,675
2023-04-30,603
2023-05-01,665
2023-05-02,454
2023-05-03,433
2023-05-04,455
2023-05-05,557
2023-05-06,549
2023-05-07,503
2023-05-08,499
2023-05-09,545
2023-05-10,491
2023-05-11,568
2023-05-12,635
2023-05-13,561
2023-05-14,504
2023-05-15,565
2023-05-16,496
2023-05-17,675
2023-05-18,644
2023-05-19,646
2023-05-20,623
2023-05-21,625
2023-05-22,581
2023-05-23,621
2023-05-24,573
2023-05-25,659
2023-05-26,619
2023-05-27,680
2023-05-28,666
2023-05-30,631
2023-05-31,619
2023-06-01,602
2023-06-02,625
2023-06-03,630
2023-06-04,671
2023-06-05,642
2023-06-06,592
2023-06-07,699
2023-06-08,650
2023-06-09,591
2023-06-10,651
2023-06-11,681
2023-06-12,687
2023-06-13,721
2023-06-14,739
2023-06-15,740
2023-06-16,711
2023-06-17,663
2023-06-18,754
2023-06-19,721
2023-06-20,723
2023-06-21,717
2023-06-22,731
2023-06-23,740
2023-06-24,693
2023-06-25,687
2023-06-26,657
2023-06-27,634
2023-06-28,749
2023-06-29,699
2023-06-30,751
2023-07-01,738
2023-07-02,758
2023-07-03,704
2023-07-04,720
2023-07-05,780
2023-07-06,732
2023-07-07,763
2023-07-08,842
2023-07-09,746
2023-07-10,706
2023-07-11,888
2023-07-12,1024
2023-07-13,887
2023-07-14,770
2023-07-15,705
2023-07-16,609
2023-07-17,615
2023-07-18,621
2023-07-19,642
2023-07-20,664
2023-07-21,639
2023-07-22,658
2023-07-23,710
2023-07-24,707
2023-07-25,658
2023-07-26,653
2023-07-27,621
2023-07-28,723
2023-07-29,673
2023-07-30,614
2023-07-31,647
2023-08-01,660
2023-08-02,646
2023-08-03,670
2023-08-04,679
2023-08-05,718
2023-08-06,698
2023-08-07,716
2023-08-08,721
2023-08-09,666
2023-08-10,727
2023-08-11,670
2023-08-12,697
2023-08-13,660
2023-08-14,668
2023-08-15,716
2023-08-16,649
2023-08-17,732
2023-08-18,716
2023-08-19,662
2023-08-20,752
2023-08-21,657
2023-08-22,667
2023-08-23,667
2023-08-24,713
2023-08-25,745
2023-08-26,595
2023-08-27,591
2023-08-28,556
2023-08-29,620
2023-08-30,615
2023-08-31,615
2023-09-01,615
2023-09-02,597
2023-09-03,604
2023-09-04,630
2023-09-05,592
2023-09-06,597
2023-09-07,562
2023-09-08,489
2023-09-09,417
2023-09-10,469
2023-09-11,489
2023-09-12,475
2023-09-13,487
2023-09-14,505
2023-09-15,553
2023-09-16,529
2023-09-17,521
2023-09-18,551
2023-09-19,583
2023-09-20,631
2023-09-21,591
2023-09-22,594
2023-09-23,604
2023-09-24,654
2023-09-25,649
2023-09-26,671
2023-09-27,670
2023-09-28,672
2023-09-29,695
2023-09-30,719
2023-10-01,757
2023-10-02,630
2023-10-03,662
2023-10-04,632
2023-10-05,698
2023-10-06,676
2023-10-07,586
2023-10-08,627
2023-10-09,638
2023-10-10,659
2023-10-11,696
2023-10-12,651
2023-10-13,635
2023-10-14,636
2023-10-15,631
2023-10-16,646
2023-10-17,566
2023-10-18,577
2023-10-19,545
2023-10-20,614
2023-10-21,557
2023-10-22,589
2023-10-23,641
2023-10-24,608
2023-10-25,600
2023-10-26,637
2023-10-27,590
2023-10-28,551
2023-10-29,553
2023-10-30,570
2023-10-31,584
2023-11-01,632
2023-11-02,668
2023-11-03,626
2023-11-04,596
2023-11-05,529
2023-11-06,541
2023-11-07,578
2023-11-08,556
2023-11-09,615
2023-11-10,627
2023-11-11,563
2023-11-12,640
2023-11-13,644
2023-11-14,660
2023-11-15,645
2023-11-16,635
2023-11-17,678
2023-11-18,684
2023-11-19,651
2023-11-20,703
2023-11-21,709
2023-11-22,739
2023-11-23,574
2023-11-24,482
2023-11-25,415
2023-11-26,391
2023-11-27,456
2023-11-28,507
2023-11-29,542
2023-11-30,555
2023-12-01,546
2023-12-02,604
2023-12-03,578
2023-12-04,611
2023-12-05,678
2023-12-06,649
2023-12-07,689
2023-12-08,717
2023-12-09,815
2023-12-10,808
2023-12-11,843
2023-12-12,853
2023-12-13,817
2023-12-14,852
2023-12-15,858
2023-12-16,894
2023-12-17,907
2023-12-18,902
2023-12-19,905
2023-12-20,932
2023-12-21,872
2023-12-22,843
2023-12-23,825
2023-12-24,817
2023-12-25,813
2023-12-26,728
2023-12-27,681
2023-12-28,713
2023-12-29,574
2023-12-30,471
2023-12-31,410
2024-01-01,442
2024-01-02,394
2024-01-03,418
2024-01-04,455
2024-01-05,390
2024-01-06,363
2024-01-07,341
2024-01-08,323
2024-01-09,307
2024-01-10,309
2024-01-11,314
2024-01-12,464
2024-01-13,572
2024-01-14,646
2024-01-15,660
2024-01-16,762
2024-01-17,715
2024-01-18,673
2024-01-19,667
2024-01-20,605
2024-01-21,544
2024-01-22,539
2024-01-23,520
2024-01-24,468
