,Sales Rank
2022-12-14,131
2022-12-15,132
2022-12-16,144
2022-12-17,147
2022-12-18,155
2022-12-19,141
2022-12-20,139
2022-12-21,136
2022-12-22,134
2022-12-23,125
2022-12-24,110
2022-12-25,106
2022-12-26,111
2022-12-27,121
2022-12-28,124
2022-12-29,123
2022-12-30,122
2022-12-31,115
2023-01-01,100
2023-01-02,102
2023-01-03,92
2023-01-04,91
2023-01-05,91
2023-01-06,91
2023-01-07,95
2023-01-08,95
2023-01-09,98
2023-01-10,103
2023-01-11,105
2023-01-12,101
2023-01-13,89
2023-01-14,97
2023-01-15,93
2023-01-16,89
2023-01-17,82
2023-01-18,83
2023-01-19,95
2023-01-20,113
2023-01-21,120
2023-01-22,126
2023-01-23,102
2023-01-24,116
2023-01-25,109
2023-01-26,124
2023-01-27,118
2023-01-28,125
2023-01-29,128
2023-01-30,107
2023-01-31,101
2023-02-01,92
2023-02-02,85
2023-02-03,100
2023-02-04,97
2023-02-05,101
2023-02-06,99
2023-02-07,95
2023-02-08,84
2023-02-09,87
2023-02-10,85
2023-02-11,103
2023-02-12,98
2023-02-13,85
2023-02-14,94
2023-02-15,89
2023-02-16,88
2023-02-17,93
2023-02-18,92
2023-02-19,93
2023-02-20,102
2023-02-21,78
2023-02-22,75
2023-02-23,91
2023-02-24,99
2023-02-25,94
2023-02-26,102
2023-02-27,95
2023-02-28,91
2023-03-01,84
2023-03-02,94
2023-03-03,90
2023-03-04,87
2023-03-05,89
2023-03-06,90
2023-03-07,85
2023-03-08,81
2023-03-09,93
2023-03-10,97
2023-03-11,103
2023-03-12,89
2023-03-13,93
2023-03-14,91
2023-03-15,101
2023-03-16,101
2023-03-17,105
2023-03-18,119
2023-03-19,111
2023-03-20,104
2023-03-21,86
2023-03-22,91
2023-03-23,92
2023-03-24,116
2023-03-25,103
2023-03-26,138
2023-03-27,129
2023-03-28,129
2023-03-29,126
2023-03-30,145
2023-03-31,175
2023-04-01,185
2023-04-02,195
2023-04-03,192
2023-04-04,184
2023-04-05,239
2023-04-06,286
2023-04-07,283
2023-04-08,243
2023-04-09,295
2023-04-10,254
2023-04-11,254
2023-04-12,230
2023-04-13,131
2023-04-14,105
2023-04-15,104
2023-04-16,118
2023-04-17,90
2023-04-18,77
2023-04-19,97
2023-04-20,99
2023-04-21,97
2023-04-22,109
2023-04-23,94
2023-04-24,86
2023-04-25,89
2023-04-26,93
2023-04-27,95
2023-04-28,95
2023-04-29,122
2023-04-30,133
2023-05-01,114
2023-05-02,122
2023-05-03,126
2023-05-04,124
2023-05-05,119
2023-05-06,148
2023-05-07,140
2023-05-08,98
2023-05-09,111
2023-05-10,106
2023-05-11,106
2023-05-12,106
2023-05-13,114
2023-05-14,113
2023-05-15,112
2023-05-16,124
2023-05-17,113
2023-05-18,109
2023-05-19,97
2023-05-20,123
2023-05-21,122
2023-05-22,106
2023-05-23,92
2023-05-24,101
2023-05-25,103
2023-05-26,108
2023-05-27,105
2023-05-28,120
2023-05-30,120
2023-05-31,111
2023-06-01,89
2023-06-02,109
2023-06-03,140
2023-06-04,125
2023-06-05,109
2023-06-06,111
2023-06-07,113
2023-06-08,113
2023-06-09,110
2023-06-10,119
2023-06-11,128
2023-06-12,107
2023-06-13,99
2023-06-14,94
2023-06-15,109
2023-06-16,101
2023-06-17,124
2023-06-18,123
2023-06-19,97
2023-06-20,109
2023-06-21,119
2023-06-22,110
2023-06-23,105
2023-06-24,92
2023-06-25,116
2023-06-26,118
2023-06-27,126
2023-06-28,145
2023-06-29,153
2023-06-30,119
2023-07-01,128
2023-07-02,151
2023-07-03,114
2023-07-04,110
2023-07-05,122
2023-07-06,1650
2023-07-07,1648
2023-07-08,1503
2023-07-09,1761
2023-07-10,1603
2023-07-11,2035
2023-07-12,2381
2023-07-13,692
2023-07-14,586
2023-07-15,639
2023-07-16,663
2023-07-17,487
2023-07-18,514
2023-07-19,480
2023-07-20,466
2023-07-21,487
2023-07-22,513
2023-07-23,534
2023-07-24,470
2023-07-25,414
2023-07-26,454
2023-07-27,502
2023-07-28,554
2023-07-29,570
2023-07-30,589
2023-07-31,528
2023-08-01,1660
2023-08-02,1614
2023-08-03,1556
2023-08-04,1516
2023-08-05,1529
2023-08-06,1699
2023-08-07,1862
2023-08-08,1509
2023-08-09,1625
2023-08-10,1591
2023-08-11,1576
2023-08-12,1593
2023-08-13,1473
2023-08-14,1344
2023-08-15,1564
2023-08-16,1619
2023-08-17,1465
2023-08-18,1555
2023-08-19,1674
2023-08-20,1738
2023-08-21,1492
2023-08-22,1517
2023-08-23,1340
2023-08-24,1475
2023-08-25,1438
2023-08-26,1742
2023-08-27,1655
2023-08-28,1555
2023-08-29,1611
2023-08-30,1622
2023-08-31,1628
2023-09-01,1666
2023-09-02,129
2023-09-03,128
2023-09-04,113
2023-09-05,116
2023-09-06,131
2023-09-07,1513
2023-09-08,1445
2023-09-09,1515
2023-09-10,1401
2023-09-11,1356
2023-09-12,127
2023-09-13,135
2023-09-14,138
2023-09-15,139
2023-09-16,146
2023-09-17,146
2023-09-18,122
2023-09-19,127
2023-09-20,124
2023-09-21,125
2023-09-22,124
2023-09-23,113
2023-09-24,123
2023-09-25,121
2023-09-26,114
2023-09-27,121
2023-09-28,144
2023-09-29,1936
2023-09-30,1846
2023-10-01,1674
2023-10-02,1467
2023-10-03,1486
2023-10-04,1551
2023-10-05,1454
2023-10-06,1457
2023-10-07,1463
2023-10-08,1534
2023-10-09,133
2023-10-10,234
2023-10-11,231
2023-10-12,188
