,Sales Rank
2022-12-14,34
2022-12-15,37
2022-12-16,45
2022-12-17,44
2022-12-18,48
2022-12-19,48
2022-12-20,60
2022-12-21,53
2022-12-22,51
2022-12-23,50
2022-12-24,50
2022-12-25,45
2022-12-26,51
2022-12-27,52
2022-12-28,45
2022-12-29,42
2022-12-30,37
2022-12-31,29
2023-01-01,12
2023-01-02,22
2023-01-03,26
2023-01-04,26
2023-01-05,28
2023-01-06,29
2023-01-07,28
2023-01-08,27
2023-01-12,28
2023-01-13,27
2023-01-14,32
2023-01-15,27
2023-01-16,39
2023-01-17,34
2023-01-18,34
2023-01-19,31
2023-01-20,10
2023-01-21,14
2023-01-22,21
2023-01-23,31
2023-01-24,27
2023-01-25,22
2023-01-26,31
2023-01-27,34
2023-01-28,34
2023-01-29,33
2023-01-30,51
2023-01-31,49
2023-02-01,52
2023-02-02,62
2023-02-03,60
2023-02-04,50
2023-02-05,52
2023-02-06,55
2023-02-07,56
2023-02-08,47
2023-02-09,50
2023-02-10,37
2023-02-11,39
2023-02-12,44
2023-02-13,52
2023-02-14,52
2023-02-15,54
2023-02-16,26
2023-02-17,38
2023-02-18,6
2023-02-19,8
2023-02-20,13
2023-02-21,23
2023-02-22,14
2023-02-23,11
2023-02-24,16
2023-02-25,10
2023-02-26,12
2023-02-27,11
2023-02-28,13
2023-03-01,15
2023-03-02,13
2023-03-03,16
2023-03-04,11
2023-03-05,10
2023-03-06,8
2023-03-07,9
2023-03-08,1721
2023-03-09,8
2023-03-10,8
2023-03-11,1829
2023-03-12,22
2023-03-13,35
2023-03-14,43
2023-03-15,51
2023-03-16,19
2023-03-17,20
2023-03-18,9
2023-03-19,13
2023-03-20,27
2023-03-21,13
2023-03-22,19
2023-03-23,21
2023-03-24,18
2023-03-25,21
2023-03-26,17
2023-03-27,2188
2023-03-28,19
2023-03-29,11
2023-03-30,1992
2023-03-31,1979
2023-04-01,14
2023-04-02,11
2023-04-03,15
2023-04-04,15
2023-04-05,1857
2023-04-06,11
2023-04-07,12
2023-04-08,8
2023-04-09,11
2023-04-10,1755
2023-04-11,14
2023-04-12,14
2023-04-13,1533
2023-04-14,1403
2023-04-15,9
2023-04-16,8
2023-04-17,32
2023-04-18,38
2023-04-19,27
2023-04-20,9
2023-04-21,10
2023-04-22,9
2023-04-23,11
2023-04-24,18
2023-04-25,9
2023-04-26,11
2023-04-27,13
2023-04-28,13
2023-04-29,12
2023-04-30,9
2023-05-01,12
2023-05-02,2064
2023-05-03,1508
2023-05-04,1984
2023-05-05,1802
2023-05-06,15
2023-05-07,12
2023-05-08,16
2023-05-09,15
2023-05-10,1745
2023-05-11,17
2023-05-12,21
2023-05-13,1743
2023-05-14,1721
2023-05-15,1672
2023-05-16,1853
2023-05-17,1641
2023-05-18,1565
2023-05-19,1655
2023-05-20,16
2023-05-21,14
2023-05-22,16
2023-05-23,21
2023-05-24,21
2023-05-25,23
2023-05-26,24
2023-05-27,23
2023-05-28,20
2023-05-31,26
2023-06-01,24
2023-06-02,24
2023-06-03,34
2023-06-04,26
2023-06-05,14
2023-06-07,1780
2023-06-08,1828
2023-06-09,1913
2023-06-10,1890
2023-06-11,1743
2023-06-12,1922
2023-06-13,1949
2023-06-14,19
2023-06-15,19
2023-06-16,16
2023-06-17,14
2023-06-18,14
2023-06-19,10
2023-06-20,9
2023-06-21,1507
2023-06-22,1584
2023-06-23,1546
2023-06-24,1423
2023-06-25,1433
2023-06-26,1619
2023-06-27,1615
2023-06-28,53
2023-06-29,51
2023-06-30,68
2023-07-01,62
2023-07-02,60
2023-07-03,2105
2023-07-04,2319
2023-07-05,2013
2023-07-06,2062
2023-07-07,1965
2023-07-08,59
2023-07-09,43
2023-07-10,53
2023-07-11,56
2023-07-12,953
2023-07-13,1171
2023-07-14,224
2023-07-15,242
2023-07-16,248
2023-07-17,234
2023-07-18,268
2023-07-19,285
2023-07-20,270
2023-07-21,302
2023-07-22,272
2023-07-23,304
2023-07-24,286
2023-07-25,304
2023-07-26,318
2023-07-27,249
2023-07-28,266
2023-07-29,285
2023-07-30,270
2023-07-31,282
2023-08-01,316
2023-08-02,2266
2023-08-03,2228
2023-08-04,2370
2023-08-05,33
2023-08-06,27
2023-08-07,25
2023-08-08,26
2023-08-09,29
2023-08-10,33
2023-08-11,35
2023-08-12,31
2023-08-13,24
2023-08-14,26
2023-08-15,26
2023-08-16,26
2023-08-17,29
2023-08-18,32
2023-08-19,33
2023-08-20,33
2023-08-21,36
2023-08-22,30
2023-08-23,35
2023-08-24,41
2023-08-25,52
2023-08-26,43
2023-08-27,44
2023-08-28,52
2023-08-29,56
2023-08-30,51
2023-08-31,45
2023-09-01,9
2023-09-02,20
2023-09-03,29
2023-09-04,34
2023-09-05,48
2023-09-06,55
2023-09-07,43
2023-09-08,44
2023-09-09,42
2023-09-10,43
2023-09-11,41
2023-09-12,35
2023-09-13,36
2023-09-14,32
2023-09-15,32
2023-09-16,34
2023-09-17,31
2023-09-18,36
2023-09-19,34
2023-09-20,35
2023-09-21,53
2023-09-22,58
2023-09-23,69
2023-09-24,67
2023-09-25,50
2023-09-26,50
2023-09-27,66
2023-09-28,72
2023-09-29,69
2023-09-30,46
2023-10-01,37
2023-10-02,42
2023-10-03,42
2023-10-04,45
2023-10-05,48
2023-10-06,48
2023-10-07,43
2023-10-08,32
2023-10-09,43
2023-10-10,38
2023-10-11,20
2023-10-12,31
2023-10-13,39
2023-10-14,40
2023-10-15,40
2023-10-16,40
2023-10-17,49
2023-10-18,47
2023-10-19,48
2023-10-20,46
2023-10-21,47
2023-10-22,55
2023-10-23,45
2023-10-24,38
2023-10-25,38
2023-10-26,23
2023-10-27,27
2023-10-28,21
2023-10-29,21
2023-10-30,38
2023-10-31,46
2023-11-01,51
2023-11-02,64
2023-11-03,81
2023-11-04,79
2023-11-05,59
2023-11-06,75
2023-11-07,411
