,Sales Rank
2022-12-14,182
2022-12-15,159
2022-12-16,150
2022-12-17,145
2022-12-18,141
2022-12-19,144
2022-12-20,161
2022-12-21,194
2022-12-22,203
2022-12-23,221
2022-12-24,224
2022-12-25,231
2022-12-26,289
2022-12-27,311
2022-12-28,307
2022-12-29,315
2022-12-30,310
2022-12-31,277
2023-01-01,312
2023-01-02,308
2023-01-03,345
2023-01-04,339
2023-01-05,333
2023-01-06,331
2023-01-07,349
2023-01-08,332
2023-01-09,335
2023-01-10,334
2023-01-11,335
2023-01-12,349
2023-01-13,343
2023-01-14,323
2023-01-15,346
2023-01-16,287
2023-01-17,250
2023-01-18,228
2023-01-19,283
2023-01-20,289
2023-01-21,298
2023-01-22,351
2023-01-23,336
2023-01-24,344
2023-01-25,313
2023-01-26,334
2023-01-27,342
2023-01-28,319
2023-01-29,300
2023-01-30,318
2023-01-31,312
2023-02-01,318
2023-02-02,310
2023-02-03,308
2023-02-04,295
2023-02-05,294
2023-02-06,255
2023-02-07,251
2023-02-08,296
2023-02-09,298
2023-02-10,288
2023-02-11,288
2023-02-12,285
2023-02-13,293
2023-02-14,249
2023-02-15,297
2023-02-16,295
2023-02-17,292
2023-02-18,341
2023-02-19,333
2023-02-20,355
2023-02-21,324
2023-02-22,327
2023-02-23,340
2023-02-24,355
2023-02-25,334
2023-02-26,379
2023-02-27,362
2023-02-28,364
2023-03-01,342
2023-03-02,359
2023-03-03,338
2023-03-04,381
2023-03-05,430
2023-03-06,429
2023-03-07,423
2023-03-08,419
2023-03-09,439
2023-03-10,457
2023-03-11,465
2023-03-12,481
2023-03-13,461
2023-03-14,462
2023-03-15,441
2023-03-16,405
2023-03-17,427
2023-03-18,421
2023-03-19,457
2023-03-20,445
2023-03-21,447
2023-03-22,394
2023-03-23,459
2023-03-24,446
2023-03-25,424
2023-03-26,491
2023-03-27,494
2023-03-28,472
2023-03-29,442
2023-03-30,422
2023-03-31,432
2023-04-01,404
2023-04-02,454
2023-04-03,475
2023-04-04,422
2023-04-05,407
2023-04-06,428
2023-04-07,445
2023-04-08,442
2023-04-09,468
2023-04-10,505
2023-04-11,464
2023-04-12,492
2023-04-13,471
2023-04-14,464
2023-04-15,502
2023-04-16,528
2023-04-17,472
2023-04-18,491
2023-04-19,434
2023-04-20,443
2023-04-21,466
2023-04-22,526
2023-04-23,469
2023-04-24,464
2023-04-25,506
2023-04-26,517
2023-04-27,526
2023-04-28,515
2023-04-29,464
2023-04-30,514
2023-05-01,506
2023-05-02,556
2023-05-03,534
2023-05-04,481
2023-05-05,480
