,Sales Rank
2023-07-22,1593
2023-07-23,-1
2023-09-13,1355
2023-09-14,1394
2023-09-15,1391
2023-09-16,1524
2023-09-17,1509
2023-09-18,1343
2023-09-19,1247
2023-09-21,1340
2023-09-22,1237
2023-09-23,1371
2023-09-24,1432
2023-09-25,1284
2023-09-26,1199
2023-09-27,1307
2023-09-28,1333
2023-09-29,1390
2023-09-30,1446
2023-10-01,1425
2023-10-02,1152
2023-10-03,1157
2023-10-04,1341
2023-10-05,1373
2023-10-06,1459
2023-10-07,1484
2023-10-08,1460
2023-10-09,1229
2023-10-10,1282
2023-10-11,787
2023-10-12,670
2023-10-13,549
2023-10-14,569
2023-10-15,572
2023-10-16,549
2023-10-17,477
2023-10-18,509
2023-10-19,484
2023-10-20,469
2023-10-21,571
2023-10-22,561
2023-10-23,467
2023-10-24,458
2023-10-25,466
2023-10-26,514
2023-10-27,477
2023-10-28,521
2023-10-29,566
2023-10-30,438
2023-10-31,449
2023-11-01,453
2023-11-02,470
2023-11-03,437
2023-11-04,464
2023-11-05,523
2023-11-06,431
2023-11-07,420
2023-11-08,502
2023-11-09,531
2023-11-10,503
2023-11-11,534
2023-11-12,576
2023-11-13,437
2023-11-14,479
2023-11-15,497
2023-11-16,483
2023-11-17,432
2023-11-18,516
2023-11-19,624
2023-11-20,514
2023-11-21,517
2023-11-22,541
2023-11-23,589
2023-11-24,803
2023-11-25,789
2023-11-26,806
2023-11-27,786
2023-11-28,694
2023-11-29,669
2023-11-30,582
2023-12-01,576
2023-12-02,642
2023-12-03,693
2023-12-04,534
2023-12-05,566
2023-12-06,572
2023-12-07,555
2023-12-08,560
2023-12-09,602
2023-12-10,610
2023-12-11,591
2023-12-12,602
2023-12-13,566
2023-12-14,556
2023-12-15,624
2023-12-16,750
2023-12-17,761
2023-12-18,635
2023-12-19,675
2023-12-20,637
2023-12-21,640
2023-12-22,620
2023-12-23,626
2023-12-24,714
2023-12-25,473
2023-12-26,451
2023-12-27,536
2023-12-28,546
2023-12-29,548
2023-12-30,600
2023-12-31,633
2024-01-01,471
2024-01-02,475
2024-01-03,473
2024-01-04,490
2024-01-05,469
2024-01-06,543
2024-01-07,549
2024-01-08,417
2024-01-09,456
2024-01-10,482
2024-01-11,437
2024-01-12,450
2024-01-13,555
2024-01-14,562
2024-01-15,488
2024-01-16,466
2024-01-17,513
2024-01-18,452
2024-01-19,541
2024-01-20,449
2024-01-21,511
2024-01-22,429
2024-01-23,422
2024-01-24,470
2024-01-25,456
2024-01-26,481
2024-01-27,565
2024-01-28,600
2024-01-29,494
2024-01-30,481
2024-01-31,508
2024-02-02,502
2024-02-03,538
2024-02-04,585
2024-02-05,469
2024-02-06,531
2024-02-07,513
2024-02-08,449
2024-02-09,488
2024-02-10,555
2024-02-11,567
2024-02-12,477
2024-02-13,445
2024-02-14,485
2024-02-15,536
2024-02-16,460
2024-02-17,554
2024-02-18,545
2024-02-19,436
2024-02-20,500
2024-02-21,502
2024-02-22,457
2024-02-23,466
2024-02-24,522
2024-02-25,563
2024-02-26,522
2024-02-27,486
2024-02-28,512
2024-02-29,610
2024-03-01,631
2024-03-02,664
2024-03-03,739
2024-03-04,658
2024-03-05,301
2024-03-06,335
2024-03-07,505
2024-03-08,469
2024-03-09,555
2024-03-10,568
2024-03-11,456
2024-03-12,496
2024-03-13,503
2024-03-14,505
2024-03-15,444
2024-03-16,494
2024-03-17,556
2024-03-18,473
2024-03-19,490
2024-03-20,473
2024-03-21,427
2024-03-22,472
2024-03-23,486
2024-03-24,605
2024-03-25,467
2024-03-26,479
2024-03-27,518
2024-03-28,517
2024-03-29,514
2024-03-30,591
2024-03-31,578
2024-04-01,482
2024-04-02,469
2024-04-03,475
2024-04-04,498
2024-04-05,537
2024-04-06,532
2024-04-07,531
2024-04-08,406
2024-04-09,468
2024-04-10,448
2024-04-11,468
2024-04-12,473
2024-04-13,507
2024-04-14,556
2024-04-15,478
2024-04-16,443
2024-04-17,466
2024-04-18,442
2024-04-19,469
2024-04-20,543
2024-04-21,610
2024-04-22,470
2024-04-23,432
2024-04-24,429
2024-04-25,454
2024-04-26,474
2024-04-27,490
2024-04-28,577
2024-04-29,506
2024-04-30,504
2024-05-01,522
2024-05-02,472
2024-05-03,399
2024-05-04,497
2024-05-05,554
2024-05-06,447
2024-05-07,543
2024-05-08,573
2024-05-09,548
2024-05-10,492
2024-05-11,511
2024-05-12,596
2024-05-13,456
2024-05-14,450
2024-05-15,402
2024-05-16,450
2024-05-17,461
2024-05-18,531
2024-05-19,569
2024-05-20,423
2024-05-21,461
2024-05-22,543
2024-05-23,531
2024-05-24,540
2024-05-25,555
2024-05-26,582
2024-05-27,461
2024-05-28,449
2024-05-29,527
2024-05-30,501
2024-05-31,494
2024-06-01,528
2024-06-02,547
2024-06-03,463
2024-06-04,449
2024-06-05,706
2024-06-06,659
2024-06-07,686
2024-06-08,705
2024-06-09,863
2024-06-10,624
2024-06-11,656
2024-06-12,662
2024-06-13,798
2024-06-14,790
2024-06-15,900
2024-06-16,890
2024-06-17,732
2024-06-18,685
2024-06-19,710
2024-06-20,696
2024-06-21,675
2024-06-22,711
2024-06-23,777
2024-06-24,660
2024-06-25,2550
2024-06-26,2462
2024-06-27,2958
2024-06-28,3180
2024-06-29,3123
2024-06-30,3791
2024-07-01,3304
2024-07-02,3075
2024-07-03,3235
2024-07-04,3131
2024-07-05,2894
2024-07-06,3731
2024-07-07,3247
2024-07-08,1634
2024-07-09,1644
2024-07-10,1673
2024-07-11,1238
2024-07-12,1569
2024-07-13,1573
2024-07-14,1693
2024-07-15,1310
2024-07-16,1656
2024-07-17,2485
2024-07-18,2359
2024-07-19,1687
2024-07-20,1680
2024-07-21,1652
2024-07-22,1457
2024-07-23,1476
2024-07-24,1616
2024-07-25,1553
2024-07-26,1544
2024-07-27,1671
2024-07-28,1638
2024-07-29,1479
2024-07-30,1515
2024-07-31,1435
2024-08-01,1483
2024-08-02,1469
2024-08-03,1540
2024-08-04,1593
2024-08-05,1501
2024-08-06,1489
2024-08-07,1486
2024-08-08,1488
2024-08-10,1790
2024-08-11,1721
2024-08-12,1375
2024-08-13,1502
2024-08-14,1401
2024-08-15,1378
2024-08-16,1462
2024-08-17,1831
2024-08-18,1823
2024-08-19,1439
2024-08-20,1471
2024-08-21,1348
2024-08-22,1397
2024-08-23,1230
2024-08-24,1508
2024-08-25,1623
2024-08-26,1370
2024-08-27,1502
2024-08-28,1384
2024-08-29,1549
2024-08-30,1516
2024-08-31,1599
2024-09-01,1785
2024-09-02,1383
2024-09-03,1618
2024-09-04,1446
2024-09-05,1523
2024-09-07,1584
2024-09-08,1717
2024-09-09,1353
2024-09-10,1445
2024-09-11,1308
2024-09-12,1459
2024-09-13,1418
2024-09-14,1638
2024-09-15,1617
2024-09-16,1407
2024-09-17,1395
2024-09-18,1412
2024-09-19,1415
2024-09-20,1362
2024-09-21,1370
2024-09-22,1730
2024-09-23,1374
2024-09-24,1288
2024-09-25,1409
2024-09-26,1626
2024-09-27,1192
2024-09-28,1399
2024-09-29,1559
2024-09-30,1376
2024-10-01,1284
2024-10-02,1167
2024-10-03,1129
2024-10-04,1323
2024-10-05,1473
2024-10-06,1524
2024-10-07,1067
2024-10-08,1457
2024-10-09,1855
2024-10-10,1871
2024-10-11,1739
2024-10-12,1618
2024-10-13,1789
2024-10-14,1574
2024-10-15,1506
2024-10-16,1498
2024-10-17,1386
2024-10-18,1416
2024-10-19,1512
2024-10-20,1787
2024-10-21,1277
2024-10-22,1437
2024-10-23,1365
2024-10-24,1461
2024-10-25,1503
2024-10-26,1329
2024-10-27,1730
2024-10-28,1278
2024-10-29,1269
2024-10-30,1399
2024-10-31,1260
2024-11-01,1370
2024-11-02,1361
2024-11-03,1511
2024-11-04,1353
2024-11-05,1385
2024-11-06,1397
2024-11-07,1256
2024-11-08,1274
2024-11-09,1492
2024-11-10,1566
2024-11-11,1242
2024-11-12,1357
2024-11-13,1438
2024-11-14,1473
2024-11-15,1397
2024-11-16,1481
2024-11-17,1632
2024-11-18,1487
2024-11-19,1332
2024-11-20,1328
2024-11-21,1607
2024-11-22,1599
2024-11-23,1641
2024-11-24,1797
2024-11-25,1645
2024-11-26,1486
2024-11-27,1610
2024-11-28,1785
2024-11-29,2090
2024-11-30,2354
2024-12-01,2091
2024-12-02,1960
2024-12-03,1742
2024-12-04,1609
2024-12-05,1498
2024-12-06,1564
2024-12-07,1624
2024-12-08,1744
2024-12-09,1395
2024-12-10,1526
2024-12-11,1504
2024-12-12,1768
2024-12-13,1673
2024-12-14,1739
2024-12-15,2084
2024-12-16,1751
2024-12-17,1688
2024-12-18,1894
2024-12-19,1810
2024-12-20,1685
2024-12-21,1811
2024-12-22,1888
2024-12-23,1596
2024-12-24,1526
2024-12-25,1471
2024-12-26,1467
2024-12-27,1348
2024-12-28,1714
2024-12-29,1858
2024-12-30,1343
2024-12-31,1425
2025-01-01,1501
2025-01-02,1399
2025-01-03,1455
2025-01-04,1675
2025-01-05,1605
2025-01-06,1281
2025-01-07,1327
2025-01-08,1339
2025-01-09,1357
2025-01-10,1425
2025-01-11,1424
