,Sales Rank
2022-12-14,1105
2022-12-15,1329
2022-12-16,1516
2022-12-17,1492
2022-12-18,1737
2022-12-19,1665
2022-12-20,1588
2022-12-21,1571
2022-12-22,1260
2022-12-23,1147
2022-12-24,1097
2022-12-25,986
2022-12-26,899
2022-12-27,919
2022-12-28,938
2022-12-29,1039
2022-12-30,976
2022-12-31,1059
2023-01-01,1085
2023-01-02,1380
2023-01-03,1357
2023-01-04,1367
2023-01-05,1203
2023-01-06,1152
2023-01-07,1165
2023-01-08,1106
2023-01-09,1042
2023-01-10,1097
2023-01-11,1106
2023-01-12,1060
2023-01-13,1310
2023-01-14,1424
2023-01-15,1185
2023-01-16,1221
2023-01-17,1106
2023-01-18,1061
2023-01-19,1165
2023-01-20,1189
2023-01-21,1222
2023-01-22,1016
2023-01-23,1052
2023-01-24,990
2023-01-25,991
2023-01-26,1019
2023-01-27,1063
2023-01-28,1331
2023-01-29,1303
2023-01-30,1164
2023-01-31,1189
2023-02-01,1315
2023-02-02,1009
2023-02-03,914
2023-02-04,3355
2023-02-05,820
2023-02-06,844
2023-02-07,803
2023-02-08,819
2023-02-09,861
2023-02-10,859
2023-02-11,888
2023-02-12,788
2023-02-13,780
2023-02-14,785
2023-02-15,782
2023-02-16,795
2023-02-17,860
2023-02-18,914
2023-02-19,896
2023-02-20,847
2023-02-21,788
2023-02-22,861
2023-02-23,942
2023-02-24,862
2023-02-25,883
2023-02-26,896
2023-02-27,854
2023-02-28,879
2023-03-01,786
2023-03-02,816
2023-03-03,791
2023-03-04,906
2023-03-05,1084
2023-03-06,1243
2023-03-07,1059
2023-03-08,1087
2023-03-09,1086
2023-03-10,1360
2023-03-11,1161
2023-03-12,1197
2023-03-13,1043
2023-03-14,1384
2023-03-15,1247
2023-03-16,1282
2023-03-17,1471
2023-03-18,1504
2023-03-19,1730
2023-03-20,1378
2023-03-21,2156
2023-03-22,2124
2023-03-23,567
2023-03-24,1201
2023-03-25,1720
2023-03-26,1922
2023-03-27,1506
2023-03-28,1674
2023-03-29,1792
2023-03-30,1816
2023-03-31,709
2023-04-01,702
2023-04-02,771
2023-04-03,776
2023-04-04,1156
2023-04-05,1160
2023-04-06,3482
2023-04-07,3438
2023-04-08,3863
2023-04-09,4040
2023-04-10,3137
2023-04-11,2582
2023-04-12,4437
2023-04-13,3583
2023-04-14,3612
2023-04-15,3395
2023-04-16,5229
2023-04-17,4643
2023-04-18,5207
2023-04-19,4912
2023-04-20,5159
2023-04-21,3900
2023-04-22,4253
2023-04-23,3723
2023-04-24,3876
2023-04-25,4563
2023-04-26,3306
2023-04-27,4008
2023-04-28,4649
2023-04-29,5354
2023-04-30,4621
2023-05-01,5410
2023-05-02,5297
2023-05-03,3934
2023-05-04,3848
2023-05-05,4256
2023-05-06,3866
2023-05-07,4155
2023-05-08,3734
2023-05-09,4753
2023-05-10,4229
2023-05-11,4313
2023-05-12,4315
2023-05-13,5208
2023-05-14,5195
2023-05-15,4613
2023-05-16,4983
2023-05-17,5484
2023-05-18,5748
2023-05-19,5198
2023-05-20,5463
2023-05-21,5971
2023-05-22,5032
2023-05-23,7854
2023-05-24,10032
2023-05-25,11826
2023-05-26,15353
2023-05-27,16305
2023-05-28,18509
2023-05-30,17023
2023-05-31,21715
2023-06-01,23143
2023-06-02,25667
2023-06-03,26268
2023-06-04,26414
2023-06-05,29380
2023-06-06,27108
2023-06-07,26970
2023-06-08,25521
2023-06-09,26704
2023-06-10,28229
2023-06-11,21527
2023-06-12,25533
2023-06-13,25137
2023-06-14,29246
2023-06-15,23544
2023-06-16,20746
2023-06-17,26210
2023-06-18,23520
2023-06-19,27327
2023-06-20,1056
2023-06-21,840
2023-06-22,942
2023-06-23,878
2023-06-24,767
2023-06-25,772
2023-06-26,874
2023-06-27,917
2023-06-28,807
2023-06-29,957
2023-06-30,878
2023-07-01,884
2023-07-02,941
2023-07-03,783
2023-07-04,753
2023-07-05,779
2023-07-06,737
2023-07-07,797
2023-07-08,827
2023-07-09,892
2023-07-10,769
2023-07-11,939
2023-07-12,924
2023-07-13,1417
2023-07-14,935
2023-07-15,875
2023-07-16,844
2023-07-17,863
2023-07-18,803
2023-07-19,789
2023-07-20,756
2023-07-21,761
2023-07-22,825
2023-07-23,731
2023-07-24,821
2023-07-25,730
2023-07-26,748
2023-07-27,737
2023-07-28,718
2023-07-29,741
2023-07-30,786
2023-07-31,766
2023-08-01,717
2023-08-02,786
2023-08-03,721
2023-08-04,749
2023-08-05,780
2023-08-06,816
2023-08-07,809
2023-08-08,733
2023-08-09,721
2023-08-10,702
2023-08-11,709
2023-08-12,766
2023-08-13,773
2023-08-14,687
2023-08-15,726
2023-08-16,736
2023-08-17,769
2023-08-18,788
2023-08-19,725
2023-08-20,771
2023-08-21,727
2023-08-22,771
2023-08-23,660
2023-08-24,660
2023-08-25,707
2023-08-26,773
2023-08-27,850
2023-08-28,668
2023-08-29,712
2023-08-30,686
2023-08-31,725
2023-09-01,737
2023-09-02,781
2023-09-03,720
2023-09-04,748
2023-09-05,824
2023-09-06,742
2023-09-07,693
2023-09-08,704
2023-09-09,763
2023-09-10,727
2023-09-11,687
2023-09-12,756
2023-09-13,674
2023-09-14,713
2023-09-15,698
2023-09-16,762
2023-09-17,688
2023-09-18,718
2023-09-19,790
2023-09-20,667
2023-09-21,682
2023-09-22,731
2023-09-23,746
2023-09-24,735
2023-09-25,672
2023-09-26,643
2023-09-27,671
2023-09-28,713
2023-09-29,650
2023-09-30,698
2023-10-01,694
2023-10-02,723
2023-10-03,690
2023-10-04,664
2023-10-05,631
2023-10-06,703
2023-10-07,745
2023-10-08,793
2023-10-09,737
2023-10-10,873
2023-10-11,961
2023-10-12,946
2023-10-13,749
2023-10-14,776
2023-10-15,777
2023-10-16,671
2023-10-17,732
2023-10-18,689
2023-10-19,666
2023-10-20,623
2023-10-21,631
2023-10-22,690
2023-10-23,630
2023-10-24,666
2023-10-25,638
2023-10-26,672
2023-10-27,652
2023-10-28,674
2023-10-29,691
2023-10-30,717
2023-10-31,607
2023-11-01,626
2023-11-02,661
2023-11-03,620
2023-11-04,693
2023-11-05,728
2023-11-06,622
2023-11-07,634
2023-11-08,673
2023-11-09,669
2023-11-10,674
2023-11-11,668
2023-11-12,664
2023-11-13,665
2023-11-14,606
2023-11-15,650
2023-11-16,601
2023-11-17,587
2023-11-18,690
2023-11-19,785
2023-11-20,787
2023-11-21,704
2023-11-22,752
2023-11-23,801
2023-11-24,917
2023-11-25,929
2023-11-26,980
2023-11-27,979
2023-11-28,1019
2023-11-29,837
2023-11-30,738
2023-12-01,697
2023-12-02,746
2023-12-03,726
2023-12-04,648
2023-12-05,688
2023-12-06,709
2023-12-07,735
2023-12-08,706
2023-12-09,785
2023-12-10,833
2023-12-11,826
2023-12-12,750
2023-12-13,740
2023-12-14,713
