,Sales Rank
2022-12-14,1074
2022-12-15,1252
2022-12-16,1292
2022-12-17,1259
2022-12-18,1291
2022-12-19,1368
2022-12-20,864
2022-12-21,905
2022-12-22,937
2022-12-23,898
2022-12-24,932
2022-12-25,835
2022-12-26,863
2022-12-27,765
2022-12-28,811
2022-12-29,780
2022-12-30,876
2022-12-31,879
2023-01-01,801
2023-01-02,777
2023-01-03,783
2023-01-04,779
2023-01-05,772
2023-01-06,785
2023-01-07,758
2023-01-08,789
2023-01-09,811
2023-01-10,818
2023-01-11,838
2023-01-12,805
2023-01-13,656
2023-01-14,737
2023-01-15,702
2023-01-16,776
2023-01-17,675
2023-01-18,666
2023-01-19,720
2023-01-20,714
2023-01-21,779
2023-01-22,750
2023-01-23,750
2023-01-24,825
2023-01-25,659
2023-01-26,648
2023-01-27,675
2023-01-28,736
2023-01-29,682
2023-01-30,623
2023-01-31,660
2023-02-01,615
2023-02-02,601
2023-02-03,640
2023-02-04,671
2023-02-05,608
2023-02-06,658
2023-02-07,615
2023-02-08,653
2023-02-09,584
2023-02-10,623
2023-02-11,609
2023-02-12,566
2023-02-13,522
2023-02-14,539
2023-02-15,672
2023-02-16,563
2023-02-17,551
2023-02-18,574
2023-02-19,736
2023-02-20,648
2023-02-21,711
2023-02-22,643
2023-02-23,584
2023-02-24,787
2023-02-25,545
2023-02-26,609
2023-02-27,603
2023-02-28,625
2023-03-01,612
2023-03-02,461
2023-03-03,513
2023-03-04,586
2023-03-05,549
2023-03-06,554
2023-03-07,548
2023-03-08,628
2023-03-09,466
2023-03-10,497
2023-03-11,503
2023-03-12,589
2023-03-13,527
2023-03-14,564
2023-03-15,638
2023-03-16,644
2023-03-17,608
2023-03-18,808
2023-03-19,770
2023-03-20,777
2023-03-21,1011
2023-03-22,890
2023-03-23,586
2023-03-24,1223
2023-03-25,1243
2023-03-26,1504
2023-03-27,1389
2023-03-28,1721
2023-03-29,1858
2023-03-30,1601
2023-03-31,1673
2023-04-01,1768
2023-04-02,1836
2023-04-03,1374
2023-04-04,1077
2023-04-05,944
2023-04-06,702
2023-04-07,662
2023-04-08,744
2023-04-09,739
2023-04-10,618
2023-04-11,747
2023-04-12,813
2023-04-13,749
2023-04-14,740
2023-04-15,829
2023-04-16,958
2023-04-17,609
2023-04-18,614
2023-04-19,648
2023-04-20,630
2023-04-21,630
2023-04-22,951
2023-04-23,1152
2023-04-24,806
2023-04-25,823
2023-04-26,704
2023-04-27,521
2023-04-28,609
2023-04-29,695
2023-04-30,721
2023-05-01,580
2023-05-02,610
2023-05-03,903
2023-05-04,532
2023-05-05,511
2023-05-06,546
2023-05-07,535
2023-05-08,464
2023-05-09,495
2023-05-10,596
2023-05-11,499
2023-05-12,539
2023-05-13,559
2023-05-14,602
2023-05-15,492
2023-05-16,723
2023-05-17,674
2023-05-18,487
2023-05-19,631
2023-05-20,741
2023-05-21,777
2023-05-22,713
2023-05-23,795
2023-05-24,983
2023-05-25,554
2023-05-26,678
2023-05-27,667
2023-05-28,704
2023-05-30,704
2023-05-31,947
2023-06-01,1074
2023-06-02,1030
2023-06-03,352
2023-06-04,632
2023-06-05,717
2023-06-06,711
2023-06-07,1016
2023-06-08,745
2023-06-09,764
2023-06-10,753
2023-06-11,876
2023-06-12,669
2023-06-13,814
2023-06-14,1279
2023-06-15,594
2023-06-16,666
2023-06-17,736
2023-06-18,822
2023-06-19,738
2023-06-20,870
2023-06-21,1079
2023-06-22,1291
2023-06-23,1349
2023-06-24,1396
2023-06-25,1609
2023-06-26,1560
2023-06-27,629
2023-06-28,672
2023-06-29,751
2023-06-30,928
2023-07-01,1013
2023-07-02,1022
2023-07-03,865
2023-07-04,805
2023-07-05,919
2023-07-06,839
2023-07-07,777
2023-07-08,788
2023-07-09,764
2023-07-10,680
2023-07-11,1018
2023-07-12,1937
2023-07-13,991
2023-07-14,641
2023-07-15,774
2023-07-16,834
2023-07-17,663
2023-07-18,857
2023-07-19,888
2023-07-20,929
2023-07-21,762
2023-07-22,822
2023-07-23,761
2023-07-24,771
2023-07-25,766
2023-07-26,864
2023-07-27,602
2023-07-28,680
2023-07-29,769
2023-07-30,804
2023-07-31,750
2023-08-01,805
2023-08-02,950
2023-08-03,1007
2023-08-05,738
2023-08-06,770
2023-08-07,812
2023-08-08,632
2023-08-09,743
2023-08-10,661
2023-08-11,666
2023-08-12,748
2023-08-13,776
2023-08-14,662
2023-08-15,757
2023-08-16,982
2023-08-17,987
2023-08-18,506
2023-08-19,668
2023-08-20,668
2023-08-21,607
2023-08-22,644
2023-08-23,787
2023-08-24,593
2023-08-25,583
2023-08-26,623
2023-08-27,739
2023-08-28,589
2023-08-29,580
2023-08-30,588
2023-08-31,642
2023-09-01,624
2023-09-02,703
2023-09-03,746
2023-09-04,610
2023-09-05,788
2023-09-06,786
2023-09-07,564
2023-09-08,615
2023-09-09,763
2023-09-10,743
2023-09-11,635
2023-09-12,637
2023-09-13,673
2023-09-14,622
2023-09-15,646
2023-09-16,739
2023-09-17,738
2023-09-18,657
2023-09-19,801
2023-09-20,722
2023-09-21,544
2023-09-22,626
2023-09-23,686
2023-09-24,751
2023-09-25,628
2023-09-26,642
2023-09-27,637
2023-09-28,635
2023-09-29,597
2023-09-30,665
2023-10-01,698
2023-10-02,586
2023-10-03,555
2023-10-04,600
2023-10-05,579
2023-10-06,559
2023-10-07,600
2023-10-08,623
2023-10-09,578
2023-10-10,572
2023-10-11,1070
2023-10-12,1000
2023-10-13,957
2023-10-14,919
2023-10-15,956
2023-10-16,966
2023-10-17,340
2023-10-18,669
2023-10-19,681
2023-10-20,675
2023-10-21,755
2023-10-22,821
2023-10-23,780
2023-10-24,800
2023-10-25,840
2023-10-26,573
2023-10-27,676
2023-10-28,717
2023-10-29,744
2023-10-30,674
2023-10-31,689
2023-11-01,744
2023-11-02,589
2023-11-03,590
2023-11-04,719
2023-11-05,827
2023-11-06,750
2023-11-07,742
2023-11-08,729
2023-11-09,565
2023-11-10,617
2023-11-11,701
2023-11-12,798
2023-11-13,739
2023-11-14,698
2023-11-15,612
2023-11-16,647
2023-11-17,720
2023-11-18,796
2023-11-19,895
2023-11-20,812
2023-11-21,827
2023-11-22,697
2023-11-23,597
2023-11-24,949
2023-11-25,1109
2023-11-26,1188
2023-11-27,1215
2023-11-28,869
2023-11-29,662
2023-11-30,564
2023-12-01,622
2023-12-02,642
2023-12-03,813
2023-12-04,739
2023-12-05,733
2023-12-06,725
2023-12-07,694
2023-12-08,701
2023-12-09,737
2023-12-10,901
2023-12-11,836
2023-12-12,747
2023-12-13,795
2023-12-14,756
2023-12-15,918
2023-12-16,1044
2023-12-17,1146
2023-12-18,911
2023-12-19,966
2023-12-20,901
2023-12-21,789
2023-12-22,788
2023-12-23,777
2023-12-24,993
2023-12-25,738
2023-12-26,603
2023-12-27,651
2023-12-28,620
2023-12-29,637
2023-12-30,770
2023-12-31,746
2024-01-01,610
2024-01-02,629
2024-01-03,649
2024-01-04,553
2024-01-05,613
2024-01-06,531
2024-01-07,574
2024-01-08,449
2024-01-09,573
2024-01-10,603
2024-01-11,577
2024-01-12,590
2024-01-13,658
2024-01-14,711
2024-01-15,609
2024-01-16,640
2024-01-17,610
2024-01-18,549
2024-01-19,640
2024-01-20,708
2024-01-21,753
2024-01-22,612
2024-01-23,629
2024-01-24,707
2024-01-25,569
2024-01-26,636
2024-01-27,682
2024-01-28,711
2024-01-29,594
2024-01-30,675
2024-01-31,709
2024-02-01,504
2024-02-02,594
2024-02-03,740
2024-02-04,680
2024-02-05,587
2024-02-06,613
2024-02-07,660
2024-02-08,570
2024-02-09,585
2024-02-10,752
2024-02-11,764
2024-02-12,534
2024-02-13,594
2024-02-14,532
2024-02-15,501
2024-02-16,567
2024-02-17,683
2024-02-18,654
2024-02-19,668
2024-02-20,698
2024-02-21,648
2024-02-22,580
2024-02-23,605
2024-02-24,713
2024-02-25,803
2024-02-26,648
2024-02-27,674
2024-02-28,672
2024-02-29,576
2024-03-01,673
2024-03-02,763
2024-03-03,706
2024-03-04,601
2024-03-05,612
2024-03-06,657
2024-03-07,638
2024-03-08,624
2024-03-09,722
2024-03-10,722
2024-03-11,567
2024-03-12,623
2024-03-13,645
2024-03-14,651
2024-03-15,639
2024-03-16,754
2024-03-17,792
2024-03-18,585
2024-03-19,607
2024-03-20,650
2024-03-21,656
2024-03-22,649
2024-03-23,693
2024-03-24,805
2024-03-25,593
2024-03-26,526
2024-03-27,629
2024-03-28,683
2024-03-29,591
2024-03-30,740
2024-03-31,753
2024-04-01,570
2024-04-02,657
2024-04-03,627
2024-04-04,663
2024-04-05,643
2024-04-06,709
2024-04-07,823
2024-04-08,613
2024-04-09,557
2024-04-10,493
2024-04-11,620
2024-04-12,600
2024-04-13,656
2024-04-14,687
2024-04-15,579
2024-04-16,630
2024-04-17,557
2024-04-18,592
2024-04-19,562
2024-04-20,703
2024-04-21,704
2024-04-22,584
2024-04-23,583
2024-04-24,591
2024-04-25,654
2024-04-26,665
2024-04-27,675
2024-04-28,734
2024-04-29,614
2024-04-30,627
2024-05-01,607
2024-05-02,582
2024-05-03,587
2024-05-04,648
2024-05-05,689
2024-05-06,605
2024-05-07,671
2024-05-08,748
2024-05-09,654
2024-05-10,630
2024-05-11,685
2024-05-12,770
2024-05-13,552
2024-05-14,611
2024-05-15,576
2024-05-16,596
2024-05-17,602
2024-05-18,705
2024-05-19,703
2024-05-20,624
2024-05-21,614
2024-05-22,635
2024-05-23,656
2024-05-24,643
2024-05-25,698
2024-05-26,810
2024-05-27,675
2024-05-28,695
2024-05-29,682
2024-05-30,695
2024-05-31,596
2024-06-01,694
2024-06-02,729
2024-06-03,565
2024-06-04,606
2024-06-05,587
2024-06-06,594
2024-06-07,586
2024-06-08,732
2024-06-09,710
2024-06-10,576
2024-06-11,604
2024-06-12,646
2024-06-13,667
2024-06-14,667
2024-06-15,756
2024-06-16,799
2024-06-17,583
2024-06-18,623
2024-06-19,629
2024-06-20,644
2024-06-21,635
2024-06-22,756
2024-06-23,824
2024-06-24,649
2024-06-25,656
2024-06-26,664
2024-06-27,679
2024-06-28,597
2024-06-29,676
2024-06-30,795
2024-07-01,646
2024-07-02,654
2024-07-03,622
2024-07-04,633
2024-07-05,604
2024-07-06,735
2024-07-07,739
2024-07-08,652
2024-07-09,634
2024-07-10,627
2024-07-11,665
2024-07-12,607
2024-07-13,751
2024-07-14,764
2024-07-15,612
2024-07-16,1227
2024-07-17,1163
2024-07-18,957
2024-07-19,773
2024-07-20,804
2024-07-21,795
2024-07-22,648
2024-07-23,678
2024-07-24,705
2024-07-25,655
2024-07-26,636
2024-07-27,662
2024-07-28,754
2024-07-29,638
2024-07-30,644
2024-07-31,595
2024-08-01,582
2024-08-02,571
2024-08-03,649
2024-08-04,747
2024-08-05,589
2024-08-06,552
2024-08-07,580
2024-08-09,584
2024-08-10,699
2024-08-11,786
2024-08-12,616
2024-08-13,668
2024-08-14,648
2024-08-15,736
2024-08-16,623
2024-08-17,782
2024-08-18,821
2024-08-19,659
2024-08-20,671
2024-08-21,662
2024-08-22,690
2024-08-23,687
2024-08-24,827
2024-08-25,801
2024-08-26,650
2024-08-27,703
2024-08-28,691
2024-08-29,680
2024-08-30,643
2024-08-31,758
2024-09-01,723
2024-09-02,604
2024-09-03,631
2024-09-04,593
2024-09-05,598
2024-09-06,525
2024-09-07,693
2024-09-08,757
2024-09-09,591
2024-09-10,553
2024-09-11,545
2024-09-12,631
2024-09-13,593
2024-09-14,709
2024-09-15,820
2024-09-16,575
2024-09-17,632
2024-09-18,594
