,Sales Rank
2022-12-14,3857
2022-12-15,4110
2022-12-16,3641
2022-12-17,4090
2022-12-18,5096
2022-12-19,4213
2022-12-20,3844
2022-12-21,3966
2022-12-22,3769
2022-12-23,3729
2022-12-24,4035
2022-12-25,3359
2022-12-26,3174
2022-12-27,2838
2022-12-28,3100
2022-12-29,3095
2022-12-30,3340
2022-12-31,3259
2023-01-01,2965
2023-01-02,3156
2023-01-03,3044
2023-01-04,3359
2023-01-05,3550
2023-01-06,3312
2023-01-07,3420
2023-01-08,3305
2023-01-09,3355
2023-01-10,3554
2023-01-11,3613
2023-01-12,3600
2023-01-13,3132
2023-01-14,3453
2023-01-15,3691
2023-01-16,3160
2023-01-17,3153
2023-01-18,3832
2023-01-19,3312
2023-01-20,3052
2023-01-21,3322
2023-01-22,3008
2023-01-23,2885
2023-01-24,3200
2023-01-25,2720
2023-01-26,2667
2023-01-27,3227
2023-01-28,4035
2023-01-29,3332
2023-01-30,3156
2023-01-31,2850
2023-02-01,3116
2023-02-02,3561
2023-02-03,3034
2023-02-04,2927
2023-02-05,3049
2023-02-06,3379
2023-02-07,3249
2023-02-08,2771
2023-02-09,2524
2023-02-10,2804
2023-02-11,2841
2023-02-12,2969
2023-02-13,3067
2023-02-14,2834
2023-02-15,2993
2023-02-16,3465
2023-02-17,2879
2023-02-18,3831
2023-02-19,3467
2023-02-20,3527
2023-02-21,2878
2023-02-22,2754
2023-02-23,3518
2023-02-24,2750
2023-02-25,3228
2023-02-26,3481
2023-02-27,2699
2023-02-28,3158
2023-03-01,3600
2023-03-02,3133
2023-03-03,2511
2023-03-04,3893
2023-03-05,3178
2023-03-06,3049
2023-03-07,3062
2023-03-08,3218
2023-03-09,2765
2023-03-10,2693
2023-03-11,3539
2023-03-12,3992
2023-03-13,3543
2023-03-14,3769
2023-03-15,3921
2023-03-16,3356
2023-03-17,3368
2023-03-18,3152
2023-03-19,3602
2023-03-20,3145
2023-03-21,3457
2023-03-22,3416
2023-03-23,3256
2023-03-24,3160
2023-03-25,2795
2023-03-26,2794
2023-03-27,2832
2023-03-28,2634
2023-03-29,3139
2023-03-30,2827
2023-03-31,2743
2023-04-01,2939
2023-04-02,3969
2023-04-03,3417
2023-04-04,2589
2023-04-05,2530
2023-04-06,2683
2023-04-07,2572
2023-04-08,2310
2023-04-09,2566
2023-04-10,2794
2023-04-11,2708
2023-04-12,2951
2023-04-13,2631
2023-04-14,2834
2023-04-15,2974
2023-04-16,3292
2023-04-17,2880
2023-04-18,3230
2023-04-19,2736
2023-04-20,2771
2023-04-21,2799
2023-04-22,3488
2023-04-23,3467
2023-04-24,2806
2023-04-25,2996
2023-04-26,3227
2023-04-27,3191
2023-04-28,3054
2023-04-29,2805
2023-04-30,2550
2023-05-01,3087
2023-05-02,2736
2023-05-03,2419
2023-05-04,2433
2023-05-05,2489
2023-05-06,2636
2023-05-07,3051
2023-05-08,2323
2023-05-09,2566
2023-05-10,2542
2023-05-11,2619
2023-05-12,2497
2023-05-13,2336
2023-05-14,3403
2023-05-15,3066
2023-05-16,2901
2023-05-17,2848
2023-05-18,3204
2023-05-19,3275
2023-05-20,3077
2023-05-21,3126
2023-05-22,2853
2023-05-23,2769
2023-05-24,3099
2023-05-25,2644
2023-05-26,3507
2023-05-27,3032
2023-05-28,3785
2023-05-30,2945
2023-05-31,2820
2023-06-01,2890
2023-06-02,2396
2023-06-03,2875
2023-06-04,3140
2023-06-05,3002
2023-06-06,2398
2023-06-07,2929
2023-06-08,2870
2023-06-09,3092
2023-06-10,3227
2023-06-11,3114
2023-06-12,3113
2023-06-13,3397
2023-06-14,2958
2023-06-15,3161
2023-06-16,3040
2023-06-17,3704
2023-06-18,3528
2023-06-19,3148
2023-06-20,3131
2023-06-21,3011
2023-06-22,3040
2023-06-23,2865
2023-06-24,2672
