,Sales Rank
2022-12-14,149
2022-12-15,145
2022-12-16,155
2022-12-17,154
2022-12-18,140
2022-12-19,147
2022-12-20,157
2022-12-21,171
2022-12-22,181
2022-12-23,212
2022-12-24,200
2022-12-25,177
2022-12-26,183
2022-12-27,178
2022-12-28,169
2022-12-29,176
2022-12-30,155
2022-12-31,138
2023-01-01,132
2023-01-02,140
2023-01-03,154
2023-01-04,154
2023-01-05,153
2023-01-06,171
2023-01-07,168
2023-01-08,170
2023-01-09,170
2023-01-10,171
2023-01-11,173
2023-01-12,168
2023-01-13,164
2023-01-14,128
2023-01-15,144
2023-01-16,157
2023-01-17,169
2023-01-18,166
2023-01-19,169
2023-01-20,177
2023-01-21,161
2023-01-22,113
2023-01-23,150
2023-01-24,150
2023-01-25,164
2023-01-26,185
2023-01-27,193
2023-01-28,166
2023-01-29,167
2023-01-30,201
2023-01-31,187
2023-02-01,200
2023-02-02,212
2023-02-03,233
2023-02-04,177
2023-02-05,169
2023-02-06,182
2023-02-07,185
2023-02-08,185
2023-02-09,203
2023-02-10,193
2023-02-11,176
2023-02-12,160
2023-02-13,196
2023-02-14,203
2023-02-15,239
2023-02-16,249
2023-02-17,223
2023-02-18,178
2023-02-19,148
2023-02-20,165
2023-02-21,231
2023-02-22,218
2023-02-23,205
2023-02-24,186
2023-02-25,204
2023-02-26,159
2023-02-27,172
2023-02-28,199
2023-03-01,160
2023-03-02,174
2023-03-03,201
2023-03-04,188
2023-03-05,165
2023-03-06,147
2023-03-07,168
2023-03-08,187
2023-03-09,191
2023-03-10,220
2023-03-11,178
2023-03-12,157
2023-03-13,157
2023-03-14,175
2023-03-15,169
2023-03-16,178
2023-03-17,197
2023-03-18,188
2023-03-19,153
2023-03-20,200
2023-03-21,191
2023-03-22,198
2023-03-23,236
2023-03-24,239
2023-03-25,223
2023-03-26,188
2023-03-27,221
2023-03-28,235
2023-03-29,236
2023-03-30,231
2023-03-31,257
2023-04-01,180
2023-04-02,186
2023-04-03,208
2023-04-04,221
2023-04-05,220
2023-04-06,223
2023-04-07,242
2023-04-08,212
2023-04-09,210
2023-04-10,216
2023-04-11,221
2023-04-12,229
2023-04-13,212
2023-04-14,245
2023-04-15,218
2023-04-16,193
2023-04-17,226
2023-04-18,229
2023-04-19,241
2023-04-20,243
2023-04-21,265
2023-04-22,244
2023-04-23,219
2023-04-24,277
2023-04-25,255
2023-04-26,293
2023-04-27,271
2023-04-28,258
2023-04-29,222
2023-04-30,208
2023-05-01,240
2023-05-02,261
2023-05-03,276
2023-05-04,280
2023-05-05,283
2023-05-06,263
2023-05-07,229
2023-05-08,243
2023-05-09,269
2023-05-10,253
2023-05-11,285
2023-05-12,265
2023-05-13,262
2023-05-14,240
2023-05-15,266
2023-05-16,269
2023-05-17,240
2023-05-18,234
2023-05-19,294
2023-05-20,275
2023-05-21,227
2023-05-22,257
2023-05-23,275
2023-05-24,274
2023-05-25,338
2023-05-26,314
2023-05-27,262
2023-05-28,252
2023-05-30,225
2023-05-31,234
2023-06-01,256
2023-06-02,265
2023-06-03,272
2023-06-04,239
2023-06-05,257
2023-06-06,240
2023-06-07,259
2023-06-08,274
2023-06-09,318
2023-06-10,250
2023-06-11,226
2023-06-12,253
2023-06-13,259
2023-06-14,276
2023-06-15,291
2023-06-16,279
2023-06-17,260
2023-06-18,230
2023-06-19,231
2023-06-20,225
2023-06-21,254
2023-06-22,288
2023-06-23,307
2023-06-24,340
2023-06-25,292
2023-06-26,283
2023-06-27,282
2023-06-28,315
2023-06-29,322
2023-06-30,394
2023-07-01,346
2023-07-02,302
2023-07-03,340
2023-07-04,300
2023-07-05,333
2023-07-06,288
2023-07-07,259
2023-07-08,233
2023-07-09,199
2023-07-10,226
2023-07-11,364
2023-07-12,447
2023-07-13,363
2023-07-14,344
2023-07-15,283
2023-07-16,258
2023-07-17,299
2023-07-18,294
2023-07-19,339
2023-07-20,329
2023-07-21,341
2023-07-22,294
2023-07-23,317
2023-07-24,284
2023-07-25,325
2023-07-26,327
2023-07-27,379
2023-07-28,349
2023-07-29,360
2023-07-30,313
2023-07-31,333
2023-08-01,330
2023-08-02,370
2023-08-03,361
2023-08-04,338
2023-08-05,336
2023-08-06,309
2023-08-07,281
2023-08-08,383
2023-08-09,377
2023-08-10,309
2023-08-11,279
2023-08-12,264
2023-08-13,253
2023-08-14,268
2023-08-15,295
2023-08-16,283
2023-08-17,321
2023-08-18,353
2023-08-19,274
2023-08-20,262
2023-08-21,284
2023-08-22,309
2023-08-23,366
2023-08-24,410
2023-08-25,446
2023-08-26,388
2023-08-27,347
2023-08-28,376
2023-08-29,407
2023-08-30,434
2023-08-31,427
2023-09-01,487
2023-09-02,394
2023-09-03,361
2023-09-04,1095
2023-09-05,800
2023-09-06,730
2023-09-07,681
2023-09-08,620
2023-09-09,506
2023-09-10,405
2023-09-11,446
2023-09-12,487
2023-09-13,527
2023-09-14,520
2023-09-15,560
2023-09-16,439
2023-09-17,367
2023-09-18,363
2023-09-19,369
2023-09-20,447
2023-09-21,402
2023-09-22,449
2023-09-23,420
2023-09-24,339
2023-09-25,391
2023-09-26,437
2023-09-27,439
2023-09-28,434
2023-09-29,470
2023-09-30,363
2023-10-01,346
2023-10-02,444
2023-10-03,459
2023-10-04,464
2023-10-05,460
2023-10-06,514
2023-10-07,498
2023-10-08,430
2023-10-09,475
2023-10-10,713
2023-10-11,753
2023-10-12,634
2023-10-13,596
2023-10-14,560
2023-10-15,516
2023-10-16,514
2023-10-17,578
2023-10-18,511
2023-10-19,483
2023-10-20,481
2023-10-21,356
2023-10-22,344
2023-10-23,328
2023-10-24,300
2023-10-25,360
2023-10-26,373
2023-10-27,397
2023-10-28,293
2023-10-29,277
2023-10-30,304
2023-10-31,329
2023-11-01,389
2023-11-02,359
2023-11-03,330
2023-11-04,311
2023-11-05,256
2023-11-06,258
2023-11-07,252
2023-11-08,302
2023-11-09,309
2023-11-10,307
2023-11-11,289
2023-11-12,230
2023-11-13,257
2023-11-14,275
2023-11-15,329
2023-11-16,363
2023-11-17,361
2023-11-18,355
2023-11-19,340
2023-11-20,415
2023-11-21,411
2023-11-22,421
2023-11-23,484
2023-11-24,513
2023-11-25,476
2023-11-26,374
2023-11-27,432
2023-11-28,394
2023-11-29,459
2023-11-30,421
2023-12-01,412
2023-12-02,404
2023-12-03,371
2023-12-04,390
2023-12-05,382
2023-12-06,368
2023-12-07,434
2023-12-08,439
2023-12-09,412
2023-12-10,376
2023-12-11,333
2023-12-12,351
2023-12-13,367
2023-12-14,413
2023-12-15,305
2023-12-16,358
2023-12-17,349
2023-12-18,401
2023-12-19,463
2023-12-20,514
2023-12-21,557
2023-12-22,553
2023-12-23,448
2023-12-24,388
2023-12-25,402
2023-12-26,344
2023-12-27,344
2023-12-28,382
2023-12-29,354
2023-12-30,311
2023-12-31,241
2024-01-01,268
2024-01-02,313
2024-01-03,302
2024-01-04,315
2024-01-05,321
2024-01-06,294
2024-01-07,269
2024-01-08,306
2024-01-09,330
2024-01-10,339
2024-01-11,391
2024-01-12,358
2024-01-13,352
2024-01-14,342
2024-01-15,333
2024-01-16,353
2024-01-17,324
2024-01-18,379
2024-01-19,319
2024-01-20,380
2024-01-21,292
2024-01-22,329
2024-01-23,346
2024-01-24,356
2024-01-25,352
2024-01-26,398
2024-01-27,303
2024-01-28,262
2024-01-29,305
2024-01-30,346
2024-01-31,346
2024-02-01,390
2024-02-02,334
2024-02-03,325
2024-02-04,252
2024-02-05,279
2024-02-06,302
2024-02-07,315
2024-02-08,360
2024-02-09,367
2024-02-10,339
2024-02-11,284
2024-02-12,343
2024-02-13,355
2024-02-14,377
2024-02-15,407
2024-02-16,385
2024-02-17,330
2024-02-18,308
2024-02-19,317
2024-02-20,328
2024-02-21,389
2024-02-22,446
2024-02-23,400
2024-02-24,358
2024-02-25,336
2024-02-26,334
2024-02-27,346
2024-02-28,444
2024-02-29,448
2024-03-01,441
2024-03-02,375
