,Sales Rank
2022-12-14,133863
2022-12-15,135457
2022-12-17,136511
2022-12-18,136529
2022-12-19,135519
2022-12-20,135543
2022-12-21,135136
2022-12-22,85380
2022-12-23,89070
2022-12-24,68119
2022-12-25,55738
2022-12-26,81827
2022-12-27,94571
2022-12-28,112013
2022-12-29,113319
2022-12-30,121832
2022-12-31,124558
2023-01-01,125985
2023-01-02,128287
2023-01-04,129220
2023-01-05,127830
2023-01-06,79185
2023-01-07,88985
2023-01-08,94402
2023-01-09,78222
2023-01-10,67627
2023-01-11,73943
2023-01-12,81379
2023-01-13,74904
2023-01-15,96054
2023-01-16,76577
2023-01-17,91800
2023-01-18,55547
2023-01-19,78036
2023-01-20,93820
2023-01-21,104746
2023-01-22,110565
2023-01-23,120472
2023-01-24,121428
2023-01-25,123856
2023-01-26,125143
2023-01-27,126768
2023-01-28,128181
2023-01-30,130565
2023-02-01,132802
2023-02-02,134016
2023-02-03,134068
2023-02-04,135232
2023-02-05,136759
2023-02-06,136981
2023-02-07,137418
2023-02-09,138329
2023-02-10,138516
2023-02-11,138699
2023-02-12,78717
2023-02-13,62282
2023-02-14,53654
2023-02-15,57410
2023-02-16,69270
2023-02-17,90153
2023-02-18,106270
2023-02-19,60360
2023-02-20,84777
2023-02-22,94551
2023-02-23,77001
2023-02-24,90687
2023-02-25,102429
2023-02-26,92874
2023-02-27,95716
2023-02-28,113203
2023-03-01,68177
2023-03-02,74159
2023-03-03,101549
2023-03-04,76444
2023-03-05,50273
2023-03-06,86295
2023-03-07,63312
2023-03-08,62727
2023-03-09,83095
2023-03-11,83410
2023-03-12,101506
2023-03-13,110190
2023-03-14,73828
2023-03-16,72273
2023-03-17,78699
2023-03-18,87452
2023-03-19,99796
2023-03-20,112827
2023-03-21,117796
2023-03-22,119564
2023-03-23,49383
2023-03-24,89034
2023-03-25,101418
2023-03-26,57509
2023-03-27,87562
2023-03-28,104151
2023-03-29,112468
2023-03-31,59750
2023-04-01,79018
2023-04-02,96746
2023-04-03,78336
2023-04-04,101094
2023-04-05,110983
2023-04-06,112236
2023-04-07,120442
2023-04-08,123500
2023-04-09,125534
2023-04-10,127220
2023-04-11,128442
2023-04-12,129397
2023-04-13,131440
2023-04-14,132411
2023-04-15,75711
2023-04-16,103814
