,Sales Rank
2022-12-11,471
2022-12-12,472
2022-12-13,503
2022-12-14,432
2022-12-15,471
2022-12-16,515
2022-12-17,574
2022-12-19,489
2022-12-20,506
2022-12-21,493
2022-12-22,457
2022-12-24,407
2022-12-26,336
2022-12-27,326
2022-12-28,280
2022-12-31,207
2023-01-01,232
2023-01-02,215
2023-01-03,243
2023-01-04,263
2023-01-05,270
2023-01-06,276
2023-01-07,283
2023-01-08,281
2023-01-09,283
2023-01-10,293
2023-01-11,298
2023-01-12,283
2023-01-13,269
2023-01-14,233
2023-01-15,213
2023-01-16,251
2023-01-18,274
2023-01-19,261
2023-01-20,257
2023-01-21,245
2023-01-23,355
2023-01-24,356
2023-01-25,363
2023-01-26,329
2023-01-27,366
2023-01-28,333
2023-01-29,308
2023-01-30,350
2023-01-31,353
2023-02-01,350
2023-02-03,305
2023-02-04,313
2023-02-05,323
2023-02-06,340
2023-02-07,320
2023-02-08,341
2023-02-10,359
2023-02-12,363
2023-02-13,331
2023-02-14,337
2023-02-15,312
2023-02-16,388
2023-02-18,413
2023-02-19,322
2023-02-21,276
2023-02-22,271
2023-02-24,290
2023-02-26,301
2023-02-27,304
2023-02-28,315
2023-03-01,331
2023-03-02,325
2023-03-03,316
2023-03-04,322
2023-03-06,359
2023-03-07,315
2023-03-08,310
2023-03-09,326
2023-03-10,316
2023-03-11,317
2023-03-12,336
2023-03-13,328
2023-03-16,316
2023-03-19,285
2023-03-20,303
2023-03-21,260
2023-03-22,302
2023-03-23,268
2023-03-24,285
2023-03-25,269
2023-03-27,342
2023-03-28,349
2023-03-29,383
2023-03-30,328
2023-03-31,293
2023-04-01,302
2023-04-02,280
2023-04-03,298
2023-04-04,248
2023-04-05,297
2023-04-06,255
2023-04-09,285
2023-04-10,310
2023-04-11,302
2023-04-12,332
2023-04-13,297
2023-04-14,287
2023-04-15,297
2023-04-16,273
2023-04-17,283
2023-04-18,302
2023-04-19,308
2023-04-22,589
2023-04-23,614
2023-04-24,611
2023-04-26,558
2023-04-27,505
2023-04-28,475
2023-04-29,504
2023-04-30,430
2023-05-01,554
2023-05-02,452
2023-05-03,423
2023-05-04,415
2023-05-05,457
2023-05-06,478
2023-05-07,550
2023-05-08,557
2023-05-09,554
2023-05-10,628
2023-05-11,578
2023-05-12,542
2023-05-13,541
2023-05-14,571
2023-05-18,584
2023-05-20,647
2023-05-23,710
2023-05-24,624
2023-05-27,630
2023-05-29,733
2023-05-31,695
2023-06-02,706
2023-06-03,701
2023-06-04,650
2023-06-05,751
2023-06-07,722
2023-06-08,658
2023-06-09,703
2023-06-10,691
2023-06-11,717
2023-06-12,733
2023-06-13,713
2023-06-14,680
2023-06-15,720
2023-06-16,776
2023-06-17,718
2023-06-18,783
2023-06-19,639
2023-06-20,760
2023-06-21,742
2023-06-22,681
2023-06-23,635
2023-06-24,601
2023-06-25,587
2023-06-26,600
2023-06-27,641
2023-06-28,542
2023-06-29,663
2023-06-30,597
2023-07-01,561
2023-07-02,666
2023-07-03,573
2023-07-04,510
2023-07-05,557
2023-07-06,511
2023-07-07,548
2023-07-08,566
2023-07-09,588
2023-07-10,521
2023-07-11,340
2023-07-12,342
2023-07-13,366
2023-07-14,438
2023-07-15,474
2023-07-16,419
2023-07-17,477
2023-07-18,349
2023-07-19,350
2023-07-20,333
2023-07-21,305
2023-07-22,292
2023-07-23,276
2023-07-24,279
2023-07-25,277
2023-07-26,350
2023-07-27,429
2023-07-28,460
2023-07-29,497
2023-07-30,516
2023-07-31,592
2023-08-01,560
2023-08-02,571
2023-08-03,579
2023-08-04,568
2023-08-05,535
2023-08-06,590
2023-08-07,609
2023-08-08,540
2023-08-09,542
2023-08-10,573
2023-08-11,564
2023-08-12,661
2023-08-13,900
2023-08-14,958
2023-08-15,928
2023-08-16,960
2023-08-17,1024
2023-08-18,1168
2023-08-19,1251
2023-08-20,1554
2023-08-21,1304
2023-08-22,1288
2023-08-23,586
2023-08-24,605
2023-08-25,696
2023-08-26,814
2023-08-27,848
2023-08-28,803
2023-08-29,692
2023-08-30,729
2023-08-31,714
2023-09-01,645
2023-09-02,640
2023-09-03,702
2023-09-04,687
2023-09-05,681
2023-09-06,706
2023-09-07,688
2023-09-08,634
2023-09-09,726
2023-09-10,758
2023-09-11,753
