,Sales Rank
2022-12-14,488
2022-12-15,437
2022-12-16,474
2022-12-17,465
2022-12-18,463
2022-12-19,448
2022-12-20,452
2022-12-21,419
2022-12-22,392
2022-12-23,410
2022-12-24,398
2022-12-25,353
2022-12-26,349
2022-12-27,369
2022-12-28,427
2022-12-29,384
2022-12-30,401
2022-12-31,400
2023-01-01,360
2023-01-02,425
2023-01-03,435
2023-01-04,432
2023-01-05,435
2023-01-06,431
2023-01-07,403
2023-01-08,398
2023-01-09,384
2023-01-10,393
2023-01-11,386
2023-01-12,387
2023-01-13,382
2023-01-14,379
2023-01-15,385
2023-01-16,404
2023-01-17,400
2023-01-18,413
2023-01-19,365
2023-01-20,393
2023-01-21,394
2023-01-22,436
2023-01-23,389
2023-01-24,378
2023-01-25,397
2023-01-26,305
2023-01-27,354
2023-01-28,343
2023-01-29,338
2023-01-30,376
2023-01-31,333
2023-02-01,304
2023-02-02,353
2023-02-03,313
2023-02-04,324
2023-02-05,317
2023-02-06,349
2023-02-07,337
2023-02-08,362
2023-02-09,326
2023-02-10,345
2023-02-11,345
2023-02-12,365
2023-02-13,323
2023-02-14,364
2023-02-15,362
2023-02-16,357
2023-02-17,357
2023-02-18,410
2023-02-19,404
2023-02-20,407
2023-02-21,347
2023-02-22,326
2023-02-23,352
2023-02-24,365
2023-02-25,371
2023-02-26,389
2023-02-27,366
2023-02-28,367
2023-03-01,375
2023-03-02,369
2023-03-03,333
2023-03-04,365
2023-03-05,376
2023-03-06,430
2023-03-07,365
2023-03-08,397
2023-03-09,392
2023-03-10,418
2023-03-11,406
2023-03-12,445
2023-03-13,393
2023-03-14,430
2023-03-15,456
2023-03-16,389
2023-03-17,418
2023-03-18,390
2023-03-19,399
2023-03-20,441
2023-03-21,419
2023-03-22,435
2023-03-23,393
2023-03-24,428
2023-03-25,383
2023-03-26,433
2023-03-27,362
2023-03-28,390
2023-03-29,366
2023-03-30,392
2023-03-31,380
2023-04-01,405
2023-04-02,404
2023-04-03,374
2023-04-04,359
2023-04-05,391
2023-04-06,418
2023-04-07,388
2023-04-08,394
2023-04-09,392
2023-04-10,386
2023-04-11,357
2023-04-12,406
2023-04-13,426
2023-04-14,395
2023-04-15,397
2023-04-16,467
2023-04-17,389
2023-04-18,391
2023-04-19,387
2023-04-20,382
2023-04-21,405
2023-04-22,386
2023-04-23,376
2023-04-24,345
2023-04-25,333
