,Sales Rank
2022-12-14,1244
2022-12-15,1195
2022-12-16,1533
2022-12-17,1399
2022-12-18,1631
2022-12-19,1373
2022-12-20,1424
2022-12-21,1377
2022-12-22,1255
2022-12-23,1057
2022-12-24,1155
2022-12-25,942
2022-12-26,981
2022-12-27,970
2022-12-28,1066
2022-12-29,1237
2022-12-30,1177
2022-12-31,1203
2023-01-01,1589
2023-01-02,1422
2023-01-03,1687
2023-01-04,1563
2023-01-05,998
2023-01-06,900
2023-01-07,997
2023-01-08,1000
2023-01-09,1035
2023-01-10,1036
2023-01-11,1023
2023-01-12,1114
2023-01-13,1086
2023-01-14,1088
2023-01-15,809
2023-01-16,1276
2023-01-17,725
2023-01-18,806
2023-01-19,862
2023-01-20,1035
2023-01-21,1263
2023-01-22,1338
2023-01-23,1281
2023-01-24,1273
2023-01-25,1336
2023-01-26,1565
2023-01-27,2094
2023-01-28,2282
2023-01-29,2444
2023-01-30,1919
2023-01-31,1644
2023-02-01,1996
2023-02-02,1575
2023-02-03,1664
2023-02-04,2162
2023-02-05,2200
2023-02-06,1579
2023-02-07,1891
2023-02-08,1915
2023-02-09,1638
2023-02-10,476
2023-02-11,1077
2023-02-12,903
2023-02-13,809
2023-02-14,1267
2023-02-15,1076
2023-02-16,835
2023-02-17,1097
2023-02-18,818
2023-02-19,758
2023-02-20,613
2023-02-21,476
2023-02-22,527
2023-02-23,605
2023-02-24,725
2023-02-25,921
2023-02-26,949
2023-02-27,1044
2023-02-28,686
2023-03-01,917
2023-03-02,1116
2023-03-03,1140
2023-03-04,1208
2023-03-05,1245
2023-03-06,969
2023-03-07,648
2023-03-08,657
2023-03-09,558
2023-03-10,834
2023-03-11,745
2023-03-12,586
2023-03-13,574
2023-03-14,607
2023-03-15,583
2023-03-16,590
2023-03-17,566
2023-03-18,515
2023-03-19,562
2023-03-20,498
2023-03-21,519
2023-03-22,505
2023-03-23,453
2023-03-24,495
2023-03-25,418
2023-03-26,430
2023-03-27,446
2023-03-28,455
2023-03-29,461
2023-03-30,495
2023-03-31,506
2023-04-01,487
2023-04-02,558
2023-04-03,511
2023-04-04,423
2023-04-05,469
2023-04-06,467
2023-04-07,494
2023-04-08,480
2023-04-09,443
2023-04-10,464
2023-04-11,498
2023-04-12,455
2023-04-13,503
2023-04-14,528
2023-04-15,566
2023-04-16,522
2023-04-17,422
2023-04-18,466
2023-04-19,423
2023-04-20,468
2023-04-21,488
2023-04-22,443
2023-04-23,407
2023-04-24,361
2023-04-25,445
2023-04-26,397
2023-04-27,453
2023-04-28,445
2023-04-29,451
2023-04-30,431
2023-05-01,432
2023-05-02,526
2023-05-03,531
2023-05-04,528
2023-05-05,513
2023-05-06,475
2023-05-07,456
2023-05-08,418
2023-05-09,416
2023-05-10,398
2023-05-11,396
2023-05-12,450
2023-05-13,437
2023-05-14,464
2023-05-15,393
2023-05-16,380
2023-05-17,427
2023-05-18,401
2023-05-19,418
2023-05-20,414
2023-05-21,419
2023-05-22,414
2023-05-23,369
2023-05-24,414
2023-05-25,363
2023-05-26,368
2023-05-27,385
2023-05-28,409
2023-05-30,352
2023-05-31,371
2023-06-01,396
2023-06-02,391
2023-06-03,397
2023-06-04,406
2023-06-05,352
2023-06-06,380
2023-06-07,358
2023-06-08,366
2023-06-09,357
2023-06-10,386
2023-06-11,433
2023-06-12,385
2023-06-13,356
2023-06-14,390
2023-06-15,384
2023-06-16,357
2023-06-17,356
2023-06-18,402
2023-06-19,373
2023-06-20,382
2023-06-21,366
2023-06-22,376
2023-06-23,378
2023-06-24,345
2023-06-25,387
2023-06-26,369
2023-06-27,406
2023-06-28,411
2023-06-29,464
2023-06-30,406
2023-07-01,411
2023-07-02,429
2023-07-03,384
2023-07-04,392
2023-07-05,380
2023-07-06,360
2023-07-07,400
2023-07-08,409
2023-07-09,419
2023-07-10,337
2023-07-11,609
2023-07-12,666
2023-07-13,563
2023-07-14,492
2023-07-15,456
2023-07-16,435
2023-07-17,344
2023-07-18,371
2023-07-19,382
2023-07-20,371
2023-07-21,369
2023-07-22,402
2023-07-23,366
2023-07-24,356
2023-07-25,341
2023-07-26,381
2023-07-27,397
2023-07-28,400
2023-07-29,407
2023-07-30,395
2023-07-31,341
2023-08-01,351
2023-08-02,385
2023-08-03,338
2023-08-04,322
2023-08-05,310
2023-08-06,335
2023-08-07,324
2023-08-08,298
2023-08-09,297
2023-08-10,332
2023-08-11,316
2023-08-12,329
2023-08-13,300
2023-08-14,268
2023-08-15,297
2023-08-16,306
2023-08-17,316
2023-08-18,310
2023-08-19,324
2023-08-20,379
2023-08-21,316
2023-08-22,329
2023-08-23,286
2023-08-24,319
2023-08-25,304
2023-08-26,331
2023-08-27,351
2023-08-28,298
2023-08-29,311
2023-08-30,340
2023-08-31,381
2023-09-01,377
2023-09-02,369
2023-09-03,443
2023-09-04,398
2023-09-05,452
2023-09-06,420
2023-09-07,478
2023-09-08,478
2023-09-09,483
2023-09-10,510
2023-09-11,387
2023-09-12,399
2023-09-13,332
2023-09-14,335
2023-09-15,295
2023-09-16,449
2023-09-17,490
2023-09-18,379
2023-09-19,475
2023-09-20,553
2023-09-21,533
2023-09-22,519
2023-09-23,394
2023-09-24,469
2023-09-25,394
2023-09-26,387
2023-09-27,1079
2023-09-28,1859
2023-09-29,380
2023-09-30,182
2023-10-01,410
2023-10-02,512
2023-10-03,517
2023-10-04,404
2023-10-05,329
2023-10-06,305
2023-10-07,269
2023-10-08,274
2023-10-09,255
2023-10-10,386
2023-10-11,436
2023-10-12,251
2023-10-13,206
2023-10-14,198
2023-10-15,308
2023-10-16,304
2023-10-17,333
2023-10-18,331
2023-10-19,316
2023-10-20,322
2023-10-21,334
2023-10-22,341
2023-10-23,278
2023-10-24,333
2023-10-25,309
2023-10-26,331
2023-10-27,314
2023-10-28,335
2023-10-29,349
2023-10-30,311
2023-10-31,344
2023-11-01,315
2023-11-02,357
2023-11-03,344
2023-11-04,356
2023-11-05,387
2023-11-06,312
2023-11-07,337
2023-11-08,317
2023-11-09,349
2023-11-10,330
2023-11-11,371
2023-11-12,354
2023-11-13,303
2023-11-14,318
2023-11-15,339
2023-11-16,338
2023-11-17,235
2023-11-18,315
2023-11-19,413
2023-11-20,343
2023-11-21,368
2023-11-22,398
2023-11-23,361
2023-11-24,469
2023-11-25,494
2023-11-26,471
2023-11-27,501
2023-11-28,452
2023-11-29,437
2023-11-30,422
2023-12-01,401
2023-12-02,445
