,Sales Rank
2022-12-14,114
2022-12-15,108
2022-12-16,103
2022-12-17,98
2022-12-18,78
2022-12-19,83
2022-12-20,97
2022-12-21,97
2022-12-22,100
2022-12-23,42
2022-12-24,20
2022-12-25,42
2022-12-26,47
2022-12-27,66
2022-12-28,96
2022-12-29,144
2022-12-30,165
2022-12-31,188
2023-01-01,185
2023-01-02,248
2023-01-03,271
2023-01-04,261
2023-01-05,233
2023-01-06,222
2023-01-07,212
2023-01-08,200
2023-01-09,184
2023-01-10,181
2023-01-11,181
2023-01-12,173
2023-01-13,162
2023-01-14,187
2023-01-15,205
2023-01-16,213
2023-01-17,242
2023-01-18,198
2023-01-19,194
2023-01-20,183
2023-01-21,189
2023-01-22,187
2023-01-23,233
2023-01-24,203
2023-01-25,252
2023-01-26,232
2023-01-27,203
2023-01-28,207
2023-01-29,205
2023-01-30,229
2023-01-31,64
2023-02-01,119
2023-02-02,129
2023-02-03,154
2023-02-04,156
2023-02-05,167
2023-02-06,184
2023-02-07,199
2023-02-08,193
2023-02-09,183
2023-02-10,184
2023-02-11,171
2023-02-12,186
2023-02-13,198
2023-02-14,195
2023-02-15,220
2023-02-16,252
2023-02-17,196
2023-02-18,184
2023-02-19,181
2023-02-20,216
2023-02-21,220
2023-02-22,214
2023-02-23,232
2023-02-24,213
2023-02-25,169
2023-02-26,178
2023-02-27,215
2023-02-28,222
2023-03-01,191
2023-03-02,213
2023-03-03,229
2023-03-04,189
2023-03-05,194
2023-03-06,230
2023-03-07,257
2023-03-08,243
2023-03-09,236
2023-03-10,237
2023-03-11,247
2023-03-12,258
2023-03-13,290
2023-03-14,275
2023-03-15,294
2023-03-16,296
2023-03-17,254
2023-03-18,245
2023-03-19,258
2023-03-20,264
2023-03-21,243
2023-03-22,234
2023-03-23,226
2023-03-24,223
2023-03-25,206
2023-03-26,194
2023-03-27,232
2023-03-28,211
2023-03-29,229
2023-03-30,227
2023-03-31,243
2023-04-01,229
2023-04-02,217
2023-04-03,244
2023-04-04,249
2023-04-05,232
2023-04-06,200
2023-04-07,211
2023-04-08,219
2023-04-09,195
2023-04-10,242
2023-04-11,222
2023-04-12,249
2023-04-13,220
2023-04-14,231
2023-04-15,220
2023-04-16,245
2023-04-17,273
2023-04-18,277
2023-04-19,249
2023-04-20,279
2023-04-21,248
2023-04-22,227
2023-04-23,236
2023-04-24,280
2023-04-25,240
2023-04-26,185
2023-04-27,130
2023-04-28,103
2023-04-29,87
2023-04-30,70
2023-05-01,76
2023-05-02,56
2023-05-03,104
2023-05-04,261
2023-05-05,217
2023-05-06,213
2023-05-07,216
2023-05-08,271
2023-05-09,263
2023-05-10,263
2023-05-11,258
2023-05-12,259
2023-05-13,253
2023-05-14,211
2023-05-15,152
2023-05-16,210
2023-05-17,230
2023-05-18,252
2023-05-19,279
2023-05-20,253
2023-05-21,269
2023-05-22,341
2023-05-23,343
2023-05-24,339
2023-05-25,324
2023-05-26,280
2023-05-27,280
2023-05-28,261
2023-05-30,275
2023-05-31,267
2023-06-01,235
2023-06-02,263
2023-06-03,257
2023-06-04,269
2023-06-05,277
2023-06-06,266
2023-06-07,228
2023-06-08,216
2023-06-09,232
2023-06-10,193
2023-06-11,243
2023-06-12,291
2023-06-13,281
2023-06-14,267
2023-06-15,307
2023-06-16,332
2023-06-17,295
2023-06-18,293
2023-06-19,312
2023-06-20,327
2023-06-21,297
2023-06-22,297
2023-06-23,298
2023-06-24,266
2023-06-25,235
2023-06-26,221
2023-06-27,208
2023-06-28,226
2023-06-29,200
2023-06-30,205
2023-07-01,189
2023-07-02,190
2023-07-03,207
2023-07-04,218
2023-07-05,220
2023-07-06,204
2023-07-07,212
2023-07-08,194
2023-07-09,196
2023-07-10,227
2023-07-11,55
2023-07-12,95
2023-07-13,194
2023-07-14,151
2023-07-15,163
2023-07-16,159
2023-07-17,173
2023-07-18,176
2023-07-19,168
2023-07-20,174
2023-07-21,164
2023-07-22,149
2023-07-23,167
2023-07-24,179
2023-07-25,189
2023-07-26,183
2023-07-27,194
2023-07-28,172
2023-07-29,167
2023-07-30,148
2023-07-31,168
2023-08-01,159
2023-08-02,149
2023-08-03,147
2023-08-04,133
2023-08-05,132
2023-08-06,109
2023-08-07,111
2023-08-08,155
2023-08-09,137
2023-08-10,152
2023-08-11,31
2023-08-12,38
2023-08-13,81
2023-08-14,124
2023-08-15,132
2023-08-16,142
2023-08-17,152
2023-08-18,133
2023-08-19,126
2023-08-20,125
2023-08-21,157
2023-08-22,145
2023-08-23,150
2023-08-24,137
2023-08-25,143
2023-08-26,125
2023-08-27,120
2023-08-28,135
2023-08-29,121
2023-08-30,136
2023-08-31,136
2023-09-01,147
2023-09-02,124
2023-09-03,136
2023-09-04,150
2023-09-05,148
2023-09-06,160
2023-09-07,156
2023-09-08,153
2023-09-09,152
2023-09-10,140
2023-09-11,165
2023-09-12,167
2023-09-13,154
2023-09-14,165
2023-09-15,163
2023-09-16,157
2023-09-17,155
2023-09-18,181
2023-09-19,164
2023-09-20,187
2023-09-21,188
2023-09-22,171
2023-09-23,185
2023-09-24,190
2023-09-25,210
2023-09-26,194
2023-09-27,208
2023-09-28,211
2023-09-29,215
2023-09-30,196
2023-10-01,197
2023-10-02,215
2023-10-03,218
2023-10-04,209
2023-10-05,217
2023-10-06,219
2023-10-07,180
2023-10-08,190
2023-10-09,216
2023-10-10,231
2023-10-11,233
2023-10-12,213
2023-10-13,224
2023-10-14,197
2023-10-15,199
2023-10-16,211
2023-10-17,221
2023-10-18,233
2023-10-19,219
2023-10-20,222
2023-10-21,211
2023-10-22,189
2023-10-23,210
2023-10-24,207
2023-10-25,205
2023-10-26,217
2023-10-27,243
2023-10-28,243
2023-10-29,247
2023-10-30,253
2023-10-31,222
2023-11-01,251
2023-11-02,241
2023-11-03,243
2023-11-04,198
2023-11-05,193
2023-11-06,208
2023-11-07,194
2023-11-08,196
2023-11-09,211
2023-11-10,191
2023-11-11,166
2023-11-12,155
2023-11-13,184
2023-11-14,178
2023-11-15,171
2023-11-16,191
2023-11-17,191
2023-11-18,166
2023-11-19,148
2023-11-20,164
2023-11-21,148
2023-11-22,157
2023-11-23,143
2023-11-24,90
2023-11-25,93
2023-11-26,88
2023-11-27,87
2023-11-28,79
2023-11-29,91
2023-11-30,104
2023-12-01,102
2023-12-02,99
2023-12-03,110
2023-12-04,114
2023-12-05,128
2023-12-06,116
2023-12-07,132
2023-12-08,116
2023-12-09,109
2023-12-10,102
2023-12-11,111
2023-12-12,105
2023-12-13,103
2023-12-14,105
2023-12-15,94
2023-12-16,111
2023-12-17,92
2023-12-18,101
2023-12-19,100
2023-12-20,101
2023-12-21,96
2023-12-22,96
2023-12-23,107
2023-12-24,127
2023-12-25,182
2023-12-26,231
2023-12-27,269
2023-12-28,295
