,Sales Rank
2022-12-14,387
2022-12-15,339
2022-12-16,421
2022-12-17,421
2022-12-18,411
2022-12-19,394
2022-12-20,439
2022-12-21,462
2022-12-22,433
2022-12-23,443
2022-12-24,420
2022-12-25,389
2022-12-26,394
2022-12-27,291
2022-12-28,279
2022-12-29,294
2022-12-30,280
2022-12-31,275
2023-01-01,235
2023-01-02,247
2023-01-03,261
2023-01-04,282
2023-01-05,288
2023-01-06,301
2023-01-07,309
2023-01-08,311
2023-01-09,322
2023-01-10,327
2023-01-11,332
2023-01-12,316
2023-01-13,314
2023-01-14,271
2023-01-15,213
2023-01-16,236
2023-01-17,259
2023-01-18,287
2023-01-19,288
2023-01-20,263
2023-01-21,234
2023-01-22,219
2023-01-23,264
2023-01-24,253
2023-01-25,251
2023-01-26,275
2023-01-27,248
2023-01-28,234
2023-01-29,221
2023-01-30,270
2023-01-31,295
2023-02-01,295
2023-02-02,302
2023-02-03,287
2023-02-04,242
2023-02-05,230
2023-02-06,259
2023-02-07,265
2023-02-08,265
2023-02-09,295
2023-02-10,249
2023-02-11,235
2023-02-12,209
2023-02-13,275
2023-02-14,274
2023-02-15,323
2023-02-16,306
2023-02-17,284
2023-02-18,240
2023-02-19,226
2023-02-20,259
2023-02-21,306
2023-02-22,302
2023-02-23,311
2023-02-24,284
2023-02-25,230
2023-02-26,196
2023-02-27,246
2023-02-28,285
2023-03-01,281
2023-03-02,279
2023-03-03,368
2023-03-04,260
2023-03-05,204
2023-03-06,235
2023-03-07,296
2023-03-08,260
2023-03-09,253
2023-03-10,251
2023-03-11,237
2023-03-12,229
2023-03-13,267
2023-03-14,284
2023-03-15,278
2023-03-16,273
2023-03-17,290
2023-03-18,214
2023-03-19,219
2023-03-20,249
2023-03-21,259
2023-03-22,287
2023-03-23,330
2023-03-24,329
2023-03-25,295
2023-03-26,289
2023-03-27,344
2023-03-28,320
2023-03-29,306
2023-03-30,334
2023-03-31,354
2023-04-01,316
2023-04-02,271
2023-04-03,302
2023-04-04,345
