,Sales Rank
2022-12-14,650
2022-12-15,725
2022-12-16,767
2022-12-17,677
2022-12-18,702
2022-12-19,676
2022-12-20,743
2022-12-21,699
2022-12-22,663
2022-12-23,613
2022-12-24,581
2022-12-25,491
2022-12-26,543
2022-12-27,573
2022-12-28,535
2022-12-29,559
2022-12-30,567
2022-12-31,593
2023-01-01,555
2023-01-02,627
2023-01-03,614
2023-01-04,601
2023-01-05,580
2023-01-06,524
2023-01-07,519
2023-01-08,509
2023-01-09,500
2023-01-10,477
2023-01-11,467
2023-01-12,486
2023-01-13,502
2023-01-14,517
2023-01-15,537
2023-01-16,552
2023-01-17,465
2023-01-18,489
2023-01-19,528
2023-01-20,601
2023-01-21,585
2023-01-22,566
2023-01-23,546
2023-01-24,578
2023-01-25,581
2023-01-26,530
2023-01-27,669
2023-01-28,643
2023-01-29,614
2023-01-30,570
2023-01-31,623
2023-02-01,640
2023-02-02,655
2023-02-03,657
2023-02-04,652
2023-02-05,600
2023-02-06,674
2023-02-07,660
2023-02-08,638
2023-02-09,652
2023-02-10,638
2023-02-11,630
2023-02-12,637
2023-02-13,500
2023-02-14,561
2023-02-15,544
2023-02-16,577
2023-02-17,661
2023-02-18,663
2023-02-19,693
2023-02-20,595
2023-02-21,467
2023-02-22,540
2023-02-23,643
2023-02-24,678
2023-02-25,609
2023-02-26,683
2023-02-27,678
2023-02-28,618
2023-03-01,608
2023-03-02,627
2023-03-03,551
2023-03-04,557
2023-03-05,638
2023-03-06,811
2023-03-07,665
2023-03-08,671
2023-03-09,718
2023-03-10,691
2023-03-11,692
2023-03-12,655
2023-03-13,741
2023-03-14,684
2023-03-15,752
2023-03-16,661
2023-03-17,704
2023-03-18,661
2023-03-19,671
2023-03-20,675
2023-03-21,638
2023-03-22,671
2023-03-23,676
2023-03-24,665
2023-03-25,742
2023-03-26,736
2023-03-27,643
2023-03-28,661
2023-03-29,635
2023-03-30,691
2023-03-31,621
2023-04-01,648
2023-04-02,795
2023-04-03,735
2023-04-04,666
2023-04-05,691
2023-04-06,854
2023-04-07,747
2023-04-08,672
2023-04-09,707
2023-04-10,647
2023-04-11,697
2023-04-12,651
2023-04-13,715
2023-04-14,719
2023-04-15,631
2023-04-16,677
2023-04-17,538
2023-04-18,577
2023-04-19,573
2023-04-20,669
2023-04-21,658
2023-04-22,599
2023-04-23,564
2023-04-24,505
2023-04-25,587
2023-04-26,674
2023-04-27,629
2023-04-28,686
2023-04-29,679
2023-04-30,688
2023-05-01,658
2023-05-02,773
2023-05-03,769
2023-05-04,768
2023-05-05,746
2023-05-06,786
2023-05-07,778
2023-05-08,693
2023-05-09,774
2023-05-10,752
2023-05-11,723
2023-05-12,710
2023-05-13,668
2023-05-14,679
2023-05-15,728
2023-05-16,708
2023-05-17,709
2023-05-18,656
2023-05-19,736
2023-05-20,716
2023-05-21,728
2023-05-22,666
2023-05-23,629
2023-05-24,754
2023-05-25,704
2023-05-26,669
2023-05-27,732
2023-05-28,793
2023-05-30,793
2023-05-31,808
2023-06-01,775
2023-06-02,772
2023-06-03,755
2023-06-04,728
2023-06-05,760
2023-06-06,801
2023-06-07,662
2023-06-08,680
2023-06-09,644
2023-06-10,700
2023-06-11,761
2023-06-12,761
2023-06-13,734
2023-06-14,818
2023-06-15,786
2023-06-16,728
2023-06-17,716
2023-06-18,721
2023-06-19,726
2023-06-20,697
2023-06-21,730
2023-06-22,733
2023-06-23,647
2023-06-24,652
2023-06-25,688
2023-06-26,748
2023-06-27,734
2023-06-28,675
2023-06-29,777
2023-06-30,681
2023-07-01,798
2023-07-02,832
2023-07-03,695
2023-07-04,603
2023-07-05,675
2023-07-06,657
2023-07-07,630
2023-07-08,627
2023-07-09,658
2023-07-10,614
2023-07-11,822
2023-07-12,1132
2023-07-13,919
2023-07-14,752
2023-07-15,735
2023-07-16,736
2023-07-17,707
2023-07-18,669
2023-07-19,710
2023-07-20,743
2023-07-21,692
2023-07-22,731
2023-07-23,717
2023-07-24,696
2023-07-25,657
2023-07-26,707
2023-07-27,753
2023-07-28,790
2023-07-29,789
2023-07-30,794
2023-07-31,736
2023-08-01,715
2023-08-02,738
2023-08-03,715
2023-08-04,718
2023-08-05,743
2023-08-06,807
2023-08-07,786
2023-08-08,703
2023-08-09,779
2023-08-10,737
2023-08-11,676
2023-08-12,681
2023-08-13,717
2023-08-14,637
2023-08-15,739
2023-08-16,754
2023-08-17,731
2023-08-18,750
2023-08-19,726
2023-08-20,763
2023-08-21,634
2023-08-22,693
2023-08-23,742
2023-08-24,780
2023-08-25,738
2023-08-26,794
2023-08-27,825
2023-08-28,690
2023-08-29,707
2023-08-30,806
2023-08-31,823
2023-09-01,797
2023-09-02,884
2023-09-03,821
2023-09-04,820
2023-09-05,790
2023-09-06,946
2023-09-07,854
2023-09-08,795
2023-09-09,799
2023-09-10,800
2023-09-11,677
2023-09-12,729
2023-09-13,792
2023-09-14,751
2023-09-15,787
2023-09-16,775
2023-09-17,768
2023-09-18,633
2023-09-19,651
2023-09-20,619
2023-09-21,662
2023-09-22,678
2023-09-23,549
2023-09-24,562
2023-09-25,549
2023-09-26,586
2023-09-27,570
2023-09-28,491
2023-09-29,532
2023-09-30,517
2023-10-01,549
2023-10-02,531
2023-10-03,536
2023-10-04,612
2023-10-05,638
2023-10-06,565
2023-10-07,623
2023-10-08,616
2023-10-09,595
2023-10-10,604
2023-10-11,843
2023-10-12,743
2023-10-13,624
2023-10-14,591
2023-10-15,559
2023-10-16,510
2023-10-17,571
2023-10-18,570
2023-10-19,568
2023-10-20,610
2023-10-21,621
2023-10-22,670
2023-10-23,600
2023-10-24,635
2023-10-25,577
2023-10-26,645
2023-10-27,605
2023-10-28,616
2023-10-29,606
2023-10-30,577
2023-10-31,530
2023-11-01,631
2023-11-02,669
2023-11-03,625
2023-11-04,609
2023-11-05,698
2023-11-06,591
2023-11-07,579
2023-11-08,593
2023-11-09,621
2023-11-10,579
2023-11-11,622
2023-11-12,629
2023-11-13,610
2023-11-14,617
2023-11-15,611
2023-11-16,677
2023-11-17,690
2023-11-18,645
2023-11-19,683
2023-11-20,590
2023-11-21,640
2023-11-22,685
2023-11-23,648
2023-11-24,861
2023-11-25,909
2023-11-26,1003
2023-11-27,948
2023-11-28,835
2023-11-29,786
2023-11-30,729
2023-12-01,669
2023-12-02,704
2023-12-03,706
2023-12-04,712
2023-12-05,726
2023-12-06,696
2023-12-07,818
2023-12-08,794
2023-12-09,748
2023-12-10,835
2023-12-11,829
2023-12-12,756
2023-12-13,823
2023-12-14,851
2023-12-15,897
2023-12-16,886
2023-12-17,966
2023-12-18,836
2023-12-19,803
2023-12-20,785
2023-12-21,752
2023-12-22,765
2023-12-23,702
2023-12-24,717
2023-12-25,568
2023-12-26,626
2023-12-27,628
2023-12-28,602
2023-12-29,512
2023-12-30,569
2023-12-31,518
2024-01-01,464
2024-01-02,469
2024-01-03,498
2024-01-04,474
2024-01-05,519
2024-01-06,521
2024-01-07,501
2024-01-08,445
2024-01-09,510
2024-01-10,517
2024-01-11,487
2024-01-12,470
2024-01-13,455
2024-01-14,499
2024-01-15,511
2024-01-16,515
2024-01-17,611
2024-01-18,563
2024-01-19,533
2024-01-20,447
2024-01-21,452
2024-01-22,484
2024-01-23,483
2024-01-24,468
2024-01-25,438
2024-01-26,455
2024-01-27,456
2024-01-28,523
2024-01-29,411
2024-01-30,426
2024-01-31,422
2024-02-01,450
2024-02-02,456
2024-02-03,464
2024-02-04,431
2024-02-05,412
2024-02-06,391
2024-02-07,416
2024-02-08,431
2024-02-09,459
2024-02-10,422
2024-02-11,486
2024-02-12,465
2024-02-13,415
2024-02-14,471
2024-02-15,459
2024-02-16,458
2024-02-17,519
2024-02-18,530
2024-02-19,451
2024-02-20,455
2024-02-21,517
2024-02-22,424
2024-02-23,445
2024-02-24,475
2024-02-25,513
2024-02-26,498
2024-02-27,490
2024-02-28,508
2024-02-29,462
2024-03-01,463
2024-03-02,490
2024-03-03,477
2024-03-04,429
2024-03-05,466
2024-03-06,464
2024-03-07,459
2024-03-08,474
2024-03-09,495
2024-03-10,507
2024-03-11,471
2024-03-12,517
2024-03-13,529
2024-03-14,549
2024-03-15,553
2024-03-16,558
2024-03-17,598
2024-03-18,587
2024-03-19,539
2024-03-20,567
2024-03-21,519
2024-03-22,545
2024-03-23,547
2024-03-24,614
2024-03-25,534
2024-03-26,562
2024-03-27,544
2024-03-28,592
2024-03-29,522
2024-03-30,589
2024-03-31,617
2024-04-01,510
2024-04-02,561
2024-04-03,556
2024-04-04,547
2024-04-05,521
2024-04-06,519
2024-04-07,528
2024-04-08,458
2024-04-09,529
2024-04-10,567
2024-04-11,574
2024-04-12,527
2024-04-13,550
2024-04-14,595
2024-04-15,519
2024-04-16,495
2024-04-17,511
2024-04-18,505
2024-04-19,480
2024-04-20,499
2024-04-21,535
2024-04-22,452
2024-04-23,422
2024-04-24,415
2024-04-25,462
2024-04-26,490
2024-04-27,483
2024-04-28,447
2024-04-29,469
2024-04-30,475
2024-05-01,488
2024-05-02,522
2024-05-03,509
2024-05-04,512
2024-05-05,499
2024-05-06,472
2024-05-07,573
2024-05-08,655
2024-05-09,594
2024-05-10,507
2024-05-11,518
2024-05-12,574
2024-05-13,430
2024-05-14,512
2024-05-15,528
2024-05-16,489
2024-05-17,511
2024-05-18,574
2024-05-19,572
2024-05-20,551
2024-05-21,580
2024-05-22,557
2024-05-23,563
2024-05-24,589
2024-05-25,527
2024-05-26,607
2024-05-27,550
2024-05-28,579
2024-05-29,564
2024-05-30,594
2024-05-31,586
2024-06-01,651
2024-06-02,666
2024-06-03,607
2024-06-04,650
2024-06-05,675
2024-06-06,641
2024-06-07,642
2024-06-08,710
2024-06-09,736
2024-06-10,636
2024-06-11,652
2024-06-12,624
2024-06-13,678
2024-06-14,646
2024-06-15,777
2024-06-16,736
2024-06-17,655
2024-06-18,625
2024-06-19,616
2024-06-20,603
2024-06-21,609
2024-06-22,679
2024-06-23,648
2024-06-24,548
2024-06-25,621
2024-06-26,570
2024-06-27,598
2024-06-28,619
2024-06-29,534
2024-06-30,569
2024-07-01,591
2024-07-02,578
2024-07-03,534
2024-07-04,551
2024-07-05,511
2024-07-06,534
2024-07-07,541
2024-07-08,518
2024-07-09,564
2024-07-10,568
2024-07-11,592
2024-07-12,556
2024-07-13,541
2024-07-14,612
2024-07-15,553
2024-07-16,881
2024-07-17,919
2024-07-18,757
2024-07-19,632
2024-07-20,628
2024-07-21,609
2024-07-22,499
2024-07-23,486
2024-07-24,532
2024-07-25,471
2024-07-26,532
2024-07-27,569
2024-07-28,503
2024-07-29,487
2024-07-30,532
2024-07-31,584
2024-08-01,559
2024-08-02,594
2024-08-03,623
2024-08-04,661
2024-08-05,620
2024-08-06,630
2024-08-07,604
2024-08-09,575
2024-08-10,635
2024-08-11,629
2024-08-12,596
2024-08-13,603
2024-08-14,616
2024-08-15,647
2024-08-16,645
2024-08-17,711
2024-08-18,788
2024-08-19,726
2024-08-20,741
2024-08-21,650
2024-08-22,669
2024-08-23,596
2024-08-24,741
2024-08-25,755
2024-08-26,674
2024-08-27,613
2024-08-28,615
2024-08-29,614
2024-08-30,608
2024-08-31,648
2024-09-01,837
2024-09-02,692
2024-09-03,691
2024-09-04,709
2024-09-05,683
2024-09-06,689
2024-09-07,689
2024-09-08,687
2024-09-09,642
2024-09-10,650
2024-09-11,640
2024-09-12,655
2024-09-13,654
2024-09-14,729
2024-09-15,703
2024-09-16,652
2024-09-17,674
2024-09-18,745
2024-09-19,719
2024-09-20,732
2024-09-21,715
2024-09-22,777
2024-09-23,617
2024-09-24,609
2024-09-25,684
2024-09-26,681
2024-09-27,722
2024-09-28,674
2024-09-29,697
2024-09-30,554
2024-10-01,656
2024-10-02,662
2024-10-03,692
2024-10-04,666
2024-10-05,654
2024-10-06,678
2024-10-07,697
2024-10-08,910
2024-10-09,1079
2024-10-10,917
2024-10-11,788
2024-10-12,771
2024-10-13,756
2024-10-14,609
2024-10-15,649
2024-10-16,671
2024-10-17,668
2024-10-18,716
2024-10-19,762
2024-10-20,703
2024-10-21,674
2024-10-22,690
2024-10-23,674
2024-10-24,741
2024-10-25,631
2024-10-26,670
2024-10-27,752
2024-10-28,597
2024-10-29,667
2024-10-30,670
2024-10-31,663
2024-11-01,639
2024-11-02,604
2024-11-03,697
2024-11-04,624
2024-11-05,651
2024-11-06,678
2024-11-07,609
2024-11-08,625
2024-11-09,698
2024-11-10,664
2024-11-11,606
2024-11-12,571
2024-11-13,638
2024-11-14,684
2024-11-15,634
2024-11-16,692
2024-11-17,716
2024-11-18,597
2024-11-19,602
2024-11-20,624
2024-11-21,772
2024-11-22,817
2024-11-23,759
2024-11-24,745
2024-11-25,652
2024-11-26,615
2024-11-27,685
2024-11-28,759
2024-11-29,871
2024-11-30,831
2024-12-01,843
2024-12-02,745
2024-12-03,637
2024-12-04,691
2024-12-05,771
2024-12-06,901
2024-12-07,933
2024-12-08,999
2024-12-09,868
2024-12-10,927
2024-12-11,893
2024-12-12,993
2024-12-13,904
2024-12-14,971
2024-12-15,1017
2024-12-16,878
2024-12-17,874
2024-12-18,867
2024-12-19,895
2024-12-20,874
2024-12-21,1019
2024-12-22,904
2024-12-23,772
2024-12-24,770
2024-12-25,722
2024-12-26,775
2024-12-27,759
2024-12-28,804
2024-12-29,733
2024-12-30,710
2024-12-31,639
2025-01-01,711
2025-01-02,654
2025-01-03,657
2025-01-04,711
2025-01-05,739
2025-01-06,649
2025-01-07,660
2025-01-08,734
2025-01-09,745
2025-01-10,741
2025-01-11,806
