,Sales Rank
2022-12-14,117
2022-12-15,124
2022-12-16,141
2022-12-17,129
2022-12-18,122
2022-12-19,117
2022-12-20,137
2022-12-21,196
2022-12-22,230
2022-12-23,265
2022-12-24,280
2022-12-25,265
2022-12-26,296
2022-12-27,293
2022-12-28,221
2022-12-29,249
2022-12-30,231
2022-12-31,221
2023-01-01,215
2023-01-02,208
2023-01-03,186
2023-01-04,199
2023-01-05,199
2023-01-06,213
2023-01-07,203
2023-01-08,203
2023-01-09,202
2023-01-10,202
2023-01-11,207
2023-01-12,193
2023-01-13,203
2023-01-14,189
2023-01-15,202
2023-01-16,207
2023-01-17,184
2023-01-18,188
2023-01-19,195
2023-01-20,197
2023-01-21,170
2023-01-22,176
2023-01-23,176
2023-01-24,148
2023-01-25,165
2023-01-26,165
2023-01-27,175
2023-01-28,154
2023-01-29,183
2023-01-30,174
2023-01-31,183
2023-02-01,178
2023-02-02,192
2023-02-03,220
2023-02-04,173
2023-02-05,152
2023-02-06,147
2023-02-07,159
2023-02-08,163
2023-02-09,176
2023-02-10,153
2023-02-11,143
2023-02-12,122
2023-02-13,124
2023-02-14,120
2023-02-15,138
2023-02-16,122
2023-02-17,128
2023-02-18,103
2023-02-19,89
2023-02-20,94
2023-02-21,129
2023-02-22,132
2023-02-23,146
2023-02-24,150
2023-02-25,134
2023-02-26,135
2023-02-27,126
2023-02-28,126
2023-03-01,118
2023-03-02,110
2023-03-03,134
2023-03-04,117
2023-03-05,119
2023-03-06,90
2023-03-07,116
2023-03-08,122
2023-03-09,121
2023-03-10,146
2023-03-11,115
2023-03-12,106
2023-03-13,114
2023-03-14,113
2023-03-15,115
2023-03-16,114
2023-03-17,117
2023-03-18,104
2023-03-19,85
2023-03-20,84
2023-03-21,77
2023-03-22,84
2023-03-23,101
2023-03-24,102
2023-03-25,115
2023-03-26,107
2023-03-27,107
2023-03-28,113
2023-03-29,103
2023-03-30,116
2023-03-31,113
2023-04-01,124
2023-04-02,118
2023-04-03,111
2023-04-04,99
2023-04-05,91
2023-04-06,103
2023-04-07,108
2023-04-08,108
2023-04-09,80
2023-04-10,71
2023-04-11,75
2023-04-12,94
2023-04-13,95
2023-04-14,107
2023-04-15,94
2023-04-16,80
2023-04-17,78
2023-04-18,78
2023-04-19,85
2023-04-20,85
2023-04-21,97
2023-04-22,88
2023-04-23,100
2023-04-24,105
2023-04-25,96
2023-04-26,102
2023-04-27,116
2023-04-28,120
2023-04-29,100
2023-04-30,88
2023-05-01,86
2023-05-02,106
2023-05-03,117
2023-05-04,114
2023-05-05,114
2023-05-06,97
2023-05-07,89
2023-05-08,83
2023-05-09,88
2023-05-10,88
2023-05-11,82
2023-05-12,88
2023-05-13,71
2023-05-14,56
2023-05-15,50
2023-05-16,53
2023-05-17,55
2023-05-18,65
2023-05-19,56
2023-05-20,58
2023-05-21,63
2023-05-22,58
2023-05-23,62
2023-05-24,70
2023-05-25,66
2023-05-26,80
2023-05-27,89
2023-05-28,71
2023-05-31,60
2023-06-01,68
2023-06-02,73
2023-06-03,91
2023-06-04,75
2023-06-05,73
2023-06-06,70
2023-06-07,82
2023-06-08,93
2023-06-09,93
2023-06-10,102
2023-06-11,92
2023-06-12,82
2023-06-13,82
2023-06-14,81
2023-06-15,100
2023-06-16,95
2023-06-17,103
2023-06-19,106
2023-06-20,97
2023-06-22,127
2023-06-23,119
2023-06-25,139
2023-06-26,121
2023-06-27,124
2023-06-29,126
2023-06-30,126
2023-07-01,136
2023-07-02,124
2023-07-03,115
2023-07-04,111
2023-07-06,96
2023-07-07,95
2023-07-09,105
2023-07-10,81
2023-07-11,136
2023-07-12,14
2023-07-13,41
2023-07-14,51
2023-07-15,64
2023-07-16,72
2023-07-17,60
2023-07-19,77
2023-07-20,78
2023-07-21,81
2023-07-22,78
2023-07-23,69
2023-07-24,65
2023-07-25,76
2023-07-26,81
2023-07-27,87
2023-07-28,96
2023-07-29,102
2023-07-30,88
2023-07-31,81
2023-08-01,95
2023-08-02,81
2023-08-03,93
2023-08-04,98
2023-08-05,100
2023-08-06,98
2023-08-07,97
2023-08-08,100
2023-08-09,110
