,Sales Rank
2022-12-14,44
2022-12-15,45
2022-12-16,65
2022-12-17,63
2022-12-18,66
2022-12-19,63
2022-12-20,69
2022-12-21,65
2022-12-22,55
2022-12-23,52
2022-12-24,42
2022-12-25,31
2022-12-26,34
2022-12-27,37
2022-12-28,33
2022-12-29,32
2022-12-30,30
2022-12-31,26
2023-01-01,19
2023-01-02,24
2023-01-03,25
2023-01-04,24
2023-01-05,26
2023-01-06,26
2023-01-07,29
2023-01-08,31
2023-01-12,28
2023-01-13,29
2023-01-14,28
2023-01-15,22
2023-01-16,38
2023-01-17,29
2023-01-18,27
2023-01-19,23
2023-01-20,26
2023-01-21,26
2023-01-22,29
2023-01-23,33
2023-01-24,29
2023-01-25,32
2023-01-26,33
2023-01-27,32
2023-01-28,31
2023-01-29,22
2023-01-30,34
2023-01-31,33
2023-02-01,32
2023-02-02,26
2023-02-03,32
2023-02-04,34
2023-02-05,26
2023-02-06,31
2023-02-07,34
2023-02-08,31
2023-02-09,31
2023-02-10,34
2023-02-11,36
2023-02-12,29
2023-02-13,13
2023-02-14,21
2023-02-15,29
2023-02-16,30
2023-02-17,39
2023-02-18,32
2023-02-19,29
2023-02-20,31
2023-02-21,55
2023-02-22,41
2023-02-23,41
2023-02-24,38
2023-02-25,34
2023-02-26,33
2023-02-27,38
2023-02-28,34
2023-03-01,32
2023-03-02,40
2023-03-03,39
2023-03-04,36
2023-03-05,30
2023-03-06,34
2023-03-07,30
2023-03-08,29
2023-03-09,29
2023-03-10,33
2023-03-11,36
2023-03-12,29
2023-03-13,31
2023-03-14,34
2023-03-15,25
2023-03-16,35
2023-03-17,29
2023-03-18,31
2023-03-19,26
2023-03-20,33
2023-03-21,32
2023-03-22,32
2023-03-23,36
2023-03-24,38
2023-03-25,42
2023-03-26,32
2023-03-27,38
2023-03-28,33
2023-03-29,39
2023-03-30,36
2023-03-31,34
2023-04-01,36
2023-04-02,30
2023-04-03,45
2023-04-04,32
2023-04-05,32
2023-04-06,32
2023-04-07,40
2023-04-08,30
2023-04-09,24
2023-04-10,33
2023-04-11,29
2023-04-12,27
2023-04-13,23
2023-04-14,36
2023-04-15,25
2023-04-16,21
2023-04-17,28
2023-04-18,25
2023-04-19,21
2023-04-20,21
2023-04-21,29
2023-04-22,27
2023-04-23,34
2023-04-24,42
2023-04-25,38
2023-04-26,38
2023-04-27,33
2023-04-28,40
2023-04-29,40
2023-04-30,22
2023-05-01,37
2023-05-02,21
2023-05-03,17
2023-05-04,23
2023-05-05,30
2023-05-06,29
2023-05-07,28
2023-05-08,42
2023-05-09,31
