,Sales Rank
2022-12-14,318
2022-12-15,298
2022-12-16,279
2022-12-17,308
2022-12-18,345
2022-12-19,358
2022-12-20,290
2022-12-21,276
2022-12-22,272
2022-12-23,237
2022-12-24,211
2022-12-25,211
2022-12-26,239
2022-12-27,262
2022-12-28,245
2022-12-29,273
2022-12-30,289
2022-12-31,296
2023-01-01,243
2023-01-02,269
2023-01-03,291
2023-01-04,300
2023-01-05,314
2023-01-06,315
2023-01-07,313
2023-01-08,329
2023-01-09,335
2023-01-10,333
2023-01-11,329
2023-01-12,310
2023-01-13,280
2023-01-14,279
2023-01-15,314
2023-01-16,200
2023-01-17,192
2023-01-18,184
2023-01-19,175
2023-01-20,160
2023-01-21,160
2023-01-22,148
2023-01-23,105
2023-01-24,240
2023-01-25,289
2023-01-26,319
2023-01-27,328
2023-01-28,306
2023-01-29,285
2023-01-30,357
2023-01-31,344
2023-02-01,383
2023-02-02,429
2023-02-03,387
2023-02-04,413
2023-02-05,349
2023-02-06,224
2023-02-07,402
2023-02-08,425
2023-02-09,377
2023-02-10,455
2023-02-11,448
2023-02-12,380
2023-02-13,334
2023-02-14,254
2023-02-15,240
2023-02-16,273
2023-02-17,191
2023-02-18,144
2023-02-19,141
2023-02-20,181
2023-02-21,300
2023-02-22,357
2023-02-23,351
2023-02-24,323
2023-02-25,283
2023-02-26,282
2023-02-27,323
2023-02-28,197
2023-03-01,261
2023-03-02,319
2023-03-03,330
2023-03-04,300
2023-03-05,218
2023-03-06,229
2023-03-07,297
2023-03-08,337
2023-03-09,293
2023-03-10,263
2023-03-11,158
2023-03-12,153
2023-03-13,183
2023-03-14,150
2023-03-15,148
2023-03-16,147
2023-03-17,117
2023-03-18,84
2023-03-19,84
2023-03-20,115
2023-03-21,129
2023-03-22,133
2023-03-23,218
2023-03-24,248
2023-03-25,226
2023-03-26,234
2023-03-27,285
2023-03-28,288
2023-03-29,279
2023-03-30,316
2023-03-31,295
2023-04-01,117
2023-04-02,135
2023-04-03,205
2023-04-04,181
2023-04-05,265
2023-04-06,302
2023-04-07,302
2023-04-08,264
2023-04-09,279
2023-04-10,230
2023-04-11,213
2023-04-12,201
2023-04-13,203
2023-04-14,188
2023-04-15,135
2023-04-16,146
2023-04-17,146
2023-04-18,247
2023-04-19,281
2023-04-20,314
2023-04-21,334
2023-04-22,175
2023-04-23,187
2023-04-24,262
2023-04-25,268
2023-04-26,304
2023-04-27,343
2023-04-28,374
2023-04-29,324
2023-04-30,302
2023-05-01,321
2023-05-02,341
2023-05-03,449
2023-05-04,478
2023-05-05,355
2023-05-06,318
2023-05-07,322
2023-05-08,290
2023-05-09,207
2023-05-10,275
2023-05-11,320
2023-05-12,351
2023-05-13,278
2023-05-14,279
2023-05-15,293
2023-05-16,245
2023-05-17,238
2023-05-18,259
2023-05-19,222
2023-05-20,190
2023-05-21,170
2023-05-22,215
2023-05-23,194
2023-05-24,295
2023-05-25,353
2023-05-26,377
2023-05-27,353
2023-05-28,294
2023-05-30,354
2023-05-31,375
2023-06-01,352
2023-06-02,299
2023-06-03,324
2023-06-04,345
2023-06-05,367
2023-06-06,377
2023-06-07,394
2023-06-08,320
2023-06-09,333
2023-06-10,313
2023-06-11,279
2023-06-12,302
2023-06-13,256
2023-06-14,248
2023-06-15,241
2023-06-16,217
2023-06-17,197
2023-06-18,197
2023-06-19,216
2023-06-20,263
2023-06-21,276
2023-06-22,311
2023-06-23,231
2023-06-24,266
2023-06-25,281
2023-06-26,281
2023-06-27,322
2023-06-28,367
2023-06-29,301
2023-06-30,346
2023-07-01,178
2023-07-02,228
2023-07-03,190
2023-07-04,230
2023-07-05,309
2023-07-06,326
2023-07-07,382
2023-07-08,314
2023-07-09,297
2023-07-10,362
2023-07-11,98
2023-07-12,230
2023-07-13,259
2023-07-14,272
2023-07-15,308
2023-07-16,273
2023-07-17,306
2023-07-18,321
2023-07-19,341
2023-07-20,377
2023-07-21,350
2023-07-22,342
2023-07-23,253
2023-07-24,199
2023-07-25,217
2023-07-26,209
2023-07-27,190
2023-07-28,197
2023-07-29,191
2023-07-30,168
2023-07-31,144
2023-08-02,287
2023-08-03,231
2023-08-04,292
2023-08-05,311
2023-08-07,320
2023-08-09,432
2023-08-10,380
2023-08-11,294
2023-08-12,283
