,Sales Rank
2022-12-14,360
2022-12-15,343
2022-12-16,383
2022-12-17,426
2022-12-18,417
2022-12-19,369
2022-12-20,374
2022-12-21,371
2022-12-22,372
2022-12-23,384
2022-12-24,369
2022-12-25,315
2022-12-26,286
2022-12-27,300
2022-12-28,286
2022-12-29,280
2022-12-30,265
2022-12-31,279
2023-01-01,283
2023-01-02,296
2023-01-03,282
2023-01-04,302
2023-01-05,309
2023-01-06,302
2023-01-07,308
2023-01-08,310
2023-01-09,321
2023-01-10,335
2023-01-11,346
2023-01-12,352
2023-01-13,547
2023-01-14,514
2023-01-15,406
2023-01-16,347
2023-01-17,352
2023-01-18,384
2023-01-19,355
2023-01-20,366
2023-01-21,391
2023-01-22,381
2023-01-23,313
2023-01-24,338
2023-01-25,348
2023-01-26,353
2023-01-27,343
2023-01-28,416
2023-01-29,393
2023-01-30,334
2023-01-31,366
2023-02-01,381
2023-02-02,399
2023-02-03,379
2023-02-04,367
2023-02-05,369
2023-02-06,359
2023-02-07,352
2023-02-08,341
2023-02-09,367
2023-02-10,392
2023-02-11,413
2023-02-12,381
2023-02-13,333
2023-02-14,359
2023-02-15,368
2023-02-16,371
2023-02-17,389
2023-02-18,490
2023-02-19,448
2023-02-20,342
2023-02-21,358
2023-02-22,350
2023-02-23,392
2023-02-24,379
2023-02-25,423
2023-02-26,412
2023-02-27,396
2023-02-28,373
2023-03-01,474
2023-03-02,395
2023-03-03,363
2023-03-04,425
2023-03-05,424
2023-03-06,403
2023-03-07,365
2023-03-08,413
2023-03-09,433
2023-03-10,391
2023-03-11,456
2023-03-12,457
2023-03-13,385
2023-03-14,409
2023-03-15,406
2023-03-16,435
2023-03-17,425
2023-03-18,452
2023-03-19,441
2023-03-20,395
2023-03-21,407
2023-03-22,410
2023-03-23,393
2023-03-24,403
2023-03-25,426
2023-03-26,441
2023-03-27,376
2023-03-28,376
2023-03-29,377
2023-03-30,393
2023-03-31,344
2023-04-01,371
2023-04-02,393
2023-04-03,356
2023-04-04,344
2023-04-05,346
2023-04-06,321
2023-04-07,311
2023-04-08,337
2023-04-09,358
2023-04-10,311
2023-04-11,340
2023-04-12,324
2023-04-13,358
2023-04-14,308
2023-04-15,336
2023-04-16,319
2023-04-17,332
2023-04-18,311
2023-04-19,309
2023-04-20,306
2023-04-21,292
2023-04-22,312
2023-04-23,335
2023-04-24,287
2023-04-25,311
2023-04-26,266
2023-04-27,289
2023-04-28,278
2023-04-29,306
2023-04-30,284
2023-05-01,288
2023-05-02,285
2023-05-03,336
2023-05-04,325
2023-05-05,285
2023-05-06,289
2023-05-07,313
2023-05-08,278
2023-05-09,283
2023-05-10,290
2023-05-11,320
2023-05-12,264
2023-05-13,311
2023-05-14,302
2023-05-15,271
2023-05-16,295
2023-05-17,264
2023-05-18,258
2023-05-19,264
2023-05-20,279
2023-05-21,276
2023-05-22,243
2023-05-23,243
2023-05-24,244
2023-05-25,245
2023-05-26,248
2023-05-27,257
2023-05-28,305
2023-05-30,305
2023-05-31,269
2023-06-01,245
2023-06-02,303
2023-06-03,318
2023-06-04,263
2023-06-05,279
2023-06-06,279
2023-06-07,257
2023-06-08,294
2023-06-09,286
2023-06-10,252
2023-06-11,244
2023-06-12,302
2023-06-13,300
2023-06-14,273
2023-06-15,296
2023-06-16,275
2023-06-17,290
2023-06-18,254
2023-06-19,292
2023-06-20,321
2023-06-21,293
2023-06-22,272
2023-06-23,289
2023-06-24,291
2023-06-25,265
2023-06-26,267
2023-06-27,294
2023-06-28,278
2023-06-29,290
2023-06-30,257
2023-07-01,273
2023-07-02,261
2023-07-03,328
2023-07-04,350
2023-07-05,265
2023-07-06,291
2023-07-07,265
2023-07-08,292
2023-07-09,312
2023-07-10,334
2023-07-11,458
2023-07-12,443
2023-07-13,369
2023-07-14,323
2023-07-15,270
2023-07-16,284
2023-07-17,328
2023-07-19,282
2023-07-20,290
2023-07-21,271
2023-07-22,259
2023-07-23,250
2023-07-24,300
2023-07-25,314
2023-07-26,284
2023-07-27,251
2023-07-28,244
2023-07-29,245
2023-07-30,251
2023-07-31,284
2023-08-02,283
2023-08-03,260
2023-08-04,273
2023-08-05,267
2023-08-06,272
2023-08-07,290
2023-08-08,300
2023-08-09,289
2023-08-10,277
2023-08-11,289
2023-08-12,270
2023-08-13,244
2023-08-14,313
2023-08-15,307
2023-08-16,265
2023-08-17,280
2023-08-18,281
2023-08-19,276
2023-08-20,266
2023-08-21,327
2023-08-22,332
2023-08-23,234
2023-08-24,280
2023-08-25,318
2023-08-26,341
2023-08-27,273
2023-08-28,320
2023-08-29,305
2023-08-30,259
2023-08-31,294
2023-09-01,275
2023-09-02,295
2023-09-03,274
2023-09-04,293
2023-09-05,306
2023-09-06,273
2023-09-07,295
2023-09-08,293
2023-09-09,265
2023-09-10,223
2023-09-11,291
2023-09-12,298
2023-09-13,251
2023-09-14,246
2023-09-15,263
2023-09-16,259
2023-09-17,254
2023-09-18,301
2023-09-19,333
2023-09-20,279
2023-09-21,268
2023-09-22,265
2023-09-23,269
2023-09-24,276
2023-09-25,285
2023-09-26,285
2023-09-27,262
2023-09-28,280
2023-09-29,267
2023-09-30,260
2023-10-01,247
2023-10-02,290
2023-10-03,278
2023-10-04,246
2023-10-05,272
2023-10-06,249
2023-10-07,243
2023-10-08,245
2023-10-09,290
2023-10-10,453
2023-10-11,425
2023-10-12,371
2023-10-13,290
2023-10-14,261
2023-10-15,263
2023-10-16,289
2023-10-17,308
2023-10-18,242
2023-10-19,249
2023-10-20,283
2023-10-21,262
2023-10-22,248
2023-10-23,287
2023-10-24,297
2023-10-25,266
2023-10-26,304
2023-10-27,280
2023-10-28,262
2023-10-29,266
2023-10-30,300
2023-10-31,313
2023-11-01,292
2023-11-02,278
2023-11-03,267
2023-11-04,265
2023-11-05,252
2023-11-06,296
2023-11-07,291
2023-11-08,244
2023-11-09,246
2023-11-10,236
2023-11-11,252
2023-11-12,249
2023-11-13,297
2023-11-14,346
2023-11-15,255
2023-11-16,265
2023-11-17,292
2023-11-18,306
2023-11-19,293
2023-11-20,358
2023-11-21,375
2023-11-22,316
2023-11-23,378
2023-11-24,544
2023-11-25,433
2023-11-26,381
2023-11-27,546
2023-11-28,558
2023-11-29,374
2023-11-30,367
2023-12-01,385
2023-12-02,327
2023-12-03,364
2023-12-04,406
2023-12-05,430
2023-12-06,404
2023-12-07,354
2023-12-08,368
2023-12-09,351
2023-12-10,345
2023-12-11,394
2023-12-12,418
2023-12-13,379
2023-12-14,377
2023-12-15,414
2023-12-16,398
2023-12-17,392
2023-12-18,460
2023-12-19,546
2023-12-20,408
2023-12-21,413
2023-12-22,410
2023-12-23,375
2023-12-24,297
2023-12-25,367
2023-12-26,392
2023-12-27,249
2023-12-28,284
2023-12-29,289
2023-12-30,275
2023-12-31,256
2024-01-01,353
2024-01-02,311
2024-01-03,256
2024-01-04,269
2024-01-05,268
2024-01-06,287
2024-01-07,253
2024-01-08,330
2024-01-09,335
2024-01-10,252
2024-01-11,283
2024-01-12,271
2024-01-13,247
2024-01-14,235
2024-01-15,319
2024-01-16,310
2024-01-17,258
2024-01-18,259
2024-01-19,274
2024-01-20,257
2024-01-21,228
2024-01-22,277
2024-01-23,304
2024-01-24,218
2024-01-25,247
2024-01-26,258
2024-01-27,214
2024-01-28,216
2024-01-29,277
2024-01-30,287
2024-01-31,212
2024-02-01,225
2024-02-02,253
2024-02-03,230
2024-02-04,219
2024-02-05,251
2024-02-06,286
2024-02-07,235
2024-02-08,244
2024-02-09,245
2024-02-10,210
2024-02-11,210
2024-02-12,246
2024-02-13,287
2024-02-14,235
2024-02-15,241
2024-02-16,244
2024-02-17,219
2024-02-18,226
2024-02-19,269
2024-02-20,287
2024-02-21,216
2024-02-22,273
2024-02-23,254
2024-02-24,201
2024-02-25,197
2024-02-26,246
2024-02-27,267
2024-02-28,190
2024-02-29,195
2024-03-01,185
2024-03-02,171
2024-03-03,183
2024-03-04,202
2024-03-05,206
2024-03-06,174
2024-03-07,176
2024-03-08,192
2024-03-09,172
2024-03-10,168
2024-03-11,178
2024-03-12,191
2024-03-13,185
2024-03-14,190
2024-03-15,213
2024-03-16,206
2024-03-17,215
2024-03-18,233
2024-03-19,243
2024-03-20,217
2024-03-21,230
2024-03-22,226
2024-03-23,228
2024-03-24,208
2024-03-25,278
2024-03-26,336
2024-03-27,204
2024-03-28,233
2024-03-29,246
2024-03-30,215
2024-03-31,207
2024-04-01,246
2024-04-02,255
2024-04-03,216
2024-04-04,226
2024-04-05,228
2024-04-06,212
2024-04-07,200
2024-04-08,244
2024-04-09,244
2024-04-10,211
2024-04-11,208
2024-04-12,241
2024-04-13,210
2024-04-14,219
2024-04-15,267
2024-04-16,275
2024-04-17,224
2024-04-18,239
2024-04-19,229
2024-04-20,224
2024-04-21,189
2024-04-22,244
2024-04-23,266
2024-04-24,230
2024-04-25,207
2024-04-26,213
2024-04-27,205
2024-04-28,203
2024-04-29,246
2024-04-30,215
2024-05-01,190
2024-05-02,188
2024-05-03,187
2024-05-04,186
2024-05-05,174
2024-05-06,216
2024-05-07,270
2024-05-08,254
2024-05-09,237
2024-05-10,213
2024-05-11,190
2024-05-12,206
2024-05-13,239
2024-05-14,196
2024-05-15,214
2024-05-16,177
2024-05-17,186
2024-05-18,182
2024-05-19,178
2024-05-20,215
2024-05-21,217
2024-05-22,160
2024-05-23,179
2024-05-24,180
2024-05-25,190
2024-05-26,204
2024-05-27,216
2024-05-28,200
2024-05-29,172
2024-05-30,172
2024-05-31,176
2024-06-01,173
2024-06-02,162
2024-06-03,202
2024-06-04,192
2024-06-05,161
2024-06-06,167
2024-06-07,175
2024-06-08,174
2024-06-09,157
2024-06-10,200
2024-06-11,204
2024-06-12,160
2024-06-13,186
2024-06-14,186
2024-06-15,174
2024-06-16,151
2024-06-17,197
2024-06-18,225
2024-06-19,184
2024-06-20,212
2024-06-21,205
2024-06-22,181
2024-06-23,188
2024-06-24,226
2024-06-25,220
2024-06-26,163
2024-06-27,180
2024-06-28,199
2024-06-29,186
2024-06-30,177
2024-07-01,228
2024-07-02,254
2024-07-03,220
2024-07-04,221
2024-07-05,226
2024-07-06,224
2024-07-07,201
2024-07-08,257
2024-07-09,234
2024-07-10,190
2024-07-11,184
2024-07-12,185
2024-07-13,179
2024-07-14,163
2024-07-15,206
2024-07-16,431
2024-07-17,407
2024-07-18,347
2024-07-19,261
2024-07-20,199
2024-07-21,180
2024-07-22,205
2024-07-23,229
2024-07-24,177
2024-07-25,177
2024-07-26,198
2024-07-27,161
2024-07-28,153
2024-07-29,188
2024-07-30,201
2024-07-31,171
2024-08-01,187
2024-08-02,187
2024-08-03,177
2024-08-04,157
2024-08-05,190
2024-08-06,192
2024-08-07,190
2024-08-09,157
2024-08-10,161
2024-08-11,147
2024-08-12,197
2024-08-13,216
2024-08-14,144
2024-08-15,169
2024-08-16,183
2024-08-17,164
2024-08-18,158
2024-08-19,189
2024-08-20,210
2024-08-21,171
2024-08-22,177
2024-08-23,187
2024-08-24,167
2024-08-25,167
2024-08-26,224
2024-08-27,215
2024-08-28,169
2024-08-29,186
2024-08-30,183
2024-08-31,177
2024-09-01,174
2024-09-02,241
2024-09-03,220
2024-09-04,164
2024-09-05,169
2024-09-06,158
2024-09-07,168
2024-09-08,162
2024-09-09,181
2024-09-10,247
2024-09-11,171
2024-09-12,187
2024-09-13,180
2024-09-14,177
2024-09-15,176
2024-09-16,209
2024-09-17,226
2024-09-18,163
2024-09-19,174
2024-09-20,177
2024-09-21,164
2024-09-22,149
2024-09-23,220
2024-09-24,242
2024-09-25,145
2024-09-26,171
2024-09-27,169
2024-09-28,176
2024-09-29,145
2024-09-30,204
2024-10-01,206
2024-10-02,154
2024-10-03,183
2024-10-04,166
2024-10-05,156
2024-10-06,153
2024-10-07,202
2024-10-08,392
2024-10-09,317
2024-10-10,253
2024-10-11,200
2024-10-12,161
2024-10-13,149
2024-10-14,182
2024-10-15,207
2024-10-16,165
2024-10-17,179
2024-10-18,188
2024-10-19,173
2024-10-20,149
2024-10-21,210
2024-10-22,202
2024-10-23,167
2024-10-24,169
2024-10-25,166
2024-10-26,185
2024-10-27,158
2024-10-28,195
2024-10-29,218
2024-10-30,165
2024-10-31,176
2024-11-01,171
2024-11-02,158
2024-11-03,148
2024-11-04,198
2024-11-05,203
2024-11-06,166
2024-11-07,168
2024-11-08,192
2024-11-09,169
2024-11-10,149
2024-11-11,209
2024-11-12,223
2024-11-13,174
2024-11-14,187
2024-11-15,196
2024-11-16,193
2024-11-17,176
2024-11-18,206
2024-11-19,220
2024-11-20,170
2024-11-21,241
2024-11-22,259
2024-11-23,262
2024-11-24,245
2024-11-25,256
2024-11-26,241
2024-11-27,203
2024-11-28,252
2024-11-29,373
2024-11-30,353
2024-12-01,295
2024-12-02,426
2024-12-03,375
2024-12-04,231
2024-12-05,225
2024-12-06,222
2024-12-07,225
2024-12-08,218
2024-12-09,259
2024-12-10,284
2024-12-11,231
2024-12-12,247
2024-12-13,265
2024-12-14,244
2024-12-15,235
2024-12-16,284
2024-12-17,330
2024-12-18,242
2024-12-19,282
2024-12-20,297
2024-12-21,295
2024-12-22,250
2024-12-23,283
2024-12-24,281
2024-12-25,187
2024-12-26,231
2024-12-27,192
2024-12-28,176
2024-12-29,163
2024-12-30,226
2024-12-31,232
2025-01-01,198
2025-01-02,176
2025-01-03,191
2025-01-04,180
2025-01-05,168
2025-01-06,219
2025-01-07,250
2025-01-08,166
2025-01-09,201
2025-01-10,205
