,Sales Rank
2022-12-14,1937
2022-12-15,1892
2022-12-16,2082
2022-12-17,2080
2022-12-18,2172
2022-12-19,2283
2022-12-20,2308
2022-12-21,1995
2022-12-22,2079
2022-12-23,1916
2022-12-24,1931
2022-12-25,1895
2022-12-26,1759
2022-12-27,1658
2022-12-28,1582
2022-12-29,1635
2022-12-30,1696
2022-12-31,1677
2023-01-01,1805
2023-01-02,1918
2023-01-03,1905
2023-01-04,1953
2023-01-05,2126
2023-01-06,2160
2023-01-07,2249
2023-01-08,2346
2023-01-09,2424
2023-01-10,2408
2023-01-11,2428
2023-01-12,2434
2023-01-13,2137
2023-01-14,2257
2023-01-15,2945
2023-01-16,2879
2023-01-17,2779
2023-01-18,2232
2023-01-19,1904
2023-01-20,2047
2023-01-21,2342
2023-01-22,2894
2023-01-23,3058
2023-01-24,2154
2023-01-25,2368
2023-01-26,2147
2023-01-27,2233
2023-01-28,2008
2023-01-29,1833
2023-01-30,1821
2023-01-31,1894
2023-02-01,1787
2023-02-02,1597
2023-02-03,1639
2023-02-04,1551
2023-02-05,1676
2023-02-06,1632
2023-02-07,1671
2023-02-08,1661
2023-02-09,1514
2023-02-10,1625
2023-02-11,1438
2023-02-12,1671
2023-02-13,1883
2023-02-14,1686
2023-02-15,1617
2023-02-16,1654
2023-02-17,1910
2023-02-18,1642
2023-02-19,1784
2023-02-20,1954
2023-02-21,2116
2023-02-22,2031
2023-02-23,2750
2023-02-24,2884
2023-02-25,2556
2023-02-26,2445
2023-02-27,2512
2023-02-28,2792
2023-03-01,2867
2023-03-02,2741
2023-03-03,2613
2023-03-04,2473
2023-03-05,2391
2023-03-06,2209
2023-03-07,2109
2023-03-08,2046
2023-03-09,2113
2023-03-10,1838
2023-03-11,1917
2023-03-12,2019
2023-03-13,1693
2023-03-14,1862
2023-03-15,1554
2023-03-16,1425
2023-03-17,1442
2023-03-18,1213
2023-03-19,1384
2023-03-20,1366
2023-03-21,1407
2023-03-22,1366
2023-03-23,1153
2023-03-24,1310
2023-03-25,1200
2023-03-26,1196
2023-03-27,1456
2023-03-28,1574
2023-03-29,1384
2023-03-30,1353
2023-03-31,1368
