,Sales Rank
2022-12-14,36955
2022-12-15,29223
2022-12-16,36167
2022-12-17,33835
2022-12-18,30936
2022-12-19,32101
2022-12-20,33985
2022-12-21,35754
2022-12-22,34404
2022-12-23,37943
2022-12-24,31052
2022-12-25,28500
2022-12-26,22676
2022-12-27,24233
2022-12-28,20631
2022-12-29,21837
2022-12-30,23946
2022-12-31,27196
2023-01-01,27527
2023-01-02,51084
2023-01-03,22604
2023-01-04,25680
2023-01-05,30278
2023-01-06,30168
2023-01-07,716
2023-01-08,704
2023-01-09,710
2023-01-10,686
2023-01-11,670
2023-01-12,650
2023-01-13,467
2023-01-14,641
2023-01-15,516
2023-01-16,687
2023-01-17,601
2023-01-18,602
2023-01-19,416
2023-01-20,575
2023-01-21,442
2023-01-22,490
2023-01-23,498
2023-01-24,532
2023-01-25,596
2023-01-26,574
2023-01-27,648
2023-01-28,683
2023-01-29,619
2023-01-30,657
2023-01-31,604
2023-02-01,668
2023-02-02,690
2023-02-03,727
2023-02-04,698
2023-02-05,547
2023-02-06,649
2023-02-07,651
2023-02-08,620
2023-02-09,593
2023-02-10,659
2023-02-11,701
2023-02-12,567
2023-02-13,458
2023-02-14,480
2023-02-15,500
2023-02-16,539
2023-02-17,623
2023-02-18,623
2023-02-19,610
2023-02-20,647
2023-02-21,698
2023-02-22,656
2023-02-23,353
2023-02-24,257
2023-02-25,215
2023-02-26,364
2023-02-27,383
2023-02-28,412
2023-03-01,406
2023-03-02,428
2023-03-03,501
2023-03-04,506
2023-03-05,511
2023-03-06,547
2023-03-07,498
2023-03-08,531
2023-03-09,568
2023-03-10,568
2023-03-11,531
2023-03-12,407
2023-03-13,470
2023-03-14,451
2023-03-15,472
2023-03-16,578
2023-03-17,466
2023-03-18,440
2023-03-19,381
2023-03-20,451
2023-03-21,401
2023-03-22,9095
2023-03-23,11281
2023-03-24,10827
2023-03-25,12956
2023-03-26,12245
2023-03-27,469
2023-03-28,454
2023-03-29,462
2023-03-30,426
2023-03-31,505
2023-04-01,489
2023-04-02,493
2023-04-03,495
2023-04-04,601
2023-04-05,426
2023-04-06,539
2023-04-07,490
2023-04-08,443
2023-04-09,430
2023-04-10,482
2023-04-11,419
2023-04-12,390
2023-04-13,335
2023-04-14,444
2023-04-15,448
2023-04-16,360
2023-04-17,340
2023-04-18,430
2023-04-19,446
2023-04-20,448
2023-04-21,391
2023-04-22,525
2023-04-23,506
2023-04-24,579
2023-04-25,585
2023-04-26,547
2023-04-27,501
2023-04-28,576
2023-04-29,526
2023-04-30,380
2023-05-01,483
2023-05-02,496
2023-05-03,290
2023-05-04,277
2023-05-05,379
2023-05-06,420
2023-05-07,419
2023-05-08,490
2023-05-09,458
2023-05-10,480
2023-05-11,461
2023-05-12,517
2023-05-13,442
2023-05-14,400
2023-05-15,470
2023-05-16,449
2023-05-17,405
2023-05-18,406
2023-05-19,409
2023-05-20,416
2023-05-21,399
2023-05-22,445
2023-05-23,399
2023-05-24,393
2023-05-25,451
2023-05-26,479
2023-05-27,500
2023-05-28,369
2023-05-30,396
2023-05-31,447
2023-06-01,390
2023-06-02,388
2023-06-03,416
2023-06-04,339
2023-06-05,371
2023-06-06,365
2023-06-07,398
2023-06-08,347
2023-06-09,337
2023-06-10,396
2023-06-11,341
2023-06-12,379
2023-06-13,409
2023-06-14,309
2023-06-15,313
2023-06-16,13353
2023-06-17,398
2023-06-18,403
2023-06-19,387
2023-06-20,445
2023-06-21,495
2023-06-22,439
2023-06-23,451
2023-06-24,476
2023-06-25,358
2023-06-26,307
2023-06-27,8227
2023-06-28,8133
2023-06-29,340
2023-06-30,367
2023-07-01,282
2023-07-02,221
2023-07-03,250
2023-07-04,9246
2023-07-05,10056
2023-07-06,10208
2023-07-07,11248
2023-07-08,14955
2023-07-09,9963
2023-07-10,10329
2023-07-11,163
2023-07-12,181
2023-07-13,196
2023-07-14,255
2023-07-15,259
2023-07-16,211
2023-07-17,205
2023-07-18,261
2023-07-19,303
2023-07-20,309
2023-07-21,229
2023-07-22,282
2023-07-23,207
2023-07-24,244
2023-07-25,281
2023-07-26,309
2023-07-27,352
2023-07-28,375
2023-07-29,381
2023-07-30,317
2023-07-31,321
2023-08-01,339
2023-08-02,292
2023-08-03,272
2023-08-04,289
2023-08-05,294
2023-08-06,268
2023-08-07,316
2023-08-08,372
2023-08-09,400
2023-08-10,401
2023-08-11,351
2023-08-12,357
2023-08-13,326
2023-08-14,367
2023-08-15,332
2023-08-16,432
2023-08-17,374
2023-08-18,442
2023-08-19,436
2023-08-20,402
2023-08-21,453
2023-08-22,466
2023-08-23,428
2023-08-24,410
2023-08-25,562
2023-08-26,305
2023-08-27,241
2023-08-28,234
2023-08-29,8206
2023-08-30,10129
2023-08-31,8592
2023-09-01,9131
2023-09-02,7383
2023-09-03,8109
2023-09-04,9035
2023-09-05,9341
2023-09-06,10270
2023-09-07,89
2023-09-08,8412
2023-09-09,8715
2023-09-10,9125
2023-09-11,8994
2023-09-12,617
2023-09-13,670
2023-09-14,465
2023-09-15,487
2023-09-16,419
2023-09-17,415
2023-09-18,446
2023-09-19,529
2023-09-20,603
2023-09-21,640
2023-09-22,559
2023-09-23,589
2023-09-24,525
2023-09-25,585
2023-09-26,679
2023-09-27,669
2023-09-28,611
2023-09-29,75
2023-09-30,334
2023-10-01,322
2023-10-02,304
2023-10-03,371
2023-10-04,397
2023-10-05,5876
2023-10-06,463
2023-10-07,472
2023-10-08,360
2023-10-09,406
2023-10-10,168
2023-10-11,157
2023-10-12,234
2023-10-13,338
2023-10-14,305
2023-10-15,230
2023-10-16,326
2023-10-17,5652
2023-10-18,361
2023-10-19,6100
2023-10-20,446
2023-10-21,5939
2023-10-22,7588
2023-10-23,6785
2023-10-24,423
2023-10-25,492
2023-10-26,426
2023-10-27,443
2023-10-28,6952
2023-10-29,4994
2023-10-30,330
2023-10-31,6918
2023-11-01,8464
2023-11-02,403
2023-11-03,396
2023-11-04,433
2023-11-05,343
2023-11-06,294
2023-11-07,376
2023-11-08,428
2023-11-09,327
2023-11-10,392
2023-11-11,463
2023-11-12,399
2023-11-13,455
2023-11-14,456
2023-11-15,368
2023-11-16,332
2023-11-17,381
2023-11-18,512
2023-11-19,564
2023-11-20,574
2023-11-21,565
2023-11-22,548
2023-11-23,646
2023-11-24,369
2023-11-25,294
2023-11-26,249
2023-11-27,271
2023-11-28,321
2023-11-29,484
2023-11-30,462
2023-12-01,571
2023-12-02,598
2023-12-03,380
2023-12-04,484
2023-12-05,496
2023-12-06,471
2023-12-07,561
2023-12-08,604
2023-12-09,567
2023-12-10,478
2023-12-11,433
2023-12-12,587
2023-12-13,527
2023-12-14,528
2023-12-15,702
2023-12-16,764
2023-12-17,584
2023-12-18,678
2023-12-19,762
2023-12-20,792
2023-12-21,728
2023-12-22,695
2023-12-23,826
2023-12-24,399
2023-12-25,481
2023-12-26,493
2023-12-27,503
2023-12-28,466
2023-12-29,592
2023-12-30,624
2023-12-31,478
2024-01-01,540
2024-01-02,522
2024-01-03,487
2024-01-04,548
2024-01-05,618
2024-01-06,584
2024-01-07,498
2024-01-08,506
2024-01-09,596
2024-01-10,522
2024-01-11,547
2024-01-12,595
2024-01-13,512
2024-01-14,455
2024-01-15,568
2024-01-16,688
2024-01-17,596
2024-01-18,521
2024-01-19,552
2024-01-20,531
2024-01-21,411
2024-01-22,467
2024-01-23,451
2024-01-24,423
2024-01-25,452
2024-01-26,516
2024-01-27,500
2024-01-28,460
2024-01-29,468
2024-01-30,415
2024-01-31,409
2024-02-01,416
2024-02-02,604
2024-02-03,1259
2024-02-04,1657
2024-02-05,2369
2024-02-06,268
2024-02-07,321
2024-02-08,325
2024-02-09,325
2024-02-10,325
2024-02-11,297
2024-02-12,310
2024-02-13,338
2024-02-14,291
2024-02-15,291
2024-02-16,332
2024-02-17,402
2024-02-18,429
2024-02-19,419
2024-02-20,417
2024-02-21,413
2024-02-22,485
2024-02-23,460
2024-02-24,552
2024-02-25,374
2024-02-26,391
2024-02-27,418
2024-02-28,421
2024-02-29,396
2024-03-01,429
2024-03-02,456
2024-03-03,375
2024-03-04,400
2024-03-05,367
2024-03-06,330
2024-03-07,284
2024-03-08,323
2024-03-09,342
2024-03-10,285
2024-03-11,355
2024-03-12,307
2024-03-13,335
2024-03-14,333
2024-03-15,363
2024-03-16,429
2024-03-17,313
2024-03-18,329
2024-03-19,352
2024-03-20,378
2024-03-21,369
2024-03-22,438
2024-03-23,516
2024-03-24,432
2024-03-25,435
2024-03-26,481
2024-03-27,403
2024-03-28,400
2024-03-29,462
2024-03-30,420
2024-03-31,322
2024-04-01,316
2024-04-02,213
2024-04-03,223
2024-04-04,221
2024-04-05,218
2024-04-06,193
2024-04-07,130
2024-04-08,151
2024-04-09,115
2024-04-10,123
2024-04-11,122
2024-04-12,114
2024-04-13,104
2024-04-14,92
2024-04-15,91
