,Sales Rank
2022-12-14,192
2022-12-15,177
2022-12-16,182
2022-12-17,168
2022-12-18,179
2022-12-19,175
2022-12-20,185
2022-12-21,157
2022-12-22,169
2022-12-23,171
2022-12-24,183
2022-12-25,200
2022-12-26,204
2022-12-27,218
2022-12-28,210
2022-12-29,223
2022-12-30,225
2022-12-31,214
2023-01-01,208
2023-01-02,218
2023-01-03,219
2023-01-04,222
2023-01-05,226
2023-01-06,220
2023-01-07,223
2023-01-08,238
2023-01-09,233
2023-01-10,241
2023-01-11,249
2023-01-12,230
2023-01-13,191
2023-01-14,133
2023-01-15,140
2023-01-16,142
2023-01-17,137
2023-01-18,136
2023-01-19,134
2023-01-20,124
2023-01-21,132
2023-01-22,183
2023-01-23,206
2023-01-24,216
2023-01-25,219
2023-01-26,254
2023-01-27,264
2023-01-28,276
2023-01-29,261
2023-01-30,296
2023-01-31,297
2023-02-01,292
2023-02-02,303
2023-02-03,292
2023-02-04,374
2023-02-05,329
2023-02-06,357
2023-02-07,332
2023-02-08,322
2023-02-09,285
2023-02-10,309
2023-02-11,368
2023-02-12,353
2023-02-13,289
2023-02-14,280
2023-02-15,308
2023-02-16,338
2023-02-17,351
2023-02-18,414
2023-02-19,419
2023-02-20,404
2023-02-21,327
2023-02-22,327
2023-02-23,357
2023-02-24,368
2023-02-25,380
2023-02-26,429
2023-02-27,407
2023-02-28,370
2023-03-01,424
2023-03-02,430
2023-03-03,387
2023-03-04,411
2023-03-05,503
2023-03-06,503
2023-03-07,407
2023-03-08,431
2023-03-09,417
2023-03-10,459
2023-03-11,479
2023-03-12,484
2023-03-13,417
2023-03-14,436
2023-03-15,434
2023-03-16,387
2023-03-17,391
2023-03-18,374
2023-03-19,395
2023-03-20,383
2023-03-21,348
2023-03-22,396
2023-03-23,378
2023-03-24,369
2023-03-25,394
2023-03-26,408
2023-03-27,375
2023-03-28,382
2023-03-29,367
2023-03-30,359
2023-03-31,340
2023-04-01,398
2023-04-02,416
2023-04-03,426
2023-04-04,377
2023-04-05,371
2023-04-06,390
2023-04-07,402
2023-04-08,395
2023-04-09,405
2023-04-10,360
2023-04-11,337
2023-04-12,356
2023-04-13,325
2023-04-14,335
2023-04-15,373
2023-04-16,386
2023-04-17,334
2023-04-18,362
2023-04-19,372
2023-04-20,363
2023-04-21,379
2023-04-22,397
2023-04-23,360
2023-04-24,365
2023-04-25,401
2023-04-26,344
2023-04-27,304
2023-04-28,322
2023-04-29,315
2023-04-30,356
2023-05-01,276
2023-05-02,126
2023-05-03,99
2023-05-04,119
2023-05-05,172
2023-05-06,183
2023-05-07,212
2023-05-08,208
2023-05-09,206
2023-05-10,219
2023-05-11,209
2023-05-12,229
2023-05-13,214
2023-05-14,352
2023-05-15,352
2023-05-16,399
2023-05-17,386
2023-05-18,413
2023-05-19,422
2023-05-20,466
2023-05-21,510
2023-05-22,448
2023-05-23,471
2023-05-24,504
2023-05-25,437
2023-05-26,456
2023-05-27,480
2023-05-28,558
2023-05-30,558
2023-05-31,444
2023-06-01,490
2023-06-02,408
2023-06-03,468
2023-06-04,528
2023-06-05,473
2023-06-06,440
2023-06-07,437
2023-06-08,436
2023-06-09,401
2023-06-10,435
2023-06-11,572
2023-06-12,542
2023-06-13,472
2023-06-14,500
2023-06-15,460
2023-06-16,486
2023-06-17,578
2023-06-18,646
2023-06-19,535
2023-06-20,526
2023-06-21,553
2023-06-22,549
2023-06-23,532
2023-06-24,483
2023-06-25,515
2023-06-26,541
2023-06-27,559
2023-06-28,521
2023-06-29,541
2023-06-30,456
2023-07-01,602
2023-07-02,586
2023-07-03,486
2023-07-04,538
2023-07-05,561
2023-07-06,522
2023-07-07,539
2023-07-08,529
2023-07-09,540
2023-07-10,466
2023-07-11,129
2023-07-12,71
2023-07-13,99
2023-07-14,155
2023-07-15,229
2023-07-16,307
2023-07-17,339
2023-07-18,292
2023-07-19,230
2023-07-20,197
2023-07-21,212
2023-07-22,215
2023-07-23,216
2023-07-24,207
2023-07-25,207
2023-07-26,243
2023-07-27,303
2023-07-28,337
2023-07-29,368
2023-07-30,433
2023-07-31,395
2023-08-01,409
2023-08-02,451
2023-08-03,399
2023-08-04,410
2023-08-05,381
2023-08-06,436
2023-08-07,462
2023-08-08,364
2023-08-09,392
2023-08-10,429
2023-08-11,447
2023-08-12,524
2023-08-13,520
2023-08-14,421
2023-08-15,426
2023-08-16,472
2023-08-17,444
2023-08-18,467
2023-08-19,512
2023-08-20,496
2023-08-21,450
2023-08-22,477
2023-08-23,465
2023-08-24,405
2023-08-25,405
2023-08-26,405
2023-08-27,498
2023-08-28,400
2023-08-29,422
2023-08-30,439
2023-08-31,457
2023-09-01,480
2023-09-02,469
2023-09-03,497
2023-09-04,470
2023-09-05,512
2023-09-06,519
2023-09-07,513
2023-09-08,443
2023-09-09,473
2023-09-10,517
2023-09-11,466
2023-09-12,465
2023-09-13,507
2023-09-14,481
2023-09-15,499
2023-09-16,506
2023-09-17,583
2023-09-18,519
2023-09-19,493
2023-09-20,482
2023-09-21,389
2023-09-22,402
2023-09-23,354
2023-09-24,388
2023-09-25,402
2023-09-26,359
2023-09-27,380
2023-09-28,413
2023-09-29,382
2023-09-30,463
2023-10-01,485
2023-10-02,472
2023-10-03,368
2023-10-04,365
2023-10-05,434
2023-10-06,398
2023-10-07,474
2023-10-08,497
2023-10-09,411
2023-10-10,426
2023-10-11,518
2023-10-12,530
2023-10-13,433
2023-10-14,437
2023-10-15,445
2023-10-16,404
2023-10-17,456
2023-10-18,428
2023-10-19,410
2023-10-20,409
2023-10-21,414
2023-10-22,461
2023-10-23,361
2023-10-24,373
2023-10-25,373
2023-10-26,344
2023-10-27,373
2023-10-28,407
2023-10-29,439
2023-10-30,404
2023-10-31,386
2023-11-01,376
2023-11-02,370
2023-11-03,370
2023-11-04,448
2023-11-05,473
2023-11-06,356
2023-11-07,379
2023-11-08,363
2023-11-09,408
2023-11-10,248
2023-11-11,213
2023-11-12,173
2023-11-13,159
2023-11-14,168
2023-11-15,164
2023-11-16,153
2023-11-17,195
2023-11-18,231
2023-11-19,254
2023-11-20,221
2023-11-21,277
2023-11-22,340
2023-11-23,377
2023-11-24,469
2023-11-25,577
2023-11-26,640
2023-11-27,639
2023-11-28,577
2023-11-29,493
2023-11-30,373
2023-12-01,303
2023-12-02,347
2023-12-03,441
2023-12-04,378
2023-12-05,385
2023-12-06,380
2023-12-07,365
2023-12-08,344
2023-12-09,410
2023-12-10,386
2023-12-11,364
2023-12-12,361
2023-12-13,345
2023-12-14,317
2023-12-15,330
2023-12-16,310
2023-12-17,332
2023-12-18,305
2023-12-19,291
2023-12-20,267
2023-12-21,291
2023-12-22,257
2023-12-23,251
2023-12-24,305
2023-12-25,250
2023-12-26,310
2023-12-27,341
2023-12-28,346
2023-12-29,368
2023-12-30,401
2023-12-31,450
2024-01-01,326
2024-01-02,288
2024-01-03,236
2024-01-04,240
2024-01-05,228
2024-01-06,248
2024-01-07,238
2024-01-08,228
2024-01-09,210
2024-01-10,216
2024-01-11,218
2024-01-12,237
2024-01-13,254
2024-01-14,261
2024-01-15,257
2024-01-16,260
2024-01-17,239
2024-01-18,190
2024-01-19,239
2024-01-20,274
2024-01-21,271
2024-01-22,265
2024-01-23,224
2024-01-24,286
2024-01-25,279
2024-01-26,292
2024-01-27,330
2024-01-28,411
2024-01-29,320
2024-01-30,335
2024-01-31,340
2024-02-01,337
2024-02-02,307
2024-02-03,375
2024-02-04,357
2024-02-05,331
2024-02-06,336
2024-02-07,335
2024-02-08,352
2024-02-09,342
2024-02-10,369
2024-02-11,461
2024-02-12,383
2024-02-13,357
2024-02-14,416
2024-02-15,350
2024-02-16,336
2024-02-17,439
2024-02-18,458
2024-02-19,404
2024-02-20,400
2024-02-21,388
2024-02-22,326
2024-02-23,363
2024-02-24,373
2024-02-25,470
2024-02-26,426
2024-02-27,427
2024-02-28,432
2024-02-29,447
2024-03-01,430
2024-03-02,486
2024-03-03,492
2024-03-04,444
2024-03-05,362
2024-03-06,425
2024-03-07,432
2024-03-08,431
2024-03-09,453
2024-03-10,521
2024-03-11,418
2024-03-12,442
2024-03-13,426
2024-03-14,396
2024-03-15,449
2024-03-16,517
2024-03-17,559
2024-03-18,444
2024-03-19,415
2024-03-20,368
2024-03-21,398
2024-03-22,430
2024-03-23,492
2024-03-24,468
2024-03-25,375
2024-03-26,338
2024-03-27,346
2024-03-28,341
2024-03-29,336
2024-03-30,325
2024-03-31,392
2024-04-01,324
2024-04-02,314
2024-04-03,334
2024-04-04,324
2024-04-05,334
2024-04-06,340
2024-04-07,394
2024-04-08,315
2024-04-09,296
2024-04-10,371
2024-04-11,347
2024-04-12,400
2024-04-13,490
2024-04-14,547
2024-04-15,430
2024-04-16,425
2024-04-17,415
2024-04-18,426
2024-04-19,432
2024-04-20,432
2024-04-21,568
2024-04-22,447
2024-04-23,402
2024-04-24,327
2024-04-25,335
2024-04-26,320
2024-04-27,316
2024-04-28,305
2024-04-29,277
2024-04-30,247
2024-05-01,290
2024-05-02,289
2024-05-03,269
2024-05-04,282
2024-05-05,294
2024-05-06,286
2024-05-07,235
2024-05-08,226
2024-05-09,282
2024-05-10,312
2024-05-11,363
2024-05-12,433
2024-05-13,365
2024-05-14,343
2024-05-15,381
2024-05-16,337
2024-05-17,342
2024-05-18,383
2024-05-19,414
2024-05-20,382
2024-05-21,366
2024-05-22,403
2024-05-23,385
2024-05-24,392
2024-05-25,356
2024-05-26,404
2024-05-27,352
2024-05-28,363
2024-05-29,372
2024-05-30,390
2024-05-31,374
2024-06-01,415
2024-06-02,375
2024-06-03,344
2024-06-04,344
2024-06-05,407
2024-06-06,399
2024-06-07,407
2024-06-08,401
2024-06-09,438
2024-06-10,349
2024-06-11,401
2024-06-12,418
2024-06-13,426
2024-06-14,449
2024-06-15,541
2024-06-16,635
2024-06-17,498
2024-06-18,447
2024-06-19,457
2024-06-20,472
2024-06-21,421
2024-06-22,507
2024-06-23,412
2024-06-24,380
2024-06-25,422
2024-06-26,500
2024-06-27,525
2024-06-28,471
2024-06-29,531
2024-06-30,517
2024-07-01,444
2024-07-02,444
2024-07-03,437
2024-07-04,469
2024-07-05,467
2024-07-06,556
2024-07-07,565
2024-07-08,439
2024-07-09,496
2024-07-10,479
2024-07-11,517
2024-07-12,481
2024-07-13,458
2024-07-14,483
2024-07-15,418
2024-07-16,172
2024-07-17,170
2024-07-18,209
2024-07-19,246
2024-07-20,363
2024-07-21,424
2024-07-22,381
2024-07-23,429
2024-07-24,434
2024-07-25,415
2024-07-26,425
2024-07-27,575
2024-07-28,574
2024-07-29,456
2024-07-30,447
2024-07-31,495
2024-08-01,540
2024-08-02,474
2024-08-03,506
2024-08-04,589
2024-08-05,508
2024-08-06,523
2024-08-07,485
2024-08-09,498
2024-08-10,480
2024-08-11,569
2024-08-12,455
2024-08-13,445
2024-08-14,494
2024-08-15,499
2024-08-16,451
2024-08-17,515
2024-08-18,576
2024-08-19,487
2024-08-20,481
2024-08-21,450
2024-08-22,494
2024-08-23,417
2024-08-24,569
2024-08-25,543
2024-08-26,444
2024-08-27,435
2024-08-28,436
2024-08-29,432
2024-08-30,419
2024-08-31,434
2024-09-01,551
2024-09-02,384
2024-09-03,363
2024-09-04,375
2024-09-05,417
2024-09-06,427
2024-09-07,440
2024-09-08,416
2024-09-09,365
2024-09-10,387
2024-09-11,420
2024-09-12,420
2024-09-13,459
2024-09-14,486
2024-09-15,527
2024-09-16,425
2024-09-17,416
2024-09-18,436
2024-09-19,467
2024-09-20,456
2024-09-21,492
2024-09-22,614
2024-09-23,511
2024-09-24,393
2024-09-25,436
2024-09-26,469
2024-09-27,461
2024-09-28,574
2024-09-29,588
2024-09-30,490
2024-10-01,508
2024-10-02,508
2024-10-03,533
2024-10-04,505
2024-10-05,397
2024-10-06,336
2024-10-07,329
2024-10-08,399
2024-10-09,530
2024-10-10,582
2024-10-11,515
2024-10-12,556
2024-10-13,531
2024-10-14,469
2024-10-15,457
2024-10-16,465
2024-10-17,469
2024-10-18,470
2024-10-19,538
2024-10-20,589
2024-10-21,453
2024-10-22,461
2024-10-23,461
2024-10-24,473
2024-10-25,437
2024-10-26,407
2024-10-27,551
2024-10-28,466
2024-10-29,454
2024-10-30,512
2024-10-31,521
2024-11-01,489
2024-11-02,534
2024-11-03,627
2024-11-04,472
2024-11-05,537
2024-11-06,559
2024-11-07,498
2024-11-08,428
2024-11-09,566
2024-11-10,553
2024-11-11,437
2024-11-12,471
2024-11-13,512
2024-11-14,481
2024-11-15,445
2024-11-16,561
2024-11-17,541
2024-11-18,407
2024-11-19,440
2024-11-20,427
2024-11-21,530
2024-11-22,513
2024-11-23,524
2024-11-24,556
2024-11-25,503
2024-11-26,517
2024-11-27,540
2024-11-28,533
2024-11-29,673
2024-11-30,887
2024-12-01,887
2024-12-02,766
2024-12-03,621
2024-12-04,542
2024-12-05,466
2024-12-06,429
2024-12-07,435
2024-12-08,429
2024-12-09,399
2024-12-10,375
2024-12-11,371
2024-12-12,389
2024-12-13,382
2024-12-14,414
2024-12-15,401
2024-12-16,317
2024-12-17,275
2024-12-18,270
2024-12-19,226
2024-12-20,250
2024-12-21,288
2024-12-22,301
2024-12-23,272
2024-12-24,307
2024-12-25,334
2024-12-26,403
2024-12-27,437
2024-12-28,530
2024-12-29,595
2024-12-30,433
2024-12-31,449
2025-01-01,499
2025-01-02,464
2025-01-03,484
2025-01-04,457
2025-01-05,519
2025-01-06,388
2025-01-07,416
2025-01-08,382
2025-01-09,379
2025-01-10,406
2025-01-11,388
