,Sales Rank
2022-12-14,1052
2022-12-15,1020
2022-12-16,1164
2022-12-17,1070
2022-12-18,1094
2022-12-19,954
2022-12-20,1005
2022-12-21,714
2022-12-22,759
2022-12-23,791
2022-12-24,818
2022-12-25,614
2022-12-26,613
2022-12-27,710
2022-12-28,693
2022-12-29,748
2022-12-30,736
2022-12-31,757
2023-01-01,805
2023-01-02,870
2023-01-03,847
2023-01-04,802
2023-01-05,788
2023-01-06,729
2023-01-07,716
2023-01-08,705
2023-01-09,710
2023-01-10,692
2023-01-11,670
2023-01-12,650
2023-01-13,467
2023-01-14,621
2023-01-15,516
2023-01-16,687
2023-01-17,613
2023-01-18,602
2023-01-19,416
2023-01-20,575
2023-01-21,442
2023-01-22,490
2023-01-23,556
2023-01-24,567
2023-01-25,596
2023-01-26,574
2023-01-27,691
2023-01-28,619
2023-01-29,619
2023-01-30,657
2023-01-31,674
2023-02-01,630
2023-02-02,690
2023-02-03,695
2023-02-04,704
2023-02-05,601
2023-02-06,682
2023-02-07,651
2023-02-08,620
2023-02-09,593
2023-02-10,659
2023-02-11,701
2023-02-12,552
2023-02-13,458
2023-02-14,480
2023-02-15,500
2023-02-16,539
2023-02-17,623
2023-02-18,623
2023-02-19,610
2023-02-20,597
2023-02-21,698
2023-02-22,668
2023-02-23,346
2023-02-24,257
2023-02-25,215
2023-02-26,319
2023-02-27,383
2023-02-28,445
2023-03-01,406
2023-03-02,464
2023-03-03,490
2023-03-04,506
2023-03-05,511
2023-03-06,538
2023-03-07,498
2023-03-08,530
2023-03-09,568
2023-03-10,568
2023-03-11,531
2023-03-12,444
2023-03-13,470
2023-03-14,434
2023-03-15,472
2023-03-16,578
2023-03-17,466
2023-03-18,434
2023-03-19,423
2023-03-20,451
2023-03-21,401
2023-03-22,500
2023-03-23,456
2023-03-24,516
2023-03-25,641
2023-03-26,447
2023-03-27,469
2023-03-28,462
2023-03-29,462
2023-03-30,434
2023-03-31,505
2023-04-01,471
2023-04-02,476
2023-04-03,495
2023-04-04,601
2023-04-05,426
2023-04-06,525
2023-04-07,478
2023-04-08,492
2023-04-09,430
2023-04-10,482
2023-04-11,419
2023-04-12,390
2023-04-13,335
2023-04-14,428
2023-04-15,448
2023-04-16,360
2023-04-17,384
2023-04-18,395
2023-04-19,446
2023-04-20,401
2023-04-21,398
2023-04-22,498
2023-04-23,506
2023-04-24,604
2023-04-25,525
2023-04-26,521
2023-04-27,469
2023-04-28,576
2023-04-29,526
2023-04-30,380
2023-05-01,483
2023-05-02,293
2023-05-03,290
2023-05-04,290
2023-05-05,412
2023-05-06,420
2023-05-07,391
2023-05-08,458
2023-05-09,480
2023-05-10,414
2023-05-11,461
2023-05-12,414
2023-05-13,424
2023-05-14,421
2023-05-15,443
2023-05-16,452
2023-05-17,384
2023-05-18,384
2023-05-19,410
2023-05-20,439
2023-05-21,399
2023-05-22,413
2023-05-23,399
2023-05-24,409
2023-05-25,398
2023-05-26,471
2023-05-27,500
2023-05-28,369
2023-05-30,396
2023-05-31,452
2023-06-01,420
2023-06-02,340
2023-06-03,422
2023-06-04,339
2023-06-05,373
2023-06-06,365
2023-06-07,371
2023-06-08,379
2023-06-09,382
2023-06-10,351
2023-06-11,340
2023-06-12,401
2023-06-13,393
2023-06-14,309
2023-06-15,303
2023-06-16,8118
2023-06-17,402
2023-06-18,381
2023-06-19,387
2023-06-20,445
2023-06-21,495
2023-06-22,451
2023-06-23,452
