,Sales Rank
2022-12-14,87
2022-12-15,88
2022-12-16,108
2022-12-17,95
2022-12-18,96
2022-12-19,90
2022-12-20,105
2022-12-21,98
2022-12-22,96
2022-12-23,91
2022-12-24,85
2022-12-25,65
2022-12-26,74
2022-12-27,75
2022-12-28,68
2022-12-29,83
2022-12-30,87
2022-12-31,68
2023-01-01,53
2023-01-02,60
2023-01-03,59
2023-01-04,59
2023-01-05,58
2023-01-06,59
2023-01-07,59
2023-01-08,62
2023-01-09,68
2023-01-10,71
2023-01-11,72
2023-01-12,66
2023-01-13,72
2023-01-14,59
2023-01-15,49
2023-01-16,62
2023-01-17,51
2023-01-18,55
2023-01-19,61
2023-01-20,71
2023-01-21,2658
2023-01-22,2407
2023-01-23,2200
2023-01-24,54
2023-01-25,55
2023-01-26,68
2023-01-27,72
2023-01-28,81
2023-01-29,67
2023-01-30,64
2023-01-31,2107
2023-02-01,2429
2023-02-02,66
2023-02-03,67
2023-02-04,65
2023-02-05,48
2023-02-06,2063
2023-02-07,62
2023-02-08,61
2023-02-09,2161
2023-02-10,2697
2023-02-11,3301
2023-02-12,2810
2023-02-13,1895
2023-02-14,2320
2023-02-15,2242
2023-02-16,2557
2023-02-17,3467
2023-02-18,2989
2023-02-19,2732
2023-02-20,3113
2023-02-21,3051
2023-02-22,2765
2023-02-23,2983
2023-02-24,3455
2023-02-25,3195
2023-02-26,3182
2023-02-27,3331
2023-02-28,3198
2023-03-01,2938
2023-03-02,3163
2023-03-03,2909
2023-03-04,2845
2023-03-05,2626
2023-03-06,2979
2023-03-07,2727
2023-03-08,2564
2023-03-09,2612
2023-03-10,2940
2023-03-11,3054
2023-03-12,2994
2023-03-13,2678
2023-03-14,3041
2023-03-15,2692
2023-03-16,2789
2023-03-17,3142
2023-03-18,3513
2023-03-19,2710
2023-03-20,2656
2023-03-21,2536
2023-03-22,2797
2023-03-23,3007
2023-03-24,3347
2023-03-25,2869
2023-03-26,2867
2023-03-27,3508
2023-03-28,2797
2023-03-29,63
2023-03-30,68
2023-03-31,77
2023-04-01,68
2023-04-02,52
2023-04-03,66
2023-04-04,81
2023-04-05,72
2023-04-06,74
2023-04-07,80
2023-04-08,78
2023-04-09,57
2023-04-10,61
2023-04-11,53
2023-04-12,58
2023-04-13,59
2023-04-14,61
2023-04-15,54
2023-04-16,40
2023-04-17,55
2023-04-18,49
2023-04-19,50
2023-04-20,55
2023-04-21,69
2023-04-22,64
2023-04-23,64
2023-04-24,65
2023-04-25,57
2023-04-26,61
2023-04-27,62
2023-04-28,78
2023-04-29,71
2023-04-30,56
2023-05-01,71
2023-05-02,52
2023-05-03,59
2023-05-04,67
2023-05-05,82
2023-05-06,82
2023-05-07,53
2023-05-08,78
2023-05-09,67
2023-05-10,67
2023-05-11,65
2023-05-12,82
2023-05-13,75
2023-05-14,54
2023-05-15,68
2023-05-16,75
2023-05-17,65
2023-05-18,62
2023-05-19,73
2023-05-20,82
2023-05-21,62
2023-05-22,56
2023-05-23,61
2023-05-24,60
2023-05-25,64
2023-05-26,81
2023-05-27,85
2023-05-28,73
2023-05-30,64
2023-05-31,63
2023-06-01,61
2023-06-02,67
2023-06-03,89
2023-06-04,67
2023-06-05,56
2023-06-06,58
2023-06-07,51
2023-06-08,59
2023-06-09,79
2023-06-10,76
2023-06-11,102
2023-06-12,101
2023-06-13,106
2023-06-14,112
2023-06-15,32
2023-06-16,59
2023-06-17,39
2023-06-18,40
2023-06-19,48
2023-06-20,51
2023-06-21,52
2023-06-22,56
2023-06-23,72
2023-06-24,82
2023-06-25,72
2023-06-26,66
2023-06-27,79
2023-06-28,85
2023-06-29,77
2023-06-30,76
2023-07-01,77
2023-07-02,50
2023-07-03,69
2023-07-04,78
2023-07-05,85
2023-07-06,79
2023-07-07,110
2023-07-08,92
2023-07-09,67
2023-07-10,77
2023-07-11,49
2023-07-12,52
2023-07-13,55
2023-07-14,79
2023-07-15,76
2023-07-16,70
2023-07-17,69
2023-07-18,60
2023-07-19,63
2023-07-20,71
2023-07-21,69
2023-07-22,67
2023-07-23,52
2023-07-24,56
2023-07-25,63
2023-07-26,67
2023-07-27,72
2023-07-28,82
2023-07-29,74
2023-07-30,62
2023-07-31,67
2023-08-01,71
2023-08-02,69
2023-08-03,78
2023-08-04,74
2023-08-05,78
2023-08-06,83
2023-08-07,63
2023-08-08,67
2023-08-09,80
2023-08-10,83
2023-08-11,99
2023-08-12,100
2023-08-13,70
2023-08-14,93
2023-08-15,79
2023-08-16,90
2023-08-17,77
2023-08-18,86
2023-08-19,101
2023-08-20,74
2023-08-21,73
2023-08-22,76
2023-08-23,85
2023-08-24,86
2023-08-25,97
2023-08-26,81
2023-08-27,74
2023-08-28,88
2023-08-29,82
2023-08-30,73
2023-08-31,57
2023-09-01,83
2023-09-02,78
2023-09-03,61
2023-09-04,74
2023-09-05,77
2023-09-06,73
2023-09-07,73
2023-09-08,95
2023-09-09,89
2023-09-10,60
2023-09-11,67
2023-09-12,65
2023-09-13,75
2023-09-14,66
2023-09-15,70
2023-09-16,71
2023-09-17,55
2023-09-18,73
2023-09-19,80
2023-09-20,80
2023-09-21,77
2023-09-22,89
2023-09-23,97
2023-09-24,68
2023-09-25,74
2023-09-26,80
2023-09-27,83
2023-09-28,88
2023-09-29,96
2023-09-30,97
2023-10-01,81
2023-10-02,80
2023-10-03,71
2023-10-04,77
2023-10-05,83
2023-10-06,83
2023-10-07,82
2023-10-08,71
2023-10-09,79
2023-10-10,43
2023-10-11,41
2023-10-12,56
2023-10-13,75
2023-10-14,110
2023-10-15,67
2023-10-16,96
2023-10-17,78
2023-10-18,75
2023-10-19,73
2023-10-20,85
2023-10-21,90
2023-10-22,58
2023-10-23,84
2023-10-24,68
2023-10-25,74
2023-10-26,79
2023-10-27,96
2023-10-28,100
2023-10-29,80
2023-10-30,81
2023-10-31,1856
2023-11-01,1998
2023-11-02,2188
2023-11-03,101
2023-11-04,93
2023-11-05,66
2023-11-06,77
2023-11-07,76
2023-11-08,89
2023-11-09,81
2023-11-10,100
2023-11-11,99
2023-11-12,77
2023-11-13,89
2023-11-14,81
2023-11-15,63
2023-11-16,66
2023-11-17,93
2023-11-18,111
2023-11-19,92
2023-11-20,83
2023-11-21,78
2023-11-22,83
2023-11-23,98
2023-11-24,90
2023-11-25,80
2023-11-26,75
2023-11-27,89
2023-11-28,108
2023-11-29,124
2023-11-30,120
2023-12-01,126
2023-12-02,134
2023-12-03,87
2023-12-04,114
2023-12-05,90
2023-12-06,94
2023-12-07,101
2023-12-08,126
2023-12-09,139
2023-12-10,106
2023-12-11,101
2023-12-12,109
2023-12-13,113
2023-12-14,99
2023-12-15,121
2023-12-16,166
2023-12-17,102
2023-12-18,129
2023-12-19,142
2023-12-20,148
2023-12-21,134
2023-12-22,186
2023-12-23,163
2023-12-24,78
2023-12-25,89
2023-12-26,72
2023-12-27,76
2023-12-28,81
2023-12-29,97
2023-12-30,100
2023-12-31,67
2024-01-01,88
2024-01-02,89
2024-01-03,78
2024-01-04,77
2024-01-05,85
2024-01-06,99
2024-01-07,77
2024-01-08,78
2024-01-09,89
2024-01-10,84
2024-01-11,85
2024-01-12,94
2024-01-13,81
2024-01-14,66
2024-01-15,70
2024-01-16,76
2024-01-17,87
2024-01-18,71
2024-01-19,73
2024-01-20,78
2024-01-21,64
2024-01-22,71
2024-01-23,72
2024-01-24,70
2024-01-25,78
2024-01-26,87
2024-01-27,95
2024-01-28,70
2024-01-29,80
2024-01-30,72
2024-01-31,65
2024-02-01,80
2024-02-02,159
2024-02-03,304
2024-02-04,776
2024-02-05,1136
2024-02-06,58
2024-02-07,74
2024-02-08,74
2024-02-09,84
2024-02-10,86
2024-02-11,66
2024-02-12,76
2024-02-13,68
2024-02-14,58
2024-02-15,61
2024-02-16,67
2024-02-17,67
2024-02-18,69
2024-02-19,74
2024-02-20,62
2024-02-21,72
2024-02-22,89
2024-02-23,98
2024-02-24,87
2024-02-25,70
2024-02-26,72
2024-02-27,69
2024-02-28,73
2024-02-29,69
2024-03-01,93
2024-03-02,81
2024-03-03,72
2024-03-04,82
2024-03-05,70
2024-03-06,73
2024-03-07,76
2024-03-08,84
2024-03-09,87
2024-03-10,62
2024-03-11,74
2024-03-12,63
2024-03-13,76
2024-03-14,78
2024-03-15,81
2024-03-16,69
2024-03-17,59
2024-03-18,63
2024-03-19,62
2024-03-20,64
2024-03-21,60
2024-03-22,84
2024-03-23,84
2024-03-24,63
2024-03-25,65
2024-03-26,72
2024-03-27,66
2024-03-28,58
2024-03-29,72
