,Sales Rank
2022-12-14,282
2022-12-15,262
2022-12-16,294
2022-12-17,300
2022-12-18,292
2022-12-19,265
2022-12-20,303
2022-12-21,304
2022-12-22,295
2022-12-23,296
2022-12-24,260
2022-12-25,280
2022-12-26,278
2022-12-27,206
2022-12-28,159
2022-12-29,185
2022-12-30,148
2022-12-31,136
2023-01-01,146
2023-01-02,152
2023-01-03,147
2023-01-04,154
2023-01-05,162
2023-01-06,170
2023-01-07,164
2023-01-08,173
2023-01-09,172
2023-01-10,177
2023-01-11,183
2023-01-12,171
2023-01-13,170
2023-01-14,175
2023-01-15,148
2023-01-16,186
2023-01-17,207
2023-01-18,234
2023-01-19,259
2023-01-20,218
2023-01-21,205
2023-01-22,153
2023-01-23,218
2023-01-24,194
2023-01-25,236
2023-01-26,200
2023-01-27,199
2023-01-28,200
2023-01-29,194
2023-01-30,233
2023-01-31,196
2023-02-01,227
2023-02-02,213
2023-02-03,212
2023-02-04,225
2023-02-05,153
2023-02-06,170
2023-02-07,218
2023-02-08,226
2023-02-09,256
2023-02-10,230
2023-02-11,257
2023-02-12,185
2023-02-13,232
2023-02-14,234
2023-02-15,236
2023-02-16,277
2023-02-17,202
2023-02-18,251
2023-02-19,172
2023-02-20,193
2023-02-21,168
2023-02-22,173
2023-02-23,175
2023-02-24,175
2023-02-25,157
2023-02-26,159
2023-02-27,178
2023-02-28,174
2023-03-01,193
2023-03-02,193
2023-03-03,248
2023-03-04,156
2023-03-05,156
2023-03-06,153
2023-03-07,175
2023-03-08,171
2023-03-09,164
2023-03-10,157
2023-03-11,126
2023-03-12,114
2023-03-13,142
2023-03-14,148
2023-03-15,152
2023-03-16,171
2023-03-17,176
2023-03-18,160
2023-03-19,123
2023-03-20,170
2023-03-21,162
2023-03-22,193
2023-03-23,241
2023-03-24,188
2023-03-25,166
2023-03-26,171
2023-03-27,176
2023-03-28,198
2023-03-29,179
2023-03-30,194
2023-03-31,223
2023-04-01,177
2023-04-02,146
2023-04-03,171
2023-04-04,173
2023-04-05,163
2023-04-06,177
2023-04-07,175
2023-04-08,137
2023-04-09,130
2023-04-10,141
2023-04-11,139
2023-04-12,136
2023-04-13,138
2023-04-14,145
2023-04-15,139
2023-04-16,132
2023-04-17,163
2023-04-18,171
2023-04-19,197
2023-04-20,231
2023-04-21,231
2023-04-22,164
2023-04-23,152
2023-04-24,210
2023-04-25,188
2023-04-26,181
2023-04-27,246
2023-04-28,242
2023-04-29,231
2023-04-30,168
2023-05-01,194
2023-05-02,233
2023-05-03,250
2023-05-04,248
2023-05-05,225
2023-05-06,263
2023-05-07,211
2023-05-08,250
2023-05-09,291
2023-05-10,312
2023-05-11,272
2023-05-12,290
2023-05-13,258
2023-05-14,242
2023-05-15,236
2023-05-16,257
2023-05-17,250
2023-05-18,283
2023-05-19,259
2023-05-20,280
2023-05-21,266
2023-05-22,241
2023-05-23,268
2023-05-24,260
2023-05-25,312
2023-05-26,5884
2023-05-27,12539
2023-05-28,15788
2023-05-31,25636
2023-06-01,7542
2023-06-02,4905
2023-06-03,7969
2023-06-04,16338
2023-06-05,23791
2023-06-06,27409
