,Sales Rank
2022-12-14,189
2022-12-15,196
2022-12-16,223
2022-12-17,200
2022-12-18,200
2022-12-19,201
2022-12-20,205
2022-12-21,219
2022-12-22,211
2022-12-23,211
2022-12-24,218
2022-12-25,227
2022-12-26,239
2022-12-27,261
2022-12-28,288
2022-12-29,271
2022-12-30,267
2022-12-31,272
2023-01-01,262
2023-01-02,249
2023-01-03,251
2023-01-04,231
2023-01-05,240
2023-01-06,232
2023-01-07,221
2023-01-08,217
2023-01-09,265
2023-01-10,226
2023-01-11,231
2023-01-12,215
2023-01-13,211
2023-01-14,183
2023-01-15,199
2023-01-16,230
2023-01-17,222
2023-01-18,214
2023-01-19,178
2023-01-20,168
2023-01-21,190
2023-01-22,158
2023-01-23,197
2023-01-24,187
2023-01-25,198
2023-01-26,195
2023-01-27,228
2023-01-28,191
2023-01-29,180
2023-01-30,187
2023-01-31,172
2023-02-01,178
2023-02-02,127
2023-02-03,88
2023-02-04,57
2023-02-05,83
2023-02-06,115
2023-02-07,136
2023-02-08,136
2023-02-09,157
2023-02-10,170
2023-02-11,154
2023-02-12,160
2023-02-13,153
2023-02-14,163
2023-02-15,161
2023-02-16,162
2023-02-17,158
2023-02-18,145
2023-02-19,149
2023-02-20,157
2023-02-21,162
2023-02-22,172
2023-02-23,169
2023-02-24,159
2023-02-25,156
2023-02-26,155
2023-02-27,171
2023-02-28,170
2023-03-01,159
2023-03-02,154
2023-03-03,149
2023-03-04,151
2023-03-05,147
2023-03-06,148
2023-03-07,152
2023-03-08,142
2023-03-09,145
2023-03-10,145
2023-03-11,136
2023-03-12,155
2023-03-13,149
2023-03-14,140
2023-03-15,142
2023-03-16,161
2023-03-17,152
2023-03-18,150
2023-03-19,130
2023-03-20,136
2023-03-21,136
2023-03-22,123
2023-03-23,134
2023-03-24,151
2023-03-25,132
2023-03-26,149
2023-03-27,169
2023-03-28,164
2023-03-29,156
2023-03-30,171
2023-03-31,169
2023-04-01,140
2023-04-02,154
2023-04-03,159
2023-04-04,148
2023-04-05,146
2023-04-06,154
2023-04-07,158
2023-04-08,144
2023-04-09,168
2023-04-10,168
2023-04-11,168
2023-04-12,162
2023-04-13,170
2023-04-14,176
2023-04-15,171
2023-04-16,171
2023-04-17,177
2023-04-18,172
2023-04-19,185
2023-04-20,197
2023-04-21,172
2023-04-22,174
2023-04-23,161
2023-04-24,146
2023-04-25,162
2023-04-26,160
2023-04-27,179
2023-04-28,178
2023-04-29,154
2023-04-30,178
2023-05-01,173
2023-05-02,175
2023-05-03,181
2023-05-04,200
2023-05-05,192
2023-05-06,193
2023-05-07,184
2023-05-08,170
2023-05-09,182
2023-05-10,185
2023-05-11,181
2023-05-12,187
2023-05-13,192
2023-05-14,197
2023-05-15,200
2023-05-16,171
2023-05-17,182
2023-05-18,203
2023-05-19,173
2023-05-20,168
2023-05-21,152
2023-05-22,176
2023-05-23,157
2023-05-24,175
2023-05-25,169
2023-05-26,189
2023-05-27,188
2023-05-28,192
2023-05-30,180
2023-05-31,190
2023-06-01,170
2023-06-02,181
2023-06-03,201
