,Sales Rank
2022-12-14,122
2022-12-15,109
2022-12-16,112
2022-12-17,111
2022-12-18,106
2022-12-19,114
2022-12-20,124
2022-12-21,131
2022-12-22,147
2022-12-23,163
2022-12-24,175
2022-12-25,154
2022-12-26,150
2022-12-27,150
2022-12-28,150
2022-12-29,159
2022-12-30,144
2022-12-31,135
2023-01-01,146
2023-01-02,134
2023-01-03,141
2023-01-04,144
2023-01-05,154
2023-01-06,160
2023-01-07,151
2023-01-08,157
2023-01-09,162
2023-01-10,164
2023-01-11,167
2023-01-12,165
2023-01-13,170
2023-01-14,143
2023-01-15,158
2023-01-16,181
2023-01-17,200
2023-01-18,219
2023-01-19,228
2023-01-20,186
2023-01-21,165
2023-01-22,175
2023-01-23,200
2023-01-24,183
2023-01-25,199
2023-01-26,181
2023-01-27,181
2023-01-28,148
2023-01-29,134
2023-01-30,179
2023-01-31,189
2023-02-01,198
2023-02-02,194
2023-02-03,178
2023-02-04,150
2023-02-05,145
2023-02-06,163
2023-02-07,171
2023-02-08,152
2023-02-09,161
2023-02-10,158
2023-02-11,140
2023-02-12,150
2023-02-13,179
2023-02-14,204
2023-02-15,224
2023-02-16,200
2023-02-17,174
2023-02-18,153
2023-02-19,145
2023-02-20,162
2023-02-21,206
2023-02-22,239
2023-02-23,181
2023-02-24,161
2023-02-25,145
2023-02-26,146
2023-02-27,168
2023-02-28,156
2023-03-01,151
2023-03-02,159
2023-03-03,146
2023-03-04,147
2023-03-05,127
2023-03-06,124
2023-03-07,166
2023-03-08,159
2023-03-09,148
2023-03-10,134
2023-03-11,148
2023-03-12,132
2023-03-13,154
2023-03-14,145
2023-03-15,138
2023-03-16,121
2023-03-17,118
2023-03-18,119
2023-03-19,105
2023-03-20,127
2023-03-21,152
2023-03-22,141
2023-03-23,136
2023-03-24,130
2023-03-25,115
2023-03-26,145
2023-03-27,160
2023-03-28,147
2023-03-29,148
2023-03-30,153
2023-03-31,151
2023-04-01,128
2023-04-02,134
2023-04-03,157
2023-04-04,177
2023-04-05,176
2023-04-06,173
2023-04-07,177
2023-04-08,143
2023-04-09,135
2023-04-10,174
2023-04-11,162
2023-04-12,167
