,Sales Rank
2022-12-14,814
2022-12-15,904
2022-12-16,949
2022-12-17,933
2022-12-18,899
2022-12-19,896
2022-12-20,484
2022-12-21,525
2022-12-22,580
2022-12-23,501
2022-12-24,527
2022-12-25,451
2022-12-26,428
2022-12-27,406
2022-12-28,449
2022-12-29,461
2022-12-30,484
2022-12-31,439
2023-01-01,482
2023-01-02,486
2023-01-03,571
2023-01-04,549
2023-01-05,582
2023-01-06,583
2023-01-07,606
2023-01-08,616
2023-01-09,663
2023-01-10,675
2023-01-11,681
2023-01-12,724
2023-01-13,754
2023-01-14,593
2023-01-15,602
2023-01-16,558
2023-01-17,802
2023-01-18,962
2023-01-19,878
2023-01-20,948
2023-01-21,790
2023-01-22,716
2023-01-23,512
2023-01-24,559
2023-01-25,776
2023-01-26,684
2023-01-27,658
2023-01-28,616
2023-01-29,618
2023-01-30,609
2023-01-31,716
2023-02-01,755
2023-02-02,648
2023-02-03,601
2023-02-04,688
2023-02-05,691
2023-02-06,289
2023-02-07,517
2023-02-08,681
2023-02-09,698
2023-02-10,695
2023-02-11,754
2023-02-12,724
2023-02-13,725
2023-02-14,761
2023-02-15,730
2023-02-16,484
2023-02-17,548
2023-02-18,535
2023-02-19,593
2023-02-20,571
2023-02-21,570
2023-02-22,521
2023-02-23,544
2023-02-24,311
2023-02-25,340
2023-02-26,362
2023-02-27,322
2023-02-28,322
2023-03-01,323
2023-03-02,293
2023-03-03,316
2023-03-04,313
2023-03-05,334
2023-03-06,297
2023-03-07,341
2023-03-08,329
2023-03-09,309
2023-03-10,328
2023-03-11,294
2023-03-12,273
2023-03-13,282
2023-03-14,257
2023-03-15,274
2023-03-16,329
2023-03-17,348
2023-03-18,344
2023-03-19,381
2023-03-20,317
2023-03-21,334
2023-03-22,376
2023-03-23,301
2023-03-24,301
2023-03-25,317
2023-03-26,300
2023-03-27,304
2023-03-28,309
2023-03-29,350
2023-03-30,308
2023-03-31,316
2023-04-01,297
2023-04-02,315
2023-04-03,322
2023-04-04,411
2023-04-05,447
2023-04-06,337
2023-04-07,364
2023-04-08,367
2023-04-09,361
2023-04-10,352
2023-04-11,378
2023-04-12,338
2023-04-13,329
2023-04-14,328
2023-04-15,318
2023-04-16,341
2023-04-17,294
2023-04-18,317
2023-04-19,278
2023-04-20,298
2023-04-21,305
2023-04-22,272
2023-04-23,299
2023-04-24,322
2023-04-25,319
2023-04-26,311
2023-04-27,326
2023-04-28,305
2023-04-29,280
2023-04-30,294
2023-05-01,274
2023-05-02,334
2023-05-03,330
2023-05-04,267
2023-05-05,250
2023-05-06,265
2023-05-07,265
2023-05-08,268
2023-05-09,287
2023-05-10,270
2023-05-11,281
2023-05-12,274
2023-05-13,276
2023-05-14,314
2023-05-15,263
2023-05-16,301
2023-05-17,307
2023-05-18,250
2023-05-19,257
2023-05-20,269
2023-05-21,254
2023-05-22,275
2023-05-23,276
2023-05-24,338
2023-05-25,278
2023-05-26,276
2023-05-27,311
2023-05-28,266
2023-05-30,323
2023-05-31,362
2023-06-01,387
2023-06-02,391
2023-06-03,204
2023-06-04,223
2023-06-05,235
2023-06-06,230
2023-06-07,250
2023-06-08,247
2023-06-09,300
2023-06-10,280
2023-06-11,262
2023-06-12,247
2023-06-13,255
2023-06-14,266
2023-06-15,235
2023-06-16,233
2023-06-17,253
2023-06-18,228
2023-06-19,229
2023-06-20,237
2023-06-21,240
2023-06-22,247
2023-06-23,255
2023-06-24,252
2023-06-25,270
2023-06-26,291
2023-06-27,251
2023-06-28,266
2023-06-29,283
2023-06-30,235
2023-07-01,258
2023-07-02,287
2023-07-03,232
2023-07-04,268
2023-07-05,254
2023-07-06,256
2023-07-07,254
2023-07-08,255
2023-07-09,268
2023-07-10,272
2023-07-11,75
2023-07-12,55
2023-07-13,69
2023-07-14,112
2023-07-15,149
2023-07-16,192
2023-07-17,218
2023-07-18,241
2023-07-19,254
2023-07-20,217
2023-07-21,218
2023-07-22,221
2023-07-23,222
2023-07-24,215
2023-07-25,223
2023-07-26,224
2023-07-27,223
2023-07-28,202
2023-07-29,217
2023-07-30,197
2023-07-31,193
2023-08-01,206
2023-08-02,214
2023-08-03,190
2023-08-04,184
2023-08-05,177
2023-08-07,184
2023-08-08,177
2023-08-09,179
2023-08-10,171
2023-08-11,179
2023-08-12,176
2023-08-13,190
2023-08-14,188
2023-08-15,205
2023-08-16,234
2023-08-17,232
2023-08-18,189
2023-08-19,194
2023-08-20,186
2023-08-21,181
2023-08-22,168
2023-08-23,161
2023-08-24,150
2023-08-25,152
2023-08-26,149
2023-08-27,140
2023-08-28,140
2023-08-29,146
2023-08-30,154
2023-08-31,140
2023-09-01,154
2023-09-02,160
2023-09-03,181
2023-09-04,191
2023-09-05,183
2023-09-06,184
2023-09-07,174
2023-09-08,159
2023-09-09,163
2023-09-10,169
2023-09-11,168
2023-09-12,179
2023-09-13,181
2023-09-14,181
2023-09-15,153
2023-09-16,160
2023-09-17,165
2023-09-18,165
2023-09-19,173
2023-09-20,174
2023-09-21,165
2023-09-22,129
2023-09-23,132
2023-09-24,15
2023-09-25,35
2023-09-26,64
2023-09-27,99
2023-09-28,114
2023-09-29,114
2023-09-30,122
2023-10-01,120
2023-10-02,131
2023-10-03,138
2023-10-04,143
2023-10-05,143
2023-10-06,148
2023-10-07,143
2023-10-08,140
2023-10-09,153
2023-10-10,152
2023-10-11,220
2023-10-12,189
2023-10-13,158
2023-10-14,139
2023-10-15,145
2023-10-16,170
2023-10-17,161
2023-10-18,182
2023-10-19,138
2023-10-20,125
2023-10-21,122
2023-10-22,131
2023-10-23,127
2023-10-24,126
2023-10-25,158
2023-10-26,113
2023-10-27,124
2023-10-28,129
2023-10-29,134
2023-10-30,141
2023-10-31,156
2023-11-01,151
2023-11-02,128
2023-11-03,119
2023-11-04,126
2023-11-05,127
2023-11-06,133
2023-11-07,127
2023-11-08,119
2023-11-09,122
2023-11-10,87
2023-11-11,98
2023-11-12,102
2023-11-13,104
2023-11-14,28
2023-11-15,88
2023-11-16,128
2023-11-17,159
2023-11-18,125
2023-11-19,142
2023-11-20,196
2023-11-21,208
2023-11-22,222
2023-11-23,180
2023-11-24,210
2023-11-25,333
2023-11-26,322
2023-11-27,335
2023-11-28,310
2023-11-29,263
2023-11-30,7183
2023-12-01,7465
2023-12-02,11935
2023-12-03,14537
2023-12-04,11695
2023-12-05,11234
2023-12-06,10581
2023-12-07,13337
2023-12-08,13879
2023-12-09,19780
2023-12-10,22142
2023-12-11,15730
2023-12-12,18250
2023-12-13,7592
2023-12-14,7583
2023-12-15,6927
2023-12-16,7576
2023-12-17,7709
2023-12-18,7792
2023-12-19,7975
2023-12-20,6605
2023-12-21,891
2023-12-22,835
2023-12-23,946
2023-12-24,1074
2023-12-25,1140
2023-12-26,1727
2023-12-27,1790
2023-12-28,868
2023-12-29,949
2023-12-30,953
2023-12-31,954
2024-01-01,928
2024-01-02,852
2024-01-03,867
2024-01-04,969
2024-01-05,1025
2024-01-06,801
2024-01-07,801
2024-01-08,706
2024-01-09,871
2024-01-10,137
2024-01-11,491
2024-01-12,533
2024-01-13,560
2024-01-14,578
2024-01-15,555
2024-01-16,641
2024-01-17,591
2024-01-18,489
2024-01-19,487
2024-01-20,547
2024-01-21,482
2024-01-22,437
2024-01-23,481
2024-01-24,501
2024-01-25,418
2024-01-26,519
2024-01-27,507
2024-01-28,520
2024-01-29,427
2024-01-30,538
2024-01-31,531
2024-02-01,452
2024-02-02,477
2024-02-03,498
2024-02-04,486
2024-02-05,430
2024-02-06,449
2024-02-07,606
2024-02-08,468
2024-02-09,493
2024-02-10,520
2024-02-11,522
2024-02-12,446
2024-02-13,456
2024-02-14,426
2024-02-15,428
2024-02-16,444
2024-02-17,477
2024-02-18,485
2024-02-19,418
2024-02-20,418
2024-02-21,411
2024-02-22,395
2024-02-23,431
2024-02-24,454
2024-02-25,482
2024-02-26,434
2024-02-27,462
2024-02-28,455
2024-02-29,436
2024-03-01,431
2024-03-02,476
2024-03-03,480
2024-03-04,456
2024-03-05,444
2024-03-06,466
2024-03-07,449
2024-03-08,455
2024-03-09,483
2024-03-10,514
2024-03-11,445
2024-03-12,421
2024-03-13,459
2024-03-14,440
2024-03-15,437
2024-03-16,470
2024-03-17,481
2024-03-18,425
2024-03-19,409
2024-03-20,430
2024-03-21,382
2024-03-22,398
2024-03-23,425
2024-03-24,455
2024-03-25,404
2024-03-26,409
2024-03-27,433
2024-03-28,445
2024-03-29,445
2024-03-30,450
2024-03-31,470
2024-04-01,446
2024-04-02,500
2024-04-03,492
2024-04-04,478
2024-04-05,481
2024-04-06,489
2024-04-07,501
2024-04-08,515
2024-04-09,408
2024-04-10,351
2024-04-11,354
2024-04-12,374
2024-04-13,442
2024-04-14,474
2024-04-15,386
2024-04-16,436
2024-04-17,411
2024-04-18,413
2024-04-19,363
2024-04-20,395
2024-04-21,398
2024-04-22,373
2024-04-23,366
2024-04-24,350
2024-04-25,355
2024-04-26,330
2024-04-27,332
2024-04-28,344
2024-04-29,323
2024-04-30,265
2024-05-01,242
2024-05-02,240
2024-05-03,251
2024-05-04,283
2024-05-05,288
2024-05-06,297
2024-05-07,345
2024-05-08,339
2024-05-09,322
2024-05-10,288
2024-05-11,249
2024-05-12,249
2024-05-13,228
2024-05-14,229
2024-05-15,242
2024-05-16,264
2024-05-17,242
2024-05-18,232
2024-05-19,262
2024-05-20,266
2024-05-21,257
2024-05-22,273
2024-05-23,259
2024-05-24,296
2024-05-25,285
2024-05-26,304
2024-05-27,278
2024-05-28,254
2024-05-29,269
2024-05-30,288
2024-05-31,259
2024-06-01,269
2024-06-02,284
2024-06-03,256
2024-06-04,229
2024-06-05,204
2024-06-06,181
2024-06-07,178
2024-06-08,159
2024-06-09,182
2024-06-10,190
2024-06-11,206
2024-06-12,186
2024-06-13,202
2024-06-14,198
2024-06-15,200
2024-06-16,200
2024-06-17,212
2024-06-18,210
2024-06-19,204
2024-06-20,203
2024-06-21,189
2024-06-22,196
2024-06-23,202
2024-06-24,209
2024-06-25,206
2024-06-26,196
2024-06-27,181
2024-06-28,188
2024-06-29,175
2024-06-30,180
2024-07-01,175
2024-07-02,167
2024-07-03,165
2024-07-04,153
2024-07-05,159
2024-07-06,167
2024-07-07,189
2024-07-08,177
2024-07-09,172
2024-07-10,186
2024-07-11,190
2024-07-12,167
2024-07-13,167
2024-07-14,178
2024-07-15,199
2024-07-16,376
2024-07-17,402
2024-07-18,335
2024-07-19,263
2024-07-20,240
2024-07-21,232
2024-07-22,219
2024-07-23,234
2024-07-24,237
2024-07-25,248
2024-07-26,256
2024-07-27,262
2024-07-28,282
2024-07-29,281
2024-07-30,253
2024-07-31,223
2024-08-01,204
2024-08-02,212
2024-08-03,246
2024-08-04,246
2024-08-05,231
2024-08-06,227
2024-08-07,223
2024-08-08,229
2024-08-10,282
2024-08-11,288
2024-08-12,293
2024-08-13,295
2024-08-14,300
2024-08-15,296
2024-08-16,293
2024-08-17,283
2024-08-18,310
2024-08-19,273
2024-08-20,275
2024-08-21,282
2024-08-22,297
2024-08-23,302
2024-08-24,541
2024-08-25,797
2024-08-26,821
2024-08-27,829
2024-08-28,810
2024-08-29,806
2024-08-30,869
2024-08-31,1007
2024-09-01,964
2024-09-02,941
2024-09-03,900
2024-09-04,893
2024-09-05,847
2024-09-06,819
2024-09-07,935
2024-09-08,931
2024-09-09,1052
2024-09-10,937
2024-09-11,944
2024-09-12,151
2024-09-13,283
2024-09-14,305
2024-09-15,338
2024-09-16,281
2024-09-17,297
2024-09-18,288
2024-09-19,286
2024-09-20,300
2024-09-21,322
2024-09-22,303
2024-09-23,273
2024-09-24,276
2024-09-25,295
2024-09-26,302
2024-09-27,276
2024-09-28,319
2024-09-29,311
2024-09-30,313
2024-10-01,305
2024-10-02,276
2024-10-03,272
2024-10-04,274
2024-10-05,293
2024-10-06,294
2024-10-07,291
2024-10-08,334
2024-10-09,424
2024-10-10,410
2024-10-11,359
2024-10-12,319
2024-10-13,308
2024-10-14,240
2024-10-15,279
2024-10-16,258
2024-10-17,260
2024-10-18,256
2024-10-19,267
2024-10-20,292
2024-10-21,267
2024-10-22,265
2024-10-23,284
2024-10-24,285
2024-10-25,274
2024-10-26,298
2024-10-27,386
2024-10-28,363
2024-10-29,451
2024-10-30,475
2024-10-31,443
2024-11-01,372
2024-11-02,360
2024-11-03,424
2024-11-04,359
2024-11-05,464
2024-11-06,470
2024-11-07,524
2024-11-08,518
2024-11-09,596
2024-11-10,465
2024-11-11,401
2024-11-12,351
2024-11-13,312
2024-11-14,310
2024-11-15,310
2024-11-16,338
2024-11-17,357
2024-11-18,302
2024-11-19,321
2024-11-20,321
2024-11-21,338
2024-11-22,373
2024-11-23,393
2024-11-24,420
2024-11-25,364
2024-11-26,384
2024-11-27,374
2024-11-28,603
2024-11-29,757
2024-11-30,903
2024-12-01,867
2024-12-02,870
2024-12-03,753
2024-12-04,584
2024-12-05,552
2024-12-06,505
2024-12-07,541
2024-12-08,478
2024-12-09,466
2024-12-10,451
2024-12-11,467
2024-12-12,298
2024-12-13,286
2024-12-14,268
2024-12-15,228
2024-12-16,223
2024-12-17,239
2024-12-18,255
2024-12-19,242
2024-12-20,281
2024-12-21,283
2024-12-22,256
2024-12-23,302
2024-12-24,356
2024-12-25,373
2024-12-26,422
2024-12-27,457
2024-12-28,480
2024-12-29,594
2024-12-30,572
2024-12-31,683
2025-01-01,759
2025-01-02,810
2025-01-03,766
2025-01-04,833
2025-01-05,785
2025-01-06,774
2025-01-07,658
2025-01-08,605
2025-01-09,611
2025-01-10,553
2025-01-11,528
