,Sales Rank
2022-12-14,398
2022-12-15,358
2022-12-16,387
2022-12-17,371
2022-12-18,404
2022-12-19,387
2022-12-20,390
2022-12-21,365
2022-12-22,327
2022-12-23,317
2022-12-24,330
2022-12-25,310
2022-12-26,264
2022-12-27,273
2022-12-28,273
2022-12-29,283
2022-12-30,287
2022-12-31,283
2023-01-01,268
2023-01-02,302
2023-01-03,304
2023-01-04,266
2023-01-05,302
2023-01-06,291
2023-01-07,282
2023-01-08,283
2023-01-09,290
2023-01-10,291
2023-01-11,293
2023-01-12,295
2023-01-13,274
2023-01-14,304
2023-01-15,264
2023-01-16,294
2023-01-17,301
2023-01-18,293
2023-01-19,296
2023-01-20,311
2023-01-21,306
2023-01-22,283
2023-01-23,342
2023-01-24,284
2023-01-25,281
2023-01-26,285
2023-01-27,309
2023-01-28,305
2023-01-29,281
2023-01-30,324
2023-01-31,286
2023-02-01,268
2023-02-02,327
2023-02-03,324
2023-02-04,303
2023-02-05,306
2023-02-06,322
2023-02-07,323
2023-02-08,321
2023-02-09,342
2023-02-10,341
2023-02-11,327
2023-02-12,326
2023-02-13,304
2023-02-14,314
2023-02-15,312
2023-02-16,329
2023-02-17,332
2023-02-18,301
2023-02-19,298
2023-02-20,337
2023-02-21,350
2023-02-22,349
2023-02-23,326
2023-02-24,283
2023-02-25,319
2023-02-26,273
2023-02-27,314
2023-02-28,323
2023-03-01,292
2023-03-02,307
2023-03-03,350
2023-03-04,306
2023-03-05,284
2023-03-06,296
2023-03-07,306
2023-03-08,299
2023-03-09,324
2023-03-10,309
2023-03-11,296
2023-03-12,340
2023-03-13,313
2023-03-14,282
2023-03-15,268
2023-03-16,277
2023-03-17,290
2023-03-18,282
2023-03-19,267
2023-03-20,271
2023-03-21,259
2023-03-22,246
2023-03-23,309
2023-03-24,282
2023-03-25,279
2023-03-26,262
2023-03-27,287
2023-03-28,269
2023-03-29,239
2023-03-30,244
2023-03-31,268
2023-04-01,247
2023-04-02,241
2023-04-03,247
2023-04-04,249
2023-04-05,232
2023-04-06,229
2023-04-07,253
2023-04-08,246
2023-04-09,219
2023-04-10,237
2023-04-11,249
2023-04-12,239
2023-04-13,233
2023-04-14,268
2023-04-15,232
2023-04-16,228
2023-04-17,238
2023-04-18,240
2023-04-19,251
2023-04-20,264
2023-04-21,263
2023-04-22,256
2023-04-23,260
2023-04-24,305
2023-04-25,263
2023-04-26,279
2023-04-27,308
2023-04-28,275
2023-04-29,303
2023-04-30,283
2023-05-01,289
2023-05-02,336
2023-05-03,362
2023-05-04,349
2023-05-05,336
2023-05-06,317
2023-05-07,296
2023-05-08,333
2023-05-09,312
2023-05-10,297
2023-05-11,289
2023-05-12,323
2023-05-13,274
2023-05-14,247
2023-05-15,273
2023-05-16,266
2023-05-17,274
2023-05-18,257
2023-05-19,290
2023-05-20,285
2023-05-21,283
2023-05-22,282
2023-05-23,303
2023-05-24,254
2023-05-25,258
2023-05-26,294
2023-05-27,289
2023-05-28,265
2023-05-30,255
2023-05-31,265
2023-06-01,265
2023-06-02,264
2023-06-03,289
2023-06-04,250
2023-06-05,251
2023-06-06,255
2023-06-07,249
2023-06-08,254
2023-06-09,309
2023-06-10,288
2023-06-11,270
2023-06-12,269
2023-06-13,240
2023-06-14,259
2023-06-15,250
2023-06-16,9777
2023-06-17,244
2023-06-18,233
2023-06-19,301
2023-06-20,254
2023-06-21,255
2023-06-22,273
2023-06-23,266
2023-06-24,298
2023-06-25,276
2023-06-26,282
2023-06-27,286
2023-06-28,311
2023-06-29,271
2023-06-30,306
2023-07-01,288
2023-07-02,256
2023-07-03,284
2023-07-04,272
2023-07-05,301
2023-07-06,271
2023-07-07,298
2023-07-08,268
2023-07-09,248
2023-07-10,266
2023-07-11,501
2023-07-12,683
2023-07-13,522
2023-07-14,425
2023-07-15,324
2023-07-16,305
2023-07-17,267
2023-07-18,284
2023-07-19,277
2023-07-20,281
2023-07-21,301
2023-07-22,293
2023-07-23,270
2023-07-24,256
2023-07-25,291
2023-07-26,291
2023-07-27,291
2023-07-28,308
2023-07-29,299
2023-07-30,271
2023-07-31,272
2023-08-01,280
2023-08-02,304
2023-08-04,386
2023-08-05,394
2023-08-06,312
2023-08-07,316
2023-08-08,317
2023-08-09,304
2023-08-10,283
2023-08-11,292
2023-08-12,289
2023-08-13,302
2023-08-14,329
2023-08-15,298
2023-08-16,317
2023-08-17,274
2023-08-18,313
2023-08-19,289
2023-08-20,275
2023-08-21,283
2023-08-22,275
2023-08-23,288
2023-08-24,276
2023-08-25,316
2023-08-26,305
2023-08-27,293
2023-08-28,312
2023-08-29,323
2023-08-30,299
2023-08-31,337
2023-09-01,326
2023-09-02,344
2023-09-03,327
2023-09-04,375
2023-09-05,362
2023-09-06,360
2023-09-07,357
2023-09-08,376
2023-09-09,399
2023-09-10,336
2023-09-11,383
2023-09-12,339
2023-09-13,371
2023-09-14,348
2023-09-15,381
2023-09-16,366
2023-09-17,9789
2023-09-18,11179
2023-09-19,364
2023-09-20,371
2023-09-21,363
