,Sales Rank
2022-12-14,213
2022-12-15,213
2022-12-16,208
2022-12-17,205
2022-12-18,234
2022-12-19,231
2022-12-20,220
2022-12-21,215
2022-12-22,180
2022-12-23,156
2022-12-24,165
2022-12-25,132
2022-12-26,119
2022-12-27,106
2022-12-28,117
2022-12-29,121
2022-12-30,134
2022-12-31,157
2023-01-01,155
2023-01-02,141
2023-01-03,142
2023-01-04,141
2023-01-05,146
2023-01-06,135
2023-01-07,138
2023-01-08,134
2023-01-09,139
2023-01-10,144
2023-01-11,149
2023-01-12,151
2023-01-13,131
2023-01-14,249
2023-01-15,257
2023-01-16,221
2023-01-17,277
2023-01-18,236
2023-01-19,232
2023-01-20,276
2023-01-21,354
2023-01-22,336
2023-01-23,251
2023-01-24,180
2023-01-25,148
2023-01-26,156
2023-01-27,156
2023-01-28,128
2023-01-29,155
2023-01-30,184
2023-01-31,239
2023-02-01,219
2023-02-02,274
2023-02-03,228
2023-02-04,463
2023-02-05,260
2023-02-06,345
2023-02-07,419
2023-02-08,407
2023-02-09,430
2023-02-10,418
2023-02-11,241
2023-02-12,221
2023-02-13,182
2023-02-14,133
2023-02-15,111
2023-02-16,96
2023-02-17,90
2023-02-18,118
2023-02-19,153
2023-02-20,130
2023-02-21,121
2023-02-22,100
2023-02-23,109
2023-02-24,107
2023-02-25,147
2023-02-26,152
2023-02-27,134
2023-02-28,132
2023-03-01,134
2023-03-02,129
2023-03-03,134
2023-03-04,132
2023-03-05,163
2023-03-06,157
2023-03-07,136
2023-03-08,135
2023-03-09,158
2023-03-10,147
2023-03-11,269
2023-03-12,306
2023-03-13,246
2023-03-14,259
2023-03-15,259
2023-03-16,173
2023-03-17,150
2023-03-18,145
2023-03-19,248
2023-03-20,221
2023-03-21,228
2023-03-22,280
2023-03-23,352
2023-03-24,376
2023-03-25,392
2023-03-26,450
2023-03-27,131
2023-03-28,219
2023-03-29,246
2023-03-30,111
2023-03-31,93
2023-04-01,113
2023-04-02,107
2023-04-03,103
2023-04-04,180
2023-04-05,252
2023-04-06,212
2023-04-07,161
2023-04-08,167
2023-04-09,200
2023-04-10,128
2023-04-11,148
2023-04-12,155
2023-04-13,143
2023-04-14,131
2023-04-15,237
2023-04-16,344
2023-04-17,253
2023-04-18,298
2023-04-19,199
2023-04-20,196
2023-04-21,187
2023-04-22,184
2023-04-23,183
2023-04-24,142
2023-04-25,140
2023-04-26,139
2023-04-27,138
2023-04-28,128
2023-04-29,160
2023-04-30,187
2023-05-01,326
2023-05-02,390
2023-05-03,431
2023-05-04,404
2023-05-05,291
2023-05-06,481
2023-05-07,745
2023-05-08,400
2023-05-09,301
2023-05-10,276
2023-05-11,380
2023-05-12,186
2023-05-13,186
2023-05-14,230
2023-05-15,176
2023-05-16,174
2023-05-17,164
2023-05-18,163
2023-05-19,141
2023-05-20,180
2023-05-21,201
2023-05-22,151
2023-05-23,128
2023-05-24,124
2023-05-25,130
2023-05-26,151
2023-05-27,177
2023-05-28,173
2023-05-30,173
2023-05-31,168
2023-06-01,166
2023-06-02,189
2023-06-03,203
2023-06-04,178
2023-06-05,183
2023-06-06,188
2023-06-07,160
2023-06-08,180
2023-06-09,178
2023-06-10,183
2023-06-11,177
2023-06-12,184
2023-06-13,199
2023-06-14,159
2023-06-15,169
2023-06-16,177
2023-06-17,230
2023-06-18,235
2023-06-19,275
2023-06-20,227
2023-06-21,204
2023-06-22,182
2023-06-23,48
2023-06-24,54
2023-06-25,49
2023-06-26,52
2023-06-27,71
2023-06-28,52
2023-06-29,57
2023-06-30,48
2023-07-01,49
2023-07-02,48
2023-07-03,60
2023-07-04,68
2023-07-05,50
2023-07-06,47
2023-07-07,52
2023-07-08,54
2023-07-09,58
2023-07-10,63
2023-07-11,139
2023-07-12,163
2023-07-13,131
2023-07-14,93
2023-07-15,68
2023-07-16,60
2023-07-17,69
2023-07-18,70
2023-07-19,46
2023-07-20,49
2023-07-21,50
2023-07-22,49
2023-07-23,50
2023-07-24,62
2023-07-25,64
2023-07-26,51
2023-07-27,48
2023-07-28,45
2023-07-29,46
2023-07-30,45
2023-07-31,51
2023-08-01,56
2023-08-02,54
2023-08-03,46
2023-08-04,46
2023-08-05,48
2023-08-06,50
2023-08-07,49
2023-08-08,59
2023-08-09,43
2023-08-10,50
2023-08-11,56
2023-08-12,50
2023-08-13,58
2023-08-14,70
2023-08-15,68
2023-08-16,45
2023-08-17,56
2023-08-18,55
2023-08-19,46
2023-08-20,50
2023-08-21,64
2023-08-22,65
2023-08-23,55
2023-08-24,168
2023-08-25,39
2023-08-26,42
2023-08-27,36
2023-08-28,41
2023-08-29,44
2023-08-30,38
2023-08-31,180
2023-09-01,195
2023-09-02,198
2023-09-03,195
2023-09-04,225
2023-09-05,249
2023-09-06,194
2023-09-07,201
2023-09-08,205
2023-09-09,217
2023-09-10,192
2023-09-11,251
2023-09-12,229
2023-09-13,182
2023-09-14,205
2023-09-15,210
2023-09-16,202
2023-09-17,207
2023-09-18,253
2023-09-19,241
2023-09-20,206
2023-09-21,225
2023-09-22,218
2023-09-23,222
2023-09-24,217
2023-09-25,228
2023-09-26,227
2023-09-27,183
2023-09-28,192
2023-09-29,185
2023-09-30,164
2023-10-01,151
2023-10-02,208
2023-10-03,205
2023-10-04,158
2023-10-05,161
2023-10-06,169
2023-10-07,158
2023-10-08,171
2023-10-09,220
2023-10-10,164
2023-10-11,143
2023-10-12,206
2023-10-13,536
2023-10-14,962
2023-10-15,1191
2023-10-16,58
2023-10-17,109
2023-10-18,190
2023-10-19,234
2023-10-20,282
2023-10-21,296
2023-10-22,324
2023-10-23,279
2023-10-24,246
2023-10-25,187
2023-10-26,241
2023-10-27,695
2023-10-28,1205
2023-10-29,1979
2023-10-30,2615
2023-10-31,2947
2023-11-01,3220
2023-11-02,3804
2023-11-03,3838
2023-11-04,4215
2023-11-05,5126
2023-11-06,4771
2023-11-07,4862
2023-11-08,5391
2023-11-09,5761
2023-11-10,5259
2023-11-11,5477
2023-11-12,5948
2023-11-13,5853
2023-11-14,5844
2023-11-15,5892
2023-11-16,6651
2023-11-17,6917
2023-11-18,7504
2023-11-19,8381
2023-11-20,8060
2023-11-21,7262
2023-11-22,7988
2023-11-23,8255
2023-11-24,11098
2023-11-25,9988
2023-11-26,9336
2023-11-27,9883
2023-11-28,25
2023-11-29,74
2023-11-30,169
2023-12-01,229
2023-12-02,265
2023-12-03,317
2023-12-04,376
2023-12-05,322
2023-12-06,336
2023-12-07,192
2023-12-08,219
2023-12-09,233
2023-12-10,241
2023-12-11,270
2023-12-12,277
2023-12-13,274
2023-12-14,283
2023-12-15,247
2023-12-16,255
2023-12-17,288
2023-12-18,335
2023-12-19,369
2023-12-20,337
2023-12-21,385
2023-12-22,259
2023-12-23,218
2023-12-24,197
2023-12-25,222
2023-12-26,228
2023-12-27,156
2023-12-28,170
2023-12-29,148
2023-12-30,144
2023-12-31,132
2024-01-01,178
2024-01-02,174
2024-01-03,128
2024-01-04,138
2024-01-05,159
2024-01-06,150
2024-01-07,157
2024-01-08,189
2024-01-09,195
2024-01-10,157
2024-01-11,173
2024-01-12,182
2024-01-13,188
2024-01-14,204
2024-01-15,230
2024-01-16,221
2024-01-17,204
2024-01-18,183
2024-01-19,206
2024-01-20,168
2024-01-21,168
2024-01-22,210
2024-01-23,226
2024-01-24,157
2024-01-25,164
2024-01-26,222
2024-01-27,208
2024-01-28,191
2024-01-29,266
2024-01-30,250
2024-01-31,164
2024-02-01,171
2024-02-02,185
2024-02-03,181
2024-02-04,173
2024-02-05,226
2024-02-06,262
2024-02-07,180
2024-02-08,214
2024-02-09,236
2024-02-10,191
2024-02-11,202
2024-02-12,236
2024-02-13,234
2024-02-14,200
2024-02-15,202
2024-02-16,208
2024-02-17,191
2024-02-18,190
2024-02-19,253
2024-02-20,248
2024-02-21,167
2024-02-22,233
2024-02-23,188
2024-02-24,148
2024-02-25,148
2024-02-26,204
2024-02-27,222
2024-02-28,147
2024-02-29,151
2024-03-01,151
2024-03-02,156
2024-03-03,172
2024-03-04,206
2024-03-05,203
2024-03-06,171
2024-03-07,181
2024-03-08,197
2024-03-09,198
2024-03-10,180
2024-03-11,213
2024-03-12,229
2024-03-13,201
2024-03-14,212
2024-03-15,203
2024-03-16,198
2024-03-17,210
2024-03-18,258
2024-03-19,261
2024-03-20,198
2024-03-21,208
2024-03-22,205
2024-03-23,194
2024-03-24,188
2024-03-25,245
2024-03-26,286
2024-03-27,155
2024-03-28,177
2024-03-29,198
2024-03-30,189
2024-03-31,185
2024-04-01,219
2024-04-02,230
2024-04-03,176
2024-04-04,179
2024-04-05,171
2024-04-06,190
2024-04-07,194
2024-04-08,221
2024-04-09,230
2024-04-10,160
2024-04-11,175
2024-04-12,178
2024-04-13,182
2024-04-14,195
2024-04-15,222
2024-04-16,249
2024-04-17,194
2024-04-18,221
2024-04-19,200
2024-04-20,202
2024-04-21,194
2024-04-22,253
2024-04-23,256
2024-04-24,185
2024-04-25,168
2024-04-26,180
2024-04-27,166
2024-04-28,189
2024-04-29,236
2024-04-30,242
2024-05-01,217
2024-05-02,830
2024-05-03,1335
2024-05-04,1831
2024-05-05,1717
2024-05-06,2731
2024-05-07,2485
2024-05-08,3498
2024-05-09,3722
2024-05-10,3480
2024-05-11,3703
2024-05-12,3679
2024-05-13,3790
2024-05-14,3572
2024-05-15,3655
2024-05-16,3911
2024-05-17,3975
2024-05-18,3785
2024-05-19,3886
2024-05-20,3608
2024-05-21,4200
2024-05-22,4205
2024-05-23,3993
2024-05-24,4349
2024-05-25,4560
2024-05-26,4443
2024-05-27,5323
