,Sales Rank
2022-12-14,594
2022-12-15,663
2022-12-16,648
2022-12-17,675
2022-12-18,745
2022-12-19,704
2022-12-20,581
2022-12-21,596
2022-12-22,530
2022-12-23,531
2022-12-24,561
2022-12-25,632
2022-12-26,422
2022-12-27,421
2022-12-28,402
2022-12-29,584
2022-12-30,598
2022-12-31,562
2023-01-01,492
2023-01-02,466
2023-01-03,433
2023-01-04,441
2023-01-05,422
2023-01-06,429
2023-01-07,428
2023-01-08,429
2023-01-09,415
2023-01-10,423
2023-01-11,421
2023-01-12,437
2023-01-13,460
2023-01-14,711
2023-01-15,703
2023-01-16,518
2023-01-17,446
2023-01-18,413
2023-01-19,405
2023-01-20,362
2023-01-21,450
2023-01-22,467
2023-01-23,429
2023-01-24,440
2023-01-25,421
2023-01-26,427
2023-01-27,440
2023-01-28,473
2023-01-29,540
2023-01-30,478
2023-01-31,519
2023-02-01,460
2023-02-02,450
2023-02-03,471
2023-02-04,495
2023-02-05,589
2023-02-06,449
2023-02-07,422
2023-02-08,437
2023-02-09,441
2023-02-10,404
2023-02-11,512
2023-02-12,537
2023-02-13,460
2023-02-14,471
2023-02-15,514
2023-02-16,438
2023-02-17,579
2023-02-18,501
2023-02-19,531
2023-02-20,403
2023-02-21,437
2023-02-22,424
2023-02-23,462
2023-02-24,463
2023-02-25,516
2023-02-26,567
2023-02-27,461
2023-02-28,543
2023-03-01,532
2023-03-02,497
2023-03-03,480
2023-03-04,508
2023-03-05,525
2023-03-06,536
2023-03-07,487
2023-03-08,548
2023-03-09,552
2023-03-10,457
2023-03-11,619
2023-03-12,568
2023-03-13,521
2023-03-14,489
2023-03-15,508
2023-03-16,445
2023-03-17,483
2023-03-18,564
2023-03-19,529
2023-03-20,492
2023-03-21,464
2023-03-22,511
2023-03-23,501
2023-03-24,510
2023-03-25,489
2023-03-26,563
2023-03-27,511
2023-03-28,582
2023-03-29,558
2023-03-30,600
2023-03-31,487
2023-04-01,629
2023-04-02,534
2023-04-03,488
2023-04-04,455
2023-04-05,436
2023-04-06,464
2023-04-07,456
2023-04-08,519
2023-04-09,646
2023-04-10,489
2023-04-11,488
2023-04-12,465
2023-04-13,493
2023-04-14,546
2023-04-15,525
2023-04-16,578
2023-04-17,461
2023-04-18,458
2023-04-19,408
2023-04-20,494
2023-04-21,472
2023-04-22,482
2023-04-23,527
2023-04-24,518
2023-04-25,564
2023-04-26,482
2023-04-27,536
2023-04-28,557
2023-04-29,591
2023-04-30,625
2023-05-01,531
2023-05-02,588
2023-05-03,529
2023-05-04,566
2023-05-05,472
2023-05-06,510
2023-05-07,632
2023-05-08,486
2023-05-09,541
2023-05-10,524
2023-05-11,537
2023-05-12,498
2023-05-13,519
2023-05-14,538
2023-05-15,497
2023-05-16,521
2023-05-17,656
2023-05-18,485
2023-05-19,486
2023-05-20,531
2023-05-21,648
2023-05-22,559
2023-05-23,532
2023-05-24,722
2023-05-25,489
2023-05-26,510
2023-05-27,579
2023-05-28,593
2023-05-31,718
2023-06-01,792
2023-06-02,739
2023-06-03,368
2023-06-04,526
2023-06-05,547
2023-06-06,524
2023-06-07,576
2023-06-08,614
2023-06-09,662
2023-06-10,682
2023-06-11,728
2023-06-12,649
2023-06-13,631
2023-06-14,550
2023-06-15,601
2023-06-16,538
2023-06-17,603
2023-06-18,692
2023-06-19,601
2023-06-20,637
2023-06-21,581
2023-06-22,576
2023-06-23,580
2023-06-24,549
2023-06-25,632
2023-06-26,593
2023-06-27,612
2023-06-28,560
2023-06-29,607
2023-06-30,557
2023-07-01,639
2023-07-02,659
2023-07-03,529
2023-07-04,574
2023-07-05,613
2023-07-06,606
2023-07-07,586
2023-07-08,640
2023-07-09,668
2023-07-10,582
2023-07-11,274
2023-07-12,260
2023-07-13,330
2023-07-14,623
2023-07-15,303
2023-07-16,529
2023-07-17,446
2023-07-18,684
2023-07-19,1140
2023-07-20,550
2023-07-21,644
2023-07-22,713
2023-07-23,689
2023-07-24,598
2023-07-25,657
2023-07-26,715
2023-07-27,632
2023-07-28,590
2023-07-29,611
2023-07-30,615
2023-07-31,626
2023-08-01,573
2023-08-02,564
2023-08-03,536
2023-08-04,589
2023-08-05,523
2023-08-06,609
2023-08-07,510
2023-08-08,524
2023-08-09,531
2023-08-10,568
2023-08-11,463
2023-08-12,557
2023-08-13,656
2023-08-14,474
2023-08-15,465
2023-08-16,445
2023-08-17,536
2023-08-18,517
2023-08-19,513
2023-08-20,546
2023-08-21,436
2023-08-22,497
2023-08-23,427
2023-08-24,413
2023-08-25,222
2023-08-26,255
2023-08-27,271
2023-08-28,242
2023-08-29,220
2023-08-30,256
2023-08-31,233
2023-09-01,237
2023-09-02,245
2023-09-03,280
2023-09-04,281
2023-09-05,254
2023-09-06,273
2023-09-07,249
2023-09-08,256
2023-09-09,281
2023-09-10,302
2023-09-11,252
2023-09-12,270
2023-09-13,266
2023-09-14,256
2023-09-15,261
2023-09-16,299
2023-09-17,343
2023-09-18,256
2023-09-19,266
2023-09-20,260
2023-09-21,238
2023-09-22,241
2023-09-23,248
2023-09-24,286
2023-09-25,244
2023-09-26,231
2023-09-27,260
2023-09-28,193
2023-09-29,148
2023-09-30,212
2023-10-01,263
2023-10-02,216
2023-10-03,211
2023-10-04,224
2023-10-05,226
2023-10-06,225
2023-10-07,238
2023-10-08,256
2023-10-09,228
2023-10-10,230
2023-10-11,310
2023-10-12,313
2023-10-13,273
2023-10-14,275
2023-10-15,270
2023-10-16,224
2023-10-17,250
2023-10-18,266
2023-10-19,253
2023-10-20,249
2023-10-21,297
2023-10-22,289
2023-10-23,219
2023-10-24,258
2023-10-25,289
2023-10-26,234
2023-10-27,236
2023-10-28,266
2023-10-29,292
2023-10-30,253
2023-10-31,232
2023-11-01,254
2023-11-02,248
2023-11-03,281
2023-11-04,309
2023-11-05,315
2023-11-06,240
2023-11-07,250
2023-11-08,243
2023-11-09,216
2023-11-10,211
2023-11-11,241
2023-11-12,273
2023-11-13,210
2023-11-14,236
2023-11-15,241
2023-11-16,238
2023-11-17,241
2023-11-18,279
2023-11-19,298
2023-11-20,270
2023-11-21,262
2023-11-22,284
2023-11-23,262
2023-11-24,401
2023-11-25,515
2023-11-26,512
2023-11-27,398
2023-11-28,339
2023-11-29,309
2023-11-30,271
2023-12-01,272
2023-12-02,306
2023-12-03,304
2023-12-04,285
2023-12-05,292
2023-12-06,292
2023-12-07,305
2023-12-08,349
2023-12-09,405
2023-12-10,400
2023-12-11,303
2023-12-12,324
2023-12-13,330
2023-12-14,319
2023-12-15,405
2023-12-16,475
2023-12-17,495
2023-12-18,409
2023-12-19,368
2023-12-20,369
2023-12-21,383
2023-12-22,361
2023-12-23,338
2023-12-24,427
2023-12-25,277
2023-12-26,255
2023-12-27,235
2023-12-28,251
2023-12-29,260
2023-12-30,309
2023-12-31,313
2024-01-01,220
2024-01-02,222
2024-01-03,254
2024-01-04,252
2024-01-05,281
2024-01-06,290
2024-01-07,307
2024-01-08,248
2024-01-09,260
2024-01-10,254
2024-01-11,277
2024-01-12,246
2024-01-13,293
2024-01-14,321
2024-01-15,278
2024-01-16,241
2024-01-17,296
2024-01-18,266
2024-01-19,304
2024-01-20,314
2024-01-21,429
2024-01-22,249
2024-01-23,274
2024-01-24,286
2024-01-25,300
2024-01-26,268
2024-01-27,308
2024-01-28,327
2024-01-30,235
2024-01-31,254
2024-02-01,246
2024-02-02,252
2024-02-03,280
2024-02-04,321
2024-02-05,246
2024-02-06,267
2024-02-07,287
2024-02-08,277
2024-02-09,273
2024-02-10,279
2024-02-11,273
2024-02-12,255
2024-02-13,258
2024-02-14,266
2024-02-15,271
2024-02-16,241
2024-02-17,252
2024-02-18,325
2024-02-19,268
2024-02-20,242
2024-02-21,282
2024-02-22,241
2024-02-23,287
2024-02-24,329
2024-02-25,340
2024-02-26,281
2024-02-27,253
2024-02-28,258
2024-02-29,265
2024-03-01,260
2024-03-02,307
2024-03-03,311
2024-03-04,251
2024-03-05,261
2024-03-06,274
2024-03-07,276
2024-03-08,275
2024-03-09,309
2024-03-10,349
2024-03-11,252
2024-03-12,256
2024-03-13,247
2024-03-14,276
2024-03-15,239
2024-03-16,290
2024-03-17,306
2024-03-18,280
2024-03-19,270
2024-03-20,271
2024-03-21,254
2024-03-22,278
2024-03-23,307
2024-03-24,318
2024-03-25,298
2024-03-26,282
2024-03-27,270
2024-03-28,293
2024-03-29,261
2024-03-30,256
2024-03-31,332
2024-04-01,243
2024-04-02,233
2024-04-03,269
2024-04-04,285
2024-04-05,317
2024-04-06,300
2024-04-07,338
