,Sales Rank
2022-12-14,391
2022-12-15,400
2022-12-16,413
2022-12-17,481
2022-12-18,499
2022-12-19,487
2022-12-20,516
2022-12-21,516
2022-12-22,509
2022-12-23,486
2022-12-24,501
2022-12-25,492
2022-12-26,477
2022-12-27,489
2022-12-28,396
2022-12-29,391
2022-12-30,357
2022-12-31,379
2023-01-01,356
2023-01-02,435
2023-01-03,310
2023-01-04,299
2023-01-05,304
2023-01-06,286
2023-01-07,285
2023-01-08,279
2023-01-09,277
2023-01-10,262
2023-01-11,248
2023-01-12,267
2023-01-13,283
2023-01-14,384
2023-01-15,416
2023-01-16,416
2023-01-17,410
2023-01-18,376
2023-01-19,409
2023-01-20,419
2023-01-21,436
2023-01-22,493
2023-01-23,439
2023-01-24,463
2023-01-25,427
2023-01-26,430
2023-01-27,450
2023-01-28,436
2023-01-29,518
2023-01-30,493
2023-01-31,435
2023-02-01,439
2023-02-02,502
2023-02-03,562
2023-02-04,561
2023-02-05,553
2023-02-06,531
2023-02-07,485
2023-02-08,439
2023-02-09,442
2023-02-10,409
2023-02-11,400
2023-02-12,387
2023-02-13,385
2023-02-14,371
2023-02-15,404
2023-02-16,394
2023-02-17,400
2023-02-18,398
2023-02-19,395
2023-02-20,411
2023-02-21,378
2023-02-22,376
2023-02-23,340
2023-02-24,329
2023-02-25,322
2023-02-26,302
2023-02-27,288
2023-02-28,286
2023-03-01,254
2023-03-02,268
2023-03-03,251
2023-03-04,259
2023-03-05,263
2023-03-06,267
2023-03-07,273
2023-03-08,254
2023-03-09,268
2023-03-10,262
2023-03-11,249
2023-03-12,276
2023-03-13,328
2023-03-14,293
2023-03-15,276
2023-03-16,327
2023-03-17,305
2023-03-18,329
2023-03-19,317
2023-03-20,348
2023-03-21,346
2023-03-22,328
2023-03-23,347
2023-03-24,301
2023-03-25,328
2023-03-26,339
2023-03-27,325
2023-03-28,304
2023-03-29,257
2023-03-30,233
2023-03-31,229
2023-04-01,244
2023-04-02,260
2023-04-03,266
2023-04-04,241
2023-04-05,195
2023-04-06,201
2023-04-07,195
2023-04-08,199
2023-04-09,203
2023-04-10,201
2023-04-11,177
2023-04-12,152
2023-04-13,157
2023-04-14,146
2023-04-15,134
2023-04-16,136
2023-04-17,148
2023-04-18,136
2023-04-19,135
2023-04-20,124
2023-04-21,129
2023-04-22,124
2023-04-23,143
2023-04-24,151
2023-04-25,134
2023-04-26,123
2023-04-27,120
2023-04-28,117
2023-04-29,129
2023-04-30,128
2023-05-01,119
2023-05-02,136
2023-05-03,152
2023-05-04,136
2023-05-05,143
2023-05-06,117
2023-05-07,117
2023-05-08,115
2023-05-09,108
2023-05-10,98
2023-05-11,95
2023-05-12,101
2023-05-13,95
2023-05-14,102
2023-05-15,106
2023-05-16,97
2023-05-17,102
2023-05-18,117
2023-05-19,2074
2023-05-20,2358
2023-05-21,2559
2023-05-22,1907
2023-05-23,2066
2023-05-24,1574
2023-05-25,1413
2023-05-26,1193
2023-05-27,1073
2023-05-28,1082
2023-05-31,1126
2023-06-01,1042
2023-06-02,1441
2023-06-03,1524
2023-06-04,1492
2023-06-05,2335
2023-06-06,3644
2023-06-07,5880
2023-06-08,7572
2023-06-09,10801
2023-06-10,159
2023-06-11,156
2023-06-12,140
2023-06-13,119
2023-06-14,111
2023-06-15,117
2023-06-16,111
2023-06-17,93
2023-06-18,107
2023-06-19,99
2023-06-20,86
2023-06-21,82
2023-06-22,96
2023-06-23,95
2023-06-24,108
2023-06-25,112
2023-06-26,123
2023-06-27,120
2023-06-28,92
2023-06-29,83
2023-06-30,90
2023-07-01,89
2023-07-02,88
2023-07-03,77
2023-07-04,81
2023-07-05,97
2023-07-06,73
2023-07-07,63
2023-07-08,66
2023-07-09,69
2023-07-10,68
2023-07-11,159
2023-07-12,195
2023-07-13,122
2023-07-14,108
2023-07-15,99
2023-07-16,79
2023-07-17,70
2023-07-18,56
2023-07-19,50
2023-07-20,66
2023-07-21,61
2023-07-22,63
2023-07-23,87
2023-07-24,85
2023-07-25,81
2023-07-26,83
2023-07-27,88
2023-07-28,88
2023-07-29,101
2023-07-30,97
2023-07-31,99
2023-08-02,90
2023-08-03,94
2023-08-04,95
2023-08-05,92
2023-08-06,93
2023-08-07,94
2023-08-08,86
2023-08-09,93
2023-08-10,100
2023-08-11,97
2023-08-12,102
2023-08-13,109
2023-08-14,109
2023-08-15,104
2023-08-16,100
2023-08-17,111
2023-08-18,112
2023-08-19,109
2023-08-20,108
2023-08-21,112
2023-08-22,106
2023-08-23,94
2023-08-24,104
2023-08-25,106
2023-08-26,98
2023-08-27,107
2023-08-28,130
2023-08-29,118
2023-08-30,109
2023-08-31,110
2023-09-01,115
2023-09-02,116
2023-09-03,123
2023-09-04,122
2023-09-05,109
2023-09-06,103
2023-09-07,110
